F' R2 U D2 R2 B
F' R2 U' L2 F' U2
F' R2 U' F' L2 U2
F' R2 D2 U R2 B
D' F' B2 U F' B'
D' F' B2 U B' F'
F' D' B2 U F2 B'
F' D' B2 U B' F2
D' B2 F' U F' B'
D' B2 F' U B' F'
F' L R2 U' L F' U2
F' L R2 U' F' L U2
F L D' L2 F2 B R
F L D' L2 B F2 R
B L F D' L2 F2 R
B' L F' R2 U B2 R'
D' L F' B2 U F' B'
D' L F' B2 U B' F'
F' L B2 R2 U R B'
F' L B2 R2 U B' R
D' L B2 F' U F' B'
D' L B2 F' U B' F'
F' L' R2 U' L' F' U2
F' L' U D' F2 B R
F' L' U D' B F2 R
F' L' U B D' F2 R
F' L' D' U F2 B R
F' L' D' U B F2 R
F L' D' F2 L2 B R
F L' D' F2 B L2 R
F L' D' F2 B R L2
F L' D' B F2 L2 R
F L' D' B F2 R L2
D' L' F' B2 U F' B'
D' L' F' B2 U B' F'
F L' B D' F2 L2 R
F L' B D' F2 R L2
D' L' B2 F' U F' B'
D' L' B2 F' U B' F'
B' L2 U F' R2 U B2
D2 L2 U2 F' U B R2
F L2 U2 D' L2 F2 B
F L2 U2 D' L2 B F2
F L2 U2 D' F2 L2 B
F L2 U2 D' F2 B L2
F L2 U2 D' B L2 F2
F L2 U2 D' B F2 L2
F L2 U2 B D' L2 F2
F L2 U2 B D' F2 L2
F L2 D R2 F' B2 U2
F L2 D R2 B2 F' U2
F L2 D B2 R2 U2 B'
F L2 D' U2 L2 F2 B
F L2 D' U2 L2 B F2
F L2 D' U2 F2 L2 B
F L2 D' U2 F2 B L2
F L2 D' U2 B L2 F2
F L2 D' U2 B F2 L2
B2 L2 F U R2 F2 U
B2 L2 F U F2 R2 U
B2 L2 F U2 D' L2 F2
B2 L2 F U2 D' F2 L2
B2 L2 F D R2 B2 U2
B2 L2 F D B2 R2 U2
B2 L2 F D' U2 L2 F2
B2 L2 F D' U2 F2 L2
D' L2 F' B2 U F' B'
D' L2 F' B2 U B' F'
D' L2 B2 F' U F' B'
D' L2 B2 F' U B' F'
L2 U D' F' U F' B
L2 U D' F' U B F'
L2 U F' R2 U' F' U2
L2 U F' U D' F2 B
L2 U F' U D' B F2
L2 U F' U B D' F2
L2 U F' D' U F2 B
L2 U F' D' U B F2
R2 U' L2 F' U' B U'
R2 U' F' L2 U' B U'
F' R2 L U' L F' U2
F' R2 L U' F' L U2
F' R2 L' U' L' F' U2
R2 U2 D2 B U' R2 B
L2 U2 F D' L2 F2 B
L2 U2 F D' L2 B F2
L2 U2 F D' F2 L2 B
L2 U2 F D' F2 B L2
L2 U2 F D' B L2 F2
L2 U2 F D' B F2 L2
L2 U2 F B D' L2 F2
L2 U2 F B D' F2 L2
L2 U2 F' R2 U R2 B
F' R2 U R2 D2 B R2
F' R2 U R2 B D2 R2
F' R2 U D2 R2 D B
F' R2 U D2 R2 D' B
F' R2 U D2 R2 D2 B
F' R2 U D2 R2 B D
F' R2 U D2 R2 B D'
F' R2 U D2 R2 B D2
F' R2 U D2 B R2 B
F' R2 U D2 B' R2 B
F' R2 U D2 B2 R2 B
F' R2 U B D2 R2 B
F' R2 U B' D2 R2 B
F' R2 U B2 D2 R2 B
F' R2 U' L F' L U2
F' R2 U' L2 D F' U2
F' R2 U' L2 D' F' U2
F' R2 U' L2 D2 F' U2
F' R2 U' L2 F' U2 D
F' R2 U' L2 F' U2 D'
F' R2 U' L2 F' U2 D2
F' R2 U' L2 F' D U2
F' R2 U' L2 F' D' U2
F' R2 U' L2 F' D2 U2
F' R2 U' D2 F' U2 R2
F' R2 U' F L2 F2 U2
F' R2 U' F' L2 U2 D
F' R2 U' F' L2 U2 D'
F' R2 U' F' L2 U2 D2
F' R2 U' F' L2 D U2
F' R2 U' F' L2 D' U2
F' R2 U' F' L2 D2 U2
F' R2 U' F' U2 D2 R2
F' R2 U' F' D2 U2 R2
F' R2 U' F2 L2 U2 B'
L2 U2 B U' F' R2 U
R2 U2 B U L2 F' U2
R2 U2 B U F' L2 U2
R2 U2 B U' D2 R2 B
L2 U2 B F D' L2 F2
L2 U2 B F D' F2 L2
R2 U2 B D2 U' R2 B
F' R2 D' B2 U' F' U2
F' R2 D2 L U R2 B
F' R2 D2 L' U R2 B
F' R2 D2 L2 U R2 B
F' R2 D2 U R2 D B
F' R2 D2 U R2 D' B
F' R2 D2 U R2 D2 B
F' R2 D2 U R2 B D
F' R2 D2 U R2 B D'
F' R2 D2 U R2 B D2
F' R2 D2 U B R2 B
F' R2 D2 U B' R2 B
F' R2 D2 U B2 R2 B
F' R2 D2 U' F' U2 R2
F' R2 D2 B U R2 B
F' R2 D2 B' U R2 B
F' R2 D2 B2 U R2 B
F2 R2 F U D2 R2 B2
F2 R2 F U D2 B2 R2
F2 R2 F U' L2 F2 U2
F2 R2 F U' F2 L2 U2
F2 R2 F D' L2 B2 U
F2 R2 F D' B2 L2 U
F2 R2 F D2 U R2 B2
F2 R2 F D2 U B2 R2
F' R2 B U D2 R2 B
F' R2 B U' L2 F' U2
F' R2 B U' F' L2 U2
F R2 F2 U' L2 U2 B'
F R2 F2 U' F L2 U2
F' R2 B D2 U R2 B
F' R2 B' U D2 R2 B
F' R2 B' U' L2 F' U2
F' R2 B' U' F' L2 U2
D2 R2 B' D F2 L2 B'
F' R2 B' D2 U R2 B
F' R2 B2 U D2 R2 B
F' R2 B2 U' L2 F' U2
F' R2 B2 U' F' L2 U2
F' R2 B2 D2 U R2 B
F' U D B D R2 F'
L2 D B2 U F' U B'
F' U D' F2 D' B R2
D' U F' B2 U F' B'
D' U F' B2 U B' F'
F' U D2 B R2 D F2
D' U B2 F' U F' B'
D' U B2 F' U B' F'
F' U B D' F2 D' R2
F' U B D2 R2 D F2
L2 D' U F' U F' B
L2 D' U F' U B F'
F' U' L2 U2 D' F2 B
F' U' L2 U2 D' B F2
L' D' F' U F' B R
L' D' F' U B F' R
F' U' L2 U2 B D' F2
F' U' L2 D B2 U2 B'
F' U' L2 D' U2 F2 B
F' U' L2 D' U2 B F2
U' D' F' B2 U F' B'
D' U' F' B2 U F' B'
U' D' F' B2 U B' F'
D' U' F' B2 U B' F'
U2 D' F' B2 U F' B'
U2 D' F' B2 U B' F'
U D' F' B2 U F' B'
U D' F' B2 U B' F'
B U' D' F' B2 U F'
B U' D' B2 F' U F'
D' U' B2 F' U F' B'
D' U' B2 F' U B' F'
U' D' B2 F' U F' B'
U' D' B2 F' U B' F'
U2 D' B2 F' U F' B'
U2 D' B2 F' U B' F'
U D' B2 F' U F' B'
U D' B2 F' U B' F'
B U' F' R2 U D2 R2
B U' F' R2 U' L2 U2
B U' F' R2 D' B2 U
B U' F' R2 D2 U R2
B U' F' D' B2 U F2
R2 D2 U2 B U' R2 B
D' U2 F' B2 U F' B'
D' U2 F' B2 U B' F'
B U2 L2 U F' R2 U
D' U2 B2 F' U F' B'
D' U2 B2 F' U B' F'
F' U2 D2 L2 U' B R2
L2 F U2 D' L2 F2 B
L2 F U2 D' L2 B F2
L2 F U2 D' F2 L2 B
L2 F U2 D' F2 B L2
L2 F U2 D' B L2 F2
L2 F U2 D' B F2 L2
L2 F U2 B D' L2 F2
L2 F U2 B D' F2 L2
L2 F D R2 F' B2 U2
L2 F D R2 B2 F' U2
D' F D' F L2 B R2
D' F D' F B L2 R2
D' F D' F B R2 L2
L2 F D B2 R2 U2 B'
D' F D' B R2 F L2
D' F D' B F L2 R2
D' F D' B F R2 L2
L2 F D' U2 L2 F2 B
L2 F D' U2 L2 B F2
L2 F D' U2 F2 L2 B
L2 F D' U2 F2 B L2
L2 F D' U2 B L2 F2
L2 F D' U2 B F2 L2
R2 F D' B2 L2 F U
L F D' L2 F2 B R
L F D' L2 B F2 R
F' D U B D R2 F'
D' F' L B2 U F' B'
D' F' L B2 U B' F'
D' F' L' B2 U F' B'
D' F' L' B2 U B' F'
D' F' L2 B2 U F' B'
D' F' L2 B2 U B' F'
U' F' R2 U D2 R2 B
U' F' R2 U' L2 F' U2
U' F' R2 U' F' L2 U2
U' F' R2 D2 U R2 B
L' F' R2 U' F' U2 R
U2 F' R2 U D2 R2 B
U2 F' R2 U' L2 F' U2
U2 F' R2 U' F' L2 U2
U2 F' R2 D2 U R2 B
D' F' U D' F' B R2
D' F' U D' B F' R2
D' F' U F' D' B R2
D2 F' U B R2 D F2
U F' R2 U D2 R2 B
U F' R2 U' L2 F' U2
U F' R2 U' F' L2 U2
L F' R2 U' L F' U2
L F' R2 U' F' L U2
U F' R2 D2 U R2 B
D2 F' U2 L2 U' B R2
F' D' L B2 U F2 B'
F' D' L B2 U B' F2
F' D' L' B2 U F2 B'
F' D' L' B2 U B' F2
D2 F' D B2 U F2 B'
D2 F' D B2 U B' F2
D' F' D' U F' B R2
D' F' D' U B F' R2
U' F' D' B2 U F2 B'
U' F' D' B2 U B' F2
F' D' L2 B2 U F2 B'
F' D' L2 B2 U B' F2
U2 F' D' B2 U F2 B'
U2 F' D' B2 U B' F2
F D' L2 F2 D' B R2
U F' D' B2 U F2 B'
U F' D' B2 U B' F2
D' F' B2 U D F' B'
D' F' B2 U D B' F'
D' F' B2 U D' F' B'
D' F' B2 U D' B' F'
D' F' B2 U D2 F' B'
D' F' B2 U D2 B' F'
D' F' B2 U F' D B'
D' F' B2 U F' D' B'
D' F' B2 U F' D2 B'
D' F' B2 U F' B' D
D' F' B2 U F' B' D'
D' F' B2 U F' B' D2
D' F' B2 U B' D F'
D' F' B2 U B' D' F'
D' F' B2 U B' D2 F'
D' F' B2 U B' F' D
D' F' B2 U B' F' D'
D' F' B2 U B' F' D2
D' F' B2 D U F' B'
D' F' B2 D U B' F'
F' D' U F2 D' B R2
D' F' B2 D' U F' B'
D' F' B2 D' U B' F'
D' F' B2 D2 U F' B'
D' F' B2 D2 U B' F'
L F' B2 R2 U R B'
L F' B2 R2 U B' R
B D' U' F' B2 U F'
B D' U' B2 F' U F'
D2 F2 L2 B' U' R2 B2
D2 F2 L2 B' U' B2 R2
F2 D' F B2 U F B'
F2 D' F B2 U B' F
B D' F D' R2 F L2
B D' F D' F L2 R2
B D' F D' F R2 L2
B2 D' F' B2 U F' B
B2 D' F' B2 U B F'
F' D' F2 D' L2 B R2
F' D' F2 D' B L2 R2
F' D' F2 D' B R2 L2
B D' F' B2 U F' B2
B D' F' B2 U B2 F'
B D' F2 U' F B2 U
B D' F2 U' B2 F U
F D' F2 L2 D' B R2
F' D' B2 R U F2 B'
F' D' B2 R U B' F2
F' D' B2 R' U F2 B'
F' D' B2 R' U B' F2
F' D' B2 R2 U F2 B'
F' D' B2 R2 U B' F2
F' D' B2 U F2 D B'
F' D' B2 U F2 D' B'
F' D' B2 U F2 D2 B'
F' D' B2 U F2 B' D
F' D' B2 U F2 B' D'
F' D' B2 U F2 B' D2
F' D' B2 U B' F2 D
F' D' B2 U B' F2 D'
F' D' B2 U B' F2 D2
F' D' B2 D R2 U B'
D' F2 U' F B2 U B'
B2 D' B2 F' U F' B
B2 D' B2 F' U B F'
F2 D' B2 F U F B'
F2 D' B2 F U B' F
D' F2 U' B2 F U B'
B D' B2 F' U F' B2
B D' B2 F' U B2 F'
F D' B2 U F2 B' L2
F D' B2 U B' L2 F2
F D' B2 U B' F2 L2
D F2 D L2 B' U' B2
F2 D2 L2 B' U' R2 B2
F2 D2 L2 B' U' B2 R2
F D2 L2 B2 U' R2 B'
F D2 L2 B2 U' B' R2
D' F2 B U' F B U
D' F2 B U' B F U
B2 D2 R2 B' D L2 F2
B2 D2 R2 B' D F2 L2
B D2 R2 U L2 B U'
B D2 R2 U B L2 U'
F' D2 U B R2 D F2
F D2 R2 D F2 L2 B'
F' D2 U2 L2 U' B R2
D2 B R2 U L2 B U'
D2 B R2 U B L2 U'
R2 B U L2 F' U2 F
D' B U' F' B U F'
D' B U' B F' U F'
R2 B U F' L2 B' U2
R2 B U' L2 F' U2 L2
R2 B U' F' L2 U2 L2
B F L D' L2 F2 R
F B L D' L2 F2 R
B F L' D' F2 L2 R
B F L' D' F2 R L2
F B L' D' F2 L2 R
F B L' D' F2 R L2
F' B R2 D' B2 U B2
D' B F2 U' F B U
D' B F2 U' B F U
F' B D' F2 D' L2 R2
F' B D' F2 D' R2 L2
F' B D' B2 U F2 B2
F' B D' B2 U B2 F2
B F D' L2 F2 D' R2
B' F' L R2 U B2 R'
F B D' L2 F2 D' R2
B F D' F2 L2 D' R2
F' B' L R2 U B2 R'
F B D' F2 L2 D' R2
B F D2 R2 D L2 F2
B F D2 R2 D F2 L2
F B D2 R2 D L2 F2
F B D2 R2 D F2 L2
L2 B' U F' R2 U B2
B' F' R2 L U B2 R'
B' F' R2 U B2 D2 R2
B' F' R2 U' L2 U2 B2
F' B' R2 L U B2 R'
F' B' R2 U B2 D2 R2
F' B' R2 U' L2 U2 B2
B2 F' R2 U D2 R2 B'
B2 F' R2 U D2 B' R2
B2 F' R2 U B' D2 R2
B2 F' R2 U' L2 F U2
B2 F' R2 D' B2 U B
B2 F' R2 D2 U R2 B'
B2 F' R2 D2 U B' R2
B F' R2 D' B2 U B2
B2 F' D' B2 U F2 B
B2 F' D' B2 U B F2
B F' D' F2 D' L2 R2
B F' D' F2 D' R2 L2
B F' D' B2 U F2 B2
B F' D' B2 U B2 F2
D2 B2 R2 B' D L2 F2
D2 B2 R2 B' D F2 L2
L2 B2 U F' R2 U B'
F' B2 R2 U D2 R2 B'
F' B2 R2 U D2 B' R2
F' B2 R2 U B' D2 R2
F' B2 R2 U' L2 F U2
F' B2 R2 D' B2 U B
F' B2 R2 D2 U R2 B'
F' B2 R2 D2 U B' R2
D' B2 D F' R2 U B'
D' B2 F' U D F' B'
D' B2 F' U D B' F'
D' B2 F' U D' F' B'
D' B2 F' U D' B' F'
