D2 L2 U' L B' R'
L' R U' B R U B2
D' L U' L2 F2 B' R'
D' L U' L2 B' R' F2
D' L U' L2 B' F2 R'
L R B R U L2 B'
R L B R U L2 B'
L' R B' R' D' R2 F2
L' R B' R' D' F2 R2
L' R B' U' R B2 U
L' R B' U' B2 R U
R L' U' B R U B2
D' L' R F2 B' D' R2
D' L' R B' F2 D' R2
R L' B' R' D' R2 F2
R L' B' R' D' F2 R2
R L' B' U' R B2 U
R L' B' U' B2 R U
D' L' F2 R B' D' R2
D2 L2 R' F' U' L B'
D2 L2 U' L R B' R'
D2 L2 U' L R' B' R'
D2 L2 U' L R2 B' R'
D2 L2 U' L D B' R'
D2 L2 U' L D' B' R'
D2 L2 U' L D2 B' R'
D2 L2 U' L B' R' D
D2 L2 U' L B' R' D'
D2 L2 U' L B' R' D2
D2 L2 U' L B' D R'
D2 L2 U' L B' D' R'
D2 L2 U' L B' D2 R'
D' L2 U' L F2 B' R'
D' L2 U' L B' R' F2
D' L2 U' L B' F2 R'
D2 L2 U' R L B' R'
D2 L2 U' R' L B' R'
D2 L2 U' R2 L B' R'
D' L2 U' F2 L B' R'
D2 L2 F U' L B' R'
D2 L2 F' U' L B' R'
D2 L2 F2 U' L B' R'
D' R L' F2 B' D' R2
D' R L' B' F2 D' R2
F2 R U B L R U
F2 R U B R L U
R U B L R U L2
R U B R L U L2
L2 U' L D' F2 B' R'
L2 U' L D' B' R' F2
L2 U' L D' B' F2 R'
L2 U' L B' D' R' F2
L2 U' L B' D' F2 R'
L U' L2 D' F2 B' R'
L U' L2 D' B' R' F2
L U' L2 D' B' F2 R'
L U' L2 B' D' R' F2
L U' L2 B' D' F2 R'
L' U' R2 B U B2 R'
L' U' R2 B2 U B R'
D2 R' L2 F' U' L B'
L' U' B R2 U B2 R'
R U' B R U L' B'
L2 U2 R2 U L B' R'
L U2 R2 U L2 B' R'
U2 R2 U L' B' R' B
U2 R2 U B' L' R' B
U2 R2 U B' R' L' B
U2 R2 U B' R' B L'
R U2 B R U L' B
R U2 B R U B L'
U' R2 B' U L' R' B'
U' R2 B' U R' L' B'
L' D' R F2 B' D' R2
L' D' R B' F2 D' R2
L' D' F2 R B' D' R2
R2 D2 L B' U L2 B'
L' D2 L2 U' L2 B' R'
R2 D2 L2 U L B' R'
B' D2 L2 U' L B' R'
B2 D2 L2 U' L B' R'
B D2 L2 U' L B' R'
D2 B L2 U' L B' R'
R B L R U L2 B'
R B L2 R U L B'
R B R L U L2 B'
R B R L2 U L B'
D2 B' L2 U' L B' R'
L' B' R U' B R U
U' B' R2 U L' R B'
U' B' R2 U L' B' R
U' B' R2 U R L' B'
L' B' U' R2 B' U R'
L' B' U' B' R2 U R
D2 B2 L2 U' L B' R'
