D B' L' F R U'
B' L' U L F L U2
B L' R2 B2 U' R B
B' L' U' R D2 B R2
B' L' U' R B D2 R2
B' L' U' R' D2 R2 B
B' L' U' D2 R B R
B' L' D F R F U'
D L' D F R U' L'
B' L' D2 R U' R B
B' L' D2 U' R B R
B' L' D2 F R U' R
B' L' F R U L2 U2
B' L' F R U' D2 R2
B' L' F R D F2 U'
B' L' F R D2 U' R2
B L' F R B2 U' R2
B' L' F D R F2 U'
B' L' F D2 R U' R
B' L' F' D F2 R U'
B2 L' B U L F U2
B L' B2 U L F U2
D R B' L' F R U'
F R B' U L U2 F
B R' U L' B2 U' B
B R' U B2 L' U' B'
D R' B' L' F R U'
B R2 L' B2 U' R B
D R2 B' L' F R U'
B R2 B2 L' U' R B
B' U L U' L2 U' B'
B' U L D F U2 F
B' U L D' F B2 U2
B' U L D' B2 F U2
B' U L F U' L2 U'
B' U L F U2 D F2
B' U L F D U2 F2
B' U L F D' B2 U2
R' D B' L' F R U'
R2 D B' L' F R U'
R D B' L' F R U'
U2 D B' L' R' F U'
U2 D B' L' F R' U'
U2 D B' R' L' F U'
D U B' L' F U' B'
U D B' L' F U' B'
B2 U B L' U' B' R'
D U2 B' L' R' F U'
D U2 B' L' F R' U'
D U2 B' R' L' F U'
D' F R F' B' L' U'
D' F R B' F' L' U'
D' F B' R F' L' U'
F D' R F' B' L' U'
F D' R B' F' L' U'
F D' B' R F' L' U'
D B L' F R B2 U'
D B L' F B2 R U'
D B L' B2 F R U'
B' F R U L U2 F
D' B' L' F R F' U'
U2 B' L' R' U L2 U2
U2 B' L' R' U' D2 R2
U2 B' L' R' D F2 U'
U2 B' L' R' D2 U' R2
U2 B' L' D R' F2 U'
U2 B' L' D F2 R' U'
U2 B' L' D2 R' U' R'
D B' L' R F R U'
D B' L' R' F R U'
D B' L' R2 F R U'
D B' L' D F R U'
D B' L' D' F R U'
D B' L' D2 F R U'
D B' L' F R U' D
D B' L' F R U' D'
D B' L' F R U' D2
D B' L' F R D U'
D B' L' F R D' U'
D B' L' F R D2 U'
D B' L' F D R U'
D B' L' F D' R U'
D B' L' F D2 R U'
U B' L' U L2 F U2
U B' L' U' D2 R2 B'
U B' L' U' D2 B' R2
U B' L' U' B' D2 R2
U B' L' D F2 U' B'
U B' L' D2 U' R2 B'
U B' L' D2 U' B' R2
D B' R L' F R U'
U2 B' R' L' U L2 U2
U2 B' R' L' U' D2 R2
U2 B' R' L' D F2 U'
U2 B' R' L' D2 U' R2
D B' R' L' F R U'
D B' R2 L' F R U'
D2 B' D' L' F R U'
F B' R U L U2 F
D' B' D2 L' F R U'
D' B' F R F' L' U'
D B2 L' F B R U'
D B2 L' B F R U'
U B2 L' B U' B2 R'
