B L' U' F B2 R'
B L' U' B2 R' F
B L' U' B2 F R'
U' B L' U' F B2
U' B L' U' B2 F
U2 B' L D L2 F
U2 B' L' D F L2
U2 B' L' F D L2
B' L D F L2 F R
B' L D F2 L2 R F
B' L D F2 R L2 F
B' L F D L2 F R
B' L F2 R D L2 F
B' L F2 D L2 R F
B' L F2 D R L2 F
B L' R U' F B2 R'
B L' R U' B2 R' F
B L' R U' B2 F R'
B L' R' U' F B2 R'
B L' R' U' B2 R' F
B L' R' U' B2 F R'
B L' R2 U' F B2 R'
B L' R2 U' B2 R' F
B L' R2 U' B2 F R'
B' L' U B2 U' R' F
B' L' U B2 U' F R'
B L' U' R F B2 R'
B L' U' R B2 R' F
B L' U' R B2 F R'
B L' U' R' F B2 R'
B L' U' R' B2 R' F
B L' U' R' B2 F R'
B L' U' R2 F B2 R'
B L' U' R2 B2 R' F
B L' U' R2 B2 F R'
B L' U' F R B2 R'
B L' U' F R' B2 R'
B L' U' F R2 B2 R'
B L' U' F B2 R' D
B L' U' F B2 R' D'
B L' U' F B2 R' D2
B L' U' F B2 D R'
B L' U' F B2 D' R'
B L' U' F B2 D2 R'
B L' U' F' B2 R' F2
B L' U' B2 R F R2
B L' U' B2 R' D F
B L' U' B2 R' D' F
B L' U' B2 R' D2 F
B L' U' B2 R' F D
B L' U' B2 R' F D'
B L' U' B2 R' F D2
B L' U' B2 D R' F
B L' U' B2 D F R'
B L' U' B2 D' R' F
B L' U' B2 D' F R'
B L' U' B2 D2 R' F
B L' U' B2 D2 F R'
B L' U' B2 F R' D
B L' U' B2 F R' D'
B L' U' B2 F R' D2
B L' U' B2 F D R'
B L' U' B2 F D' R'
B L' U' B2 F D2 R'
B L' U' B2 F' R' F2
B' L' D F' L2 F2 R
U' L' D' B R' U' F
U2 L' F L B' D L2
B' L' F U B2 U' R'
B L' F B2 R' D L2
B L' F B2 D L2 R'
B L' F B2 D R' L2
B L' F' U' F2 B2 R'
B L' F' U' B2 R' F2
B L' F' U' B2 F2 R'
B L' F2 U' F' B2 R'
B L' F2 U' B2 F' R'
