F' L U R2 F2 U2
F' L U F2 R2 U2
F' L U' D2 L2 B2
F' L U' D2 B2 L2
F' L D R2 B2 U'
F' L D B2 R2 U'
F' L D2 U' L2 B2
F' L D2 U' B2 L2
D2 L F' U' L B'
F R2 U' L F2 U'
F R2 U' F2 L U'
L D F' R B2 U'
L D F' B2 R U'
L D B2 F' R U'
F' D L R2 B2 U'
F' D L B2 R2 U'
F' D R2 L B2 U'
F' D2 L U' L B2
F' L R U R F2 U2
F' L R U F2 U2 L'
D2 L R U' L B' R'
F' L R' U R' F2 U2
F' L R' U F2 R' U2
F' L R' U' D2 B2 L
F' L R' D2 U' B2 L
F L R2 U' F2 U' F2
F' L U R F2 U2 L'
F' L U R' F2 R' U2
F' L U R2 U2 D2 B2
F' L U R2 D2 U2 B2
F' L U R2 F2 U2 D
F' L U R2 F2 U2 D'
F' L U R2 F2 U2 D2
F' L U R2 F2 D U2
F' L U R2 F2 D' U2
F' L U R2 F2 D2 U2
F' L U F R2 F U2
F' L U F' R2 U2 B
F' L U F2 R2 U2 D
F' L U F2 R2 U2 D'
F' L U F2 R2 U2 D2
F' L U F2 R2 D U2
F' L U F2 R2 D' U2
F' L U F2 R2 D2 U2
F' L U F2 U2 D2 L2
F' L U F2 D2 U2 L2
F' L U' L D2 L2 B2
F' L U' L D2 B2 L2
F' L U' L' D2 L2 B2
F' L U' L' D2 B2 L2
F' L U' L2 D2 L2 B2
F' L U' L2 D2 B2 L2
F' L U' D2 L' B2 L'
F' L U' D2 L2 B2 D
F' L U' D2 L2 B2 D'
F' L U' D2 L2 B2 D2
F' L U' D2 B L2 B
F' L U' D2 B2 L2 D
F' L U' D2 B2 L2 D'
F' L U' D2 B2 L2 D2
F' L U' B D2 L2 B2
F' L U' B D2 B2 L2
F' L U' B' D2 L2 B2
F' L U' B' D2 B2 L2
F' L U' B2 D2 L2 B2
F' L U' B2 D2 B2 L2
F' L U2 D' L2 F2 U
F' L U2 D' F2 L2 U
F' L D R B2 R U'
F' L D R2 U' D L2
F' L D R2 D U' L2
F' L D R2 B2 U' D
F' L D R2 B2 U' D'
F' L D R2 B2 U' D2
F' L D R2 B2 D U'
F' L D R2 B2 D' U'
F' L D R2 B2 D2 U'
D2 L D F' R U' L
U' L D F' R B2 U'
U2 L D F' R B2 U'
U' L D F' B2 R U'
D L D F' R U' L2
U2 L D F' B2 R U'
F' L D B' R2 B' U'
U L D F' R B2 U'
F' L D B2 R2 U' D
F' L D B2 R2 U' D'
F' L D B2 R2 U' D2
F' L D B2 R2 D U'
F' L D B2 R2 D' U'
F' L D B2 R2 D2 U'
F' L D B2 U' D B2
F' L D B2 D U' B2
U L D F' B2 R U'
U' L D B2 F' R U'
U2 L D B2 F' R U'
U L D B2 F' R U'
F' L D' U2 L2 F2 U
F' L D' U2 F2 L2 U
F' L D2 R U' L2 B2
F' L D2 R U' B2 L2
F' L D2 R' U' L2 B2
F' L D2 R' U' B2 L2
F' L D2 R2 U' L2 B2
F' L D2 R2 U' B2 L2
F' L D2 U' L' B2 L'
F' L D2 U' L2 B2 D
F' L D2 U' L2 B2 D'
F' L D2 U' L2 B2 D2
F' L D2 U' B L2 B
F' L D2 U' B2 L2 D
F' L D2 U' B2 L2 D'
F' L D2 U' B2 L2 D2
F' L D2 B U' L2 B
F' L D2 B U' B L2
F' L D2 B' U' B' L2
D2 L F' R U' L B'
D2 L F' R' U' L B'
D2 L F' R2 U' L B'
D2 L F' U' L D B'
D2 L F' U' L D' B'
D2 L F' U' L D2 B'
D2 L F' U' L B' D
D2 L F' U' L B' D'
D2 L F' U' L B' D2
F L F2 U R2 F2 U2
F L F2 U F2 R2 U2
F L F2 U' D2 L2 B2
F L F2 U' D2 B2 L2
F L F2 D R2 B2 U'
F L F2 D B2 R2 U'
F L F2 D2 U' L2 B2
F L F2 D2 U' B2 L2
F' L B U R2 F2 U2
F' L B U F2 R2 U2
F' L B U' D2 L2 B2
F' L B U' D2 B2 L2
F' L B D R2 B2 U'
F' L B D B2 R2 U'
F' L B D2 U' L2 B2
F' L B D2 U' B2 L2
F' L B' U R2 F2 U2
F' L B' U F2 R2 U2
F' L B' U' D2 L2 B2
F' L B' U' D2 B2 L2
F' L B' D R2 B2 U'
F' L B' D B2 R2 U'
F' L B' D2 U' L2 B2
F' L B' D2 U' B2 L2
F' L B2 U R2 F2 U2
F' L B2 U F2 R2 U2
F' L B2 U' D2 L2 B2
F' L B2 U' D2 B2 L2
F' L B2 D R2 B2 U'
F' L B2 D B2 R2 U'
F' L B2 D2 U' L2 B2
F' L B2 D2 U' B2 L2
D L B2 D F' R U'
F L' R2 U' L2 F2 U'
F L' R2 U' F2 L2 U'
F L' R2 U2 D R2 F2
F L' R2 U2 D F2 R2
F L' R2 D U2 R2 F2
F L' R2 D U2 F2 R2
F L' R2 D' L2 B2 U2
F L' R2 D' B2 L2 U2
F' L' D R2 B2 U' F2
F' L' D B2 R2 U' F2
F L2 R2 U' L' F2 U'
F' L2 D L' R2 B2 U'
F' L2 D L' B2 R2 U'
F' L2 D R2 L' B2 U'
F' L2 D R2 B2 L' U'
