D' L' F U2 F'
U2 L' U2 D' L B'
D' L' D F U2 F'
D' L' D' F U2 F'
U2 L' D' U2 L B'
D' L' D2 F U2 F'
D' L' F U2 D F'
D' L' F U2 D' F'
D' L' F U2 D2 F'
D' L' F U2 F' D
D' L' F U2 F' D'
D' L' F U2 F' D2
D' L' F D U2 F'
D' L' F D' U2 F'
D' L' F D2 U2 F'
D' L' F B U2 F'
D' L' F B' U2 F'
D' L' F B2 U2 F'
D' L' B F U2 F'
D' L' B' F U2 F'
D' L' B2 F U2 F'
F U L' B' U F'
U2 D' L' F U2 L
D' U2 L' F U2 L
L' F U L' U F'
L' F' U' R U' F
B' D' L' F U2 F'
B2 D' L' F U2 F'
B D' L' F U2 F'
D' B L' F U2 F'
D' B' L' F U2 F'
D' B2 L' F U2 F'
D' L R2 D2 R2 B' L2
D' L R2 D2 B' L2 R2
D' L R2 D2 B' R2 L2
D' L R2 B' D2 L2 R2
D' L R2 B' D2 R2 L2
L2 R D B2 L R' B
L2 R D B2 R' L B
D' L U2 L2 U2 L2 B'
D' L U2 L2 F U2 L2
L2 R D' B2 L R' B'
L2 R D' B2 R' L B'
D' L U2 D2 B' R2 F'
D' L U2 B' D2 R2 F'
D' L D2 R2 D2 B' L2
D' L D2 R2 B' D2 L2
D' L D2 U2 B' R2 F'
D' L D2 B' R2 D2 L2
D' L F L2 F U2 F2
D' L F' L2 F B' U2
D' L F' L2 B' F U2
D' L F2 L2 F U2 F
L2 R B2 L D R' B
L2 R B2 R' D' L B'
L2 R B2 D L R' B
L2 R B2 D R' L B
L2 R B2 D' L R' B'
L2 R B2 D' R' L B'
D' L B' R2 D2 L2 R2
D' L B' R2 D2 R2 L2
D' L B' U2 L2 U2 L2
D' L B' D2 R2 D2 L2
U2 L' R U2 D' L B'
U2 L' R D' U2 L B'
R' L' D R F' U2 F
L' R' D R F' U2 F
D L' R F' R' U2 F
U2 L' R' U2 D' L B'
U2 L' R' D' U2 L B'
U2 L' R2 U2 D' L B'
D' L' R2 F R2 B U2
U2 L' R2 D' U2 L B'
U2 L' U F L' U L2
U2 L' U2 D' L D B'
U2 L' U2 D' L D' B'
U2 L' U2 D' L D2 B'
U2 L' U2 D' L B' D
U2 L' U2 D' L B' D'
U2 L' U2 D' L B' D2
U2 L' D R F' U2 L
U2 L' D R' U2 L B
D' L' D F U2 D F'
D' L' D F U2 D' F'
D' L' D F U2 D2 F'
D' L' D F U2 F' D
D' L' D F U2 F' D'
D' L' D F U2 F' D2
D' L' D F D U2 F'
D' L' D F D' U2 F'
D' L' D F D2 U2 F'
D' L' D F B U2 F'
D' L' D F B' U2 F'
D' L' D F B2 U2 F'
D' L' D B F U2 F'
D' L' D B' F U2 F'
D' L' D B2 F U2 F'
U2 L' D' R U2 L B'
U2 L' D' R' U2 L B'
U2 L' D' R2 U2 L B'
D' L' D' F U2 D F'
D' L' D' F U2 D' F'
D' L' D' F U2 D2 F'
D' L' D' F U2 F' D
D' L' D' F U2 F' D'
D' L' D' F U2 F' D2
D' L' D' F D U2 F'
D' L' D' F D' U2 F'
D' L' D' F D2 U2 F'
D' L' D' F B U2 F'
D' L' D' F B' U2 F'
D' L' D' F B2 U2 F'
U2 L' D' U2 L D B'
U2 L' D' U2 L D' B'
U2 L' D' U2 L D2 B'
U2 L' D' U2 L B' D
U2 L' D' U2 L B' D'
U2 L' D' U2 L B' D2
U2 L' D' F U2 L B'
D' L' D' B F U2 F'
U2 L' D' F' U2 L B'
D' L' D' B' F U2 F'
U2 L' D' F2 U2 L B'
D' L' D' B2 F U2 F'
D' L' D2 F U2 D F'
D' L' D2 F U2 D' F'
D' L' D2 F U2 D2 F'
D' L' D2 F U2 F' D
D' L' D2 F U2 F' D'
D' L' D2 F U2 F' D2
D' L' D2 F D U2 F'
D' L' D2 F D' U2 F'
D' L' D2 F D2 U2 F'
D' L' D2 F B U2 F'
D' L' D2 F B' U2 F'
D' L' D2 F B2 U2 F'
D' L' D2 B F U2 F'
D' L' D2 B' F U2 F'
D' L' D2 B2 F U2 F'
D' L' F R2 B R2 U2
D' L' F U' L U' F'
D' L' F U' L' U' F'
D' L' F U' L2 U' F'
B' L' F U L' U F'
D' L' F U2 L' F' L
D' L' F U2 L2 F' L2
D' L' F U2 D F' D
D' L' F U2 D F' D'
D' L' F U2 D F' D2
D' L' F U2 D' F' D
D' L' F U2 D' F' D'
D' L' F U2 D' F' D2
D' L' F U2 D2 F' D
D' L' F U2 D2 F' D'
D' L' F U2 D2 F' D2
D' L' F U2 F2 D F
D' L' F U2 F2 D' F
D' L' F U2 F2 D2 F
U2 L' F U L' U L2
D' L' F D U2 F' D
D' L' F D U2 F' D'
D' L' F D U2 F' D2
B2 L' F U L' U F'
D' L' F D B U2 F'
D' L' F D B' U2 F'
D' L' F D B2 U2 F'
D' L' F D' U2 F' D
D' L' F D' U2 F' D'
D' L' F D' U2 F' D2
D' L' F D' B U2 F'
D' L' F D' B' U2 F'
D' L' F D' B2 U2 F'
U2 L' F U2 L D' B2
B L' F U L' U F'
D' L' F D2 U2 F' D
D' L' F D2 U2 F' D'
D' L' F D2 U2 F' D2
D' L' F D2 B U2 F'
D' L' F D2 B' U2 F'
D' L' F D2 B2 U2 F'
D' L' F B U2 D F'
D' L' F B U2 D' F'
D' L' F B U2 D2 F'
D' L' F B U2 F' D
D' L' F B U2 F' D'
D' L' F B U2 F' D2
D' L' F B D U2 F'
D' L' F B D' U2 F'
D' L' F B D2 U2 F'
D' L' F B' U2 D F'
D' L' F B' U2 D' F'
D' L' F B' U2 D2 F'
D' L' F B' U2 F' D
D' L' F B' U2 F' D'
D' L' F B' U2 F' D2
D' L' F B' D U2 F'
D' L' F B' D' U2 F'
D' L' F B' D2 U2 F'
D' L' F B2 U2 D F'
D' L' F B2 U2 D' F'
D' L' F B2 U2 D2 F'
D' L' F B2 U2 F' D
D' L' F B2 U2 F' D'
D' L' F B2 U2 F' D2
D' L' F B2 D U2 F'
D' L' F B2 D' U2 F'
D' L' F B2 D2 U2 F'
D' L' F' U2 D2 F B2
D' L' F' U2 D2 B2 F
B' L' F' U' R U' F
U2 L' F' U' R U' L
B2 L' F' U' R U' F
D' L' F' D2 U2 F B2
D' L' F' D2 U2 B2 F
B L' F' U' R U' F
D' L' F2 D2 F' B2 U2
D' L' F2 D2 B2 F' U2
D' L' B D F U2 F'
D' L' B D' F U2 F'
D' L' B D2 F U2 F'
D' L' B F U2 D F'
D' L' B F U2 D' F'
D' L' B F U2 D2 F'
D' L' B F U2 F' D
D' L' B F U2 F' D'
D' L' B F U2 F' D2
D' L' B F D U2 F'
D' L' B F D' U2 F'
D' L' B F D2 U2 F'
D' L' B' D F U2 F'
D' L' B' D' F U2 F'
D' L' B' D2 F U2 F'
D' L' B' F U2 D F'
D' L' B' F U2 D' F'
D' L' B' F U2 D2 F'
D' L' B' F U2 F' D
D' L' B' F U2 F' D'
D' L' B' F U2 F' D2
D' L' B' F D U2 F'
D' L' B' F D' U2 F'
D' L' B' F D2 U2 F'
R L2 D B2 L R' B
R L2 D B2 R' L B
D' L' B2 D F U2 F'
D' L' B2 D' F U2 F'
D' L' B2 D2 F U2 F'
D' L' B2 F U2 D F'
D' L' B2 F U2 D' F'
D' L' B2 F U2 D2 F'
D' L' B2 F U2 F' D
D' L' B2 F U2 F' D'
D' L' B2 F U2 F' D2
D' L' B2 F D U2 F'
D' L' B2 F D' U2 F'
D' L' B2 F D2 U2 F'
R L2 D' B2 L R' B'
R L2 D' B2 R' L B'
D' L2 U2 L U2 L' B'
D' L2 D L F U2 F'
D' L2 D' L F U2 F'
R L2 B2 L D R' B
R L2 B2 R' D' L B'
R L2 B2 D L R' B
R L2 B2 D R' L B
R L2 B2 D' L R' B'
R L2 B2 D' R' L B'
D' L2 D2 L F U2 F'
D' L2 F L F U2 F2
D' L2 F2 L F U2 F
U2 R L' U2 D' L B'
U2 R L' D' U2 L B'
D R L' F' R' U2 F
R' U F2 U' L' R B
R' U F2 U' R L' B
R' U F2 U' R B L'
D' R U2 L' R' F U2
D' R U2 L' F R' U2
D' R U2 R' L' F U2
D R U2 L' F' R' U2
U2 R D' L' F U2 L
F2 R F2 D' B2 L B'
F2 R F2 B2 D' L B'
D' R B2 L D2 R2 B'
D' R B2 L D2 B' R2
D' R B2 L B' D2 R2
D R B2 L D2 R2 B
F2 R B2 F2 D' L B'
U2 R' L' U2 D' L B'
U2 R' L' D' U2 L B'
R' U' F2 U L' R B'
R' U' F2 U L' B' R
R' U' F2 U R L' B'
F2 R' U F2 L' R2 B'
F2 R' U F2 L' B' R2
F2 R' U F2 R2 L' B'
D' R' U2 L' R F U2
D' R' U2 R L' F U2
U2 R' D' L' F U2 L
R' U2 L' D R F' U2
R U2 L' D R' U2 B
R' U2 R D' L' F U2
U' R' F2 L' U' R B
D R' F2 L' B R F2
D R' F2 B L' R F2
D R' F2 B R L' F2
R U2 R' D' L' F U2
D R' B U2 L' R U2
D R' B U2 R L' U2
R' U2 D L' R F' U2
R' U2 D R L' F' U2
R2 U2 R2 D' L' F U2
D R' B F2 L' R F2
D R' B F2 R L' F2
R' U2 D' L' R F U2
R' U2 D' R L' F U2
R U2 D L' R' U2 B
L2 U2 D' L U2 B' L'
R U2 D R' L' U2 B
D' R2 L D2 R2 B' L2
D' R2 L D2 B' L2 R2
D' R2 L D2 B' R2 L2
R U2 D' L' R' F U2
R U2 D' L' F R' U2
R U2 D' R' L' F U2
D' R2 L B' D2 L2 R2
D' R2 L B' D2 R2 L2
D' R2 L' F R2 B U2
U2 R2 L' U2 D' L B'
U2 R2 L' D' U2 L B'
D' R2 U2 L' R2 F U2
D' R2 U2 L' F R2 U2
D' R2 U2 R2 L' F U2
D R2 U2 L' R2 U2 B'
D R2 U2 R2 L' U2 B'
U2 R2 D' L' F U2 L
D' R2 D2 L2 B2 R' B
R' D L' R F' U2 F
R' D R L' F' U2 F
L' D R F' R' U2 F
R D L2 B2 L R' B
R D L2 B2 R' L B
D R2 F2 R F2 L' B
D R2 F2 R F2 B L'
D R2 F2 R B F2 L'
R' D U2 L' R F' U2
R' D U2 R L' F' U2
U2 D L' R F' U2 L
F2 U L' U R F2 B'
F2 U L' U R B' F2
U2 D L' R' U2 L B
F2 U L' U B' R F2
R D U2 L' R' U2 B
R D U2 R' L' U2 B
U2 D L' U2 D2 L B'
U2 D L' D2 U2 L B'
F U L' D B' U F'
F U L' D' B' U F'
F U L' D2 B' U F'
F U L' B' U D F'
F U L' B' U D' F'
F U L' B' U D2 F'
F U L' B' U F' D
F U L' B' U F' D'
F U L' B' U F' D2
F U L' B' D U F'
F U L' B' D' U F'
F U L' B' D2 U F'
U2 D R L' F' U2 L
U2 D R' L' U2 L B
F U D L' B' U F'
R' D' L' R F U2 F'
F U D' L' B' U F'
L2 D' L F U2 F' B'
L2 D' L F U2 B' F'
L2 D' L F' U2 F B'
L2 D' L F' U2 B' F
L2 D' L F2 U2 F2 B'
L2 D' L F2 U2 B' F2
L' D' L' F L U2 F'
F U D2 L' B' U F'
L2 D' L' F L2 U2 F'
R D' L' R' F U2 F'
R' D' R L' F U2 F'
L2 D' R B2 L R' B'
L2 D' R B2 R' L B'
R D' R' L' F U2 F'
F U B L' B' U F'
U2 D' L' R F U2 L
U2 D' L' R' F U2 L
U2 D' L' R2 F U2 L
U2 D' L' U2 L2 B' L'
U2 D' L' D F U2 L
F U B' L' B' U F'
U2 D' L' D' F U2 L
U2 D' L' D2 F U2 L
U2 D' L' F R U2 L
U2 D' L' F R' U2 L
U2 D' L' F R2 U2 L
U2 D' L' F U2 L D
U2 D' L' F U2 L D'
U2 D' L' F U2 L D2
U2 D' L' F U2 D L
U2 D' L' F U2 D' L
U2 D' L' F U2 D2 L
U2 D' L' F D U2 L
U2 D' L' F D' U2 L
U2 D' L' F D2 U2 L
R' D' U2 L' R F U2
R' D' U2 R L' F U2
F U B2 L' B' U F'
L2 D' U2 L U2 B' L'
U2 D' R L' F U2 L
L2 D' F L U2 F' B'
L2 D' F L U2 B' F'
R D' U2 L' R' F U2
R D' U2 L' F R' U2
R D' U2 R' L' F U2
U2 D' R' L' F U2 L
U2 D' R2 L' F U2 L
F' U' R U' F' R F2
L2 D' F2 L U2 F2 B'
L2 D' F2 L U2 B' F2
F' U' R F' U' R F2
F2 U' R' U' R2 F2 B
F2 U' R' U' R2 B F2
F2 U' R2 U' R' F2 B
F2 U' R2 U' R' B F2
F2 U' R2 U' F2 R' B
F' U' D R F' U' F2
R D' B2 L D2 R2 B'
R D' B2 L D2 B' R2
R D' B2 L B' D2 R2
F' U' F' U' R F2 B
F' U' F' U' R B F2
D' U2 L' R F U2 L
D' U2 L' R' F U2 L
D' U2 L' R2 F U2 L
R2 D2 L2 D' B2 R' B
D' U2 L' U2 L2 B' L'
D' U2 L' D F U2 L
D' U2 L' D' F U2 L
D2 U2 L' U2 D L B'
D' U2 L' D2 F U2 L
D' U2 L' F R U2 L
D' U2 L' F R' U2 L
D' U2 L' F R2 U2 L
D' U2 L' F R2 U2 L
D' U2 L' F U2 L D
D' U2 L' F U2 L D'
D' U2 L' F U2 L D2
D' U2 L' F U2 D L
D' U2 L' F U2 D' L
D' U2 L' F U2 D2 L
D2 U2 L' D U2 L B'
D' U2 L' F D U2 L
D' U2 L' F D' U2 L
D' U2 L' F D2 U2 L
U2 D2 L' U2 D L B'
U2 D2 L' D U2 L B'
D U2 L' R F' U2 L
D U2 L' R' U2 L B
D U2 L' U2 D2 L B'
D U2 L' D2 U2 L B'
D' U2 R L' F U2 L
D' U2 R' L' F U2 L
D U2 R L' F' U2 L
D' U2 R2 L' F U2 L
D U2 R' L' U2 L B
B' U2 L' U2 D' L B'
B' U2 L' D' U2 L B'
B2 U2 L' U2 D' L B'
B2 U2 L' D' U2 L B'
B U2 L' U2 D' L B'
B U2 L' D' U2 L B'
B' U2 D' L' F U2 L
D' F L U2 F' B' R'
D' F L U2 B' F' R'
B2 U2 D' L' F U2 L
L2 F L U L2 U F'
L2 F L U2 D' F' B2
L2 F L U2 D' B2 F'
L2 F L U2 F' D' B2
L2 F L D F2 U2 F
L2 F L D' U2 F' B2
L2 F L D' U2 B2 F'
