D L B' L2 F U F
D L' U2 F B2 U' F
D L' U2 B2 F U' F
B' L' D' F2 R B2 U
B' L' D' F2 B2 R U
B L' D' F2 R U R2
B' L' D' B2 F2 R U
L' U2 D L' F B2 U'
L' U2 D L' B2 F U'
L' U2 D B2 L' F U'
L' D L' F B2 R' U'
L' D L' B2 R' F U'
L' D L' B2 F R' U'
L' D U2 L' F B2 U'
L' D U2 L' B2 F U'
L' D U2 B2 L' F U'
L' D' R' F2 B R U
L' D' R' B F2 R U
L' D' R2 F2 R B U
L' D' F2 R U2 F' U'
L' D' F2 R' B R2 U
B D F2 R' D L2 B2
B D F2 R' D B2 L2
B D2 L' R2 U L' R
B D2 L' R2 U R L'
B D2 R2 L' U L' R
B D2 R2 L' U R L'
L' B D' F2 R U R2
F2 B R' D F2 B2 L
F2 B R' D B2 L F2
F2 B R' D B2 F2 L
B F2 R' D F2 B2 L
B F2 R' D B2 L F2
B F2 R' D B2 F2 L
