U' L U' B2 R' F' L'
B L B2 U' R' F B'
B L B2 U' R' B' F
B L B2 U' F R' B'
B' L' U B' L' F U2
U2 L2 U F R U B2
L2 U F L' U F B2
L2 U F L' U B2 F
L U F B L B R'
L U B F L B R'
L U B2 R' D2 F L'
L U B2 D2 R' F L'
L U B2 D2 F L' R'
L U B2 D2 F R' L'
L U' F R2 B2 L R'
L U' F R2 B2 R' L
L U' F B2 R' D2 L2
L U' F' B2 L' R' F2
L U' F' B2 L' F2 R'
L U' F' B2 R' L' F2
L U' B2 R' F' L' F2
L U' B2 F R' D2 L2
L U' B2 F' L' R' F2
L U' B2 F' L' F2 R'
L U' B2 F' R' L' F2
L U2 B2 R' F D' L2
D' R2 B' L U' F R
B2 U D F2 B L U'
B2 U D B L F2 U'
B2 U D B F2 L U'
B2 U D2 B L U' R2
B2 U B L U L U2
B2 U B D L F2 U'
B2 U B D F2 L U'
B2 U B D2 L U' R2
B2 U2 L2 U' B L U'
L2 F L' U F B2 R'
L2 F L' U B2 R' F
L2 F L' U B2 F R'
B2 D U F2 B L U'
B2 D U B L F2 U'
B2 D U B F2 L U'
B2 D2 L R2 F D' L2
L F2 U' F' B2 L' R'
L F2 U' F' B2 R' L'
L F2 U' B2 F' L' R'
L F2 U' B2 F' R' L'
B2 D2 R2 L F D' L2
B2 D2 U B L U' R2
U B L B2 U' R' B'
L B U F B L R'
L B U F B R' L
L B U B R' F L
L B U B F L R'
L B U B F R' L
D' B' L R2 U' F R
D' B' R2 L U' F R
