U2 L' R2 B' U' R'
U2 L' B' R2 U' R
U2 R2 L' B' U' R'
L' R B R F U' R
U2 L' R B' R U' R2
U2 L' R2 D B' U' R'
U2 L' R2 D' B' U' R'
U2 L' R2 D2 B' U' R'
R2 L' D' F U' L' R
R2 L' D' F U' R L'
U2 L' R2 F B' U' R'
U2 L' R2 F' B' U' R'
U2 L' R2 F2 B' U' R'
U2 L' R2 B' U' R' D
U2 L' R2 B' U' R' D'
U2 L' R2 B' U' R' D2
U2 L' R2 B' U' D R'
U2 L' R2 B' U' D' R'
U2 L' R2 B' U' D2 R'
U2 L' R2 B' D U' R'
U2 L' R2 B' D' U' R'
U2 L' R2 B' D2 U' R'
U2 L' R2 B' F U' R'
U2 L' R2 B' F' U' R'
U2 L' R2 B' F2 U' R'
U2 L' D B' U' R' B'
R L' B R F U' R
D2 L' F U' R B L
U2 L' F R2 B' U' R'
U2 L' F B' R2 U' R
U2 L' F' R2 B' U' R'
U2 L' F' B' R2 U' R
U2 L' F2 R2 B' U' R'
U2 L' F2 B' R2 U' R
U2 L' B R2 B2 U' R'
U2 L' B' R2 U' R D
U2 L' B' R2 U' R D'
U2 L' B' R2 U' R D2
U2 L' B' R2 U' D R
U2 L' B' R2 U' D' R
U2 L' B' R2 U' D2 R
U2 L' B' R2 D U' R
U2 L' B' R2 D' U' R
U2 L' B' R2 D2 U' R
U2 L' B' U' D R' B2
U2 L' B' D U' R' B2
U2 L' B' F R2 U' R
U2 L' B' F' R2 U' R
U2 L' B' F2 R2 U' R
L' R2 D' F U' L' R
L' R2 D' F U' R L'
U L' B2 R2 F' U' L'
U2 R L' B' R U' R2
F R B R U' R' F'
U2 R2 L' D B' U' R'
U2 R2 L' D' B' U' R'
U2 R2 L' D2 B' U' R'
U2 R2 L' F B' U' R'
U2 R2 L' F' B' U' R'
U2 R2 L' F2 B' U' R'
U2 R2 L' B' U' R' D
U2 R2 L' B' U' R' D'
U2 R2 L' B' U' R' D2
U2 R2 L' B' U' D R'
U2 R2 L' B' U' D' R'
U2 R2 L' B' U' D2 R'
U2 R2 L' B' D U' R'
U2 R2 L' B' D' U' R'
U2 R2 L' B' D2 U' R'
U2 R2 L' B' F U' R'
U2 R2 L' B' F' U' R'
U2 R2 L' B' F2 U' R'
U2 R2 D L' B' U' R'
U2 R2 D' L' B' U' R'
U2 R2 D2 L' B' U' R'
U2 D L' B' U' R' B'
R2 D' L' F U' L' R
R2 D' L' F U' R L'
D U2 L' B' U' R' B'
B' U2 L' R2 B' U' R'
B2 U2 L' R2 B' U' R'
B' U2 L' B' R2 U' R
B2 U2 L' B' R2 U' R
B U2 L' R2 B' U' R'
B U2 L' B' R2 U' R
B' U2 R2 L' B' U' R'
B2 U2 R2 L' B' U' R'
B U2 R2 L' B' U' R'
L' F R B R U' R'
R2 F2 U2 R F' U R
R B L' R F U' R
R B R L' F U' R
U2 B' L' R2 B' U' R
U2 B' R2 L' B' U' R
