F2 L D' B2 R' F' L'
F2 L2 U L F R U
F L2 U2 D' L F B'
F L2 U2 D' L B' F
F L2 D' U2 L F B'
F L2 D' U2 L B' F
R U L2 D2 B R' U2
R U D2 B R' U2 R'
D2 R U B R' U2 R2
R U B2 L2 U2 F L'
L2 U' R U' L F L'
R U' R2 F L' F2 R
R U' F D2 L' R2 F'
R U' F D2 R2 L' F'
R U' F2 D2 R2 F' L'
R U' B L2 F U2 L'
D R' F2 B R2 U' F
D R' B F2 R2 U' F
R D2 U B R' U2 R'
R' F L' F2 D R B2
R' F L' F2 D B2 R
R' F R2 U' L' F2 R
R F U B L2 U2 L
R F U' D2 L' R2 F'
R F U' D2 R2 L' F'
R F D2 U' L' R2 F'
R F D2 U' R2 L' F'
R F' U L2 B R U2
R F' U B L2 R U2
R F' U B R L2 U2
R' F' D2 R2 D' B2 L
R B2 U L2 U2 F L'
