R2 U L B R' D B2
L U' B R2 U R B
D2 R' F' L2 U' L' R
D2 R' F' L2 U' R L'
R2 U2 D' R F' U' L
B R2 U R B' L B2
B R2 U B' L R B
B R2 U B' R L B
B R2 U B2 R B L
R2 D' U2 R F' U' L
L D2 F' R D F2 B2
L D2 F' R D B2 F2
D2 F' L2 R' U' L' R2
D2 F' L2 R' U' R2 L'
D2 F' R D L F2 B2
D2 F' R D L B2 F2
D2 F' R D F2 L B2
D2 F' R' L2 U' L' R2
D2 F' R' L2 U' R2 L'
R2 F2 L' B U L2 R'
R2 F2 L' B U R' L2
L' B R2 U L2 R B
L' B R2 U R L2 B
L' B R2 U R B L2
L2 B R2 U L' R B
L2 B R2 U R L' B
L2 B R2 U R B L'
L B' D' F2 B2 R' B
L B' D' B2 R' F2 B
L B' D' B2 R' B F2
L B' D' B2 F2 R' B
D B2 R' U L B' U
