B2 L F L2 U' B
B2 L' U' B D' R2
B2 L' U2 B' U B2
B' U B' L' U' R'
D2 F2 R U B' R'
U B2 L' U' B R'
B2 L D F U' F B
B2 L D F U' B F
F' L F L' B2 U' B
B2 L F L2 U' D B
B2 L F L2 U' D' B
B2 L F L2 U' D2 B
B2 L F L2 U' B D
B2 L F L2 U' B D'
B2 L F L2 U' B D2
B2 L F L2 D U' B
B2 L F L2 D' U' B
B2 L F L2 D2 U' B
B L F L2 B U' B
B2 L F U' D F2 B
B2 L F U' D B F2
B2 L F U' B D F2
B2 L F D U' F2 B
B2 L F D U' B F2
F' L F B2 L' U' B'
B L F B L2 U' B
B2 L F' L2 F2 U' B
B2 L F2 L2 F' U' B
B L B F L2 U' B
F' L B2 F L' U' B'
B2 L' U' D B D' R2
B2 L' U' D' B D' R2
B2 L' U' D2 B D' R2
B2 L' U' B R D' R2
B2 L' U' B R' D' R2
B2 L' U' B R2 D' R2
B2 L' U' B U' B2 U
B2 L' U' B D' R2 D
B2 L' U' B D' R2 D'
B2 L' U' B D' R2 D2
B2 L' U2 D B' U B2
B2 L' U2 D' B' U B2
B2 L' U2 D2 B' U B2
B2 L' U2 B' L U B2
B2 L' U2 B' L' U B2
B2 L' U2 B' L2 U B2
B2 L' U2 B' U B2 D
B2 L' U2 B' U B2 D'
B2 L' U2 B' U B2 D2
B2 L' U2 B' D L2 U
B2 L' D U' B D' R2
B2 L' D U2 B' U B2
B2 L' D' U' B D' R2
B2 L' D' U2 B' U B2
B2 L' D2 U' B D' R2
B2 L' D2 U2 B' U B2
B2 L' F U' B D' R2
B2 L' F U2 B' U B2
B2 L' F' U' B D' R2
B2 L' F' U2 B' U B2
B2 L' F2 U' B D' R2
B2 L' F2 U2 B' U B2
B L' B U' D' B R2
B L' B U2 B2 U B'
B L' B D' U' B R2
B L' B D2 F2 U' B
B2 L2 D' L U' B R'
F2 R U D B' L2 R'
F2 R U D B' R' L2
B' R U B' L' U' R'
R' U B2 L' U' B R'
F2 R D U B' L2 R'
F2 R D U B' R' L2
R2 U B2 L' U' B R'
R U B2 L' U' B R'
F2 R D2 F2 U B' R'
D2 R F2 R U B' R'
U R B2 L' U' B R'
L U' F L2 R B2 U'
L U' F L2 B2 R U'
L U' F R L2 B2 U'
L U' F R B2 L2 U'
L U' F B2 L2 R U'
L U' F B2 R L2 U'
B' R' U B' L' U' R'
L U' B2 F L2 R U'
L U' B2 F R L2 U'
D2 R' F2 R U B' R'
U2 R' B2 L' F' U' B
U R' B2 L' U' B R'
B' R2 U B' L' U' R'
D2 R2 F2 R U B' R'
F2 R2 B2 L F U' B
U R2 B2 L' U' B R'
B' U D B' L' U' R'
B' U D' B' L' U' R'
B' U D2 B' L' U' R'
B' U F B' U' R' F'
B' U B' L' U' R' D
B' U B' L' U' R' D'
B' U B' L' U' R' D2
B' U B' L' U' D R'
B' U B' L' U' D' R'
B' U B' L' U' D2 R'
B' U B' L' D U' R'
B' U B' L' D' U' R'
B' U B' L' D2 U' R'
B' U B' L' F U' R'
B' U B' L' F' U' R'
B' U B' L' F2 U' R'
B' U B' D L' U' R'
B' U B' D' L' U' R'
B' U B' D2 L' U' R'
B' U B' F U' R' F'
B' U B2 L' B U' R'
R' D2 F2 R U B' R'
D2 U2 F2 R B U B2
U2 D2 F2 R B U B2
R2 D2 F2 R U B' R'
R D2 F2 R U B' R'
L F L' B2 L' U' B
B2 D L F L2 U' B
B2 D L' U' B D' R2
B2 D L' U2 B' U B2
F2 D R U B' L2 R'
F2 D R U B' R' L2
B' D U B' L' U' R'
U F B2 U' B R' F'
B2 D' L F L2 U' B
B2 D' L' U' B D' R2
B2 D' L' U2 B' U B2
B' D' U B' L' U' R'
D2 F2 R U R B' R'
D2 F2 R U R' B' R'
D2 F2 R U R2 B' R'
D2 F2 R U D B' R'
D2 F2 R U D' B' R'
D2 F2 R U D2 B' R'
D2 F2 R U B' R' D
D2 F2 R U B' R' D'
D2 F2 R U B' R' D2
D2 F2 R U B' D R'
D2 F2 R U B' D' R'
D2 F2 R U B' D2 R'
D2 F2 R D U B' R'
D2 F2 R D' U B' R'
D2 F2 R D2 U B' R'
D F2 R U B' L2 R'
D F2 R U B' R' L2
D2 F2 U B' R' D' F2
B2 D2 L F L2 U' B
D2 F2 D R U B' R'
B2 D2 L' U' B D' R2
B2 D2 L' U2 B' U B2
D2 F2 D' R U B' R'
D2 F2 D2 R U B' R'
F2 D2 R F2 U B' R'
B' D2 U B' L' U' R'
L' B D' B R' U' R'
B2 F' L F L' U' B
U B' R' U B' L' U'
R' B' U B' L' U' R'
R2 B' U B' L' U' R'
R B' U B' L' U' R'
R' B2 L F L2 U' B
R' B2 L' U' B D' R2
U' B2 L' F U' B R
R' B2 L' U2 B' U B2
R2 B2 L F L2 U' B
U2 B2 L' U' B' R' B2
R2 B2 L' U' B D' R2
R2 B2 L' U2 B' U B2
F' B2 L F L' U' B
R B2 L F L2 U' B
U B2 L' U' B R' D
U B2 L' U' B R' D'
U B2 L' U' B R' D2
U B2 L' U' B D R'
U B2 L' U' B D' R'
U B2 L' U' B D2 R'
U B2 L' F U' B R'
U B2 L' F' U' B R'
U B2 L' F2 U' B R'
R B2 L' U' B D' R2
R B2 L' U2 B' U B2
L' B2 R2 D F' R U'
L' B2 U2 L B U B2
L' B2 U2 B L U B'
L' B2 D R2 F' R U'
U B2 D L' F U' B
U B2 F U' B R' F'
