L' U B' R2 F' U'
U2 L' R U' B R U'
B' L' U B' R2 F' U'
B2 L' U B' R2 F' U'
B L' U B' R2 F' U'
U2 L' U' R2 B U' L
U2 L' U' B R2 U' L
D' L' F2 U' B' U' F2
F2 L' B' R2 U' R' F2
F2 L' B' R2 U' F2 R'
L' U R2 B' U2 B U
D L2 B' D' B' L R'
D L2 B' D' B' R' L
U2 R L' U' B R U'
L' U F B' R2 F' U'
L' U F' B' R2 F' U'
L' U F2 B' R2 F' U'
L' U B' R2 D F' U'
L' U B' R2 D' F' U'
L' U B' R2 D2 F' U'
L' U B' R2 F' U' D
L' U B' R2 F' U' D'
L' U B' R2 F' U' D2
L' U B' R2 F' D U'
L' U B' R2 F' D' U'
L' U B' R2 F' D2 U'
L' U B' F R2 F' U'
L' U B' F' R2 F' U'
L' U B' F2 R2 F' U'
L' U' R2 D' B' U' F2
L' U' R2 D2 B' L2 U'
L' U' R2 B' U' D' F2
L' U' R2 B' U2 R2 U
L' U' R2 B' D' U' F2
L' U' R2 B' D2 L2 U'
L U' D2 F L2 U R2
L U' F D2 L2 U R2
L' U' B' R2 U' D' F2
L' U' B' R2 U2 R2 U
L' U' B' R2 D' U' F2
L' U' B' R2 D2 L2 U'
L2 U2 L U' R2 B' U'
L2 U2 L U' B' R2 U'
L U2 L2 U' R2 B' U'
L U2 L2 U' B' R2 U'
L' U2 R2 B' U' R2 F'
F2 R2 U' R' F' L' F'
F' R2 U' F' L' R F2
F' R2 U' F' R L' F2
F2 R2 U' F' L' F' R'
L' U2 B D L2 F B2
L' U2 B D L2 B2 F
L' U2 B' R2 U' F' R2
F2 R2 F' U' F' L' R'
F2 R2 F' U' F' R' L'
U R2 F2 B U' L R
U R2 F2 B U' R L
U R2 B U L' U2 L2
U R2 B U' L D2 R2
U R2 B F2 U' L R
U R2 B F2 U' R L
U R2 B' U L' R' U2
U R2 B' U R' L' U2
L2 D F B2 L' F' R'
L2 D B' D2 B' L R'
L2 D B' D2 B' R' L
L2 D B2 R' F L' F'
L2 D B2 F L' F' R'
L' D' F2 U' B' U' F2
L D2 R2 U' F L2 U
L D2 U' F L2 U R2
L D2 F L2 U F' R2
L F D2 L2 U F' R2
L' F' U' R2 B' U' F
L' F' U' B' R2 U' F
R2 F' U' F' L' R F2
R2 F' U' F' R L' F2
L2 F' D F B2 L' R'
L2 F' D F B2 R' L'
L2 F' D B2 R' F L'
L2 F' D B2 F L' R'
L2 F' D B2 F R' L'
R2 F2 L' B' U' R F2
L' F2 U' R2 B' U' F2
L' F2 U' B' R2 U' F2
R2 F2 U' R F' L' F'
U F2 B R2 U' L R'
U F2 B R2 U' R' L
L' B L D L2 B2 R'
L' B L' D B2 L2 R'
L' B L' D B2 R' L2
U B R2 U L' U2 L2
U B R2 U' L D2 R2
U B R2 F2 U' L R
U B R2 F2 U' R L
L' B D L' B2 L' R'
L' B D L' B2 R' L'
L' B D L2 B2 D2 R2
L' B D B2 L2 D2 R2
L' B D' R2 F2 U2 F2
L' B D' F2 R2 U2 F2
U B F2 R2 U' L R'
U B F2 R2 U' R' L
U B' R2 U L' R U2
U B' R2 U R L' U2
U B' R2 F2 U' L' R
U B' R2 F2 U' R L'
