L2 U D R F' U2
L2 U2 F2 U L' B'
L2 D U R F' U2
U D R F' U2 F'
D U R F' U2 F'
L2 R U2 F L' U L
D' L U R B2 U2 B
D L U R F' U2 F'
D' L U' D2 F2 B' L'
D' L U' D2 B' F2 L'
D' L D2 U' F2 B' L'
D' L D2 U' B' F2 L'
L2 R' D R' B2 U' B'
L2 R' D B2 R' U' B
D' L' U R F B2 U2
F2 L' U L' F2 U' B'
D' L' U R B2 F U2
D L' U R F' U2 F'
D' L' U B2 R F U2
L2 R' D2 B R' U' L2
L2 R2 U D R' U2 B
R2 L2 U D R' U2 B
U2 L' F2 R U L' B'
L2 R2 U' D' B2 L B'
R2 L2 U' D' B2 L B'
L2 R2 U' B2 D' L B'
R2 L2 U' B2 D' L B'
R L2 U2 F L' U L
R' L2 D R' B2 U' B'
L2 R2 D U R' U2 B
R2 L2 D U R' U2 B
R' L2 D B2 R' U' B
L2 R2 D' U' B2 L B'
R2 L2 D' U' B2 L B'
L2 R2 D' B2 U' L B'
R2 L2 D' B2 U' L B'
R' L2 D2 B R' U' L2
B' L2 U D R F' U2
D L2 U R F' U2 F'
B2 L2 U D R F' U2
B L2 U D R F' U2
B' L2 U2 F2 U L' B'
B2 L2 U2 F2 U L' B'
B L2 U2 F2 U L' B'
B' L2 D U R F' U2
B2 L2 D U R F' U2
B L2 D U R F' U2
L2 R2 B2 U' D' L B'
R2 L2 B2 U' D' L B'
L2 R2 B2 D' U' L B'
R2 L2 B2 D' U' L B'
F2 L2 F R F U' L
L2 U R F U L' U
L2 U R F' U' R U'
F2 L2 F2 U' D' L B'
F2 L2 F2 D' U' L B'
L2 U R2 D R' U2 B
L2 U D R D F' U2
L2 U D R D' F' U2
L2 U D R D2 F' U2
L2 U D R F' U2 D
L2 U D R F' U2 D'
L2 U D R F' U2 D2
L2 U D R F' D U2
L2 U D R F' D' U2
L2 U D R F' D2 U2
R2 U D R' U2 F2 B
R2 U D R' U2 B F2
R2 U D' B2 U2 L B'
L2 U F' U' R B U'
U' R U2 D R' F2 B
U' R U2 D R' B F2
U' R U2 D F2 R' B
U' R D R' F2 L' B
U' R D R' F2 B L'
U' R D R' B F2 L'
U' R D U2 R' F2 B
U' R D U2 R' B F2
U' R D U2 F2 R' B
U' R D' B2 L U2 B'
F' R F L2 U R U2
F' R F U' D F2 L'
F' R F D U' F2 L'
F' R F' L2 F2 U' L
D R F' U' F U' F2
R U' L2 F' R U' R'
D R F' U2 F' D R2
U R F' U' L2 R U'
U R F' U' R L2 U'
R U' F' L2 R U' R'
R U' F' R L2 U' R'
D R' U R2 F' U2 F'
D R' U' F2 D2 L2 B
D R' U' F2 D2 B L2
D R' U' F2 B D2 L2
D R' U' B F2 D2 L2
D2 R' D B2 L U' B'
L2 U2 L F2 U L' B'
L2 U2 L' F2 U L' B'
L2 U2 L2 F2 U L' B'
L2 U2 F L' F U L'
L2 U2 F D' L' F U
L' U2 F2 R U L' B'
D' R2 U B2 U2 L B'
L2 U2 F2 U L' D B'
L2 U2 F2 U L' D' B'
L2 U2 F2 U L' D2 B'
L2 U2 F2 U L' B' D
L2 U2 F2 U L' B' D'
L2 U2 F2 U L' B' D2
L2 U2 F2 U D L' B'
L2 U2 F2 U D' L' B'
L2 U2 F2 U D2 L' B'
L2 U2 F2 U B L' B'
L2 U2 F2 U B' L' B'
L2 U2 F2 U B2 L' B'
L2 U2 F2 D U L' B'
L2 U2 F2 D' U L' B'
L2 U2 F2 D2 U L' B'
U R2 D R' U2 F2 B
U R2 D R' U2 B F2
L' D L' U R F' U2
L D L U R F' U2
U R2 D' B2 U2 L B'
R' D R' B2 U' F2 B'
R' D R' B2 U' B' F2
L2 D R' U R2 F' U2
L2 D R' U' D2 L2 B
L2 D R' U' D2 B L2
L2 D R' U' B D2 L2
L2 D R' D B2 U' B'
L2 D R' D2 U' L2 B
L2 D R' D2 U' B L2
R D R' U' F2 L' B
R D R' U' F2 B L'
R D R' U' B F2 L'
L2 D U R D F' U2
L2 D U R D' F' U2
L2 D U R D2 F' U2
L2 D U R F' U2 D
L2 D U R F' U2 D'
L2 D U R F' U2 D2
L2 D U R F' D U2
L2 D U R F' D' U2
L2 D U R F' D2 U2
R2 D U R' U2 F2 B
R2 D U R' U2 B F2
F2 U L2 F2 U' L B'
U' D R F' U2 F' R'
D U R D2 F' B2 U2
D U R D2 B2 F' U2
D U R F' U2 D F'
D U R F' U2 D' F'
D U R F' U2 D2 F'
D U R F' U2 F' D
D U R F' U2 F' D'
D U R F' U2 F' D2
D U R F' D U2 F'
D U R F' D' U2 F'
D U R F' D2 U2 F'
D U R F' B U2 F'
D U R F' B' U2 F'
D U R F' B2 U2 F'
D U R B F' U2 F'
U' D R' B R F2 L'
D U R B' F' U2 F'
U D R D2 F' B2 U2
D U R B2 F' U2 F'
U D R D2 B2 F' U2
U D R F' U2 D F'
U D R F' U2 D' F'
U D R F' U2 D2 F'
U D R F' U2 F' D
U D R F' U2 F' D'
U D R F' U2 F' D2
U D R F' D U2 F'
U D R F' D' U2 F'
U D R F' D2 U2 F'
U D R F' B U2 F'
U D R F' B' U2 F'
U D R F' B2 U2 F'
L2 D B U R F' U2
U D R B F' U2 F'
U D R B' F' U2 F'
U D R B2 F' U2 F'
D' U R2 B2 U2 L B'
L2 D B' U R F' U2
R' D B2 R' U' F2 B
R' D B2 R' U' B F2
B' U D R F' U2 F'
F2 U D L' R2 F2 B'
F2 U D L' R2 B' F2
F2 U D L' F2 R2 B'
F2 U D L' F2 B' R2
F2 U D L' B' R2 F2
F2 U D L' B' F2 R2
B2 U D R F' U2 F'
F2 U D R2 L' F2 B'
F2 U D R2 L' B' F2
L2 D B2 U R F' U2
B U D R F' U2 F'
U' D F2 L' R' B R
U' D F2 L2 D2 L B'
U' D F2 R' L' B R
L' D' L' U R F U2
U' D F2 R' B L' R
U' D F2 R' B R L'
L D' L U R U2 B'
U' D F2 D2 L B' L2
D U F2 L' B2 R' B
U D F2 L' B2 R' B
D U B R F' U2 F'
U D B R F' U2 F'
D U B' R F' U2 F'
U D B' R F' U2 F'
D' U B2 D2 R F' U2
D U B2 R F' U2 F'
D' U' L D2 F2 B' L'
D' U' L D2 B' F2 L'
U' D' L D2 F2 B' L'
U' D' L D2 B' F2 L'
U D B2 R F' U2 F'
L2 D' R2 U' B2 L B'
L2 D' R2 B2 U' L B'
U' D' L2 D2 F2 L' B'
D' U' L2 D2 F2 L' B'
R2 D' U B2 U2 L B'
D' U' R B2 L U2 B'
U' D' R B2 L U2 B'
D U' R F' U2 F' R'
D U' R' B R F2 L'
F' U' R F L2 B U'
F' U' R F B L2 U'
F' U' R B F L2 U'
U D' R2 B2 U2 L B'
U' D' F2 L B' L2 F
D' U' F2 L B' L2 F
D U' F2 L' R' B R
D U' F2 L2 D2 L B'
D U' F2 R' L' B R
D U' F2 R' B L' R
D U' F2 R' B R L'
D U' F2 D2 L B' L2
U D' B2 D2 R F' U2
L2 D2 B R' U R2 U2
L2 D2 B R' U' D2 L2
L2 D2 B R' D B2 U'
L2 D2 B R' D2 U' L2
L2 D2 B2 U R U2 B
B' D U R F' U2 F'
F2 D U L' R2 F2 B'
F2 D U L' R2 B' F2
F2 D U L' F2 R2 B'
F2 D U L' F2 B' R2
F2 D U L' B' R2 F2
F2 D U L' B' F2 R2
B2 D U R F' U2 F'
F2 D U R2 L' F2 B'
F2 D U R2 L' B' F2
B D U R F' U2 F'
L2 F' R F U R U2
U F' U' L2 R B U'
U F' U' R L2 B U'
U F' U' R B L2 U'
R F' U' R F L2 U'
U' F2 L' U L' U' B'
D F2 L' R D R2 B
D F2 L' R' D B R2
D F2 L' R' B D R2
D F2 R L' D R2 B
D F2 R D L' R2 B
D F2 R D R2 L' B
D F2 R D R2 B L'
D F2 R' L' D B R2
D F2 R' L' B D R2
D F2 R' D L' B R2
D F2 R' D B L' R2
D F2 R' D B R2 L'
U' F2 U L2 U' L B'
D F2 R' B L' D R2
D F2 R' B D L' R2
D F2 R' B D R2 L'
U2 F2 U D L' F2 B'
U2 F2 U D L' B' F2
U2 F2 D U L' F2 B'
U2 F2 D U L' B' F2
U2 F2 D2 R2 U L' B'
F2 D2 R2 B2 U L' B'
D2 B R' D B2 L U'
L2 B U D R F' U2
F2 D2 B2 R2 U L' B'
D B U R F' U2 F'
L2 B U2 F2 U L' B'
L2 B D U R F' U2
U B D R F' U2 F'
L2 B' U D R F' U2
D B' U R F' U2 F'
L2 B' U2 F2 U L' B'
L2 B' D U R F' U2
U B' D R F' U2 F'
L2 B2 U D R F' U2
