F L2 R2 B' U' R'
F L2 B' R2 U' R
F R2 L2 B' U' R'
R2 F L2 B' U' R'
B' D R' F2 B2 L
B' D R' B2 L F2
B' D R' B2 F2 L
B' D F2 R' B2 L
L2 R2 D' B' U' L2 R'
L2 R2 D' B' U' R' L2
R2 L2 D' B' U' L2 R'
R2 L2 D' B' U' R' L2
F L2 R B' R U' R2
B' L2 R2 U' R D' L2
B' L2 R2 U' D' L2 R
B' L2 R2 U' D' R L2
L2 R2 F U2 F U R
R2 L2 F U2 F U R
B' L2 R2 D' U' L2 R
B' L2 R2 D' U' R L2
B' L2 R2 D2 B2 U' R
B L2 R2 U2 F2 U R
F' L2 R2 B U L U2
F L2 R2 D B' U' R'
F L2 R2 D' B' U' R'
F L2 R2 D2 B' U' R'
F L2 R2 F B' U' R'
F L2 R2 F' B' U' R'
F L2 R2 F2 B' U' R'
F L2 R2 B' U' R' D
F L2 R2 B' U' R' D'
F L2 R2 B' U' R' D2
F L2 R2 B' U' D R'
F L2 R2 B' U' D' R'
F L2 R2 B' U' D2 R'
F L2 R2 B' D U' R'
F L2 R2 B' D' U' R'
F L2 R2 B' D2 U' R'
F L2 R2 B' F U' R'
F L2 R2 B' F' U' R'
F L2 R2 B' F2 U' R'
B' L2 U' D R' B2 L
L2 R2 B D2 B2 U' R'
R2 L2 B D2 B2 U' R'
L2 R2 B' U' R' D' L2
L2 R2 B' U' D' L2 R'
L2 R2 B' U' D' R' L2
R2 L2 B' U' R' D' L2
R2 L2 B' U' D' L2 R'
R2 L2 B' U' D' R' L2
L2 R2 B' U2 F2 U R'
R2 L2 B' U2 F2 U R'
L2 R2 B' D' U' L2 R'
L2 R2 B' D' U' R' L2
B' L2 D U' R' B2 L
R2 L2 B' D' U' L2 R'
R2 L2 B' D' U' R' L2
F L2 D B' U' R' B'
D' L2 D2 F2 B' R' B'
D' L2 D2 B' R' F2 B'
D' L2 D2 B' R' B' F2
D' L2 D2 B' F2 R' B'
F L2 F R2 B' U' R'
B' L2 F' R2 B U' R
F L2 F B' R2 U' R
B2 L2 F' R2 B U' R'
F L2 F' R2 B' U' R'
F L2 F' B' R2 U' R
F L2 F2 R2 B' U' R'
F L2 F2 B' R2 U' R
F L2 B R2 B2 U' R'
F' L2 B' R2 B U' R
F L2 B' R2 U' R D
F L2 B' R2 U' R D'
F L2 B' R2 U' R D2
F L2 B' R2 U' D R
F L2 B' R2 U' D' R
F L2 B' R2 U' D2 R
F L2 B' R2 D U' R
F L2 B' R2 D' U' R
F L2 B' R2 D2 U' R
F L2 B' U' D R' B2
F L2 B' D U' R' B2
F' L2 B2 R2 B U' R'
F L2 B' F R2 U' R
F L2 B' F' R2 U' R
F L2 B' F2 R2 U' R
F R L2 B' R U' R2
D R F2 L' B' R' B'
D R F2 B' R' B' L'
D R B' F2 R' B' L'
D R' F2 B' R' B' L
D R' B' R' F2 B' L
D R' B' R' B' L F2
D R' B' R' B' F2 L
D R' B' F2 R' B' L
B' R2 L2 U' R D' L2
B' R2 L2 U' D' L2 R
B' R2 L2 U' D' R L2
B' R2 L2 D' U' L2 R
B' R2 L2 D' U' R L2
B' R2 L2 D2 B2 U' R
F' R2 L2 B U L U2
B R2 L2 U2 F2 U R
F R2 L2 D B' U' R'
F R2 L2 D' B' U' R'
F R2 L2 D2 B' U' R'
F R2 L2 F B' U' R'
F R2 L2 F' B' U' R'
F R2 L2 F2 B' U' R'
F R2 L2 B' U' R' D
F R2 L2 B' U' R' D'
F R2 L2 B' U' R' D2
F R2 L2 B' U' D R'
F R2 L2 B' U' D' R'
F R2 L2 B' U' D2 R'
F R2 L2 B' D U' R'
F R2 L2 B' D' U' R'
F R2 L2 B' D2 U' R'
F R2 L2 B' F U' R'
F R2 L2 B' F' U' R'
F R2 L2 B' F2 U' R'
B' R2 U' D R F2 L'
D R2 U2 F R F B2
D R2 U2 F R B2 F
D R2 U2 F B2 R F
B' R2 D U' R F2 L'
D R2 U2 B2 F R F
U2 R2 F L2 B' U' R
D R2 F U2 F R B2
D R2 F U2 F B2 R
D R2 F U2 B2 F R
F2 R2 F' L2 B' U' R'
F' R2 B L2 U L' U2
F' R2 B L2 F2 U' R
D R2 B L U2 F2 B
D R2 B L U2 B F2
D2 R2 B' L2 F U R'
D R2 B' R' F2 B' L'
D R2 B' R' B' F2 L'
D R2 B' U2 R' F2 B'
D R2 B' U2 R' B' F2
D R2 B' U2 F2 R' B'
B' U D R' F2 B2 L
B' U D R' B2 L F2
B' U D R' B2 F2 L
B' U D F2 R' B2 L
R2 D' B' U' L2 R' F
R2 D' B' U' L2 F R'
R2 D' B' U' R' L2 F
B' U' D R' F2 B2 L
B' U' D R' B2 L F2
B' U' D R' B2 F2 L
B' U' D F2 R' B2 L
F2 U2 L2 R2 F U' R
F2 U2 L2 F R2 U' R'
F2 U2 R2 L2 F U' R
F2 U2 R2 F L2 U' R
B' U2 D R' F2 B2 L
B' U2 D R' B2 L F2
B' U2 D R' B2 F2 L
B' U2 D F2 R' B2 L
R' F L2 R' B' U' R'
F2 U2 F L2 R2 U' R'
F2 U2 F R2 L2 U' R'
D' F L2 D2 F2 B' R'
D' F L2 D2 B' R' F2
D' F L2 D2 B' F2 R'
R2 F L2 D B' U' R'
R2 F L2 D' B' U' R'
U2 F L2 B' R2 U' R'
R2 F L2 D2 B' U' R'
R2 F L2 F B' U' R'
R2 F L2 F' B' U' R'
R2 F L2 F2 B' U' R'
R2 F L2 B' U' R' D
R2 F L2 B' U' R' D'
R2 F L2 B' U' R' D2
R2 F L2 B' U' D R'
R2 F L2 B' U' D' R'
R2 F L2 B' U' D2 R'
R2 F L2 B' D U' R'
R2 F L2 B' D' U' R'
R2 F L2 B' D2 U' R'
R2 F L2 B' F U' R'
R2 F L2 B' F' U' R'
R2 F L2 B' F2 U' R'
R' F R' L2 B' U' R'
L2 F R2 U2 F U R
D F R2 U2 F R B2
D F R2 U2 F B2 R
D F R2 U2 B2 F R
B' D L R' F2 B2 L
B' D L R' B2 L F2
B' D L R' B2 F2 L
B' D L F2 R' B2 L
B' D L' R' F2 B2 L
B' D L' R' B2 L F2
B' D L' R' B2 F2 L
B D L R2 U2 F2 B2
B D L R2 U2 B2 F2
B' D L' F2 R' B2 L
B' D L2 R' F2 B2 L
B' D L2 R' B2 L F2
B' D L2 R' B2 F2 L
B' D L2 F2 R' B2 L
B' D R F2 L' R2 B2
B' D R F2 L' B2 R2
B' D R F2 R2 L' B2
B' D R F2 R2 B2 L'
B' D R F2 B2 L' R2
B' D R F2 B2 R2 L'
B' D R B2 F2 L' R2
B' D R B2 F2 R2 L'
B' D R' L F2 B2 L
B' D R' L B2 L F2
B' D R' L B2 F2 L
B' D R' L' F2 B2 L
B' D R' L' B2 L F2
B' D R' L' B2 F2 L
B' D R' L2 F2 B2 L
B' D R' L2 B2 L F2
B' D R' L2 B2 F2 L
B' D R' F' B2 L F'
B' D R' F2 L B2 L
B' D R' F2 L' B2 L
B' D R' F2 L2 B2 L
B' D R' F2 B2 L D
B' D R' F2 B2 L D'
B' D R' F2 B2 L D2
B' D R' F2 B2 D L
B' D R' F2 B2 D' L
B' D R' F2 B2 D2 L
B' D R' B2 L F2 D
B' D R' B2 L F2 D'
B' D R' B2 L F2 D2
B' D R' B2 L' F2 L2
B' D R' B2 F' L F'
B' D R' B2 F2 L D
B' D R' B2 F2 L D'
B' D R' B2 F2 L D2
B' D R' B2 F2 D L
B' D R' B2 F2 D' L
B' D R' B2 F2 D2 L
B D R F2 B2 L' R'
B D R F2 B2 R' L'
B' D R2 U2 R F2 B2
B' D R2 U2 R B2 F2
B D R B2 F2 L' R'
B D R B2 F2 R' L'
B' D R2 U2 B2 R F2
D F D2 F L2 B' R'
D' F B' L2 R' F B'
D' F B' L2 R' B' F
D' F B' L2 F R' B'
D' F B' R' L2 F B'
D' F B' R' L2 B' F
B D R' F2 B2 L R'
B D R' F2 B2 R' L
B D R' B2 L R' F2
B D R' B2 L F2 R'
B D R' B2 R' L F2
B D R' B2 R' F2 L
B D R' B2 F2 L R'
B D R' B2 F2 R' L
B' D U R' F2 B2 L
B' D U R' B2 L F2
B' D U R' B2 F2 L
B D R2 L U2 F2 B2
B D R2 L U2 B2 F2
B' D U F2 R' B2 L
B D R2 U2 F2 B2 R'
B D R2 U2 B2 R' F2
B D R2 U2 B2 F2 R'
B' D U' R' F2 B2 L
B' D U' R' B2 L F2
B' D U' R' B2 F2 L
B D R2 B2 R' F2 L'
B' D U' F2 R' B2 L
B' D U2 R' F2 B2 L
B' D U2 R' B2 L F2
B' D U2 R' B2 F2 L
B' D U2 F2 R' B2 L
B' D F R' F B2 L
B' D F R' B2 F L
B' D F2 L R' B2 L
B' D F2 L' R' B2 L
B' D F2 L2 R' B2 L
B' D F2 R' L B2 L
B' D F2 R' L' B2 L
B' D F2 R' L2 B2 L
B' D F2 R' B2 L D
B' D F2 R' B2 L D'
B' D F2 R' B2 L D2
B' D F2 R' B2 D L
B' D F2 R' B2 D' L
B' D F2 R' B2 D2 L
B D F2 R' B2 L R'
B D F2 R' B2 R' L
B D F2 B2 D2 L2 R'
B D F2 B2 D2 R' L2
F2 D B' U R' F2 B'
F2 D B' U R' B' F2
F2 D B' U F2 R' B'
L2 F' R2 B U L U2
D F' R2 B L U2 B
B D B2 R F2 L' R2
B D B2 R F2 R2 L'
B D B2 F2 D2 L2 R'
B D B2 F2 D2 R' L2
B' D' L2 R' D2 F2 B2
B' D' L2 R' D2 B2 F2
B D' L F2 B2 R' U2
B D' L B2 R' F2 U2
B D' L B2 F2 R' U2
B' D' L2 D2 R' F2 B2
B' D' L2 D2 R' B2 F2
B' D' L2 D2 F2 R' B2
B D' L2 D2 F2 R B2
B D' L2 D2 F2 B2 R
B D' L2 D2 B2 F2 R
B' D' R' L2 D2 F2 B2
B' D' R' L2 D2 B2 F2
L2 F' B' R2 B U' R
L2 F' B2 R2 B U' R'
D F' B2 D2 L2 F' R
D F' B2 D2 F' L2 R
D F' B2 D2 F' R L2
B' D' F2 B2 L U2 L
B D' F2 L B2 R' U2
B D' F2 B2 U2 L2 R'
B D' F2 B2 U2 R' L2
D F2 R' B' R' B' L
B' D' B2 L F2 U2 L
B' D' B2 F2 L U2 L
B D' B2 F2 U2 L2 R'
B D' B2 F2 U2 R' L2
F2 D2 L2 R2 B' U R'
F2 D2 L2 B' R2 U R
F2 D2 R2 L2 B' U R'
D' F2 B' U2 L2 R' F
D' F2 B' U2 L2 F R'
D' F2 B' U2 R' L2 F
F2 D2 R2 B' L2 U R'
D F2 B' R' B2 L B
D F2 B' D2 R' B' L2
D B L R2 F' U2 F'
R2 B L2 U2 F2 U R
F2 D2 B' L2 R2 U R
L2 B R2 D2 B2 U' R'
F2 D2 B' R2 L2 U R
D B R2 L F' U2 F'
D B R2 F' L U2 F'
B' F L2 R2 B' U' R
B' F R2 L2 B' U' R
F2 B U D F2 B2 R'
F2 B U D B2 R' F2
F2 B U D B2 F2 R'
D' B' L2 R' D2 F B2
D' B' L2 R' D2 B2 F
D2 B' L2 F R2 U R
D' B' L2 D2 R' F B2
D' B' L2 D2 R' B2 F
D' B' L2 D2 F R' B2
F2 B D U F2 B2 R'
F2 B D U B2 R' F2
F2 B D U B2 F2 R'
R2 B' L2 U' R' D' L2
R2 B' L2 U' D' L2 R'
R2 B' L2 U' D' R' L2
R2 B' L2 U2 F2 U R'
R2 B' L2 D' U' L2 R'
R2 B' L2 D' U' R' L2
D' B' R' L2 D2 F B2
D' B' R' L2 D2 B2 F
D' B' R' F L2 F B'
D' B' R' F L2 B' F
D B' R F2 R2 B' L'
D B' R F2 B' L' R2
D B' R F2 B' R2 L'
D B' R B' F2 L' R2
D B' R B' F2 R2 L'
L2 B' R2 U' R D' L2
L2 B' R2 U' D' L2 R
L2 B' R2 U' D' R L2
L2 B' R2 D' U' L2 R
L2 B' R2 D' U' R L2
D B' R' F2 B2 L B
L2 B' R2 D2 B2 U' R
D B' R' B2 L F2 B
D B' R' B2 L B F2
D B' R' B2 F2 L B
D B' R2 U2 R F2 B'
D B' R2 U2 R B' F2
D B' R2 U2 B' R F2
B' F' L2 R2 B U' R
F' B' L2 R2 B U' R
B2 F' L2 R2 B U' R'
L2 B' U' D R' B2 L
F B' L2 R2 B' U' R
B' F' R2 L2 B U' R
L2 B' D U' R' B2 L
F' B' R2 L2 B U' R
B2 F' R2 L2 B U' R'
B' F' R2 B L2 U' R
F' B' R2 B L2 U' R
B2 F' R2 B L2 U' R'
F2 B' U D R' F2 B2
F2 B' U D R' B2 F2
F2 B' U D F2 R' B2
F B' R2 L2 B' U' R
D' B' F L2 R' F B'
D' B' F L2 R' B' F
D' B' F L2 F R' B'
D' B' F R' L2 F B'
D' B' F R' L2 B' F
D B' D2 R' B' L2 F
F2 B' U2 L2 R2 U' R
F2 B' U2 R2 L2 U' R
L2 B' F' R2 B U' R
D' B' F2 U2 L2 R' F
D' B' F2 U2 L2 F R'
D' B' F2 U2 R' L2 F
F2 B' D U R' F2 B2
F2 B' D U R' B2 F2
F2 B' D U F2 R' B2
D B' F2 R' B2 L B
D B' F2 D2 R' B' L2
F2 B' D2 L2 R2 U R
F2 B' D2 R2 L2 U R
F' B2 L2 R2 B U' R'
F' B2 R2 L2 B U' R'
F' B2 R2 B L2 U' R'
B' F2 U D R' F2 B2
B' F2 U D R' B2 F2
B' F2 U D F2 R' B2
B' F2 U2 L2 R2 U' R
B F2 U D F2 B2 R'
B F2 U D B2 R' F2
B F2 U D B2 F2 R'
B' F2 U2 R2 L2 U' R
B' F2 D U R' F2 B2
B' F2 D U R' B2 F2
B' F2 D U F2 R' B2
B' F2 D2 L2 R2 U R
B F2 D U F2 B2 R'
B F2 D U B2 R' F2
B F2 D U B2 F2 R'
B' F2 D2 R2 L2 U R
L2 B2 F' R2 B U' R'
D B2 F' D2 L2 F' R
D B2 F' D2 F' L2 R
D B2 F' D2 F' R L2
