U' L U2 F B' U'
U' L U2 B' F U'
U' L' F B' L2 U
U' L' B' F L2 U
B D' B2 R' B L
U' L U2 D F B' U'
U' L U2 D B' F U'
U' L U2 D' F B' U'
U' L U2 D' B' F U'
U' L U2 D2 F B' U'
U' L U2 D2 B' F U'
U' L U2 F D B' U'
U' L U2 F D' B' U'
U' L U2 F D2 B' U'
U' L U2 F B' U' D
U' L U2 F B' U' D'
U' L U2 F B' U' D2
U' L U2 F B' D U'
U' L U2 F B' D' U'
U' L U2 F B' D2 U'
U' L U2 B' D F U'
U' L U2 B' D' F U'
U' L U2 B' D2 F U'
U' L U2 B' F U' D
U' L U2 B' F U' D'
U' L U2 B' F U' D2
U' L U2 B' F D U'
U' L U2 B' F D' U'
U' L U2 B' F D2 U'
U' L D U2 F B' U'
U' L D U2 B' F U'
U' L D' U2 F B' U'
U' L D' U2 B' F U'
U' L D2 U2 F B' U'
U' L D2 U2 B' F U'
U' L F' U2 F2 B' U'
U' L F' U2 B' F2 U'
U' L F2 U2 F' B' U'
U' L F2 U2 B' F' U'
U' L B U2 F B2 U'
U' L B U2 B2 F U'
F2 L B' U R' F2 L'
U' L B2 U2 F B U'
U' L B2 U2 B F U'
U' L' D' F B' U B'
U' L' D' B' F U B'
U' L' F L2 U2 F U'
U' L' F D' B' U B'
U' L' F B L2 B2 U
U' L' F B' L2 U D
U' L' F B' L2 U D'
U' L' F B' L2 U D2
U' L' F B' L2 D U
U' L' F B' L2 D' U
U' L' F B' L2 D2 U
U' L' F B' U D' B2
U' L' F B' D' U B2
U' L' F B2 L2 B U
U' L' F' B' L2 F2 U
U' L' F2 B' L2 F' U
D' L' B D' B2 L R'
D' L' B D' B2 R' L
U' L' B F L2 B2 U
U' L' B' L2 U2 B' U'
D' L' B' R' D' L B2
D' L' B' D' L R' B2
D' L' B' D' R' L B2
U' L' B' D' F U B2
U' L' B' F L2 U D
U' L' B' F L2 U D'
U' L' B' F L2 U D2
U' L' B' F L2 D U
U' L' B' F L2 D' U
U' L' B' F L2 D2 U
U' L' B' F U D' B2
U' L' B' F D' U B2
U' L' B' F' L2 F2 U
U' L' B' F2 L2 F' U
U' L' B2 F L2 B U
D' L2 U' L' B' U L
L U R' F' B' U' B
L U R' B' F' U' B
D' L2 B' L R' D' B2
D' L2 B' L D' R' B2
D' L2 B' R' L D' B2
L U B' U' B' R' B2
R' U' L U2 F B' U'
R' U' L U2 B' F U'
R2 U' L U2 F B' U'
R2 U' L U2 B' F U'
B R D' B2 R' B L
R U' L U2 F B' U'
R U' L U2 B' F U'
R' U' L' F B' L2 U
R' U' L' B' F L2 U
L2 U' L' F' B' U L'
R2 U' L' F B' L2 U
L2 U' L' B' F' U L'
R2 U' L' B' F L2 U
R U' L' F B' L2 U
R U' L' B' F L2 U
L' U' F L' B' L' U
B' R' U' L' F U B'
B R' D' B2 R' B L
B R2 D' B2 R' B L
U' D L U2 F U' L'
D2 U B2 R' F' B U'
D2 U B2 R' B F' U'
D U' L U2 F U' L'
D' U' L' B' L2 U L'
U' D' L' B' L2 U L'
B' U' L' F U R' B'
U' F L U2 F B' U'
U' F L U2 B' F U'
U D2 B2 R' F' B U'
U D2 B2 R' B F' U'
U' F L' F B' L2 U
U' F L' B' F L2 U
L' F L2 B' U F' R'
L' F B' L2 U F' R'
U' F' L U2 F B' U'
U' F' L U2 B' F U'
U' F' L' F B' L2 U
U' F' L' B' F L2 U
U2 F' L' U F L2 U
U' F2 L U2 F B' U'
U' F2 L U2 B' F U'
U' F2 L' F B' L2 U
U' F2 L' B' F L2 U
B D' B' L B' R' B
B D' B' D2 L B' R'
B D' B2 L R' B L
B D' B2 L' R' B L
B D' B2 L2 R' B L
B D' B2 R' L B L
B D' B2 R' L' B L
B D' B2 R' L2 B L
B D' B2 R' D B L
B D' B2 R' D' B L
B D' B2 R' D2 B L
B D' B2 R' B L D
B D' B2 R' B L D'
B D' B2 R' B L D2
B D' B2 R' B D L
B D' B2 R' B D' L
B D' B2 R' B D2 L
L F2 B' U R' F2 L'
U' B L' F B' L U
U' B L' B' F L U
L B U B2 U' R' B2
D2 B D B' L B' R'
D' B D B2 L R' B'
D' B D B2 R' L B'
R' B D' B2 R' B L
D' B D' B2 L R' B
D' B D' B2 R' L B
R2 B D' B2 R' B L
R B D' B2 R' B L
L' B' R' U' F L2 U
L' B' U' F L2 U R'
L' B' F L2 U F' R'
L B' F2 U R' F2 L'
D2 B2 U R' B U' R'
L B2 U B U' R' B'
U B2 D2 R' F' B U'
U B2 D2 R' B F' U'
