B2 L D' L2 F U
B2 L' D' F L2 U
B2 L' D2 F U B2
B2 L' F L2 U B'
B2 L' F U' F U2
D' L2 B' U L R2
D' L2 B' U R2 L
F L2 B2 U B L
L D' L2 F U R2
L' D' F L2 U R2
L' F L2 B2 U B
L' F B2 L2 U B'
L' F B2 U' F U2
B' D' B' L2 U L'
D' B' L2 U L' R2
D' B' L2 U R2 L'
L' B2 D' F L2 U
L' B2 D2 F U B2
L' B2 F L2 U B'
L' B2 F U' F U2
B2 L U' F2 U' B' U'
B2 L U2 D R2 B' U'
B2 L U2 D B' R2 U'
B2 L U2 D2 B' U' B'
B2 L U2 B' U F2 U2
B2 L U2 B' U' D2 B2
B2 L U2 B' D R2 U'
B2 L U2 B' D2 U' B2
B2 L D U2 R2 B' U'
B2 L D U2 B' R2 U'
B2 L D' L2 D F U
B2 L D' L2 D' F U
B2 L D' L2 D2 F U
B2 L D' L2 F U D
B2 L D' L2 F U D'
B2 L D' L2 F U D2
B2 L D' L2 F D U
B2 L D' L2 F D' U
B2 L D' L2 F D2 U
B L D' L2 F B U
B L D' L2 B F U
B2 L D' F L2 F U
B2 L D' F' L2 F U
B2 L D' F2 L2 F U
B2 L D2 L2 F U B2
B2 L D2 U2 B' U' B'
B2 L F L2 F U B'
B2 L F2 U2 B' U' B
B L B D2 F2 U B2
F2 L B2 U2 B U' B'
F2 L' U F B2 U F'
F2 L' U B2 F U F'
B2 L' U' F2 U F' U
D' L' D L' F B2 U
D' L' D L' B2 F U
B2 L' D F U D B2
B2 L' D F U2 R2 U'
B2 L' D F D U B2
B2 L' D F D2 L2 U
D' L' D B2 L' F U
B2 L' D' L2 U2 B' U'
F2 L' D' F U R2 B
B2 L' D' F L2 U D
B2 L' D' F L2 U D'
B2 L' D' F L2 U D2
B2 L' D' F L2 D U
B2 L' D' F L2 D' U
B2 L' D' F L2 D2 U
B2 L' D' F U D' B2
B2 L' D' F D' U B2
B2 L' D' F' L2 F2 U
B L' D' F L2 B U
B2 L' D' F2 L2 F' U
B L' D' F B L2 U
B L' D' B F L2 U
B2 L' D2 F L U B2
B2 L' D2 F L' U B2
B2 L' D2 F L2 U B2
B2 L' D2 F U B2 D
B2 L' D2 F U B2 D'
B2 L' D2 F U B2 D2
B2 L' D2 F D L2 U
B L' D2 F B U B
B L' D2 B F U B
B' L' F L2 U B' R'
B2 L' F L2 U D B'
B2 L' F L2 U D' B'
B2 L' F L2 U D2 B'
B2 L' F L2 U B' D
B2 L' F L2 U B' D'
B2 L' F L2 U B' D2
B2 L' F L2 D U B'
B2 L' F L2 D' U B'
B2 L' F L2 D2 U B'
F L' F L' B2 U B
B L' F L2 B U B2
F2 L' F U D' R2 B
B2 L' F U L2 B' L2
F' L' F D' L2 U R2
B2 L' F U' D F U2
B2 L' F U' D' F U2
B2 L' F U' D2 F U2
B2 L' F U' F U2 D
B2 L' F U' F U2 D'
B2 L' F U' F U2 D2
B2 L' F U' F D U2
B2 L' F U' F D' U2
B2 L' F U' F D2 U2
F2 L' F D' U R2 B
B2 L' F D L2 U B'
B2 L' F D U' F U2
B2 L' F D' L2 U B'
B2 L' F D' U' F U2
F' L' F B2 U D2 B2
B2 L' F D2 L2 U B'
F' L' F B2 U' F2 U2
F' L' F B2 D' L2 U
F' L' F B2 D2 U B2
B2 L' F D2 U' F U2
F2 L' F B2 U' F' U2
B L' F B L2 U B'
B L' F B U' F U2
F L' F B2 L' U B'
U' L' F2 U F' B2 U
U' L' F2 U B2 F' U
D' L' B' L' U L2 R2
D' L' B' L' U R2 L2
B L' B D' F L2 U
B L' B D2 F U B2
B L' B F L2 U B'
B L' B F U' F U2
F' L' B2 F U D2 B2
F' L' B2 F U' F2 U2
F' L' B2 F D' L2 U
F' L' B2 F D2 U B2
F2 L' B2 F U' F' U2
F L' B2 F L' U B'
D' L2 U R2 B' L B
F' L2 U D' R2 B L
B2 L2 U D2 B L B
D' L2 U B' L B R2
B2 L2 U B L D2 B2
B2 L2 U B D2 L B2
B2 L2 U B' D2 B2 L
B2 L2 U' F R F U2
D' L2 U2 B' U' L R2
D' L2 U2 B' U' R2 L
B2 L2 D' L F L U
F' L2 D' U R2 B L
B2 L2 D2 L F U B2
B2 L2 D2 U B L B
B L2 D2 B U B L
B2 L2 F U' F R U2
D' L2 F B' U L R2
D' L2 F B' U R2 L
F L2 F B2 U B L
B2 L2 F' U' F' U2 L'
D' L2 F' B' U L R2
D' L2 F' B' U R2 L
F L2 F' B2 U B L
D' L2 F2 B' U L R2
D' L2 F2 B' U R2 L
D' L2 B U' R' U2 R'
F L2 F2 B2 U B L
D' L2 B D B2 U L
D' L2 B' U L R2 D
D' L2 B' U L R2 D'
D' L2 B' U L R2 D2
D' L2 B' U R2 L D
D' L2 B' U R2 L D'
D' L2 B' U R2 L D2
D' L2 B' U R2 D L
D' L2 B' U R2 D' L
D' L2 B' U R2 D2 L
D' L2 B' F U L R2
D' L2 B' F U R2 L
