F L' U' R2 B U'
U2 R2 F' U' R F
B' U2 R2 U' F' R
U2 F' R2 U' R' F
U2 F' R2 U' F R'
D2 B L2 U R' F
D2 B L2 U F R'
U2 L R2 F' U' R F
B' L U2 R2 U' F' R
U2 L F' R2 U' R' F
U2 L F' R2 U' F R'
D' L F2 U F2 B' U
D' L F2 U B' F2 U
D' L B' U' F2 B U2
D' L B' U' B F2 U2
F L' R' U' R' B U'
F L' R2 U' B U' B'
U2 L' R2 F' U' R F
F L' U D F' U B2
F L' U D2 L2 F' U
F L' U D2 F' L2 U
F L' U F' U D B2
F L' U F' U2 R2 U'
F L' U F' D U B2
F L' U F' D2 L2 U
F L' U' R2 D B U'
F L' U' R2 D' B U'
F L' U' R2 D2 B U'
F L' U' R2 B U' D
F L' U' R2 B U' D'
F L' U' R2 B U' D2
F L' U' R2 B D U'
F L' U' R2 B D' U'
F L' U' R2 B D2 U'
F L' U' B R2 B U'
F L' U' B' R2 B U'
F L' U' B2 R2 B U'
B' L' U2 R2 U' F' R
F L' D U F' U B2
F L' D' F2 U F U
F L' D2 U L2 F' U
F L' D2 U F' L2 U
F L' F D R2 U2 B2
F L' F D' F2 U2 L2
U2 L' F' R2 U' R' F
U2 L' F' R2 U' F R'
U2 L2 R2 F' U' R F
F' L2 U' B' R2 U' R'
B' L2 U2 R2 U' F' R
U2 L2 F' R2 U' R' F
U2 L2 F' R2 U' F R'
F' L2 B' R2 U' F' R'
D2 L2 B' U' L B U2
F2 R U F2 L' B' U
B' R U2 R U' F' R
D R U2 F' U' F B2
D R U2 F' U' B2 F
U2 R D R F' U' F
U2 R F' U' R F B
U2 R F' U' R B F
D2 R B L2 U R' F
D2 R B L2 U F R'
F R' L' U' R' B U'
D R' D B L2 U F
U2 R' F' R' U' R2 F
U2 R' F' R' U' F R2
R' U2 R' F' U' R F
D2 R' B L2 U R' F
D2 R' B L2 U F R'
R U2 R F' U' R F
D R' B L2 U F B
D R' B L2 U B F
D R' B U B D2 F2
D R' B U' B' U2 B2
L' U2 R2 F' U' R F
L2 U2 R2 F' U' R F
L U2 R2 F' U' R F
R U2 D R F' U' F
U2 R2 L F' U' R F
U2 R2 L' F' U' R F
F R2 L' U' B U' B'
R' U2 F' R' U' R2 F
R' U2 F' R' U' F R2
L' U2 F' R2 U' R' F
L' U2 F' R2 U' F R'
U2 R2 L2 F' U' R F
L2 U2 F' R2 U' R' F
L2 U2 F' R2 U' F R'
L U2 F' R2 U' R' F
L U2 F' R2 U' F R'
R U2 F' U' R F B
R U2 F' U' R B F
F' R2 U2 F U F' R'
U2 R2 D' L' F U' F'
U' R2 D2 B U' L2 R'
U' R2 D2 B U' R' L2
U' R2 F U L' R2 U2
U' R2 F U R2 L' U2
U2 R2 F U L' U2 F'
U2 R2 F U' F2 R F
U' R2 F' U R2 U2 R'
U' R2 F' U' D2 L2 R
U' R2 F' U' D2 R L2
U' R2 F' D B2 U' R
U' R2 F' D2 U' L2 R
U' R2 F' D2 U' R L2
U2 R2 F' U' R D F
U2 R2 F' U' R D' F
U2 R2 F' U' R D2 F
U2 R2 F' U' R F D
U2 R2 F' U' R F D'
U2 R2 F' U' R F D2
U2 R2 F' U' R' F R2
U2 R2 F' U' R2 F R'
U2 R2 F' U' D R F
U2 R2 F' U' D' R F
U2 R2 F' U' D2 R F
U2 R2 F' D U' R F
U2 R2 F' D' U' R F
U2 R2 F' D2 U' R F
D2 R2 B L2 U R' F
D2 R2 B L2 U F R'
F R2 B U B' L' U2
R D U2 R F' U' F
D2 U L2 B U L2 R'
D2 U L2 B U R' L2
U' D R F' U' B2 L
U2 D R F' U' F B2
U2 D R F' U' B2 F
D2 U B L2 U L2 R'
D2 U B L2 U R' L2
D U' R F' U' B2 L
F' U' R2 U2 F U R'
F U' R2 F2 B U' R
F U' R2 B U L' U2
F U' R2 B F2 U' R
U D2 L2 B U L2 R'
U D2 L2 B U R' L2
D U2 R F' U' F B2
D U2 R F' U' B2 F
B' U2 L R2 U' F' R
B' U2 L' R2 U' F' R
B' U2 L2 R2 U' F' R
L' D2 B L2 U R' F
L' D2 B L2 U F R'
L2 D2 B L2 U R' F
L2 D2 B L2 U F R'
B' U2 R2 L U' F' R
B' U2 R2 L' U' F' R
B' U2 R2 L2 U' F' R
B' U2 R2 U' F' R D
B' U2 R2 U' F' R D'
B' U2 R2 U' F' R D2
B' U2 R2 U' F' D R
B' U2 R2 U' F' D' R
B' U2 R2 U' F' D2 R
B' U2 R2 F U' F2 R
U D2 B L2 U L2 R'
U D2 B L2 U R' L2
L D2 B L2 U R' F
L D2 B L2 U F R'
U' F L' U' L R2 U'
U' F L' U' R2 L U'
L' F L' U' R2 B U'
L2 F L' U' R2 B U'
B' U2 F' R2 U' F' R'
L F L' U' R2 B U'
U' F R2 U L' R2 U2
U' F R2 U R2 L' U2
U2 F R2 U L' B U2
U2 F R2 U B L' U2
F2 U2 B' D R' B2 L
F D L' U F' U B2
F2 D R2 U2 B' R' B'
F2 D R2 F U2 R B2
F2 D R2 F U2 B2 R
F2 D R2 F' L' U2 B2
F2 D F R2 U2 R' B2
F2 D F' L' R2 U2 B2
F2 D F' R2 L' U2 B2
U' F' R2 U R2 U2 R
U' F' R2 U' D2 L2 R'
U' F' R2 U' D2 R' L2
U' F' R2 D2 U' L2 R'
U' F' R2 D2 U' R' L2
U2 F' R2 U' R F R2
U2 F' R2 U' R' D F
U2 F' R2 U' R' D' F
U2 F' R2 U' R' D2 F
U2 F' R2 U' R' F D
U2 F' R2 U' R' F D'
U2 F' R2 U' R' F D2
U2 F' R2 U' D R' F
U2 F' R2 U' D F R'
U2 F' R2 U' D' R' F
U2 F' R2 U' D' F R'
U2 F' R2 U' D2 R' F
U2 F' R2 U' D2 F R'
U2 F' R2 U' F R' D
U2 F' R2 U' F R' D'
U2 F' R2 U' F R' D2
U2 F' R2 U' F D R'
U2 F' R2 U' F D' R'
U2 F' R2 U' F D2 R'
U2 F' R2 U' F' R' F2
U2 F' R2 D U' R' F
U2 F' R2 D U' F R'
U2 F' R2 D' U' R' F
U2 F' R2 D' U' F R'
U2 F' R2 D2 U' R' F
U2 F' R2 D2 U' F R'
U2 F' R2 F' U' R' F2
U2 F' R2 F' U' F2 R'
U2 F' R2 F2 U' F' R'
U2 F' U' D R F B2
U2 F' U' D R B2 F
U2 F' U' D B2 R F
R2 F' U2 F U F' R
U2 F' D U' R F B2
U2 F' D U' R B2 F
U2 F' D U' B2 R F
F D' L' F2 U F U
U F' D2 L2 U L2 R
U F' D2 L2 U R L2
D' F2 L U F2 B' U
D' F2 L U B' F2 U
F2 D' F U2 L2 R B'
F2 D' F U2 L2 B' R
F2 D' F U2 R L2 B'
F' D' F2 L' U F' U
U2 F2 R2 F U' R F
R F2 U L' F2 B' U
R F2 U L' B' F2 U
B' D2 L2 U' B U2 R'
F D2 L' U L' F' U
B2 D2 L2 B U R' F2
B2 D2 L2 B U F2 R'
B D2 L2 B U R' F
B D2 L2 B U F R'
D2 B L2 R U R2 F
D2 B L2 R U F R2
D2 B L2 R2 U R F
D2 B L2 U R F R2
D2 B L2 U R' D F
D2 B L2 U R' D' F
D2 B L2 U R' D2 F
D2 B L2 U R' F D
D2 B L2 U R' F D'
D2 B L2 U R' F D2
D2 B L2 U D R' F
D2 B L2 U D F R'
D2 B L2 U D' R' F
D2 B L2 U D' F R'
D2 B L2 U D2 R' F
D2 B L2 U D2 F R'
D2 B L2 U F R' D
D2 B L2 U F R' D'
D2 B L2 U F R' D2
D2 B L2 U F D R'
D2 B L2 U F D' R'
D2 B L2 U F D2 R'
D2 B L2 U F' R' F2
D2 B L2 D U R' F
D2 B L2 D U F R'
D2 B L2 D' U R' F
D2 B L2 D' U F R'
D2 B L2 D2 U R' F
D2 B L2 D2 U F R'
D2 B R L2 U R2 F
D2 B R L2 U F R2
B2 D2 B L2 U R' F2
D2 B R2 L2 U R F
B2 D2 B L2 U F2 R'
B2 D2 B' L2 U F2 R
D2 B' L2 U' L' B U2
D2 B' L2 U' B L' U2
L' B' U2 R2 U' F' R
L2 B' U2 R2 U' F' R
L B' U2 R2 U' F' R
R' B2 D' L R2 B' U
R' B2 D' L B' R2 U
R' B2 D' R2 L B' U
