B2 R' B' U L
U2 L U2 B U L
B2 R B' R2 U L
R2 U2 L F' U' L'
B2 R' F B' U L
B2 R' F' B' U L
B2 R' F2 B' U L
B2 R' B' U L D
B2 R' B' U L D'
B2 R' B' U L D2
B2 R' B' U D L
B2 R' B' U D' L
B2 R' B' U D2 L
B2 R' B' D U L
B2 R' B' D' U L
B2 R' B' D2 U L
B2 R' B' F U L
B2 R' B' F' U L
B2 R' B' F2 U L
R2 U2 F' L U' L2
B2 R2 B' R U L
B U L2 D L' F
B U D L' F L2
B D U L' F L2
B D U L' F L2
B D' R U L F'
B D' R U F' L
B D2 F' R U L
B D2 F2 U L F
B2 F R' B' U L
B2 F' R' B' U L
D2 B2 R' B' U L
D' B2 R' B' U L
D B2 R' B' U L
F' B2 R' B' U L
B2 F2 R' B' U L
F2 B2 R' B' U L
F B2 R' B' U L
U2 L R2 F' R2 U' L'
U2 L U2 D B U L
U2 L U2 D' B U L
U2 L U2 D2 B U L
U' L U2 F B U B'
U2 L U2 F B U L
U2 L U2 F' B U L
U2 L U2 F2 B U L
U' L U2 B F U B'
U2 L U2 B U L D
U2 L U2 B U L D'
U2 L U2 B U L D2
U2 L U2 B U D L
U2 L U2 B U D' L
U2 L U2 B U D2 L
U2 L U2 B D U L
U2 L U2 B D' U L
U2 L U2 B D2 U L
U2 L U2 B F U L
U2 L U2 B F' U L
U2 L U2 B F2 U L
B L D L' U F L
U2 L D U2 B U L
U2 L D' U2 B U L
U2 L D2 U2 B U L
U2 L F' U2 B U L'
B R U L2 D L' F
B R U D L' F L2
B R D U L' F L2
B R D' R U L F'
B R D' R U F' L
B R D2 F' R U L
B R D2 F2 U L F
B2 R F R2 B' U L
B2 R F B' R2 U L
B2 R F' R2 B' U L
B2 R F' B' R2 U L
B2 R F2 R2 B' U L
B2 R F2 B' R2 U L
B R B R' B' U L
B2 R B' R2 U L D
B2 R B' R2 U L D'
B2 R B' R2 U L D2
B2 R B' R2 U D L
B2 R B' R2 U D' L
B2 R B' R2 U D2 L
B2 R B' R2 D U L
B2 R B' R2 D' U L
B2 R B' R2 D2 U L
B2 R B' R2 F U L
B2 R B' R2 F' U L
B2 R B' R2 F2 U L
B2 R B' U L D' F2
B2 R B' U D' L F2
B2 R B' U D' F2 L
B2 R B' D' U L F2
B2 R B' D' U F2 L
B2 R B' F R2 U L
B2 R B' F' R2 U L
B2 R B' F2 R2 U L
B R' U L2 D L' F
B R' U D L' F L2
B R' D U L' F L2
B R' D' R U L F'
B R' D' R U F' L
R' U2 L F U R U2
R2 U2 L D F' U' L'
R2 U2 L D' F' U' L'
R2 U2 L D2 F' U' L'
R2 U2 L F' U' L' D
R2 U2 L F' U' L' D'
R2 U2 L F' U' L' D2
R2 U2 L F' U' D L'
R2 U2 L F' U' D' L'
R2 U2 L F' U' D2 L'
R2 U2 L F' D U' L'
R2 U2 L F' D' U' L'
R2 U2 L F' D2 U' L'
R2 U2 L F' B U' L'
