U L' F2 U' L F'
U L' F2 U' F' L
D2 R B2 U F' B2
D2 R B2 U B2 F'
L' D2 B2 U F B2
L' D2 B2 U B2 F
U F2 L' U' F L
D2 B2 R U F' B2
D2 B2 R U B2 F'
D2 L R B2 U F' B2
D2 L R B2 U B2 F'
B2 L U B2 D R2 F'
B2 L D L2 U R2 F
B2 L D L2 U F R2
L' R D2 B2 U F B2
L' R D2 B2 U B2 F
U2 L F2 U F2 B' U2
U2 L F2 U B' F2 U2
U L F2 U R B' U2
U L F2 U B' R U2
U' L B' U' F2 R U'
U2 L B' U' F2 B U'
U2 L B' U' B F2 U'
D2 L B2 R U F' B2
D2 L B2 R U B2 F'
D' L B2 U R' F' B2
D' L B2 U R' B2 F'
D2 L' R B2 U F' B2
D2 L' R B2 U B2 F'
B' L' U D F B R2
B' L' U D B R2 F
B' L' U D B F R2
R' L' D2 B2 U F B2
R' L' D2 B2 U B2 F
L' R' D2 B2 U F B2
L' R' D2 B2 U B2 F
B' L' U B D R2 F
B' L' U B D F R2
R2 L' D2 B2 U F B2
R2 L' D2 B2 U B2 F
B2 L' U B2 D R2 F
B2 L' U B2 D F R2
R L' D2 B2 U F B2
R L' D2 B2 U B2 F
U L' U' D R2 F L
U L' U' D F L R2
U L' U' D F R2 L
F L' U' F' U F2 R
B' L' U2 F2 U' F' B
B' L' U2 F2 U' B F'
B2 L' U2 F2 U' F' B2
B2 L' U2 F2 U' B2 F'
B' L' D U F B R2
B' L' D U B R2 F
B' L' D U B F R2
U L' D U' R2 F L
U L' D U' F L R2
U L' D U' F R2 L
B' L' D2 B2 U F B'
B' L' D2 B2 U B' F
F2 L' D2 B2 U' F B2
F2 L' D2 B2 U' B2 F
U L' F2 L' U' L2 F'
U L' F2 L' U' F' L2
U2 L' F2 U F2 U2 F
U L' F2 L2 U' L' F'
D' L' F2 D' L2 R F'
D' L' F2 D' R L2 F'
D' L' F2 D' R F' L2
U2 L' F2 U' D2 F' B2
U2 L' F2 U' D2 B2 F'
U2 L' F2 D2 U' F' B2
U2 L' F2 D2 U' B2 F'
U L' F2 U' L D F'
U L' F2 U' L D' F'
U L' F2 U' L D2 F'
U L' F2 U' L F' D
U L' F2 U' L F' D'
U L' F2 U' L F' D2
U L' F2 U' L' F' L2
U L' F2 U' D L F'
U L' F2 U' D F' L
U L' F2 U' D' L F'
U L' F2 U' D' F' L
U L' F2 U' D2 L F'
U L' F2 U' D2 F' L
U L' F2 U' F L F2
U L' F2 U' F' L D
U L' F2 U' F' L D'
U L' F2 U' F' L D2
U L' F2 U' F' D L
U L' F2 U' F' D' L
U L' F2 U' F' D2 L
U L' F2 D U' L F'
U L' F2 D U' F' L
U L' F2 D' U' L F'
U L' F2 D' U' F' L
U L' F2 D2 U' L F'
U L' F2 D2 U' F' L
D2 L' B2 R U F' B2
D2 L' B2 R U B2 F'
D2 L2 R B2 U F' B2
D2 L2 R B2 U B2 F'
L' R2 D2 B2 U F B2
L' R2 D2 B2 U B2 F
R' U L' F2 U' L F'
R' U L' F2 U' F' L
L2 U L' F2 U' L F
R2 U L' F2 U' L F'
R2 U L' F2 U' F' L
R U L' F2 U' L F'
R U L' F2 U' F' L
L' U L2 F2 U' L2 F
L U L2 F2 U' L2 F'
L U L2 F2 U' F' L2
U L2 F2 L U' F L
L' U R2 D R2 F B2
L' U R2 D R2 B2 F
L' U R2 D F R2 B2
L' U R2 D F B2 R2
L' U R2 D B2 R2 F
L' U R2 D B2 F R2
L U R2 D B2 R2 F'
L' U D R2 D F B2
L' U D R2 D B2 F
L' U D R2 F D B2
L' U D F R2 D B2
D2 L2 B2 R U F' B2
D2 L2 B2 R U B2 F'
D2 R L B2 U F' B2
D2 R L B2 U B2 F'
D2 R L' B2 U F' B2
D2 R L' B2 U B2 F'
D2 R L2 B2 U F' B2
D2 R L2 B2 U B2 F'
R' U F2 L' U' F L
L' U F2 L U' L' F'
L' U F2 L' U' L F'
L' U F2 L' U' F' L
L' U F2 L2 U' L2 F'
L' U F2 L2 U' F' L2
L2 U F2 L' U' L F
R2 U F2 L' U' F L
L U F2 L2 U' F L2
R U F2 L' U' F L
L2 U F2 B L U' L'
L2 U B F2 L U' L'
D2 R F' U' F B2 U
D2 R F' U' B2 F U
D2 R F2 D' R2 F L2
D2 R F2 D' F L2 R2
D2 R F2 D' F R2 L2
D2 R B2 L U F' B2
D2 R B2 L U B2 F'
D2 R B2 L' U F' B2
D2 R B2 L' U B2 F'
D2 R B2 L2 U F' B2
D2 R B2 L2 U B2 F'
D2 R B2 U F' B2 D
D2 R B2 U F' B2 D'
D2 R B2 U F' B2 D2
D2 R B2 U B2 D F'
D2 R B2 U B2 D' F'
D2 R B2 U B2 D2 F'
D2 R B2 U B2 F' D
D2 R B2 U B2 F' D'
D2 R B2 U B2 F' D2
D2 R B2 D L2 U F'
U' R' U2 F2 U' L' F
D2 R' F2 D' L2 R2 F'
D2 R' F2 D' R2 L2 F'
D2 R' F2 D' R2 F' L2
D2 R' B2 L2 U F B2
D2 R' B2 L2 U B2 F
D2 R' B2 U' B' U2 B'
D2 R' B2 D L2 U F
L' U2 F2 U F2 U2 F
L' U2 F2 U' D2 F' B2
