U L R' F L U
U L F L R' U
U L F R' L U
F R U L2 R2 U
F R U R2 L2 U
F R U2 D' F2 B2
F R U2 D' B2 F2
F R D F2 B2 U2
F R D B2 F2 U2
F R D' U2 F2 B2
F R D' U2 B2 F2
U R' L F L U
U' R' F' L2 B' U
F' U L2 R' U L
F' U R' L2 U L
U L R F L R2 U
U L R F R2 L U
U L R' D F L U
U L R' D' F L U
U L R' D2 F L U
U L R' F L U D
U L R' F L U D'
U L R' F L U D2
U L R' F L D U
U L R' F L D' U
U L R' F L D2 U
U L R' F D L U
U L R' F D' L U
U L R' F D2 L U
U L R' F' L F2 U
U L R' F2 L F' U
U2 L U' L R' F U
U2 L U' L F R' U
U2 L U' R' L F U
U' L U2 L R' F U
U' L U2 L F R' U
U' L U2 R' L F U
U L D R' F L U
U L D F L R' U
U L D F R' L U
U L D' R' F L U
U L D' F L R' U
U L D' F R' L U
U L D2 R' F L U
U L D2 F L R' U
U L D2 F R' L U
U L F L R' U D
U L F L R' U D'
U L F L R' U D2
U L F L R' D U
U L F L R' D' U
U L F L R' D2 U
U L F L D R' U
U L F L D' R' U
U L F L D2 R' U
U L F R' L U D
U L F R' L U D'
U L F R' L U D2
U L F R' L D U
U L F R' L D' U
U L F R' L D2 U
U L F R' D L U
U L F R' D' L U
U L F R' D2 L U
U L F D L R' U
U L F D R' L U
U L F D' L R' U
U L F D' R' L U
U L F D2 L R' U
U L F D2 R' L U
U L F' L R' F2 U
U L F' L F2 R' U
U L F' R' L F2 U
U L F' R' F2 L U
U L F2 L F' R' U
L2 R' D' F' B2 U L'
L2 R' D' B2 F' U L'
L2 R' D2 F' U L' R2
L2 R' D2 F' U R2 L'
L2 R' F U' L2 R U2
L2 R' F U' R L2 U2
L2 R' F' U D2 L' R2
L2 R' F' U D2 R2 L'
L2 R' F' U' L2 U2 L
L2 R' F' D' B2 U L'
L2 R' F' D2 U L' R2
L2 R' F' D2 U R2 L'
R' L2 D' F' B2 U L'
R' L2 D' B2 F' U L'
R' L2 D2 F' U L' R2
R' L2 D2 F' U R2 L'
F' L2 R' U D2 L R2
F' L2 R' U D2 R2 L
F' L2 R' U' L2 U2 L'
F' L2 R' D2 U L R2
F' L2 R' D2 U R2 L
