B L' D F2 U R F'
D2 L' B R' U L R'
D2 L' B R' U R' L
D' L' B2 U D2 F L'
D' L' B2 D2 U F L'
L2 U L R' F' R U
L2 U R' L F' R U
L2 U R' F' L R U
L2 U R' F' R L U
U' D F2 R U' F' L'
D U F2 R B U' F'
L D' L B' R' U2 B'
U D F2 R B U' F'
D U' F2 R U' F' L'
B D F2 R U' L F'
B D F2 R U' F' L
B D' L D' B2 R2 F'
B' D' L' B2 U F L
B D' L' B2 U F L2
D F2 R B U' L F'
D F2 R B U' F' L
B' D' B2 L' U F L2
L' F2 B U L R F
L' F2 B U R L F
D F2 B R U' L F'
D F2 B R U' F' L
D2 B L' R' U L2 R'
D2 B L' R' U R' L2
D' B L' B U F L2
D2 B R' L' U L2 R'
D2 B R' L' U R' L2
L' B F2 U L R F
L' B F2 U R L F
D B F2 R U' L F'
D B F2 R U' F' L
D' B2 L' U D2 F L'
D' B2 L' D2 U F L'
