F' L' B' R' B' U L
B2 L2 U D L' F B'
B2 L2 U D L' B' F
B2 L2 D U L' F B'
B2 L2 D U L' B' F
B' R' F' B' L' U L2
B' R' B' L2 U L' B'
B' R' B' U L' B' L2
B' R' B' F' L' U L2
B2 U D L' F B' L2
B2 U D L' B' F L2
U' D' R' F' U2 R' F'
D' U' R' F' U2 R' F'
F' U' B2 L' U L2 F
F' U2 L' B2 U L F
B2 D U L' F B' L2
B2 D U L' B' F L2
B2 D F' L' U F L2
U2 B L B U L F
B2 D2 F' L' R U L2
B2 D2 F' R L' U L2
B' F' R' B' L' U L2
F' B' R' B' L' U L2
B2 F' D L' U F L2
U2 B2 U D L F B'
U2 B2 U D L B' F
U2 B2 D U L F B'
U2 B2 D U L B' F
F' B2 D L' U F L2
