R' B2 U F' L'
R' U D' F' L' R2
R' U D' F' R2 L'
R' U F' L' D' R2
R' U F' D' L' R2
R' U F' D' R2 L'
D' R' U F' L' R'
D' R' U F' R' L'
B2 R' U2 B' U' F'
F' R' B2 U F' L'
F2 R' B2 U F' L'
F R' B2 U F' L'
R' D' U F' L' R2
R' D' U F' R2 L'
R2 D' F' R U R
B2 U2 B' L U' F
R2 F' R B2 U F'
R2 F' B2 R U F'
R2 B2 R U F' L'
R' B2 U L F' L'
R' B2 U L' F' L'
R' B2 U L2 F' L'
R' B2 U D F' L'
R' B2 U D' F' L'
R' B2 U D2 F' L'
R' B2 U F' L' D
R' B2 U F' L' D'
R' B2 U F' L' D2
R' B2 U F' D L'
R' B2 U F' D' L'
R' B2 U F' D2 L'
R' B2 D U F' L'
R' B2 D' U F' L'
R' B2 D2 U F' L'
R2 B2 D' F' R U
R2 B2 F' R U F'
U2 L D' B U' R2 F
U2 L D' B U' F R2
U2 L D2 F2 B U' F'
U2 L D2 B F2 U' F'
R' L B2 L' U F' L'
U2 L B U2 B U F
B L' U2 L B U F
L R' B2 L' U F' L'
L2 R' B2 L2 U F' L'
B2 L2 R' F L2 U F2
R' L2 B2 L2 U F' L'
R' U L D' F' L' R2
R' U L D' F' R2 L'
R' U L F' L' D' R2
R' U L F' D' L' R2
R' U L F' D' R2 L'
R' U L' D' F' L' R2
R' U L' D' F' R2 L'
R' U L' F' L' D' R2
R' U L' F' D' L' R2
R' U L' F' D' R2 L'
B2 L2 F L2 R' U F'
B2 L2 F R' L2 U F'
R' U L2 D' F' L' R2
R' U L2 D' F' R2 L'
R' U L2 F' L' D' R2
R' U L2 F' D' L' R2
R' U L2 F' D' R2 L'
R' U R2 D' R2 F' L'
R' U D F' D2 L' R2
R' U D F' D2 R2 L'
R' U D' L F' L' R2
R' U D' L F' R2 L'
R' U D' L' F' L' R2
R' U D' L' F' R2 L'
R' U D' L2 F' L' R2
R' U D' L2 F' R2 L'
R' U D' F' L' R2 D
R' U D' F' L' R2 D'
R' U D' F' L' R2 D2
R' U D' F' R2 L' D
R' U D' F' R2 L' D'
R' U D' F' R2 L' D2
R' U D' F' R2 D L'
R' U D' F' R2 D' L'
R' U D' F' R2 D2 L'
R' U D' F2 R2 F L'
R U D' R2 F L' F2
R U D' F L' R2 F'
R U D' F R2 L' F'
R U D' F2 R2 F' L'
R' U F' L' R D' R2
R' U F' L' R' D' R2
R' U F' L' R2 D' R2
R' U F' L' U' B2 U
R' U F' L' D' R2 D
R' U F' L' D' R2 D'
R' U F' L' D' R2 D2
R' U F' L2 D' L R2
R' U F' L2 D' R2 L
R' U F' R L' D' R2
R' U F' R D' L' R2
R' U F' R D' R2 L'
R' U F' R' L' D' R2
R' U F' R' D' L' R2
R' U F' R' D' R2 L'
R' U F' R2 L' D' R2
R' U F' R2 D' L' R2
R' U F' R2 D' R2 L'
R' U F' U' B2 U L'
R' U F' D' L' R2 D
R' U F' D' L' R2 D'
R' U F' D' L' R2 D2
R' U F' D' R2 L' D
R' U F' D' R2 L' D'
R' U F' D' R2 L' D2
R' U F' D' R2 D L'
R' U F' D' R2 D' L'
R' U F' D' R2 D2 L'
R' U F' D2 L' D R2
B2 R U' B U' B2 U'
B2 R U' B U2 D L2
B2 R U' B D U2 L2
B2 R U' B D' R2 U2
B2 R U2 B' U B2 U2
B2 R U2 B' U' D2 F2
B2 R U2 B' D L2 U'
B2 R U2 B' D2 U' F2
L2 U B2 L2 F R U
R' U' D L2 U2 F' L'
R U' D L2 B R' U2
R U' D B L2 R' U2
R U' D B R' L2 U2
B2 R' L2 F L2 U F2
D' R' U L F' L' R'
D' R' U L F' R' L'
D' R' U L' F' L' R'
D' R' U L' F' R' L'
D' R' U L2 F' L' R'
D' R' U L2 F' R' L'
D2 R' U D F' L' R2
D2 R' U D F' R2 L'
D' R' U D F' L' R'
D' R' U D F' R' L'
B2 R' U L2 F' D' L2
D' R' U D' F' L' R'
D' R' U D' F' R' L'
D' R' U D2 F' L' R'
D' R' U D2 F' R' L'
F' R' U D' F' L' R2
F' R' U D' F' R2 L'
D' R' U F' L' R' D
D' R' U F' L' R' D'
D' R' U F' L' R' D2
D' R' U F' L' D R'
D' R' U F' L' D' R'
D' R' U F' L' D2 R'
D' R' U F' R' L' D
D' R' U F' R' L' D'
D' R' U F' R' L' D2
D' R' U F' R' D L'
D' R' U F' R' D' L'
D' R' U F' R' D2 L'
D' R' U F' D L' R'
D' R' U F' D R' L'
D' R' U F' D' L' R'
D' R' U F' D' R' L'
D' R' U F' D2 L' R'
D' R' U F' D2 R' L'
D' R' U F2 R' F L'
F' R' U F' L' D' R2
F' R' U F' D' L' R2
F' R' U F' D' R2 L'
F2 R' U D' F' L' R2
F2 R' U D' F' R2 L'
B2 R' U F' U B' U'
F2 R' U F' L' D' R2
F2 R' U F' D' L' R2
F2 R' U F' D' R2 L'
D R' U D2 F' L' R2
D R' U D2 F' R2 L'
D R' U F' D2 L' R2
D R' U F' D2 R2 L'
F R' U D' F' L' R2
F R' U D' F' R2 L'
F R' U F' L' D' R2
F R' U F' D' L' R2
F R' U F' D' R2 L'
D R' U' L2 U2 F' L'
B2 R' U2 L U' F' L'
B2 R' U2 D B' U' F'
B2 R' U2 D' B' U' F'
B2 R' U2 D2 B' U' F'
B2 R' U2 B' L U' F'
B2 R' U2 B' L' U' F'
B2 R' U2 B' L2 U' F'
B2 R' U2 B' U' D F'
B2 R' U2 B' U' D' F'
B2 R' U2 B' U' D2 F'
B2 R' U2 B' U' F' D
B2 R' U2 B' U' F' D'
B2 R' U2 B' U' F' D2
B2 R' U2 B' D U' F'
B2 R' U2 B' D' U' F'
B2 R' U2 B' D2 U' F'
D2 R' D U F' L' R2
D2 R' D U F' R2 L'
D' R' D U F' L' R'
D' R' D U F' R' L'
B2 R' D U2 B' U' F'
B' R' D B' U L2 F'
B' R' D B' U F' L2
D' R' D' U F' L' R'
D' R' D' U F' R' L'
F' R' D' U F' L' R2
F' R' D' U F' R2 L'
F2 R' D' U F' L' R2
F2 R' D' U F' R2 L'
B2 R' D' U2 B' U' F'
F R' D' U F' L' R2
F R' D' U F' R2 L'
D' R' D2 U F' L' R'
D' R' D2 U F' R' L'
D R' D' B2 U F' L'
B' R' D2 F2 B' U F
B2 R' D2 U2 B' U' F'
D2 R' D2 B2 U F' L'
B' R' D2 B' F2 U F
D R' D2 U F' L' R2
D R' D2 U F' R2 L'
B2 R' F U2 B' U' F2
B2 R' F2 U2 B' U' F
B' R' B' U2 B' U' F'
F' R' B2 U L F' L'
F' R' B2 U L' F' L'
F' R' B2 U L2 F' L'
F' R' B2 U D F' L'
F' R' B2 U D' F' L'
F' R' B2 U D2 F' L'
F' R' B2 U F' L' D
F' R' B2 U F' L' D'
F' R' B2 U F' L' D2
F' R' B2 U F' D L'
F' R' B2 U F' D' L'
F' R' B2 U F' D2 L'
F' R' B2 D U F' L'
F2 R' B2 U L F' L'
F2 R' B2 U L' F' L'
F2 R' B2 U L2 F' L'
F' R' B2 D' U F' L'
F2 R' B2 U D F' L'
F2 R' B2 U D' F' L'
F2 R' B2 U D2 F' L'
F2 R' B2 U F' L' D
F2 R' B2 U F' L' D'
F2 R' B2 U F' L' D2
F2 R' B2 U F' D L'
F2 R' B2 U F' D' L'
F2 R' B2 U F' D2 L'
F' R' B2 D2 U F' L'
F2 R' B2 D U F' L'
F2 R' B2 D' U F' L'
F2 R' B2 D2 U F' L'
F R' B2 U L F' L'
F R' B2 U L' F' L'
F R' B2 U L2 F' L'
F R' B2 U D F' L'
F R' B2 U D' F' L'
F R' B2 U D2 F' L'
F R' B2 U F' L' D
F R' B2 U F' L' D'
F R' B2 U F' L' D2
F R' B2 U F' D L'
F R' B2 U F' D' L'
F R' B2 U F' D2 L'
F R' B2 D U F' L'
F R' B2 D' U F' L'
F R' B2 D2 U F' L'
B2 R2 U2 D B' L U'
B2 R2 D U2 B' L U'
D' R2 D' F' R U R'
F' R2 D' F' R U R
F2 R2 D' F' R U R
D R2 D' F' R B2 U
D R2 D' F' B2 R U
F R2 D' F' R U R
D R2 D' B2 F' R U
D' R2 F' R U F' R'
F' R2 F' R B2 U F'
F2 R2 F' R B2 U F'
F' R2 F' B2 R U F'
F2 R2 F' B2 R U F'
F R2 F' R B2 U F'
F R2 F' B2 R U F'
R' D U F' D2 L' R2
R' D U F' D2 R2 L'
F' R2 B2 R U F' L'
R' D U' L2 U2 F' L'
F2 R2 B2 R U F' L'
F' R2 B2 D' F' R U
F' R2 B2 F' R U F'
F2 R2 B2 D' F' R U
F2 R2 B2 F' R U F'
F R2 B2 R U F' L'
F R2 B2 D' F' R U
R D U' L2 B R' U2
F R2 B2 F' R U F'
R D U' B L2 R' U2
R D U' B R' L2 U2
B2 U F' U B' L' U'
R' D' U L F' L' R2
R' D' U L F' R2 L'
R' D' U L' F' L' R2
R' D' U L' F' R2 L'
R' D' U L2 F' L' R2
R' D' U L2 F' R2 L'
R' D' U F' L' R2 D
R' D' U F' L' R2 D'
R' D' U F' L' R2 D2
R' D' U F' R2 L' D
R' D' U F' R2 L' D'
R' D' U F' R2 L' D2
R' D' U F' R2 D L'
R' D' U F' R2 D' L'
R' D' U F' R2 D2 L'
R' D' U F2 R2 F L'
U2 D' L B U' R2 F
U2 D' L B U' F R2
R D' U R2 F L' F2
R D' U F L' R2 F'
R D' U F R2 L' F'
R D' U F2 R2 F' L'
R2 D' F' R U R D
R2 D' F' R U R D'
R2 D' F' R U R D2
R2 D' F' R U D R
R2 D' F' R U D' R
R2 D' F' R U D2 R
R D' F U L' R2 F'
R2 D' F' R D U R
R2 D' F' R D' U R
R D' F U R2 L' F'
R2 D' F' R D2 U R
R2 D' F' R B U R
R2 D' F' R B' U R
R2 D' F' R B2 U R
R2 D' F' D R B2 U
R2 D' F' D B2 R U
R2 D' F' B R U R
R2 D' F' B' R U R
R2 D' F' B2 R U R
R' D' B U F' L' R2
R' D' B U F' R2 L'
R' D' B' U F' L' R2
R' D' B' U F' R2 L'
R2 D' B F' R U R
R' D' B2 U F' L' R2
R' D' B2 U F' R2 L'
R2 D' B' F' R U R
U2 D' B L U' R2 F
U2 D' B L U' F R2
R2 D' B2 F' R U R
D' U2 L B U' R2 F
D' U2 L B U' F R2
D2 U2 L F2 B U' F'
D2 U2 L B F2 U' F'
U2 D2 L F2 B U' F'
U2 D2 L B F2 U' F'
B2 U' B U' L B2 U'
B2 U2 L U' F' L' F2
B' U2 L B2 U' F R
D2 U2 F2 L B U' F
U2 D2 F2 L B U' F
D2 U2 F2 B L U' F
D' U2 B L U' R2 F
D' U2 B L U' F R2
D2 U2 B L F2 U' F'
U2 D2 F2 B L U' F
U2 D2 B L F2 U' F'
D2 U2 B F2 L U' F
U2 D2 B F2 L U' F
B2 U2 D B' L U' F
B2 U2 D' B' L U' F
B2 U2 D2 B' L U' F
D' F R' U F' L' R'
D' F R' U F' R' L'
R' F R' F' B2 U F'
R2 F R F2 B2 U F
R' F R' B2 F' U F'
B2 U2 B L B2 U' F
R2 F R B2 F2 U F
B2 U2 B' L U' D F
B2 U2 B' L U' D' F
B2 U2 B' L U' D2 F
B2 U2 B' L U' F D
B2 U2 B' L U' F D'
B2 U2 B' L U' F D2
B2 U2 B' L D U' F
B2 U2 B' L D' U' F
B2 U2 B' L D2 U' F
B2 U2 B' L' U B' U2
B2 U2 B' U2 R' U F'
B2 U2 B' D L U' F
B2 U2 B' D' L U' F
B2 U2 B' D2 L U' F
B2 U2 B2 L B U' F
R F R2 B2 U F' L'
B2 D R' U2 B' U' F'
B' D R' B' U L2 F'
B' D R' B' U F' L2
R' F B2 R' F' U F'
R' F B2 U F' L' F'
R2 F B2 R F2 U F
B2 D U2 B' L U' F
D' F' R' U F' L' R'
D' F' R' U F' R' L'
R2 F' R U D' F' R2
R2 F' R U F' D' R2
R2 F' R D' U F' R2
R' F' R' F' B2 U F
R' F' R' B2 F' U F
R2 F' R B2 U D F'
R2 F' R B2 U D' F'
R2 F' R B2 U D2 F'
R2 F' R B2 U F' D
R2 F' R B2 U F' D'
R2 F' R B2 U F' D2
R2 F' R B2 D U F'
R2 F' R B2 D' U F'
R2 F' R B2 D2 U F'
R2 F' R' U D' R2 F'
R2 F' R' D' U R2 F'
B' D B' R' U L2 F'
B' D B' R' U F' L2
R2 F' R' B2 U' B' U2
R2 F' R2 B2 R' U F'
R2 F' U R D' F' R2
R2 F' U R F' D' R2
R2 F' U R' D' R2 F'
R F' R2 B2 U F' L'
F' D' R' U F' L' R'
F' D' R' U F' R' L'
F2 D' R' U F' L' R'
F2 D' R' U F' R' L'
B2 D' R' U2 B' U' F'
F D' R' U F' L' R'
F D' R' U F' R' L'
R2 F' B D B R' U
R' F' B2 R' F' U F
R2 F' B' R B' U F'
R2 F' B2 R U D F'
R2 F' B2 R U D' F'
R2 F' B2 R U D2 F'
R2 F' B2 R U F' D
R2 F' B2 R U F' D'
R2 F' B2 R U F' D2
R2 F' B2 R D U F'
R2 F' B2 R D' U F'
R2 F' B2 R D2 U F'
R2 F' B2 R' U' B U2
R2 F' B2 U R F' R'
B2 D' U2 B' L U' F
D' F2 R' U F' L' R'
D' F2 R' U F' R' L'
R' F2 R' F' B2 U F2
R2 F2 R F B2 U F2
R' F2 R' B2 F' U F2
R2 F2 R B2 F U F2
R F2 R2 B2 U F' L'
B' D2 R' F2 B' U F
B2 D2 R' U2 B' U' F'
B' D2 R' B' F2 U F
R' F2 B2 R' F' U F2
R' F2 B2 U F' L' F2
U' B L U2 B U B'
R2 F2 B2 R F U F2
U2 B L U2 B U F
B2 D2 U2 B' L U' F
B' D2 F2 R' B' U F'
B' D2 F2 B' R' U F'
B' D2 B' R' F2 U F
B' D2 B' F2 R' U F'
U B R' U' B' R' F'
U2 B U2 B R' U F'
R' B D B U F' L'
R' B D' B U F' L'
R2 B D F' B R' U
R2 B D B F' R' U
R' B D2 B U F' L'
R2 B D' F' B R U
R2 B D' B F' R U
B2 F R' U2 B' U' F'
R2 B F' D B R' U
U2 B' L B2 U' F R
B2 F U2 B' L U' F
R2 B' R B' U F' L'
R' B' D B' U F' L'
B2 F' R' U2 B' U' F'
R' B' D' B' U F' L'
R' B' D2 B' U F' L'
R2 B' D' F' R B' U
R2 B' D' F' B' R U
R2 B' D' B' F' R U
B2 F' U2 B' L U' F
R2 B' F' R B' U F'
L2 B2 L2 R' F U F2
L2 B2 L2 F R' U F'
R' B2 R' D' F' R U
R' B2 R' F' R U F'
R2 B2 R U L F' L'
R2 B2 R U L' F' L'
R2 B2 R U L2 F' L'
R2 B2 R U D F' L'
R2 B2 R U D' F' L'
R2 B2 R U D2 F' L'
R2 B2 R U F' L' D
R2 B2 R U F' L' D'
R2 B2 R U F' L' D2
R2 B2 R U F' D L'
R2 B2 R U F' D' L'
R2 B2 R U F' D2 L'
R2 B2 R D U F' L'
R2 B2 R D' U F' L'
U B2 L2 F R U B2
L2 B2 R' L2 F U F2
R2 B2 R D2 U F' L'
R' B2 U L D F' L'
R' B2 U L D' F' L'
R' B2 U L D2 F' L'
R' B2 U L F' L' D
R' B2 U L F' L' D'
R' B2 U L F' L' D2
R' B2 U L F' D L'
R' B2 U L F' D' L'
R' B2 U L F' D2 L'
R' B2 U L' D F' L'
R' B2 U L' D' F' L'
R' B2 U L' D2 F' L'
R' B2 U L' F' L' D
R' B2 U L' F' L' D'
R' B2 U L' F' L' D2
R' B2 U L' F' D L'
R' B2 U L' F' D' L'
R' B2 U L' F' D2 L'
R' B2 U L2 D F' L'
R' B2 U L2 D' F' L'
R' B2 U L2 D2 F' L'
R' B2 U L2 F' L' D
R' B2 U L2 F' L' D'
R' B2 U L2 F' L' D2
R' B2 U L2 F' D L'
R' B2 U L2 F' D' L'
R' B2 U L2 F' D2 L'
R' B2 U D L F' L'
R' B2 U D L' F' L'
R' B2 U D L2 F' L'
R' B2 U D F' L' D
R' B2 U D F' L' D'
R' B2 U D F' L' D2
R' B2 U D F' D L'
R' B2 U D F' D' L'
R' B2 U D F' D2 L'
R' B2 U D' L F' L'
R' B2 U D' L' F' L'
R' B2 U D' L2 F' L'
R' B2 U D' F' L' D
R' B2 U D' F' L' D'
R' B2 U D' F' L' D2
R' B2 U D' F' D L'
R' B2 U D' F' D' L'
R' B2 U D' F' D2 L'
R' B2 U D2 L F' L'
R' B2 U D2 L' F' L'
R' B2 U D2 L2 F' L'
R' B2 U D2 F' L' D
R' B2 U D2 F' L' D'
R' B2 U D2 F' L' D2
R' B2 U D2 F' D L'
R' B2 U D2 F' D' L'
R' B2 U D2 F' D2 L'
R' B2 U F L F2 L'
R' B2 U F L' F2 L'
R' B2 U F L2 F2 L'
R B2 R F' U' B' U2
R' B2 U F' L2 D L
R' B2 U F' L2 D' L
R' B2 U F' L2 D2 L
R' B2 U F' D L' D
R' B2 U F' D L' D'
R' B2 U F' D L' D2
R' B2 U F' D' L' D
R' B2 U F' D' L' D'
R' B2 U F' D' L' D2
R' B2 U F' D2 L' D
R' B2 U F' D2 L' D'
R' B2 U F' D2 L' D2
R' B2 U F' B' L' B
R' B2 U F' B2 L' B2
R' B2 U B' F' L' B
R' B2 U B2 F' L' B2
F' B2 R' U2 B' U' F'
R' B2 U' R2 B U2 L
B2 F2 R' U2 B' U' F'
F2 B2 R' U2 B' U' F'
R' B2 U' B U2 L F'
R' B2 U' B U2 F' L
R' B2 U2 L' B' U' F'
R B2 R2 U' B' R' U2
U' B2 U2 B' L U' B
R' B2 U2 B U' F' L'
R' B2 U2 B' U' F' L'
R' B2 U2 B2 U' F' L'
F B2 R' U2 B' U' F'
R B2 U L2 D' F L'
R' B2 D U L F' L'
R' B2 D U L' F' L'
R' B2 D U L2 F' L'
R B2 U D' L2 F L'
R' B2 D U F' L' D
R' B2 D U F' L' D'
R' B2 D U F' L' D2
R' B2 D U F' D L'
R' B2 D U F' D' L'
R' B2 D U F' D2 L'
R' B2 D' U L F' L'
R' B2 D' U L' F' L'
R' B2 D' U L2 F' L'
R B2 U' D B' U2 L
R' B2 D' U F' L' D
R' B2 D' U F' L' D'
R' B2 D' U F' L' D2
R' B2 D' U F' D L'
R' B2 D' U F' D' L'
R' B2 D' U F' D2 L'
R' B2 D2 U L F' L'
R' B2 D2 U L' F' L'
R' B2 D2 U L2 F' L'
R' B2 D2 U F' L' D
R' B2 D2 U F' L' D'
R' B2 D2 U F' L' D2
R' B2 D2 U F' D L'
R' B2 D2 U F' D' L'
R' B2 D2 U F' D2 L'
U B2 D L2 F R U
F' B2 U2 B' L U' F
B2 F2 U2 B' L U' F
F2 B2 U2 B' L U' F
R2 B2 D' F' R U D
R2 B2 D' F' R U D'
R2 B2 D' F' R U D2
R2 B2 D' F' R D U
R2 B2 D' F' R D' U
R2 B2 D' F' R D2 U
R2 B2 D' F' D R U
R2 B2 D' F' D' R U
R2 B2 D' F' D2 R U
R' B2 F R' F' U F'
R' B2 F U F' L' F'
R B2 D U' B' U2 L
R' B2 F' R' F' U F
R B2 D' U L2 F L'
F B2 U2 B' L U' F
R2 B2 F R F2 U F
R' B2 F2 R' F' U F2
R' B2 F2 U F' L' F2
R2 B2 F' R U D F'
R2 B2 F' R U D' F'
R2 B2 F' R U D2 F'
R2 B2 F' R U F' D
R2 B2 F' R U F' D'
R2 B2 F' R U F' D2
R2 B2 F' R D U F'
R2 B2 F' R D' U F'
R2 B2 F' R D2 U F'
R2 B2 F' R' U' B U2
R2 B2 F' U R F' R'
R2 B2 F2 R F U F2
