F2 U F R
F2 R B U F
F2 U R F R
F2 U R' F R
F2 U R2 F R
F2 U D F R
F2 U D' F R
F2 U D2 F R
F2 U F R D
F2 U F R D'
F2 U F R D2
F2 U F D R
F2 U F D' R
F2 U F D2 R
F2 D U F R
F2 D' U F R
F2 D2 U F R
F2 B U F R
F2 B' U F R
B' F2 U F R
F2 B2 U F R
B F2 U F R
B2 F2 U F R
F2 R D B U F
F2 R D' B U F
F2 R D2 B U F
F R F B U F
F2 R B R U F
F2 R B R' U F
F2 R B R2 U F
F2 R B U D F
F2 R B U D' F
F2 R B U D2 F
F2 R B U F D
F2 R B U F D'
F2 R B U F D'
F2 R B U F D2
F2 R B D U F
F2 R B D' U F
F2 R B D2 U F
F R B F U F
F2 R' U F D R2
F2 R' U2 F' U' F2
D' U L2 F R F2
F2 U R D F R
F2 U R D' F R
F2 U R D2 F R
F2 U R F R D
F2 U R F R D'
F2 U R F R D2
F2 U R F D R
F2 U R F D' R
F2 U R F D2 R
F2 U R' D F R
F2 U R' D' F R
F2 U R' D2 F R
F2 U R' F R D
F2 U R' F R D'
F2 U R' F R D'
F2 U R' F R D2
F2 U R' F D R
F2 U R' F D' R
F2 U R' F D2 R
F2 U R2 D F R
F2 U R2 D' F R
F2 U R2 D2 F R
U' D R2 B L U2
F2 U R2 F R D
F2 U R2 F R D'
F2 U R2 F R D2
F2 U R2 F D R
F2 U R2 F D' R
F2 U R2 F D2 R
D' U F L2 R F2
D' U F R L2 F2
F2 U D R F R
D' U F R F2 L2
F2 U D R' F R
F2 U D R2 F R
F2 U D F R D
F2 U D F R D'
F2 U D F R D2
F2 U D F D R
F2 U D F D' R
F2 U D F D2 R
F2 U D' R F R
F2 U D' R' F R
F2 U D' R2 F R
D U F R F2 L'
F2 U D' F R D
F2 U D' F R D'
F2 U D' F R D2
U D F R F2 L'
F2 U D' F D R
F2 U D' F D' R
F2 U D' F D2 R
F2 U D2 R F R
F2 U D2 R' F R
F2 U D2 R2 F R
F2 U D2 F R D
F2 U D2 F R D'
F2 U D2 F R D2
F2 U D2 F D R
F2 U D2 F D' R
F2 U D2 F D2 R
F2 U F R2 D R'
F2 U F R2 D' R'
F2 U F R2 D2 R'
F2 U F D R D
F2 U F D R D'
F2 U F D R D2
