F' L' B2 R' U2
F R D2 F2 B2
F R D2 B2 F2
F D2 R F2 B2
F D2 R B2 F2
F D2 B2 R F2
B2 F' L' U2 L
F' B2 L' U2 L
F' L B2 L2 U2 L
F' L' R B2 R' U2
F' L' R' B2 R' U2
F' L' R2 B2 R' U2
F' L' U2 L D2 F2
F' L' U2 D2 L F2
F' L' U2 D2 F2 L
F' L' U2 D2 F2 L
F' L' D2 U2 L F2
F' L' D2 U2 F2 L
B2 L' F' L' U2 L2
F' L' B2 R' U2 D
F' L' B2 R' U2 D'
F' L' B2 R' U2 D2
F' L' B2 R' D U2
F' L' B2 R' D' U2
F' L' B2 R' D2 U2
F' L' B2 D R' U2
F' L' B2 D' R' U2
F' L' B2 D2 R' U2
B2 L2 F' L' U2 L'
F' L2 B2 U2 L2 R'
F' L2 B2 U2 R' L2
F' R L' B2 R' U2
F R U2 F2 B2 U2
F R U2 B2 F2 U2
D2 R F R F B
D2 R F R B F
F R D2 F2 B2 D
F R D2 F2 B2 D'
F R D2 F2 B2 D2
B R F R F' B
B R F R B F'
F R D2 B2 F2 D
F R D2 B2 F2 D'
F R D2 B2 F2 D2
F' R B2 L' U2 L
F' R' L' B2 R' U2
F' R' B2 L' U2 L
F' R2 L' B2 R' U2
F R2 D2 R' F2 B2
F R2 D2 R' B2 F2
D2 R2 F B R F
F R2 D2 F2 R' B2
B R2 F B R F2
D2 R2 F2 D2 B R'
D2 R2 B F R F
F' R2 B2 L' U2 L
B R2 B F R F2
F' U2 L' B2 U2 B2
R2 D2 F B R F
R D2 F R F B
R D2 F R B F
R2 D2 F2 D2 B R'
R2 D2 B F R F
F2 U2 F L' B2 U2
F2 U2 F B2 L' U2
B2 U2 F' U2 F R
R' F R' B R2 F'
B' U2 F' B' U2 R'
B' U2 F' B' U2 R'
D2 F R D2 F B2
D2 F R D2 B2 F
B U2 F' B L U2
F U2 F2 L' B2 U2
B U2 B L F' U2
R F R D2 F2 B
F' U2 B2 L' U2 B2
R F R D2 B F2
F U2 F2 B2 L' U2
B' U2 B' F' U2 R'
B U2 B F' L U2
F2 U2 B2 F L' U2
F U2 B2 F2 L' U2
D2 F D2 R F B2
D2 F D2 R B2 F
D2 F D2 B2 R F
R2 F D2 B R F2
R2 F B R2 F' R'
R F D2 R F2 B
R F D2 R B F2
L' F' L' B2 U2 L2
D2 F' L' U2 L F'
D2 F' L' U2 F' L
L2 F' L' B2 U2 L'
B2 D F' L' U2 L
L' F' B2 L' R' U2
L' F' B2 R' L' U2
R2 F' D2 F2 B R
R2 F' D2 B F2 R
U2 F' B L B U2
L2 F' B2 L' U2 L'
R F' D2 F2 R B
B2 D' F' L' U2 L
F' D2 L' U2 L F2
F' D2 L' U2 F2 L
D2 F2 U2 F L' U2
R2 F2 D2 F2 B R'
R2 F2 D2 B R' F2
R2 F2 D2 B F2 R'
R2 F2 D2 B F2 R'
R2 F2 B R2 F' R
F D2 R F2 B2 D
F D2 R F2 B2 D'
F D2 R F2 B2 D2
F D2 R B2 F2 D
F D2 R B2 F2 D'
