F2 U F R B
B L F2 U F R
F2 U R F B R
F2 U R B F R
F2 U D F R B
F2 U D' F R B
F2 U D2 F R B
F2 U F R D B
F2 U F R D' B
F2 U F R D2 B
F2 U F R B D
F2 U F R B D'
F2 U F R B D2
F2 U F D R B
F2 U F D' R B
F2 U F D2 R B
F2 U F B R B
F2 U F B' R B
F2 U F B2 R B
F2 U B F R B
F2 U B' F R B
F2 U B2 F R B
F2 D U F R B
F2 D' U F R B
L' F2 U F R B
L2 F2 U F R B
L F2 U F R B
F2 D2 U F R B
U' L D' L2 F' B' R'
U' L D' L2 B' F' R'
F' L F' U F R B
B L F2 R B U F
B L F2 U R F R
B L F2 U R' F R
B L F2 U R2 F R
B L F2 U D F R
B L F2 U D' F R
B L F2 U D2 F R
B L F2 U F R D
B L F2 U F R D'
B L F2 U F R D2
B L F2 U F D R
B L F2 U F D' R
B L F2 U F D2 R
B L F2 D U F R
B L F2 D' U F R
B L F2 D2 U F R
B L F2 B U F R
B L F2 B' U F R
B L F2 B2 U F R
B L B F2 U F R
B L B' F2 U F R
B L B2 F2 U F R
F2 L' R B L U F
D' L' U' L' F' B' R'
D' L' U' L' B' F' R'
U' L' D' F' B' L2 R'
U' L' D' F' B' R' L2
U' L' D' B' L2 F' R'
U' L' D' B' F' L2 R'
U' L' D' B' F' R' L2
F' L' F' U F R B
F2 L' B L U F R
U' L' B' D' L2 F' R'
U' L' B' D' F' L2 R'
U' L' B' D' F' R' L2
F' L2 F' U F R B
F L2 B' R' F' U' F'
F2 R L' B L U F
D' U L2 F R F2 B
D' U L2 F R B F2
F2 U R D F B R
F2 U R D B F R
F2 U R D' F B R
F2 U R D' B F R
F2 U R D2 F B R
F2 U R D2 B F R
F2 U R F D B R
F2 U R F D' B R
F2 U R F D2 B R
F2 U R F B R D
F2 U R F B R D'
F2 U R F B R D2
F2 U R F B D R
F2 U R F B D' R
F2 U R F B D2 R
F2 U R F B' R B2
F2 U R F B2 R B'
F2 U R B R F R
F2 U R B R' F R
F2 U R B R2 F R
F2 U R B D F R
F2 U R B D' F R
F2 U R B D2 F R
F2 U R B F R D
F2 U R B F R D'
F2 U R B F R D2
F2 U R B F D R
F2 U R B F D' R
F2 U R B F D2 R
F2 U R B' F R B2
F2 U R B2 F R B'
F2 U R' F R D2 B2
F2 U R' F D2 R B2
F2 U R' F D2 B2 R
U' D R2 B L F U2
F2 U R2 F R' B R2
D' U F L2 R F2 B
D' U F L2 R B F2
D' U F R L2 F2 B
D' U F R L2 B F2
D' U F R F2 L2 B
D' U F R F2 B L2
D' U F R B L2 F2
D' U F R B F2 L2
F2 U D R F B R
