F R B2 U B2
B2 F R U B2
F B2 R U B2
F L R B2 U B2
F L B2 R U B2
F L' R B2 U B2
F L' B2 R U B2
F L2 R B2 U B2
F L2 B2 R U B2
F R L B2 U B2
F R L' B2 U B2
F R L2 B2 U B2
B2 R F R U B2
F R B2 L U B2
F R B2 L' U B2
F R B2 L2 U B2
F R B2 U B2 D
F R B2 U B2 D'
F R B2 U B2 D2
F R B2 D L2 U
B2 R' F R U B2
U' R' F B2 U F2
U' R' B2 F U F2
F R' B2 R2 U B2
B2 R2 F R U B2
F U' R B2 U L
F2 U' F' R B2 U
F' U' F2 R B2 U
F2 U' F' B2 R U
F' U' F2 B2 R U
F' U' B2 F2 R U
F2 U' B2 F' R U
R' F R B2 U B2
U' F R' B2 U F'
R2 F R B2 U B2
R F R B2 U B2
R' F B2 R U B2
U' F B2 R' U F'
R2 F B2 R U B2
B2 D F L2 R U
B2 D F R L2 U
R F B2 R U B2
B2 F L R U B2
B2 F L' R U B2
B2 F L2 R U B2
B2 F R L U B2
B2 F R L' U B2
B2 F R L2 U B2
B2 F R U B2 D
B2 F R U B2 D'
B2 F R U B2 D2
B2 F R D L2 U
B2 F D L2 R U
B2 F D R L2 U
U' B2 R' F U F2
F B2 L R U B2
F B2 L' R U B2
F B2 L2 R U B2
F B2 R L U B2
F B2 R L' U B2
F B2 R L2 U B2
F B2 R U B2 D
F B2 R U B2 D'
F B2 R U B2 D2
F B2 R D L2 U
R' B2 F R U B2
U' B2 F R' U F'
R2 B2 F R U B2
F B2 D L2 R U
F B2 D R L2 U
R B2 F R U B2
F L R B2 L U B2
F L R B2 L' U B2
F L R B2 L2 U B2
F L R B2 U B2 D
F L R B2 U B2 D'
F L R B2 U B2 D2
F L R B2 D L2 U
F L R' B2 R2 U B2
F L U' R B2 U L
F2 L U' F' R B2 U
F2 L U' F' B2 R U
F2 L U' B2 F' R U
F' L D F2 D2 L2 R2
F' L D F2 D2 R2 L2
F' L D' L2 R2 D2 F2
F' L D' R2 L2 D2 F2
F2 L F' R B2 U B2
F2 L F' B2 R U B2
F L B2 L R U B2
F L B2 L' R U B2
F L B2 L2 R U B2
F L B2 R L U B2
F L B2 R L' U B2
F L B2 R L2 U B2
F L B2 R U B2 D
F L B2 R U B2 D'
F L B2 R U B2 D2
F L B2 R D L2 U
F L B2 D L2 R U
F L B2 D R L2 U
F2 L B2 F' R U B2
F L' R B2 L U B2
F L' R B2 L' U B2
F L' R B2 L2 U B2
F L' R B2 U B2 D
F L' R B2 U B2 D'
F L' R B2 U B2 D2
F L' R B2 D L2 U
F L' R' B2 R2 U B2
B2 L' U B L F B
B2 L' U B L B F
F L' U' R B2 U L
F' L' U' F2 B2 U F2
F2 L' U' F' R B2 U
F2 L' U' F' B2 R U
F' L' U' B2 F2 U F2
F2 L' U' B2 F' R U
F' L' D' L2 R2 D F2
F' L' D' R2 L2 D F2
F' L' D2 F2 B2 U' B2
F' L' D2 B2 F2 U' B2
F2 L' F' R B2 U B2
F2 L' F' B2 R U B2
F L' B2 L R U B2
F L' B2 L' R U B2
F L' B2 L2 R U B2
F L' B2 R L U B2
F L' B2 R L' U B2
F L' B2 R L2 U B2
F L' B2 R U B2 D
F L' B2 R U B2 D'
F L' B2 R U B2 D2
F L' B2 R D L2 U
F2 L' B2 F' R U B2
F L' B2 D L2 R U
F L' B2 D R L2 U
F L2 R B2 L U B2
F L2 R B2 L' U B2
F L2 R B2 L2 U B2
F L2 R B2 U B2 D
F L2 R B2 U B2 D'
F L2 R B2 U B2 D2
F L2 R B2 D L2 U
F L2 R' B2 R2 U B2
F L2 U' R B2 U L
F' L2 U' F2 B2 R' U
F2 L2 U' F' R B2 U
F2 L2 U' F' B2 R U
F' L2 U' B2 R' F2 U
F' L2 U' B2 F2 R' U
F2 L2 U' B2 F' R U
B2 L2 D L2 F R U
U L2 D' B' L U' R2
F2 L2 F' R B2 U B2
F2 L2 F' B2 R U B2
F' L2 F2 B2 R' U B2
F' L2 B2 R' F2 U B2
F L2 B2 L R U B2
F L2 B2 L' R U B2
F L2 B2 L2 R U B2
F L2 B2 R L U B2
F L2 B2 R L' U B2
F L2 B2 R L2 U B2
F L2 B2 R U B2 D
F L2 B2 R U B2 D'
F L2 B2 R U B2 D2
F L2 B2 R D L2 U
F' L2 B2 F2 R' U B2
F2 L2 B2 F' R U B2
F L2 B2 D L2 R U
F L2 B2 D R L2 U
F R L B2 L U B2
F R L B2 L' U B2
F R L B2 L2 U B2
F R L B2 U B2 D
F R L B2 U B2 D'
F R L B2 U B2 D2
F R L B2 D L2 U
F R L' B2 L U B2
F R L' B2 L' U B2
F R L' B2 L2 U B2
F R L' B2 U B2 D
F R L' B2 U B2 D'
F R L' B2 U B2 D2
F R L' B2 D L2 U
F R L2 B2 L U B2
F R L2 B2 L' U B2
F R L2 B2 L2 U B2
F R L2 B2 U B2 D
F R L2 B2 U B2 D'
F R L2 B2 U B2 D2
F R L2 B2 D L2 U
F R U D' R2 D B2
F' R U' F2 R B2 U
F' R U' F2 B2 R U
F' R U' B2 F2 R U
L2 U B' L U' F R
B2 R D F L2 R U
B2 R D F R L2 U
U' R D' F U R2 F'
F R D' U R2 D B2
F R D' B U R2 B'
F R D' B U B' R2
F R D' B' U B R2
F R D' B2 U R2 B2
F R D' B2 U B2 R2
B2 R F L R U B2
B2 R F L' R U B2
B2 R F L2 R U B2
B2 R F R L U B2
B2 R F R L' U B2
B2 R F R L2 U B2
B2 R F R U B2 D
B2 R F R U B2 D'
B2 R F R U B2 D2
B2 R F R D L2 U
U' R F R2 B2 U F'
U' R F U D' R2 F'
U' R F D' U R2 F'
B2 R F D L2 R U
B2 R F D R L2 U
U' R F B2 U' B' U2
U R F B2 L U F
F' R F2 R B2 U B2
R' U' R' F B2 U F2
F' R F2 B2 R U B2
R' U' R' B2 F U F2
R2 U' R' F B2 U F2
R U' R' F B2 U F2
R2 U' R' B2 F U F2
F R B U B' D' R2
R U' R' B2 F U F2
F R B D B U B2
F R B D' B U B2
F R B D2 B U B2
F R B' U B D' R2
F R B' D B' U B2
F R B' D' B' U B2
F R B' D2 B' U B2
F R B2 L U B2 D
F R B2 L U B2 D'
F R B2 L U B2 D2
F R B2 L D L2 U
F R B2 L' U B2 D
F R B2 L' U B2 D'
F R B2 L' U B2 D2
F R B2 L' D L2 U
U' R B2 F U' B' U2
F R B2 L2 U B2 D
F R B2 L2 U B2 D'
F R B2 L2 U B2 D2
F R B2 L2 D L2 U
F' R B2 F2 R U B2
F R B2 U L B2 L'
F R B2 U L2 B2 L2
F R B2 U R' B2 R
F R B2 U R2 B2 R2
F R B2 U B D B
F R B2 U B D' B
F R B2 U B D2 B
F R B2 U B' D B'
F R B2 U B' D' B'
F R B2 U B' D2 B'
F R B2 U' D2 F2 U2
F R B2 U' F U2 B2
F R B2 U' F' U2 B2
F R B2 U' F2 U2 B2
F R B2 U2 R U' B2
F R B2 U2 R' U' B2
F R B2 U2 R2 U' B2
F R B2 U2 D' R2 U'
F R B2 D L2 U D
F R B2 D L2 U D'
F R B2 D L2 U D2
F R B2 D L2 D U
F R B2 D L2 D' U
F R B2 D L2 D2 U
F R B2 D' U2 R2 U'
F R B2 D2 U' F2 U2
U R B2 F L U F
R' U' F R' B2 U F'
F R' L B2 R2 U B2
R' U' F B2 R' U F'
R2 U' F R' B2 U F'
R U' F R' B2 U F'
F R' L' B2 R2 U B2
R2 U' F B2 R' U F'
R U' F B2 R' U F'
U' R' U F' D' L2 R2
U' R' U F' D' R2 L2
F R' L2 B2 R2 U B2
F' R' U' F2 R B2 U
F' R' U' F2 B2 R U
F' R' U' B2 F2 R U
R' U' B2 R' F U F2
B2 R' D F L2 R U
B2 R' D F R L2 U
L2 U' B2 R' U F' L'
R' U' B2 F R' U F'
R2 U' B2 R' F U F2
F2 R' D' L' R2 F L'
F2 R' D' L' F L' R2
F2 R' D' L' F R2 L'
U' R' D' F U R2 F2
U' R' D' F U F2 R2
F2 R' D' R2 L' F L'
F2 R' D' R2 F L' F
R U' B2 R' F U F2
R2 U' B2 F R' U F'
F2 R' D' F L' R2 F
F2 R' D' F L' F R2
F2 R' D' F R2 L' F
R U' B2 F R' U F'
F R' D' R2 F2 D' L2
F R' D' F2 R2 D' L2
B2 R' F L R U B2
B' R' F R B' U B2
U' R' F R B2 U F2
B2 R' F L' R U B2
U' R' F R' B2 U F2
B2 R' F L2 R U B2
U' R' F R2 B2 U F2
B2 R' F R L U B2
B2 R' F R L' U B2
B2 R' F R L2 U B2
B2 R' F R U B2 D
B2 R' F R U B2 D'
B2 R' F R U B2 D2
B2 R' F R D L2 U
U' R' F U F2 D' R2
B R' F R B U B2
B2 R' F D L2 R U
B2 R' F D R L2 U
B' R' F B' R U B
U' R' F B2 R U F2
U' R' F B2 R' U F2
U' R' F B2 R2 U F2
U' R' F B2 U F2 D
U' R' F B2 U F2 D'
U' R' F B2 U F2 D2
U' R' F B2 D R2 U
F' R' F2 R B2 U B2
F' R' F2 B2 R U B2
F R' F2 D' L2 R2 F2
F R' F2 D' L2 F2 R2
F R' F2 D' R2 L2 F2
F R' F2 D' R2 F2 L2
F R' F2 D' F2 L2 R2
F R' F2 D' F2 R2 L2
B' R' B' F R U B
U' R' B2 U F' D' L2
U' R' B2 D F U F2
U' R' B2 D' F U F2
U' R' B2 D2 F U F2
U' R' B2 F R U F2
U' R' B2 F R' U F2
U' R' B2 F R2 U F2
U' R' B2 F U F2 D
U' R' B2 F U F2 D'
U' R' B2 F U F2 D2
U' R' B2 F D R2 U
F R' B2 L R2 U B2
F' R' B2 F2 R U B2
F R' B2 L' R2 U B2
F R' B2 L2 R2 U B2
F R' B2 R2 L U B2
F R' B2 R2 L' U B2
F R' B2 R2 L2 U B2
F R' B2 R2 U B2 D
F R' B2 R2 U B2 D'
F R' B2 R2 U B2 D2
F R' B2 R2 D L2 U
F R' B2 U B2 D' F2
D' R2 U' R' F U F2
D' R2 U' F R' U F'
F' R2 U' F2 R B2 U
F' R2 U' F2 B2 R U
F' R2 U' B2 F2 R U
B2 R2 D F L2 R U
B2 R2 D F R L2 U
B2 R2 F L R U B2
U' R2 F R B2 U F'
B2 R2 F L' R U B2
B2 R2 F L2 R U B2
B2 R2 F R L U B2
B2 R2 F R L' U B2
