B' R' U L U R'
B' L U R2 D' F2 L'
R2 L D B L F B'
R2 L D B L B' F
R' L D' R' B L F
B' L' R' U L2 U R'
B' L' R' U2 R' D' B2
B' L' R' U2 D' R' B2
B' L' R' D F2 U2 R'
B' L' R' D' U2 R' B2
L R' D' R' B L F
L2 R' D' R' F B L
L2 R' D' R' B F L
L2 R' D' F R' B L
L2 R' F D' R' B L
L2 R2 D F B L B'
R2 L2 D F B L B'
L2 R2 D B F L B'
L R2 D B L F B'
L R2 D B L B' F
R2 L2 D B F L B'
R' L2 D' R' F B L
R' L2 D' R' B F L
R' L2 D' F R' B L
B' L2 R' U L' U R'
R' L2 F D' R' B L
L2 R2 F D B L B'
R2 L2 F D B L B'
B' R' L' U L2 U R'
B' R' L' U2 R' D' B2
B' R' L' U2 D' R' B2
B' R' L' D F2 U2 R'
B' R' L' D' U2 R' B2
B' R' L2 U L' U R'
B' R' U L U R' D
B' R' U L U R' D'
B' R' U L U R' D2
B' R' U L U D R'
B' R' U L U D' R'
B' R' U L U D2 R'
B' R' U L D U R'
B' R' U L D' U R'
B' R' U L D2 U R'
B' R' U D L U R'
B' R' U D' L U R'
B' R' U D2 L U R'
B R' U B2 L R' U2
B R' U B2 R' L U2
B R' U' L R' D2 F2
B R' U' L D2 R' F2
B R' U' L D2 F2 R'
B R' U' R' L D2 F2
B R' U' R' D2 L F2
B R' U' R' D2 F2 L
B R' U' D2 L R' F2
B R' U' D2 L F2 R'
B R' U' D2 R' L F2
B R' U' D2 R' F2 L
B R' U' D2 F2 L R'
B R' U' D2 F2 R' L
B' R' U2 R' U' L U
B' R' D U L U R'
B R' D L2 U' L' R'
B R' D L2 U' R' L'
B' R' D' U L U R'
B' R' D2 U L U R'
B R' D2 U' L R' F2
B R' D2 U' L F2 R'
B R' D2 U' R' L F2
B R' D2 U' R' F2 L
B R' D2 U' F2 L R'
B R' D2 U' F2 R' L
B' R' F U L U R'
B' R' F' U L U R'
B' R' F2 U L U R'
R2 U2 B' U L F U
U R2 D L B' L F
R2 D L B L F B2
R2 D L B L B2 F
B R2 D2 F2 L D' B2
B' U L U' R' U2 R'
B' U L D B2 U L
B' U L B2 U L R2
B' U L B2 U R2 L
R2 D B L D2 F2 B'
R2 D B L D2 B' F2
B' U D L B2 U L
R' D' L R' B L F
R' D' L2 R' F B L
R' D' L2 R' B F L
R' D' L2 F R' B L
R' D' R' L B L F
R' D' R' L2 F B L
R' D' R' L2 B F L
R' D' R' B L D2 F2
R' D' R' B D2 L F2
R' D' R' B D2 F2 L
B2 U B R' F' U2 R'
B2 U' L' R2 F' B' L
B2 U' L' R2 B' L F'
B2 U' L' R2 B' F' L
R' D' B' R' U2 B R'
B2 U' R2 L' F' B' L
B2 U' R2 L' B' L F'
B2 U' R2 L' B' F' L
R2 D' B D2 L F2 B'
R2 D' B D2 L B' F2
R2 D' B D2 F2 L B'
B2 U' R2 F' L' B' L
R2 D' B' R' U2 B R
R D' B' R' U2 B R2
B' U' B2 R' U' L R'
B' U' B2 R' U' R' L
L2 F R' D' R' B L
L2 F R2 D B L B'
B' D R' U L B2 U
B' D U L B2 U L
B' D2 L2 R' U L' U
B' D2 R' L2 U L' U
L2 B R' U' R' F L
L2 B R' U' F L R'
L2 B R' U' F R' L
L2 B R2 F D' L B'
B' F R' U L U R'
D2 B' L2 D R' U2 B
D' B' R' U' F2 U' B
D' B' R' U2 D B R2
D' B' R' U2 B D R2
D' B' R' D U2 B R2
D' B' R' D' L2 U2 B
R2 B' R' U L U R
R B' R' U L U R2
U2 B' U L F U R2
B' F' R' U L U R'
F' B' R' U L U R'
F2 B' R' U L U R'
F B' R' U L U R'
B' F2 R' U L U R'
U' B2 U' R2 F' L' B'
