U2 L' R B R' U
U2 R L' B R' U
U2 R B L' R' U
U2 R B R' L' U
U2 D L' U F R
D U2 L' U F R
L D2 R2 F L' U'
L D2 F L' R2 U'
L D2 F R2 L' U'
L' B' U2 L B U'
F2 L R D2 F L' U'
U2 L R B L2 R' U
U2 L R B R' L2 U
D L U2 L2 B' U F
R' L D2 R2 F L' U'
R2 L D2 R2 F L' U'
L R D2 R2 F L' U'
R' L D2 F L' R2 U'
R' L D2 F R2 L' U'
R L D2 R2 F L' U'
R2 L D2 F L' R2 U'
L R D2 F L' R2 U'
R2 L D2 F R2 L' U'
L R D2 F R2 L' U'
R L D2 F L' R2 U'
R L D2 F R2 L' U'
F2 L D' R F U' F2
D' L D' F L' U' B2
B' L D' F B U' B
F L D' F R U' F'
B' L D' B F U' B
F2 L D2 R F L' U'
B' L D2 F B R2 U'
F L D2 F L' R U'
F L D2 F R L' U'
B' L D2 B R2 F U'
B' L D2 B F R2 U'
D2 L F L' U2 L' U
D L F U2 L2 U F
D2 L F D' L' U' B2
D2 L F D2 L' R2 U'
D2 L F D2 R2 L' U'
B' L F D' B U' B
B' L F D2 B R2 U'
F L F D' R U' F'
B' L F B U' D' B2
B' L F B U2 L2 U
B' L F B D' U' B2
B' L F B D2 R2 U'
L' R B' U2 L B U'
B' L B U2 L2 B' U
B' L B D' F U' B2
B' L B D2 R2 F U'
B' L B D2 F R2 U'
B' L B F U' D' B2
B' L B F U2 L2 U
B' L B F D' U' B2
B' L B F D2 R2 U'
U2 L' R B R' U D
U2 L' R B R' U D'
U2 L' R B R' U D2
U2 L' R B R' D U
U2 L' R B R' D' U
U2 L' R B R' D2 U
U2 L' R B D R' U
U2 L' R B D' R' U
U2 L' R B D2 R' U
B L' R' D' B' U L
U2 L' R2 B R' B U
L R' D2 R2 F L' U'
U2 L' U D' F R F'
L R' D2 F L' R2 U'
L R' D2 F R2 L' U'
U2 L' U F D' R F'
B' L' U2 L2 F B U'
B' L' U2 L2 B F U'
B2 L' D B' R' U L2
U2 L' D' R B U F'
U2 L' D' U F R F'
B L' D' R' B' U L
R' L' B' U2 L B U'
L' R' B' U2 L B U'
B' L' D2 R2 F' B' U
B' L' D2 R2 B' F' U
