U2 B L U L2
U2 L B L U L
U' L' R D B R'
U' L' U' B L U
U2 L' B L U L'
U L' B' D' R2 F'
U' R L' D B R'
U' R D L' B R'
U' R D B L' R'
U' R D B R' L'
F R2 F' R' U' L'
U2 D B L U L2
U2 D' B L U L2
D' U2 B L U L2
U2 D2 B L U L2
D2 U2 B L U L2
D U2 B L U L2
R F R F' U' L'
U2 B L U L2 D
U2 B L U L2 D'
U2 B L U L2 D2
U2 B L D F2 U
U2 B L F U L2
U2 B L F' U L2
U2 B L F2 U L2
U2 B U L' D' B2
U2 B D L U L2
U2 B D' L U L2
U2 B D2 L U L2
U L U B U L2 B'
U' L U' B L U L
B L U2 L' U' L' B'
U L U2 L2 B' D' R2
U2 L D F2 B L U
U2 L D B L F2 U
U2 L D B F2 L U
U L F U B U L2
U2 L F B L U L
U2 L F' B L U L
U2 L F2 B L U L
U2 L B L U L D
U2 L B L U L D'
U2 L B L U L D2
U2 L B L U D L
U2 L B L U D' L
U2 L B L U D2 L
U2 L B L D U L
U2 L B L D' U L
U2 L B L D2 U L
U2 L B L F U L
U2 L B L F' U L
U2 L B L F2 U L
U2 L B D L F2 U
U L B U L2 F B'
U L B U L2 B' F
U2 L B D F2 L U
U2 L B F L U L
U2 L B F' L U L
U2 L B F2 L U L
U' L' R D B R' D
U' L' R D B R' D'
U' L' R D B R' D2
U' L' R D B D R'
U' L' R D B D' R'
U' L' R D B D2 R'
U' L' U' L B L U
U' L' U' L' B L U
U' L' U' L2 B L U
U' L' U' D B L U
U' L' U' D' B L U
U' L' U' D2 B L U
U' L' U' B L U D
U' L' U' B L U D'
U' L' U' B L U D2
U' L' U' B L D U
U' L' U' B L D' U
U' L' U' B L D2 U
U' L' U' B D L U
U' L' U' B D' L U
U' L' U' B D2 L U
U' L' D R D B R'
U' L' D U' B L U
U2 L' D B L U L'
U' L' D' R D B R'
U L' D B' D' R2 F'
U' L' D' U' B L U
U2 L' D' B L U L'
U' L' D2 R D B R'
U L' D' B' D' R2 F'
U' L' D2 U' B L U
U2 L' D2 B L U L'
U L' D2 B' D' R2 F'
U2 L' F B L U L'
U L' F B' D' R2 F'
U2 L' F' B L U L'
U L' F' B' D' R2 F'
U2 L' F2 B L U L'
U2 L' B L U L' D
U2 L' B L U L' D'
U2 L' B L U L' D2
U2 L' B L U D L'
U2 L' B L U D' L'
U2 L' B L U D2 L'
U2 L' B L D U L'
U2 L' B L D' U L'
U2 L' B L D2 U L'
U L' F2 B' D' R2 F'
U2 L' B D L U L'
U2 L' B D' L U L'
U2 L' B D2 L U L'
U2 L' B F L U L'
U2 L' B F' L U L'
U2 L' B F2 L U L'
U' L' B' R D' B R2
U' L' B' R' D' R2 B
U' L' B' D' R B R
U L' B' R2 D' F' R2
U L' B' R2 F' D' R2
U L' B' D' R2 D F'
U L' B' D' R2 D' F'
U L' B' D' R2 D2 F'
U L' B' D' R2 F' D
U L' B' D' R2 F' D'
U L' B' D' R2 F' D2
U L' B' D' F R2 F'
U L' B' D' F' R2 F'
U L' B' D' F2 R2 F'
U' L' B2 R B D' R2
U L' B' F D' R2 F'
U L' B' F' D' R2 F'
U L' B' F2 D' R2 F'
U' L2 R D L B R'
B L2 U2 L2 U' L' B'
U L2 U2 L B' D' R2
R' U L U2 L2 B' R'
R' U L F U2 L2 R
R' U L F U2 R L2
B2 L2 F L2 R U' L'
B2 L2 F R L2 U' L'
R' U L2 U2 L B' R'
U' R L' D B R' D
U' R L' D B R' D'
U' R L' D B R' D2
U' R L' D B D R'
U' R L' D B D' R'
U' R L' D B D2 R'
R' U F U2 R B L
U' R L2 D L B R'
U' R D L B L2 R'
U' R D L B R' L2
U' R D L' B R' D
U' R D L' B R' D'
U' R D L' B R' D2
U' R D L' B D R'
U' R D L' B D' R'
U' R D L' B D2 R'
U' R D B L' R' D
U' R D B L' R' D'
U' R D B L' R' D2
U' R D B L' D R'
U' R D B L' D' R'
U' R D B L' D2 R'
U' R D B R' L' D
U' R D B R' L' D'
U' R D B R' L' D2
U' R D B R' D L'
U' R D B R' D' L'
U' R D B R' D2 L'
U' R D B D L' R'
U' R D B D R' L'
U' R D B D' L' R'
U' R D B D' R' L'
U' R D B D2 L' R'
U' R D B D2 R' L'
U' R D' L' D2 B R'
F R D' F' U' L' R
F R D' F' U' R L'
R' U' L' R B' R' B2
R' U' L' R2 B' R' B
D2 R F R F' U' L'
D' R F R F' U' L'
R' U' L' B' R B R2
R' U' L' B2 R B R'
D R F R F' U' L'
R U' L' D R B R'
R' U' R L' B' R' B2
R' U' R B L' D2 R2
R' U' R B' L' R' B2
R' U' R B' R' L' B2
R' U' R B' R' B2 L'
F' R F2 R F' U' L'
R' U' R2 L' B' R' B
R' U' R2 B' L' R' B
R' U' R2 B' R' L' B
R' U' R2 B' R' B L'
R U' D L' R B R'
R U' D R L' B R'
R U' D R B L' R'
R U' D R B R' L'
R' U' B' L' R B R2
R' U' B' R L' B R2
R' U' B' R B L' R2
R' U' B' R B R2 L'
R' U' B2 L' R B R'
R' U' B2 R L' B R'
R' U' B2 R B L' R'
R' U' B2 R B R' L'
F R2 D F' R' U' L'
F R2 D' F' R' U' L'
F R2 D2 F' R' U' L'
F2 R2 F' R U R2 U2
F2 R2 F' R U' D2 L2
F2 R2 F' R D B2 U'
F2 R2 F' R D2 U' L2
F2 R2 F' B2 R U' L
F R2 F' R' U' L' D
F R2 F' R' U' L' D'
F R2 F' R' U' L' D2
F R2 F' R' U' D L'
F R2 F' R' U' D' L'
F R2 F' R' U' D2 L'
F R2 F' R' D U' L'
F R2 F' R' D' U' L'
F R2 F' R' D2 U' L'
F R2 F' R' B U' L'
F R2 F' R' B' U' L'
F R2 F' R' B2 U' L'
F R2 F' D R' U' L'
F R2 F' D' R' U' L'
F R2 F' D2 R' U' L'
F R2 F' B U' L' B'
F R2 F2 R' F U' L'
F R2 B F' U' L' B'
F2 R2 B2 F' R U' L
R D U' L' R B R'
R D U' R L' B R'
R D U' R B L' R'
R D U' R B R' L'
U' D L' R D B R'
U2 D L B L U L
U' D L' U' B L U
B' U L' D' B' R2 F'
B U L B L2 F B'
B U L B L2 B' F
D' U L' B' D' R2 F'
D2 U L' B' D' R2 F'
B U L' R2 B' R2 F'
U2 D L' B L U L'
B U L' B' R2 F' R2
B U L' B' U2 B U2
D U L' B' D' R2 F'
B U L' B2 D2 F2 B
B U L' B2 D2 B F2
U' D R L' D B R'
U D L' B' D' R2 F'
U' D R D L' B R'
U' D R D B L' R'
U' D R D B R' L'
B U R' U2 L' R B
B U R' U2 R L' B
B U R' U2 R B L'
B U R2 L' B' R2 F'
B' U D L2 U2 L B'
B' U D' L' B' R2 F'
U2 D B L U L2 D
U2 D B L U L2 D'
U2 D B L U L2 D2
U2 D B L D F2 U
U2 D B L F U L2
U2 D B L F' U L2
U2 D B L F2 U L2
U2 D B U L' D' B2
U2 D B D L U L2
U2 D B D' L U L2
U2 D B D2 L U L2
B U B L2 F L B'
D' U' L' R D B R'
U' D' L' R D B R'
D2 U' L' R D B R'
U' D' L' U' B L U
D' U' L' U' B L U
D2 U' L' U' B L U
U2 D' L B L U L
B U B' L' B' D2 F2
D U' L' R D B R'
D U' L' U' B L U
U2 D' L' B L U L'
B U B2 L' D2 F2 B'
B U B2 L' D2 B' F2
U' D' R L' D B R'
D' U' R L' D B R'
D2 U' R L' D B R'
U' D' R D L' B R'
D' U' R D L' B R'
U D' L' B' D' R2 F'
U' D' R D B L' R'
D' U' R D B L' R'
U' D' R D B R' L'
D' U' R D B R' L'
B U B2 D2 L' F2 B'
B U B2 D2 L' B' F2
D2 U' R D L' B R'
D2 U' R D B L' R'
D2 U' R D B R' L'
B' U' L' R D' B R2
B' U' L' R' D' R2 B
B2 U' L' R D' B R'
B' U' L' D' R B R
D U' R L' D B R'
B2 U' L' D' R B R'
D U' R D L' B R'
D U' R D B L' R'
D U' R D B R' L'
B U' L' R B2 R' B'
