L2 U' B L R2 U2
L2 U' B R2 L U2
R2 U2 D' F' R B2
R2 U2 D' F' B2 R
R2 U2 D' B2 F' R
R2 D' U2 F' R B2
R2 D' U2 F' B2 R
R2 D' U2 B2 F' R
R2 D' F' R B2 L
L2 R B U' R U2 F'
B2 L2 U D2 F L2 R
B2 L2 U D2 F R L2
B2 L2 U F D2 L2 R
B2 L2 U F D2 R L2
B2 L2 U' R2 U2 F R
F' L2 U' B L R2 U2
F' L2 U' B R2 L U2
F2 L2 U' B L R2 U2
F2 L2 U' B R2 L U2
F L2 U' B L R2 U2
F L2 U' B R2 L U2
R L2 B U' R U2 F'
B2 L2 D2 U F L2 R
B2 L2 D2 U F R L2
R2 U L2 U D' F' R
R2 U L2 D' U F' R
L2 U B R2 U2 B' R'
L2 U' L B L R2 U2
L2 U' L B R2 L U2
L2 U' L' B L R2 U2
L2 U' L' B R2 L U2
L2 U' L2 B L R2 U2
L2 U' L2 B R2 L U2
L2 U' R2 U2 F R F2
L2 U' R2 B L U2 F'
L2 U' R2 B' U2 F' R'
L2 U' D2 B L U2 L
L2 U' B L R2 U2 D
L2 U' B L R2 U2 D'
L2 U' B L R2 U2 D2
L2 U' B L R2 D U2
L2 U' B L R2 D' U2
L2 U' B L R2 D2 U2
L2 U' B L U2 D2 L2
L2 U' B L D2 U2 L2
L2 U' B R2 L U2 D
L2 U' B R2 L U2 D'
L2 U' B R2 L U2 D2
L2 U' B R2 L D U2
L2 U' B R2 L D' U2
L2 U' B R2 L D2 U2
L2 U' B R2 D L U2
L2 U' B R2 D' L U2
L2 U' B R2 D2 L U2
L2 U' B D2 L U2 L
L2 U' B' R2 B2 U2 R
L2 U' B2 R2 B' L U2
D2 R' F' R' U' L2 F'
D2 R' F' R' U' F' L2
R2 U2 D F' R2 B R'
R2 U2 D' F' R B2 D
R2 U2 D' F' R B2 D'
R2 U2 D' F' R B2 D2
R2 U2 D' F' R' B2 R2
R2 U2 D' F' B' R B'
R2 U2 D' F' B2 R D
R2 U2 D' F' B2 R D'
R2 U2 D' F' B2 R D2
R2 U2 D' F' B2 D R
R2 U2 D' F' B2 D' R
R2 U2 D' F' B2 D2 R
R2 U2 D' B' F' R B'
R2 U2 D' B2 F' R D
R2 U2 D' B2 F' R D'
R2 U2 D' B2 F' R D2
R2 U2 D' B2 F' D R
R2 U2 D' B2 F' D' R
R2 U2 D' B2 F' D2 R
D2 R2 U' L2 D' F' R
F' R2 U2 D' F' R B2
F' R2 U2 D' F' B2 R
F' R2 U2 D' B2 F' R
F2 R2 U2 D' F' R B2
F2 R2 U2 D' F' B2 R
F2 R2 U2 D' B2 F' R
R2 U2 B D' F' R B2
R2 U2 B D' F' B2 R
R2 U2 B D' B2 F' R
F R2 U2 D' F' R B2
F R2 U2 D' F' B2 R
F R2 U2 D' B2 F' R
U' R2 D F2 U2 F R
R2 U2 B' D' F' R B2
R2 U2 B' D' F' B2 R
R2 U2 B' D' B2 F' R
B2 R2 D F2 B' L U2
B2 R2 D B' L F2 U2
B2 R2 D B' F2 L U2
F' R2 D' U2 F' R B2
F' R2 D' U2 F' B2 R
F' R2 D' U2 B2 F' R
F' R2 D' F' R B2 L
R2 U2 B2 D' F' R B2
R2 U2 B2 D' F' B2 R
R2 U2 B2 D' B2 F' R
F2 R2 D' U2 F' R B2
F2 R2 D' U2 F' B2 R
D2 R2 D' B2 U' F' R
F2 R2 D' U2 B2 F' R
F2 R2 D' F' R B2 L
B R2 D' F L' U2 B2
B R2 D' F' U2 R B2
B R2 D' F' U2 B2 R
F R2 D' U2 F' R B2
F R2 D' U2 F' B2 R
F R2 D' U2 B2 F' R
F R2 D' F' R B2 L
D' R2 B2 D' L2 F' R
D' R2 B2 D' F' L2 R
D' R2 B2 D' F' R L2
R2 D U2 F' R2 B R'
R2 D F2 L2 B' L U2
R2 D F2 B U2 R' F
R2 D F2 B U2 F R'
R2 D F2 B2 U2 F R
R2 D B F2 U2 R' F
R2 D B F2 U2 F R'
R2 D B' L F2 U2 F
R2 D B2 F2 U2 F R
R2 D' L U2 F' R B2
R2 D' L U2 F' B2 R
R2 D' L U2 B2 F' R
R2 D' L F' R B2 L
R2 D' L' U2 F' R B2
R2 D' L' U2 F' B2 R
R2 D' L' U2 B2 F' R
R2 D' L' F' R B2 L
R2 D' L2 U2 F' R B2
R2 D' L2 U2 F' B2 R
R2 D' L2 U2 B2 F' R
R2 D' L2 F' R B2 L
D' U B2 D' L2 F R
R2 D' U2 F' R B2 D
R2 D' U2 F' R B2 D'
R2 D' U2 F' R B2 D2
R2 D' U2 F' R' B2 R2
