F L U F2 D2 R2
F L U' L2 U2 F2
F' L F2 U F2 R
F' L' R D' L2 B2
F' L' R D' B2 L2
F' L' D' L2 R B2
F' L' D' L2 B2 R
F' L' D' R L2 B2
F' L' D' R B2 L2
F' L' D' B2 L2 R
F' L' D' B2 R L2
F' R L' D' L2 B2
F' R L' D' B2 L2
F' R U' L F2 U
F' R U' F2 L U
D' F L B' U F2
B' F U F2 R B
F B' U F2 R B
F L R U F2 D2 R2
F L R U' L2 U2 F2
F' L R D' L2 D' B2
F L R' U F2 D2 R2
F L R' U' L2 U2 F2
F' L R' F2 U R2 F2
F' L R' F2 U F2 R2
F L R2 U F2 D2 R2
F L R2 U' L2 U2 F2
F' L R2 F2 U R' F2
F' L R2 F2 U F2 R'
F L U L' F2 L R
F L U L' F2 R L
F L U R F2 D2 R2
F L U R' F2 D2 R2
F L U R2 F2 D2 R2
F L U D2 R2 D2 F2
F L U F D2 R2 F
F L U F D2 F R2
F L U F' D2 F' R2
F L U F2 R D2 R2
F L U F2 R' D2 R2
F L U F2 R2 D2 R2
F L U F2 U2 L2 U2
F L U F2 D2 R2 D
F L U F2 D2 R2 D'
F L U F2 D2 R2 D2
F L U' L' U2 F2 R
F L U' L2 U2 F2 D
F L U' L2 U2 F2 D'
F L U' L2 U2 F2 D2
F L U' L2 D2 B2 U2
F L U' L2 B U2 F2
F L U' L2 B' U2 F2
F L U' L2 B2 U2 F2
F L U' D2 B2 U2 R2
F L U' B L2 U2 F2
F L U' B' L2 U2 F2
F L U' B2 L2 U2 F2
F L U2 L' U' F2 R
F L D R2 U D R2
F L D R2 U2 F2 U'
F L D R2 D U R2
F L D R2 D2 B2 U
F' L D' L2 R D' B2
F' L D' L2 D' R B2
F' L D' L2 D' B2 R
F' L D' R L2 D' B2
D' L D' B' U L F'
D' L D' B' U F' L
F L D' B2 U D F2
F L D' B2 U2 L2 U'
F L D' B2 D U F2
F L D' B2 D2 R2 U
F L D2 U R2 D2 F2
F L D2 U' B2 U2 R2
F L D2 B U R2 F'
F2 L F' U' L' U2 F
F' L F2 R U F2 R
F' L F2 R' U F2 R
F' L F2 R2 U F2 R
F' L F2 U R F2 R
F' L F2 U R' F2 R
F' L F2 U R2 F2 R
F' L F2 U F2 R D
F' L F2 U F2 R D'
F' L F2 U F2 R D2
F' L F2 U F2 D R
F' L F2 U F2 D' R
F' L F2 U F2 D2 R
F' L F2 U' L' U2 F2
F' L F2 B U F2 R
F' L F2 B' U F2 R
F' L F2 B2 U F2 R
F L B U F2 D2 R2
F L B U' L2 U2 F2
F' L B F2 U F2 R
F L B' U F2 D2 R2
F L B' U' L2 U2 F2
F' L B' F2 U F2 R
F L B2 U F2 D2 R2
F L B2 U' L2 U2 F2
F' L B2 F2 U F2 R
F' L' R U' L2 F2 U
F' L' R U' F2 L2 U
F' L' R D' L' B2 L'
F' L' R D' L2 B2 D
F' L' R D' L2 B2 D'
F' L' R D' L2 B2 D2
F' L' R D' B L2 B
F' L' R D' B2 L2 D
F' L' R D' B2 L2 D'
F' L' R D' B2 L2 D2
F' L' R B D' L2 B2
F' L' R B D' B2 L2
F' L' R B' D' L2 B2
F' L' R B' D' B2 L2
F' L' R B2 D' L2 B2
F' L' R B2 D' B2 L2
F' L' R2 D' L2 R' B2
F' L' R2 D' R' L2 B2
F' L' R2 D' R' B2 L2
F L' U L2 U L2 F2
F L' U L2 U F2 L2
B' L' U F' R B L
B' L' U' F' L' R B'
B' L' U' F' L' B' R
B' L' U' F' R L' B'
F' L' D' L' R B2 L'
F' L' D' L' B2 L' R
F' L' D' L' B2 R L'
F' L' D' L2 R B2 D
F' L' D' L2 R B2 D'
F' L' D' L2 R B2 D2
F' L' D' L2 R' B2 R2
F' L' D' L2 B' R B'
F' L' D' L2 B2 R D
F' L' D' L2 B2 R D'
F' L' D' L2 B2 R D2
F' L' D' L2 B2 D R
F' L' D' L2 B2 D' R
F' L' D' L2 B2 D2 R
F' L' D' R L' B2 L'
F' L' D' R L2 B2 D
F' L' D' R L2 B2 D'
F' L' D' R L2 B2 D2
F' L' D' R B L2 B
F' L' D' R B2 L2 D
F' L' D' R B2 L2 D'
F' L' D' R B2 L2 D2
F' L' D' R' L2 B2 R2
F' L' D' R' B2 L2 R2
F' L' D' R' B2 R2 L2
F' L' D' B L2 B R
F' L' D' B' R B' L2
F' L' D' B2 L2 R D
F' L' D' B2 L2 R D'
F' L' D' B2 L2 R D2
F' L' D' B2 L2 D R
F' L' D' B2 L2 D' R
F' L' D' B2 L2 D2 R
F' L' D' B2 R L2 D
F' L' D' B2 R L2 D'
F' L' D' B2 R L2 D2
F' L' B R D' L2 B2
F' L' B R D' B2 L2
F' L' B D' L2 R B2
F' L' B D' L2 B2 R
F' L' B D' R L2 B2
F' L' B D' R B2 L2
F' L' B D' B2 L2 R
F' L' B D' B2 R L2
F' L' B' R D' L2 B2
F' L' B' R D' B2 L2
F' L' B' D' L2 R B2
F' L' B' D' L2 B2 R
F' L' B' D' R L2 B2
F' L' B' D' R B2 L2
F' L' B' D' B2 L2 R
F' L' B' D' B2 R L2
F' L' B2 R D' L2 B2
F' L' B2 R D' B2 L2
F' L' B2 D' L2 R B2
F' L' B2 D' L2 B2 R
F' L' B2 D' R L2 B2
F' L' B2 D' R B2 L2
F' L' B2 D' B2 L2 R
F' L' B2 D' B2 R L2
F' L2 R U' L' F2 U
L U L' F' R D' L2
L U L' F' D' L2 R
L U L' F' D' R L2
F L2 B2 L' U R' F2
F L2 B2 L' U F2 R'
F' R L D' L2 D' B2
F R L U F2 D2 R2
F R L U' L2 U2 F2
F' R L' U' L2 F2 U
F' R L' U' F2 L2 U
F' R L' D' L' B2 L'
F' R L' D' L2 B2 D
F' R L' D' L2 B2 D'
F' R L' D' L2 B2 D2
F' R L' D' B L2 B
F' R L' D' B2 L2 D
F' R L' D' B2 L2 D'
F' R L' D' B2 L2 D2
F' R L' B D' L2 B2
F' R L' B D' B2 L2
F' R L' B' D' L2 B2
F' R L' B' D' B2 L2
F' R L' B2 D' L2 B2
F' R L' B2 D' B2 L2
F' R L2 U' L' F2 U
F' R U D2 B2 R' U'
F' R U' L U D' L2
F' R U' L D' U L2
F' R U' L F2 U D
F' R U' L F2 U D'
F' R U' L F2 U D2
F' R U' L F2 D U
F' R U' L F2 D' U
F' R U' L F2 D2 U
F' R U' L' F2 L2 U
F' R U' D' L U L
F' R U' F' L F' U
F' R U' F2 L U D
F' R U' F2 L U D'
F' R U' F2 L U D2
F' R U' F2 L D U
F' R U' F2 L D' U
F' R U' F2 L D2 U
F' R U' F2 D L U
F' R U' F2 D' L U
F' R U' F2 D2 L U
L U F2 D F L' R
L U F2 D F R L'
F' R D' L' D' L' B2
F' R D' L' D' B2 L'
F' R D' L2 U' L' U
F' R D' U' L U L
F' R D2 U B2 R' U'
F R B' U F2 R B
F' R' L F2 U R2 F2
F' R' L F2 U F2 R2
F R' L U F2 D2 R2
F R' L U' L2 U2 F2
L' U' F' R D' L' B2
L' U' F' R D' B2 L'
L' U' F' D' L' R B2
L' U' F' D' L' B2 R
L' U' F' D' R L' B2
L' U' F' D' R B2 L'
L' U' F' D' B2 L' R
L' U' F' D' B2 R L'
F' R' U' L F2 U R2
F' R' U' F2 L U R2
L U2 L B' U' F' R
L' U2 L2 U F' L' R
L' U2 L2 U F' R L'
L U2 L2 U' F' L' R
L U2 L2 U' F' R L'
F' R' F2 L U R2 F2
F' R' F2 L U F2 R2
F R' B' U F2 R B
F' R2 L F2 U R' F2
F' R2 L F2 U F2 R'
F R2 L U F2 D2 R2
F R2 L U' L2 U2 F2
F' R2 L' D' L2 R' B2
F' R2 L' D' R' L2 B2
F' R2 L' D' R' B2 L2
F' R2 U' L F2 U R'
F' R2 U' F2 L U R'
F' R2 F2 L U R' F2
F' R2 F2 L U F2 R'
F R2 B' U F2 R B
F U L U L' F2 R
D' U F L B' U F2
F' U D2 B2 R' U' R2
