U' L' U2 L F R
U' R B L U2 L'
F R B U2 B' U'
L U2 L' B' R' U
B' U2 B L F U'
R' F' L' U2 L U
U F' L' B' U2 B
U B U2 B' R' F'
U' L R B L U2 L2
U L R F R D2 L2
U L R' F2 L' F' R
U L R2 D2 F L2 R
U L R2 D2 F R L2
U L R2 F D2 L2 R
U L R2 F D2 R L2
U' L U2 L F L2 R
U' L U2 L F R L2
D2 L U2 L' B' R' U
D' L U2 L' B' R' U
F L U2 L' R B' U
D L U2 L' B' R' U
F L U2 L' B' R U
F L U2 R L' B' U
L2 R D2 R2 F' L' U'
R' L F2 R F L' U'
U L F R U2 R' U2
U L F R B2 L B2
U L F R2 D2 L2 R'
U L F R2 D2 R' L2
L2 R B L2 F R U
U L F B2 R B2 L
U L F' R' F2 L' R
U L F' R' F2 R L'
U L B U2 F B' R'
U L B U2 B' R' F
U L B U2 B' F R'
F' L' R U2 L B U
U L B2 F R B2 L
F' L' R' F' U2 L U
L2 R' D' F' L' U' B2
U L' R2 D2 L2 F R
L2 R' D2 F' L' R2 U'
L2 R' D2 F' R2 L' U'
R' L' F' L' U' D' B2
R' L' F' L' U2 L2 U
R' L' F' L' D' U' B2
R' L' F' L' D2 R2 U'
L' R' F' L' U' D' B2
L' R' F' L' U2 L2 U
L' R' F' L' D' U' B2
L' R' F' L' D2 R2 U'
F' L' U2 L U2 F U'
U' L' U2 L R F R
U' L' U2 L R' F R
U' L' U2 L R2 F R
U' L' U2 L D F R
U' L' U2 L D' F R
U' L' U2 L D2 F R
U' L' U2 L F R D
U' L' U2 L F R D'
U' L' U2 L F R D2
U' L' U2 L F D R
U' L' U2 L F D' R
U' L' U2 L F D2 R
F' L' U2 L' B' L2 U
L2 R' F' L' U2 L' U
U' L' U2 R L F R
U' L' U2 R' L F R
U' L' U2 R2 L F R
U' L' U2 D L F R
U' L' U2 D' L F R
U' L' U2 D2 L F R
U' L' U2 F L R F
U' L' U2 F R L F
L2 R' F' D' L' U' B2
L2 R' F' D2 L' R2 U'
L2 R' F' D2 R2 L' U'
L R' F2 R F L' U'
U' L' D U2 L F R
U' L' D' U2 L F R
U' L' D2 U2 L F R
U L' F B' U2 B R
U L' F' B' L' U2 B
U2 L' B' R' U2 R U'
U L' B' U2 B' R' B2
F' L' B2 R' F' B2 U'
F' L' B2 R' B2 F' U'
U L' B' F U2 B R
U L' B' F' L' U2 B
R' L2 D' F' L' U' B2
B2 L' B2 R' F' L' U'
R' L2 D2 F' L' R2 U'
R' L2 D2 F' R2 L' U'
U' L2 R B L U2 L
R L2 D2 R2 F' L' U'
F L2 R B L2 F U
U' L2 R' F' L2 B' R'
R' L2 F' L' U2 L' U
R' L2 F' D' L' U' B2
R' L2 F' D2 L' R2 U'
R' L2 F' D2 R2 L' U'
U' L2 U2 L F L R
U' L2 U2 L F R L
R L2 B L2 F R U
B L2 F L2 R B U
B L2 F R L2 B U
B L2 F R B L2 U
U' L2 F' L2 B' R' F'
U' L2 B L U2 L F
U' L2 B' R' F' L2 B'
U' R L B L U2 L2
F' R L' U2 L B U
U R L F R D2 L2
U' R L2 B L U2 L
F R L2 B L2 F U
U2 R U2 R' F' L' U'
U' R U2 B U2 B' R'
U' R D B L U2 L'
F R D B U2 B' U'
U' R D' B L U2 L'
F R D' B U2 B' U'
U' R D2 B L U2 L'
F R D2 B U2 B' U'
B' R F B R F' U
F R F B U2 B' U'
F R F' B U2 B' U'
U' R B L R U2 L'
U' R B L R' U2 L'
U' R B L R2 U2 L'
U' R B L U2 L' D
U' R B L U2 L' D'
U' R B L U2 L' D2
U' R B L U2 D L'
U' R B L U2 D' L'
U' R B L U2 D2 L'
U' R B L D U2 L'
U' R B L D' U2 L'
U' R B L D2 U2 L'
U' R B R L U2 L'
U' R B R' L U2 L'
U' R B R2 L U2 L'
F R F2 B U2 B' U'
U' R B D L U2 L'
F' R B U2 B' L' U'
U' R B D' L U2 L'
U' R B D2 L U2 L'
B2 R B U2 B L U'
B' R B F R F' U
F R B L2 F L2 U
F R B U2 D B' U'
F R B U2 D' B' U'
F R B U2 D2 B' U'
F R B U2 B' U' D
F R B U2 B' U' D'
F R B U2 B' U' D2
F R B U2 B' D U'
F R B U2 B' D' U'
F R B U2 B' D2 U'
F R B D U2 B' U'
F R B D' U2 B' U'
F R B D2 U2 B' U'
F R B F U2 B' U'
F R B F' U2 B' U'
F R B F2 U2 B' U'
U R B2 L F R B2
U R B2 L F B2 R
U R B2 L B2 F R
L2 U' D' B' R' F' B'
L2 U' D' B' R' B' F'
F R B2 D B' U L2
F R B2 D2 F2 B' U
F R B2 D2 B' F2 U
F' R' L' F' U2 L U
U R' L F2 L' F' R
U' R' L2 F' L2 B' R'
L2 U' B D' B2 R' F'
L2 U' B' R' D' F' B2
L2 U' B' R' D' B2 F'
L2 U' B' R' F' D' B2
U R' U2 R B L U2
L2 U' B' D' R' F' B2
L2 U' B' D' R' B2 F'
L' U2 L' B' L2 R' U
L' U2 L' B' R' L2 U
L U2 L' R B' R' U
L U2 L' R' B' R' U
L U2 L' R2 B' R' U
L2 U2 L' B' L' R' U
L2 U2 L' B' R' L' U
L U2 L' D B' R' U
L U2 L' D' B' R' U
L U2 L' D2 B' R' U
U R' F L R F L'
D2 R' F' L' U2 L U
