B2 U L' F2 B' U2
B2 U L' B' F2 U2
F2 U2 D L2 R F'
F2 U2 D R L2 F'
F2 U2 D R F' L2
F2 D R F' L2 B'
F2 D U2 L2 R F'
F2 D U2 R L2 F'
F2 D U2 R F' L2
F2 L U2 D L2 R F'
F2 L U2 D R L2 F'
F2 L U2 D R F' L2
F2 L D R F' L2 B'
F2 L D U2 L2 R F'
F2 L D U2 R L2 F'
F2 L D U2 R F' L2
F2 L' U2 D L2 R F'
F2 L' U2 D R L2 F'
F2 L' U2 D R F' L2
F2 L' D R F' L2 B'
F2 L' D U2 L2 R F'
F2 L' D U2 R L2 F'
F2 L' D U2 R F' L2
U L' F2 U2 D L2 F
U L' F2 D U2 L2 F
U L' F2 D B' U2 L2
U L' F2 D' R2 B' U2
U L' F2 D' B' R2 U2
U L' F2 B' U' B' U'
F' L' B2 U F' U2 R
U L' B' F2 U' B' U'
B2 L2 U L F2 U2 F'
B2 L2 U F2 L U2 F
B2 L2 U' D2 B2 R' F'
F2 L2 U2 D L2 R F'
F2 L2 U2 D R L2 F'
F2 L2 U2 D R F' L2
F2 L2 D R F' L2 B'
F2 L2 D U2 L2 R F'
F2 L2 D U2 R L2 F'
F2 L2 D U2 R F' L2
B2 L2 D2 U' B2 R' F'
B2 R U L' F2 B' U2
B2 R U L' B' F2 U2
B2 R' U L' F2 B' U2
B2 R' U L' B' F2 U2
B2 R2 U L' F2 B' U2
B2 R2 U L' B' F2 U2
D R2 U L' B' U2 L'
B2 U L F2 L2 U2 F'
B2 U L' D2 B' U2 B'
B2 U L' F2 D B' U2
B2 U L' F2 D' B' U2
B2 U L' F2 D2 B' U2
B2 U L' F2 B' U2 D
B2 U L' F2 B' U2 D'
B2 U L' F2 B' U2 D2
B2 U L' F2 B' D U2
B2 U L' F2 B' D' U2
B2 U L' F2 B' D2 U2
B2 U L' B' U2 D2 B2
B2 U L' B' D2 U2 B2
B2 U L' B' F2 U2 D
B2 U L' B' F2 U2 D'
B2 U L' B' F2 U2 D2
B2 U L' B' F2 D U2
B2 U L' B' F2 D' U2
B2 U L' B' F2 D2 U2
U' D L2 D B2 R' F'
B2 U L2 F2 L B' U2
B2 U D2 L' B' U2 B'
B2 U F2 L U2 R F
B2 U F2 L' B' U2 R
B2 U F2 U2 R' F' R2
B2 U B L' F2 B' U2
B2 U B L' B' F2 U2
B2 U B' L' F2 B' U2
B2 U B' L' B' F2 U2
B2 U B2 L' F2 B' U2
B2 U B2 L' B' F2 U2
D U' L2 D B2 R' F'
B2 U' L' F2 U2 L F
F2 U' B2 U' D R F'
F2 U' B2 D U' R F'
F2 U2 L D L2 R F'
F2 U2 L D R L2 F'
F2 U2 L D R F' L2
F2 U2 L' D L2 R F'
F2 U2 L' D R L2 F'
F2 U2 L' D R F' L2
F2 U2 L2 D L2 R F'
F2 U2 L2 D R L2 F'
F2 U2 L2 D R F' L2
F2 U2 D L R F' L
F2 U2 D L2 R D F'
F2 U2 D L2 R D' F'
F2 U2 D L2 R D2 F'
F2 U2 D L2 R F' D
F2 U2 D L2 R F' D'
F2 U2 D L2 R F' D2
F2 U2 D R L F' L
F2 U2 D R L2 D F'
F2 U2 D R L2 D' F'
F2 U2 D R L2 D2 F'
F2 U2 D R L2 F' D
F2 U2 D R L2 F' D'
F2 U2 D R L2 F' D2
F2 U2 D R F L2 F2
F2 U2 D R F' L2 D
F2 U2 D R F' L2 D'
F2 U2 D R F' L2 D2
F2 U2 D' R F2 L' F
D2 F R F U R B2
D2 F R F U B2 R
F2 D L U2 L R F'
F2 D L U2 R L F'
F2 D L U2 R F' L
F2 D L' U2 L' R F'
F2 D L' U2 R L' F'
F2 D R F' L2 D B'
F2 D R F' L2 D' B'
F2 D R F' L2 D2 B'
F2 D R F' L2 B' D
F2 D R F' L2 B' D'
F2 D R F' L2 B' D2
F2 D R F' B L2 B'
F2 D R F' B' L2 B'
F2 D R F' B2 L2 B'
F2 D R B F' L2 B'
F2 D R B' F' L2 B'
F2 D R B2 F' L2 B'
F2 D R' U2 L2 R2 F'
F2 D R' U2 R2 L2 F'
F2 D R' U2 R2 F' L2
F2 D R' B U2 L2 R2
F2 D R' B U2 R2 L2
B2 D R2 U L' B' U2
F2 D U2 L R F' L
F2 D U2 L2 R D F'
F2 D U2 L2 R D' F'
F2 D U2 L2 R D2 F'
F2 D U2 L2 R F' D
F2 D U2 L2 R F' D'
F2 D U2 L2 R F' D2
F2 D U2 R L F' L
F2 D U2 R L2 D F'
F2 D U2 R L2 D' F'
F2 D U2 R L2 D2 F'
F2 D U2 R L2 F' D
F2 D U2 R L2 F' D'
F2 D U2 R L2 F' D2
F2 D U2 R F L2 F2
F2 D U2 R F' L2 D
F2 D U2 R F' L2 D'
F2 D U2 R F' L2 D2
F2 D B R F' L2 B'
F2 D B U2 L2 R F'
F2 D B U2 R L2 F'
F2 D B U2 R F' L2
F2 D B' R F' L2 B'
F2 D B' U2 L2 R F'
F2 D B' U2 R L2 F'
F2 D B' U2 R F' L2
F2 D B2 R F' L2 B'
F2 D B2 U2 L2 R F'
F2 D B2 U2 R L2 F'
F2 D B2 U2 R F' L2
F2 D' L B' R2 U2 R'
F2 D' L' R2 U2 R' F
F2 D' L' R2 U2 F R'
F2 D' L2 R2 U2 R' F'
F2 D' R2 L' U2 R' F
F2 D' R2 L' U2 F R'
F2 D' R2 L2 U2 R' F'
