U' L R' B' U2 R'
U' L R' B' U2 R'
U' L' R' U2 F R
U L' F R D2 L2
U' R' L B' U2 R'
U' R' L' U2 F R
U' R' B L B' U2
B2 U L' F L2 R
B2 U L' F R L2
D2 U' R' B L U2
R D' F2 B R' U
R D' B R' F2 U
R D' B F2 R' U
U' D2 R' B L U2
U' B L B' R' U2
U L R D2 L2 F R
U' L R B' R2 U2 R
U' L R' D B' U2 R'
U' L R' D' B' U2 R'
U' L R' D2 B' U2 R'
U' L R' B L B2 U2
U' L R' B' L U2 R'
U' L R' B' L' U2 R'
U' L R' B' L2 U2 R'
U' L R' B' U2 R' D
U' L R' B' U2 R' D'
U' L R' B' U2 R' D2
U' L R' B' U2 D R'
U' L R' B' U2 D' R'
U' L R' B' U2 D2 R'
U' L R' B' D U2 R'
U' L R' B' D' U2 R'
U' L R' B' D2 U2 R'
U' L R2 B' R U2 R2
U L U2 R' B' U2 R'
U' L D R' B' U2 R'
U' L D' R' B' U2 R'
U' L D2 R' B' U2 R'
U2 L F U R' B' U2
U L F R D2 L2 F
U L' R D2 F L2 R
U L' R D2 F R L2
U L' R F D2 L2 R
U L' R F D2 R L2
U' L' R' U2 R F R
U' L' R' U2 R' F R
U' L' R' U2 R2 F R
U' L' R' U2 D F R
U' L' R' U2 D' F R
U' L' R' U2 D2 F R
U' L' R' U2 F R D
U' L' R' U2 F R D'
U' L' R' U2 F R D2
U' L' R' U2 F D R
U' L' R' U2 F D' R
U' L' R' U2 F D2 R
U' L' R' D U2 F R
U' L' R' D' U2 F R
U' L' R' D2 U2 F R
U' L' R' B' U2 R' F
U' L' R' B' U2 F R'
U L' R2 F2 L' F' R
U' L' U2 F R D2 L2
U L' U2 R' U2 F R
U' L' D R' U2 F R
U L' D F R D2 L2
U' L' D' R' U2 F R
U L' D' F R D2 L2
U' L' D2 R' U2 F R
U L' D2 F R D2 L2
U L' F L R D2 L2
U L' F L' R D2 L2
U L' F L2 R D2 L2
U L' F R L D2 L2
U L' F R L' D2 L2
U L' F R L2 D2 L2
U L' F R U2 R2 U2
U L' F R D2 L2 D
U L' F R D2 L2 D'
U L' F R D2 L2 D2
U L' F U2 R' U2 R2
U L' F D R D2 L2
U L' F D' R D2 L2
U L' F D2 R D2 L2
U L' F B2 L R B2
U L' F B2 L B2 R
U L' F B2 R L B2
U L' F' R2 F2 L' R
U L' F' R2 F2 R L'
U L' B2 F L R B2
U L' B2 F L B2 R
U L' B2 F R L B2
U' L2 R' B L U2 F
U' L2 R' B' U2 R' F'
U L2 B2 L F R B2
U L2 B2 L F B2 R
U L2 B2 L B2 F R
U' R L B' R2 U2 R
U R L D2 L2 F R
U R L' D2 F L2 R
U R L' D2 F R L2
U R L' F D2 L2 R
U R L' F D2 R L2
D2 R D' F2 B U F
D2 R D' B F2 U F
F' R D' F2 B R' U
F' R D' B R' F2 U
F' R D' B F2 R' U
F2 R D' F2 B R' U
F2 R D' B R' F2 U
F2 R D' B F2 R' U
B R D' B R' U L
F R D' F2 B R' U
F R D' B R' F2 U
F R D' B F2 R' U
D2 R D2 B U L2 F'
D2 R D2 B U F' L2
U R D2 L2 F R F'
D R D2 B R' U L2
U R D2 F L2 R F'
U R D2 F R L2 F'
U R D2 F R F' L2
U R F R F2 L' F
U R F D2 L2 R F'
U R F D2 R L2 F'
U R F D2 R F' L2
U' R B L R2 B' U2
U' R B L B' R2 U2
D' R B R' U' R' U2
D2 R B U D2 L2 F'
D2 R B U D2 F' L2
U' R B R2 L B' U2
D2 R B U F' D2 L2
D2 R B U' R2 B U2
D' R B D' R' F2 U
D2 R B D' F2 U F
D' R B D' F2 R' U
D2 R B D2 U L2 F'
D2 R B D2 U F' L2
D' R B D2 R' U L2
B R B U L' F L2
U' R' L D B' U2 R'
U' R' L D' B' U2 R'
U' R' L D2 B' U2 R'
U' R' L B L B2 U2
U' R' L B' L U2 R'
U' R' L B' L' U2 R'
U' R' L B' L2 U2 R'
U' R' L B' U2 R' D
U' R' L B' U2 R' D'
U' R' L B' U2 R' D2
U' R' L B' U2 D R'
U' R' L B' U2 D' R'
U' R' L B' U2 D2 R'
U' R' L B' D U2 R'
U' R' L B' D' U2 R'
U' R' L B' D2 U2 R'
U' R' L' U2 R F R
U' R' L' U2 R' F R
U' R' L' U2 R2 F R
U' R' L' U2 D F R
U' R' L' U2 D' F R
U' R' L' U2 D2 F R
U' R' L' U2 F R D
U' R' L' U2 F R D'
U' R' L' U2 F R D2
U' R' L' U2 F D R
U' R' L' U2 F D' R
U' R' L' U2 F D2 R
U' R' L' D U2 F R
U' R' L' D' U2 F R
U' R' L' D2 U2 F R
U' R' L' B' U2 R' F
U' R' L' B' U2 F R'
U' R' L2 B L U2 F
U' R' L2 B' U2 R' F'
U' R' U2 L' F L R
U' R' U2 L' F R L
U' R' U2 D2 F R F'
U' R' U2 F D2 R F'
B R' U2 F' U' L' F
U' R' D2 U2 F R F'
R' U2 L' F' U' L F2
R' U2 L' F' U' F2 L
U' R' B L D B' U2
U' R' B L D' B' U2
U' R' B L D2 B' U2
U' R' B L B' U2 D
U' R' B L B' U2 D'
U' R' B L B' U2 D2
U' R' B L B' D U2
U' R' B L B' D' U2
U' R' B L B' D2 U2
U' R' B' L' U2 R' F
U' R' B' L' U2 F R'
U' R' B' L2 U2 R' F'
U' R' B2 L B' L U2
U' R2 L B' R U2 R2
R' U2 F' L' U' F L
U R2 L' F2 L' F' R
U R2 F L' R F L'
U R2 F R L' F L'
U R2 F R F L' F
U' R2 B L R B' U2
U' R2 B L B' R U2
U' R2 B R L B' U2
U R2 F2 L' F' R F2
B2 U L U2 B' U2 R'
B2 U L' R F L2 R
B2 U L' R F R L2
B2 U L' R' F L2 R
B2 U L' R' F R L2
B2 U L' R2 F L2 R
B2 U L' R2 F R L2
B' U L' D2 F L' R
B' U L' D2 F R L'
F' U L' F R D2 L2
B2 U L' F L2 R D
B2 U L' F L2 R D'
B2 U L' F L2 R D2
B2 U L' F L2 D R
B2 U L' F L2 D' R
B2 U L' F L2 D2 R
B2 U L' F R L2 D
B2 U L' F R L2 D'
B2 U L' F R L2 D2
F2 U L' F R D2 L2
B2 U L' F2 L2 F' R
F U L' F R D2 L2
B2 U R L' F L2 R
B2 U R L' F R L2
D2 U R F R F2 L'
B2 U R' L' F L2 R
B2 U R' L' F R L2
D2 U R' B U2 B' R'
B2 U R2 L' F L2 R
B2 U R2 L' F R L2
R D B R2 F' R U
D2 U F R D2 L2 F'
D2 U F R D2 F' L2
D2 U F R F' D2 L2
B2 U D2 L F R F'
B' U D2 F L' R F'
B' U D2 F R L' F'
B2 U D2 F L R F'
B2 U D2 F R L F'
B2 U D2 F R F' L
B2 U F L' R F L2
