F L U B U' B2 R'
D' R2 F' B' L U F2
D' R2 B' F' L U F2
B' U F L D B' L2
B' U F L' D L2 B'
R2 D' F' B' L U F2
R2 D' B' F' L U F2
R2 F' L U F2 B' R'
R2 F' L U B' R' F2
R2 F' L U B' F2 R'
F' D' L2 F B R' U'
F' D' L2 B R' F U'
F' D' L2 B F R' U'
R2 F' B' L U F2 B'
R2 F' B' L U B' F2
B' D2 R' F2 U F' B
B' D2 R' F2 U B F'
B D2 R' F2 U' F' B
B D2 R' F2 U' B F'
D' B R' U' D' R2 F
D' B R' U' D' F R2
D' B R' U' F D' R2
D' B R' U2 B2 U F
D' B R' D' U' R2 F
D' B R' D' U' F R2
D' B R' D2 F2 U' F'
D' B D' R' U' R' F
D' B D' R' U' F R'
D' B D2 R' F2 U' F'
L2 B' U' F R B2 U'
L2 B' U' F B2 R U'
L2 B' U' B2 F R U'
D' B' U2 B2 R' U' F
D' B' D2 F2 L U F'
R2 B' F' L U F2 B'
R2 B' F' L U B' F2
