L2 R' F' U F B'
L2 R' F' U B' F
R' L2 F' U F B'
R' L2 F' U B' F
F2 U' F' U2 F' L'
F' U' F2 U2 F' L'
L2 F U F' B' L'
L2 F U B' F' L'
U2 F U' F' U' L'
R' F' U D2 F B2
R' F' U D2 B2 F
R' F' U' F2 U2 F'
R' F' D2 U F B2
R' F' D2 U B2 F
L2 B' U' B U L
F2 L U' F' U2 F' L'
B' L U' B U L B'
L2 R' D F' U F B'
L2 R' D F' U B' F
L2 R' D' F' U F B'
L2 R' D' F' U B' F
L2 R' D2 F' U F B'
L2 R' D2 F' U B' F
F2 L' U' F' U2 F' L'
L2 R' F' R U F B'
L2 R' F' R U B' F
L2 R' F' R' U F B'
L2 R' F' R' U B' F
L2 R' F' R2 U F B'
L2 R' F' R2 U B' F
L2 R' F' U D F B'
L2 R' F' U D B' F
L2 R' F' U D' F B'
L2 R' F' U D' B' F
L2 R' F' U D2 F B'
L2 R' F' U D2 B' F
L2 R' F' U F D B'
L2 R' F' U F D' B'
L2 R' F' U F D2 B'
L2 R' F' U F B' D
L2 R' F' U F B' D'
L2 R' F' U F B' D2
L2 R' F' U B' D F
L2 R' F' U B' D' F
L2 R' F' U B' D2 F
L2 R' F' U B' F D
L2 R' F' U B' F D'
L2 R' F' U B' F D2
L2 R' F' D U F B'
L2 R' F' D U B' F
L2 R' F' D' U F B'
L2 R' F' D' U B' F
L2 R' F' D2 U F B'
L2 R' F' D2 U B' F
L2 R' B' U' F' B U
L2 R' B' U' B F' U
U L' F' L' D F2 B'
U L' F' L' D B' F2
U L' F' L' B' D F2
R' L2 D F' U F B'
R' L2 D F' U B' F
R' L2 D' F' U F B'
R' L2 D' F' U B' F
R' L2 D2 F' U F B'
R' L2 D2 F' U B' F
D2 L2 R' F' U F B'
D2 L2 R' F' U B' F
D' L2 R' F' U F B'
D' L2 R' F' U B' F
D L2 R' F' U F B'
D L2 R' F' U B' F
R' L2 F' R U F B'
R' L2 F' R U B' F
R' L2 F' R' U F B'
R' L2 F' R' U B' F
R' L2 F' R2 U F B'
R' L2 F' R2 U B' F
R' L2 F' U D F B'
R' L2 F' U D B' F
R' L2 F' U D' F B'
R' L2 F' U D' B' F
R' L2 F' U D2 F B'
R' L2 F' U D2 B' F
R' L2 F' U F D B'
R' L2 F' U F D' B'
R' L2 F' U F D2 B'
R' L2 F' U F B' D
R' L2 F' U F B' D'
R' L2 F' U F B' D2
R' L2 F' U B' D F
R' L2 F' U B' D' F
R' L2 F' U B' D2 F
R' L2 F' U B' F D
R' L2 F' U B' F D'
R' L2 F' U B' F D2
R' L2 F' D U F B'
R' L2 F' D U B' F
R' L2 F' D' U F B'
R' L2 F' D' U B' F
R' L2 F' D2 U F B'
R' L2 F' D2 U B' F
F' L2 U' F2 B' R' U2
B' L2 U' B U L B2
F2 L2 U' F' U2 F' L'
F' L2 U' B' R' F2 U2
F' L2 U' B' F2 R' U2
R' L2 B' U' F' B U
R' L2 B' U' B F' U
U L2 D F' B' L' F'
U L2 D F2 D2 B' L
U L2 D B' F' L' F'
B2 L2 D' R2 D B' L
D2 L2 F U F' B' L'
D2 L2 F U B' F' L'
D' L2 F U F' B' L'
D' L2 F U B' F' L'
D L2 F U F' B' L'
D L2 F U B' F' L'
R2 U L2 D F2 B' L
R2 U L2 D B' L F2
R2 U L2 D B' F2 L
U L2 F D F2 B' L'
U L2 F D B' F2 L'
U L2 F B' D F2 L'
R U L2 B' D L2 F2
R U L2 B' D F2 L2
U L2 F' D B' L' F2
U L2 F' B' D L' F2
U' L2 B U L B2 R'
D2 L2 B' U' B U L
D' L2 B' U' B U L
D L2 B' U' B U L
U L2 B' D F' L' F'
U L2 B' F D F2 L'
U L2 B' F' D L' F2
U' R F U R' F' U
U2 R F U' F' U' L'
R' U' F U F2 U F2
D2 R' L2 F' U F B'
D2 R' L2 F' U B' F
D' R' L2 F' U F B'
D' R' L2 F' U B' F
D R' L2 F' U F B'
D R' L2 F' U B' F
F' R' U F D' L2 B'
F' R' D' F' L2 U F2
F' R' D2 F' U F2 B2
F' R' D2 F' U B2 F2
U2 R' F U' F' U' L'
D2 R' F' U D2 F B2
D2 R' F' U D2 B2 F
D' R' F' U D2 F B2
D' R' F' U D2 B2 F
F' R' F' R2 U F2 B
F' R' F' R2 U B F2
D2 R' F' U' F2 U2 F'
D' R' F' U' F2 U2 F'
F' R' F' U' F' U2 F'
F' R' F' D R2 U B
D2 R' F' D2 U F B2
D2 R' F' D2 U B2 F
D' R' F' D2 U F B2
D' R' F' D2 U B2 F
D R' F' U D2 F B2
D R' F' U D2 B2 F
D R' F' U' F2 U2 F'
D R' F' D2 U F B2
D R' F' D2 U B2 F
R U2 F U' F' B U'
R U2 F U' B F' U'
R U2 B L2 U' F B'
R U2 B L2 U' B' F
R U2 B U F B' U2
R U2 B U B' F U2
R' D L2 F' U F B'
R' D L2 F' U B' F
U2 R2 F U' F' U' L'
L2 D R' F' U F B'
L2 D R' F' U B' F
L2 D F U F' B' L'
L2 D F U B' F' L'
R' D F' U D2 F B2
R' D F' U D2 B2 F
R' D F' U' F2 U2 F'
L D F L' U F' L'
R' D F' D2 U F B2
R' D F' D2 U B2 F
F U L' F' L' D' B2
F U L2 D' F' L' B2
F U L2 D' F' B2 L'
F U L2 D' B2 F' L'
F U L2 F' D' L' B2
F U L2 F' D' B2 L'
L2 D B' U' B U L
U2 D F U' F' U' L'
F' U D2 F' L' F2 B2
F' U D2 F' L' B2 F2
F' U D2 F' B2 L' F2
F' U D2 B2 F' L' F2
F' U F U2 R F U2
R' D' L2 F' U F B'
R' D' L2 F' U B' F
