U' L2 B' L' R' U'
U' L2 B' R' L' U'
U F U2 L R U'
U F U2 R L U'
U' L U' D' L' B' L
U' L U2 F' L' F U
U' L D' U' L' B' L
U' L D' B' R' U' L
U' L D2 B' R' B U'
U' L B' D2 R' B U'
U' L2 R B' L' R' U'
U' L2 R B' R' L' U'
U' L2 R' B' L' R' U'
U' L2 R' B' R' L' U'
U' L2 R2 B' L' R' U'
U' L2 R2 B' R' L' U'
U L2 U2 B' L' R' U'
U L2 U2 B' R' L' U'
U' L2 D B' L' R' U'
U' L2 D B' R' L' U'
U' L2 D' B' L' R' U'
U' L2 D' B' R' L' U'
U' L2 D2 B' L' R' U'
U' L2 D2 B' R' L' U'
U' L2 B' L' R' U' D
U' L2 B' L' R' U' D'
U' L2 B' L' R' U' D2
U' L2 B' L' R' D U'
U' L2 B' L' R' D' U'
U' L2 B' L' R' D2 U'
U' L2 B' L' D R' U'
U' L2 B' L' D' R' U'
U' L2 B' L' D2 R' U'
U' L2 B' R' L' U' D
U' L2 B' R' L' U' D'
U' L2 B' R' L' U' D2
U' L2 B' R' L' D U'
U' L2 B' R' L' D' U'
U' L2 B' R' L' D2 U'
U' L2 B' R' D L' U'
U' L2 B' R' D' L' U'
U' L2 B' R' D2 L' U'
U' L2 B' D L' R' U'
U' L2 B' D R' L' U'
U' L2 B' D' L' R' U'
U' L2 B' D' R' L' U'
U' L2 B' D2 L' R' U'
U' L2 B' D2 R' L' U'
U' L2 B2 L' B R' U'
R U F U2 L U' B
U' R L2 B' L' R' U'
U' R L2 B' R' L' U'
U R F U2 L R U'
U R F U2 R L U'
R U' L2 B' L' U' B2
U' R' L2 B' L' R' U'
U' R' L2 B' R' L' U'
U R' F U2 L R U'
U R' F U2 R L U'
B2 R' F' U F2 U F2
U' R2 L2 B' L' R' U'
U' R2 L2 B' R' L' U'
U R2 F U2 L R U'
U R2 F U2 R L U'
U' D L2 B' L' R' U'
U' D L2 B' R' L' U'
B2 U R' F U2 R U'
B2 U R' F' L' F2 U
D' U F U2 L R U'
D' U F U2 R L U'
D2 U F U2 L R U'
D2 U F U2 R L U'
D U F U2 L R U'
D U F U2 R L U'
U D F U2 L R U'
U D F U2 R L U'
B2 U F R' U D B2
B2 U F R' U2 R2 U'
B2 U F R' D U B2
B2 U F R' D2 L2 U
B2 U F' L' R' F2 U
B2 U F' L' F2 R' U
F2 U F' L' U D F2
F2 U F' L' U2 L2 U'
F2 U F' L' D U F2
F2 U F' L' D2 R2 U
B2 U F' R' L' F2 U
U' D' L2 B' L' R' U'
D' U' L2 B' L' R' U'
U' D' L2 B' R' L' U'
D' U' L2 B' R' L' U'
D2 U' L2 B' L' R' U'
D2 U' L2 B' R' L' U'
F2 U' L U2 F' L' U
D U' L2 B' L' R' U'
D U' L2 B' R' L' U'
B U' L2 B' L R' U'
B U' L2 B' R' L U'
U D' F U2 L R U'
U D' F U2 R L U'
U' D2 L2 B' L' R' U'
U' D2 L2 B' R' L' U'
F' U2 L' D' B' L2 F
U D2 F U2 L R U'
U D2 F U2 R L U'
U F L' U2 L2 R U'
U F L' U2 R L2 U'
U F L2 U2 L' R U'
U F L2 U2 R L' U'
U F R' U2 L R2 U'
U F R' U2 R2 L U'
U2 F U L U' L' B'
U F R2 U2 L R' U'
U F R2 U2 R' L U'
U F U2 L R U' D
U F U2 L R U' D'
U F U2 L R U' D2
U F U2 L R D U'
U F U2 L R D' U'
U F U2 L R D2 U'
U F U2 L D R U'
U F U2 L D' R U'
U F U2 L D2 R U'
U F U2 R L U' D
U F U2 R L U' D'
U F U2 R L U' D2
U F U2 R L D U'
U F U2 R L D' U'
U F U2 R L D2 U'
U F U2 R D L U'
U F U2 R D' L U'
U F U2 R D2 L U'
U F U2 D L R U'
U F U2 D R L U'
U F U2 D' L R U'
U F U2 D' R L U'
U F U2 D2 L R U'
U F U2 D2 R L U'
U F D U2 L R U'
U F D U2 R L U'
U F D' U2 L R U'
U F D' U2 R L U'
U F D2 U2 L R U'
U F D2 U2 R L U'
U2 F' L' D' B' L2 F
U F' L' F2 U D F2
U F' L' F2 U2 L2 U'
U F' L' F2 D U F2
U F' L' F2 D2 R2 U
U F' L2 F2 L R U
U F' L2 F2 R L U
R' F' U F2 U2 L U'
R' F' U' L U' D' L2
R' F' U' L U2 F2 U
R' F' U' L D' U' L2
R' F' U' L D2 B2 U'
R' F' U' D' L U' L
R' F' U' D2 L B2 U'
R' F' D R2 U' L U'
R' F' D' U' L U' L
R' F' D2 U' L B2 U'
R' F' B2 U R' F2 U
R' F' B2 U F2 R' U
U' B' R' U2 F R U
R2 B2 U R' F U B
R2 B2 U F R' U B
R B2 U R' F U B'
R B2 U F R' U B'
B2 F2 U F' L' R' U
B2 F2 U F' R' L' U
F2 B2 U F' L' R' U
F2 B2 U F' R' L' U
R' B2 F' U R' F2 U
R' B2 F' U F2 R' U
