L2 R' B' R' B
R' L2 B' R' B
B2 L2 R2 B R'
B' L2 R2 B R
R2 L2 B' R' B2
L2 R2 B' R' B2
F2 L2 F2 B' R'
F2 L2 B' R' F2
F2 L2 B' F2 R'
B' R2 L2 B R
L2 U2 F' L' U2
B2 R2 L2 B R'
B' R2 B L2 R
B' R2 B R L2
B2 R2 B L2 R'
B2 R2 B R' L2
F' U2 F L2 R
F' U2 F R L2
U2 F' L' U2 L'
R' B' L2 R' B
R' B' R' L2 B
R' B' R' B L2
R2 B' L2 R' B2
R2 B' R' L2 B2
R2 B' R' B2 L2
L2 B' R2 B R
L2 B2 R2 B R'
B' L R' D2 L B'
R' L D2 L B' R'
R' L B' R' B L
U2 L F' L' U2 L2
L2 R B' R B R2
B L F' U2 F L
F2 L F2 L B' R'
L2 R B2 R B R'
B' L' R2 B L' R
B' L' R2 B R L'
B2 L' R2 B L' R'
B2 L' R2 B R' L'
L R' D2 L B' R'
L' R' B' L' R' B
R2 L' B L' D2 R2
L' R' B' R' L' B
R' L' B' L' R' B
L' R' B' R' B L'
R' L' B' R' L' B
R' L' B' R' B L'
R2 L' B' L' R' B2
L2 R' B' R' D B
L2 R' B' R' D' B
L2 R' B' R' D2 B
L2 R' B' R' B D
L2 R' B' R' B D'
L2 R' B' R' B D2
R2 L' B' R' L' B2
R2 L' B' R' B2 L'
L R' B' R' B L
B L' D2 L' R2 B
B L' D2 R2 L' B
B L' D2 R2 B L'
L2 R' B2 R' B R'
L2 R2 D B' R' B2
R2 L2 D B' R' B2
L2 R2 D' B' R' B2
R2 L2 D' B' R' B2
F2 L2 R F2 B' R'
F2 L2 R B' R' F2
F2 L2 R B' F2 R'
L2 R2 D2 B' R' B2
R2 L2 D2 B' R' B2
F2 L2 R' F2 B' R'
F2 L2 R' B' R' F2
F2 L2 R' B' F2 R'
B2 L2 R' B R' B
B' L2 R2 D B R
B' L2 R2 D' B R
B' L2 R2 D2 B R
F2 L2 R2 F2 B' R'
F2 L2 R2 B' R' F2
F2 L2 R2 B' F2 R'
B' L2 R2 B R D
B' L2 R2 B R D'
B' L2 R2 B R D2
B' L2 R2 B D R
B' L2 R2 B D' R
B' L2 R2 B D2 R
B' L2 R2 B' R B2
B' L2 R2 B2 R B'
B2 L2 R2 B R' D
B2 L2 R2 B R' D'
B2 L2 R2 B R' D2
B2 L2 R2 B D R'
B2 L2 R2 B D' R'
B2 L2 R2 B D2 R'
L' R2 B L' D2 R2
L' R2 B' L' R' B2
L' R2 B' R' L' B2
L' R2 B' R' B2 L'
L2 R2 B U2 L U2
R' L2 B' R' D B
R' L2 B' R' D' B
R' L2 B' R' D2 B
R' L2 B' R' B D
R' L2 B' R' B D'
R' L2 B' R' B D2
R2 L2 B U2 L U2
L2 R2 B' R B2 R2
L2 R2 B' R' B2 D
L2 R2 B' R' B2 D'
L2 R2 B' R' B2 D2
L2 R2 B' R2 B2 R
B' L2 U2 F' U2 R'
B L2 U2 L' F' U2
R2 L2 B' R B2 R2
R2 L2 B' R' B2 D
R2 L2 B' R' B2 D'
R2 L2 B' R' B2 D2
R' L2 B2 R' B R'
R2 L2 B' R2 B2 R
R L2 B' R B R2
B' L2 D R2 B R
R L2 B2 R B R'
B' L2 D' R2 B R
B' L2 D2 R2 B R
F2 L2 F B' R' F
U2 L2 F' L' U2 L
F2 L2 F2 R B' R'
F2 L2 F2 R' B' R'
F2 L2 F2 R2 B' R'
F2 L2 F2 D B' R'
F2 L2 F2 D' B' R'
F2 L2 F2 D2 B' R'
F2 L2 F2 B' R' D
F2 L2 F2 B' R' D'
F2 L2 F2 B' R' D2
F2 L2 F2 B' D R'
F2 L2 F2 B' D' R'
F2 L2 F2 B' D2 R'
B2 L2 B R2 B R
F2 L2 B' R F2 R2
B' L2 B' R2 B R'
F2 L2 B' R' F2 D
F2 L2 B' R' F2 D'
F2 L2 B' R' F2 D2
F2 L2 B' F R' F
F2 L2 B' F2 R' D
F2 L2 B' F2 R' D'
F2 L2 B' F2 R' D2
F2 L2 B' F2 D R'
F2 L2 B' F2 D' R'
F2 L2 B' F2 D2 R'
F2 R L2 F2 B' R'
F2 R L2 B' R' F2
F2 R L2 B' F2 R'
F' R U2 F L2 R
F' R U2 F R L2
B' R' L D2 L B'
F2 R' L2 F2 B' R'
F2 R' L2 B' R' F2
F2 R' L2 B' F2 R'
B2 R' L2 B R' B
F' R' U2 F L2 R
F' R' U2 F R L2
L2 U2 L F' L' U2
L2 U2 L' F' L' U2
L2 U2 L2 F' L' U2
B2 R' B L2 R' B
B2 R' B R' L2 B
B2 R' B R' B L2
L2 U2 D F' L' U2
B R' B2 L2 R' B
B R' B2 R' L2 B
B R' B2 R' B L2
L2 U2 D' F' L' U2
L2 U2 D2 F' L' U2
B' R2 L' B L' R
B' R2 L' B R L'
B2 R2 L' B L' R'
B2 R2 L' B R' L'
B' R2 L2 D B R
B' R2 L2 D' B R
B' R2 L2 D2 B R
B' R2 L2 B R D
B' R2 L2 B R D'
F2 R2 L2 F2 B' R'
B' R2 L2 B R D2
B' R2 L2 B D R
B' R2 L2 B D' R
B' R2 L2 B D2 R
B' R2 L2 B' R B2
F2 R2 L2 B' R' F2
B' R2 L2 B2 R B'
F2 R2 L2 B' F2 R'
B2 R2 L2 B R' D
B2 R2 L2 B R' D'
B2 R2 L2 B R' D2
B2 R2 L2 B D R'
B2 R2 L2 B D' R'
B2 R2 L2 B D2 R'
L U2 F' L' U2 L2
L2 U2 F' L' U2 D
L2 U2 F' L' U2 D'
L2 U2 F' L' U2 D2
L2 U2 F' L' D U2
L2 U2 F' L' D' U2
L2 U2 F' L' D2 U2
L2 U2 F' D L' U2
L2 U2 F' D' L' U2
L2 U2 F' D2 L' U2
R2 U2 B L2 F R
F' R2 U2 F L2 R
F' R2 U2 F R L2
B' R2 B L2 R D
B' R2 B L2 R D'
B' R2 B L2 R D2
B' R2 B L2 D R
B' R2 B L2 D' R
B' R2 B L2 D2 R
B2 R2 B L2 R' D
B2 R2 B L2 R' D'
B2 R2 B L2 R' D2
B' R2 B R L2 D
B' R2 B R L2 D'
B' R2 B R L2 D2
B2 R2 B L2 D R'
B2 R2 B L2 D' R'
B2 R2 B L2 D2 R'
U2 R2 B L2 F R
B2 R2 B R' L2 D
B2 R2 B R' L2 D'
B2 R2 B R' L2 D2
B' R2 B' L2 R B2
B' R2 B' L2 B2 R
B' R2 B' R L2 B2
B' R2 B' R B2 L2
L2 D R' B' R' B
B' R2 B2 R B' L2
L2 D R2 B' R' B2
B R2 B2 R' B' L2
L2 D U2 F' L' U2
L2 D B' R2 B R
L2 D B2 R2 B R'
L2 D' R' B' R' B
L2 D' R2 B' R' B2
L2 D' U2 F' L' U2
L2 D' B' R2 B R
L2 D' B2 R2 B R'
L2 D2 R' B' R' B
L2 D2 R2 B' R' B2
L2 D2 U2 F' L' U2
B U2 L F' U2 L
U2 D2 F' L' R2 U2
D2 U2 F' L' R2 U2
U2 D2 F' R2 L' U2
D2 U2 F' R2 L' U2
F' U2 R F L2 R
F' U2 R F R L2
F' U2 R' F L2 R
F' U2 R' F R L2
F' U2 R2 F L2 R
F' U2 R2 F R L2
R2 D2 B' R' B2 L
L2 D2 B' R2 B R
L2 D2 B2 R2 B R'
F' U2 F L2 R D
F' U2 F L2 R D'
F' U2 F L2 R D2
F' U2 F L2 D R
F' U2 F L2 D' R
F' U2 F L2 D2 R
F' U2 F R L2 D
F' U2 F R L2 D'
F' U2 F R L2 D2
F' U2 F2 L2 F' R
B' U2 F' U2 L2 R'
B' U2 F' U2 R' L2
B U2 F' L U2 L
U2 F' L' R U2 L'
U2 F' L' R' U2 L'
U2 F' L' R2 U2 L'
U2 F' L' U2 L' D
U2 F' L' U2 L' D'
U2 F' L' U2 L' D2
U2 F' L' U2 D L'
U2 F' L' U2 D' L'
U2 F' L' U2 D2 L'
U2 F' L' D U2 L'
U2 F' L' D' U2 L'
U2 F' L' D2 U2 L'
U2 F' R L' U2 L'
U2 F' R' L' U2 L'
U2 F' R2 L' U2 L'
D2 F' R2 U2 F R
L' F' U2 F L' R
L' F' U2 F R L'
L F' U2 F L R
L F' U2 F R L
U2 F' D2 L' R2 U2
U2 F' D2 R2 L' U2
U' F2 U L2 B' R'
U F2 U' L2 B' R'
F' D2 R2 U2 F R
R2 F2 B L2 F2 R
L' B L' D2 R2 B
R2 B L' D2 L' R2
R2 B L' D2 R2 L'
R2 B L2 U2 L' U2
R2 B L2 F2 R F2
L2 B R' B2 R' B
L2 B R2 B2 R' B'
R2 B U2 L U2 L
L2 B U2 L F' U2
L2 B U2 F' L U2
F2 B L2 F2 R B'
F2 B L2 F2 B' R
F2 B L2 B' F2 R
L' B' L' R2 B R
R2 B F2 L2 F2 R
R' B' L' R' B L'
R' B' L2 R' D B
R' B' L2 R' D' B
R' B' L2 R' D2 B
R' B' L2 R' B D
R' B' L2 R' B D'
R' B' L2 R' B D2
R2 B' L' R' B2 L'
L' B' R2 L' B R
R2 B' L2 R B2 R2
R2 B' L2 R' B2 D
R2 B' L2 R' B2 D'
R2 B' L2 R' B2 D2
R2 B' L2 R2 B2 R
L' B' R2 B L' R
L' B' R2 B R L'
R' B' R' L' B L'
R' B' R' L2 D B
R' B' R' L2 D' B
R' B' R' L2 D2 B
R' B' R' L2 B D
R' B' R' L2 B D'
R' B' R' L2 B D2
R2 B' R L2 B2 R2
R' B' R' B L2 D
R' B' R' B L2 D'
R' B' R' B L2 D2
R' B' R' B' L2 B2
R2 B' R B2 L2 R2
R2 B' R B2 R2 L2
R2 B' R' L' B2 L'
R2 B' R' L2 B2 D
R2 B' R' L2 B2 D'
R2 B' R' L2 B2 D2
R2 B' R' B L2 B
R2 B' R' B2 L2 D
R2 B' R' B2 L2 D'
R2 B' R' B2 L2 D2
R2 B' R2 L2 B2 R
R B' L2 R B R2
L2 B' R2 D B R
L2 B' R2 D' B R
L2 B' R2 D2 B R
L2 B' R2 B R D
L2 B' R2 B R D'
L2 B' R2 B R D2
L2 B' R2 B D R
L2 B' R2 B D' R
L2 B' R2 B D2 R
L2 B' R2 B' R B2
L2 B' R2 B2 R B'
R2 B' R2 B2 L2 R
R2 B' R2 B2 R L2
L B' R2 B L R
L B' R2 B R L
R B' R L2 B R2
R B' R B L2 R2
R B' R B R2 L2
F2 B' L2 R' F2 B'
F2 B' L2 R' B' F2
F2 B' L2 F2 R' B'
L2 B' U2 F' U2 R'
L2 B' D R2 B R
F2 B' R' L2 F2 B'
F2 B' R' L2 B' F2
L2 B' D' R2 B R
L2 B' D2 R2 B R
F' B' U2 R' F L2
L' B2 L' R2 B R'
F' B' U2 F L2 R'
F' B' U2 F R' L2
B' F' U2 R' F L2
B' F' U2 F L2 R'
B' F' U2 F R' L2
R' B2 L2 R' B R'
R' B2 L2 B R' B
L' B2 R2 L' B R'
L' B2 R2 B L' R'
L' B2 R2 B R' L'
R' B2 R' L2 B R'
R' B2 R' B L2 R'
R' B2 R' B R' L2
B' F2 L2 R' F2 B'
B' F2 L2 R' B' F2
B' F2 L2 F2 R' B'
L2 B2 R' B R' B
R B2 L2 R B R'
B' F2 R' L2 F2 B'
B' F2 R' L2 B' F2
L2 B2 R2 B R' D
L2 B2 R2 B R' D'
L2 B2 R2 B R' D2
L2 B2 R2 B D R'
L2 B2 R2 B D' R'
L2 B2 R2 B D2 R'
B F2 L2 F2 R B'
R B2 R L2 B R'
B F2 L2 F2 B' R
B F2 L2 B' F2 R
R B2 R B L2 R'
R B2 R B R' L2
F2 L R F2 L B' R'
B' L R' D2 L D B'
B' L R' D2 L D' B'
B' L R' D2 L D2 B'
B' L R' D2 L B' D
B' L R' D2 L B' D'
B' L R' D2 L B' D2
F2 L R' F2 L B' R'
B' L R2 D L B R
B' L R2 D' L B R
B' L R2 D2 L B R
L2 R U2 L F U2 R
L2 R U2 L' U2 B' R'
F2 L R2 F2 L B' R'
L2 R U2 F U2 R B
L2 R U2 F' L' U2 B'
R2 L D L B' R' B2
L2 R D R B' R' B2
L2 R D R2 B' R' B
L2 R D B' R B R2
L2 R D B2 R B R'
R2 L D' L B' R' B2
L2 R D' R B' R' B2
L2 R D' R2 B' R' B
F' L U2 L' F L2 R
F' L U2 L' F R L2
R' L D2 L R B' R'
R' L D2 L R' B' R'
R' L D2 L R2 B' R'
R' L D2 L D B' R'
R' L D2 L D' B' R'
R' L D2 L D2 B' R'
R' L D2 L B' R' D
R' L D2 L B' R' D'
R' L D2 L B' R' D2
R' L D2 L B' D R'
R' L D2 L B' D' R'
R' L D2 L B' D2 R'
L2 R D' B' R B R2
L2 R D' B2 R B R'
R' L D2 R L B' R'
R2 L D2 L B' R' B2
D2 L U2 F' L' R2 U2
D2 L U2 F' R2 L' U2
B' L U2 F' U2 L R'
B' L U2 F' U2 R' L
R' L D2 R' L B' R'
R' L D2 R2 L B' R'
L2 R D2 R B' R' B2
B' L D L R2 B R
L2 R D2 R2 B' R' B
B' L D R' D2 L B'
B' L D R2 L B R
L2 R D2 B' R B R2
L2 R D2 B2 R B R'
U2 L D F' L' U2 L2
B L D F' U2 F L
B' L D' L R2 B R
B' L D' R' D2 L B'
B' L D' R2 L B R
U2 L D' F' L' U2 L2
B L D' F' U2 F L
B' L D2 L R2 B R
B' L D2 R' D2 L B'
B' L D2 R2 L B R
U2 L D2 F' L' U2 L2
B L D2 F' U2 F L
L2 R B R B2 R' B'
L2 R B R2 B2 R' B
F2 L F' L F' B' R'
L2 R B U2 L F U2
U2 L F' L' R U2 L2
F2 L F' L B' F' R'
U2 L F' L' R' U2 L2
U2 L F' L' R2 U2 L2
U2 L F' L' U2 L2 D
U2 L F' L' U2 L2 D'
U2 L F' L' U2 L2 D2
U2 L F' L' D2 R2 U2
U2 L F' R L' U2 L2
D2 L F' R2 U2 F R
U2 L F' R' L' U2 L2
R' L B' L R' B L
U2 L F' R2 L' U2 L2
L' R B' L' R B R2
B L F' R U2 F L
R' L B' L' R' B L
B L F' R' U2 F L
R' L B' L2 R' B L
B L F' R2 U2 F L
L' R B' R L' B R2
U2 L F' U2 L D2 R2
B' L F' U2 R' F L
L' R B' R B L' R2
L' R B' R B R2 L'
B' L F' U2 F L R'
B' L F' U2 F R' L
R' L B' R' L B L
R' L B' R' L' B L
R' L B' R' L2 B L
R' L B' R' D B L
R' L B' R' D' B L
U2 L F' D L' U2 L2
R' L B' R' D2 B L
R' L B' R' B L D
R' L B' R' B L D'
R' L B' R' B L D2
R' L B' R' B D L
R' L B' R' B D' L
R' L B' R' B D2 L
U2 L F' D' L' U2 L2
B L F' U2 D F L
B L F' U2 D' F L
B L F' U2 D2 F L
B L F' U2 F L D
B L F' U2 F L D'
B L F' U2 F L D2
B L F' U2 F D L
B L F' U2 F D' L
B L F' U2 F D2 L
B L F' U2 F' L F2
B L F' U2 F2 L F'
L R B' R B L R2
L2 R B' R B R2 D
L2 R B' R B R2 D'
L2 R B' R B R2 D2
L R B' R B R2 L
U2 L F' D2 L' U2 L2
L2 R B' R B' R2 B2
L2 R B' R B2 R2 B'
L2 R B' R' U2 F' U2
B L F' D U2 F L
R2 L B' R' B L B
R L B' R B L R2
R L B' R B R2 L
B L F' D' U2 F L
B L F' D2 U2 F L
F2 L F2 L R B' R'
F2 L F2 L R' B' R'
F2 L F2 L R2 B' R'
F2 L F2 L D B' R'
F2 L F2 L D' B' R'
F2 L F2 L D2 B' R'
F2 L F2 L B' R' D
F2 L F2 L B' R' D'
F2 L F2 L B' R' D2
F2 L F2 L B' D R'
F2 L F2 L B' D' R'
F2 L F2 L B' D2 R'
B L F' B2 R' U2 F
L2 R B' D R B R2
L2 R B' D' R B R2
F2 L F2 R L B' R'
L2 R B' D2 R B R2
F2 L F2 R' L B' R'
F2 L F2 R2 L B' R'
L' R B2 L' R B R'
L' R B2 R L' B R'
L' R B2 R B L' R'
L' R B2 R B R' L'
F L F2 U2 F L R
F L F2 U2 F R L
L2 R B2 R B R' D
L2 R B2 R B R' D'
L2 R B2 R B R' D2
L2 R B2 R B D R'
L2 R B2 R B D' R'
L2 R B2 R B D2 R'
L2 R B2 R2 B R' B
F' L B L B' U2 L
L2 R' U R' F' U' B
B' L B' R2 B L R'
B' L B' R2 B R' L
B L B2 F' R' U2 F
U2 L' R U2 L' B' R'
R2 L' D L' B' R' B2
B' L' R' D2 L B' L2
R2 L' D B L' D2 R2
R2 L' D B' L' R' B2
R2 L' D B' R' L' B2
R2 L' D B' R' B2 L'
B2 L' R' B L' R' B
B2 L' R' B R' L' B
B2 L' R' B R' B L'
R2 L' D' L' B' R' B2
B' L' R2 D L' B R
B' L' R2 D B L' R
B' L' R2 D B R L'
B' L' R2 D' L' B R
B' L' R2 D' B L' R
B' L' R2 D' B R L'
B' L' R2 D2 L' B R
B' L' R2 D2 B L' R
B' L' R2 D2 B R L'
B L' R2 D2 L' B R2
B' L' R2 B L' R D
B' L' R2 B L' R D'
B' L' R2 B L' R D2
B L' R2 D2 B L' R2
B' L' R2 B L' D R
B' L' R2 B L' D' R
B' L' R2 B L' D2 R
B L' R2 D2 B R2 L'
B' L' R2 B R L' D
B' L' R2 B R L' D'
B' L' R2 B R L' D2
B' L' R2 B R D L'
B' L' R2 B R D' L'
B' L' R2 B R D2 L'
R' L' D2 L B' L2 R'
R' L' D2 L B' R' L2
B' L' R2 B D L' R
B' L' R2 B D R L'
B' L' R2 B D' L' R
B' L' R2 B D' R L'
B' L' R2 B D2 L' R
B' L' R2 B D2 R L'
R2 L' D' B L' D2 R2
L' R' D2 L B' L2 R'
L' R' D2 L B' R' L2
B' L' R2 B' L' R B2
B' L' R2 B' L' B2 R
B' L' R2 B' R L' B2
