U L2 D F L' R
U L2 D F R L'
F' U L2 F L R
F' U L2 F R L
F2 U L2 F L' R
F2 U L2 F R L'
F U' R B' U2 R'
F' U' B' U2 L' R'
F' U' B' U2 R' L'
F U' B' R U2 R2
U L U' F R B U
B' L' U L F U R
U L2 R D F L' R
U L2 R D F R L'
U L2 R' D F L' R
U L2 R' D F R L'
U L2 R2 D F L' R
U L2 R2 D F R L'
U L2 D R F L' R
U L2 D R F R L'
U L2 D R' F L' R
U L2 D R' F R L'
U L2 D R2 F L' R
U L2 D R2 F R L'
U L2 D F L' R D
U L2 D F L' R D'
U L2 D F L' R D2
U L2 D F L' D R
U L2 D F L' D' R
U L2 D F L' D2 R
U L2 D F R L' D
U L2 D F R L' D'
U L2 D F R L' D2
U L2 D F R D L'
U L2 D F R D' L'
U L2 D F R D2 L'
U L2 D F D L' R
U L2 D F D R L'
U L2 D F D' L' R
U L2 D F D' R L'
U L2 D F D2 L' R
U L2 D F D2 R L'
U R L2 D F L' R
U R L2 D F R L'
F' R B U L' D2 F2
F' R B U D2 L' F2
F' R B U' B2 U2 L'
F' R B D' R2 U L'
F' R B D2 U L' F2
U' R B' U2 R' D L2
U' R B' U2 D L2 R'
U' R B' U2 D R' L2
U' R B' D U2 L2 R'
U' R B' D U2 R' L2
U' R B' D' R2 U2 R
F R B' U B2 U B2
U R' L2 D F L' R
U R' L2 D F R L'
U' R' B' U F' U R'
U R2 L2 D F L' R
U R2 L2 D F R L'
U' R2 D B' U2 L R'
U' R2 D B' U2 R' L
F' U L' D2 F R F'
F' U L' F D2 R F'
F2 U L' F L' R F
F2 U L' F R L' F
F' U L2 R F L R
F' U L2 R F R L
F' U L2 R' F L R
F' U L2 R' F R L
F' U L2 R2 F L R
F' U L2 R2 F R L
D' U L2 D F L' R
D' U L2 D F R L'
D2 U L2 D F L' R
D2 U L2 D F R L'
F2 U L2 R F L' R
F2 U L2 R F R L'
F2 U L2 R' F L' R
F2 U L2 R' F R L'
F' U L2 D F L R
F' U L2 D F R L
F2 U L2 R2 F L' R
F2 U L2 R2 F R L'
F' U L2 D' F L R
F' U L2 D' F R L
F' U L2 D2 F L R
F' U L2 D2 F R L
F' U L2 F L R D
F' U L2 F L R D'
F' U L2 F L R D2
F' U L2 F L D R
F' U L2 F L D' R
F' U L2 F L D2 R
F' U L2 F R L D
F' U L2 F R L D'
F' U L2 F R L D2
F' U L2 F R D L
F' U L2 F R D' L
F' U L2 F R D2 L
F' U L2 F D L R
F' U L2 F D R L
F' U L2 F D' L R
F' U L2 F D' R L
F' U L2 F D2 L R
F' U L2 F D2 R L
F' U L2 F2 L F' R
F2 U L2 F L' R D
F2 U L2 F L' R D'
F2 U L2 F L' R D2
F2 U L2 F L' D R
F2 U L2 F L' D' R
F2 U L2 F L' D2 R
F2 U L2 F R L' D
F2 U L2 F R L' D'
F2 U L2 F R L' D2
F2 U L2 F R D L'
F2 U L2 F R D' L'
F2 U L2 F R D2 L'
F2 U L2 F D L' R
F2 U L2 F D R L'
F2 U L2 F D' L' R
F2 U L2 F D' R L'
F2 U L2 F D2 L' R
F2 U L2 F D2 R L'
F' U R L2 F L R
F' U R L2 F R L
D U L2 D F L' R
D U L2 D F R L'
F2 U R L2 F L' R
F2 U R L2 F R L'
U D L2 D F L' R
U D L2 D F R L'
F U L2 F2 L' F' R
F' U R' L2 F L R
F' U R' L2 F R L
F2 U R' L2 F L' R
F2 U R' L2 F R L'
F' U R2 L2 F L R
F' U R2 L2 F R L
F2 U R2 L2 F L' R
F2 U R2 L2 F R L'
F U R' D2 L2 F R
F' U D L2 F L R
F' U D L2 F R L
F' U D' L2 F L R
F' U D' L2 F R L
F' U D2 L2 F L R
F' U D2 L2 F R L
F2 U F L' D2 R F'
F2 U F L2 R F L
F2 U F R L2 F L
F U F L2 R F L'
F U F R L2 F L'
U D' L2 D F L' R
U D' L2 D F R L'
F' U' L2 U2 F L R
F' U' L2 U2 F R L
F2 U' L2 U2 F L' R
F2 U' L2 U2 F R L'
F U' L2 R U2 F R
F' U' R B' U2 L' R'
F' U' R B' U2 R' L'
F U' R L2 U2 F R
F U' R D B' U2 R'
F U' R D' B' U2 R'
F' U' R' B' U2 L' R'
F' U' R' B' U2 R' L'
F U' R D2 B' U2 R'
F U' R B L B2 U2
F U' R B' L U2 R'
F U' R B' L' U2 R'
F U' R B' L2 U2 R'
F U' R B' U2 R' D
F U' R B' U2 R' D'
F U' R B' U2 R' D2
F U' R B' U2 D R'
F U' R B' U2 D' R'
F U' R B' U2 D2 R'
F U' R B' D U2 R'
F U' R B' D' U2 R'
F U' R B' D2 U2 R'
F' U' R2 B' U2 L' R'
F' U' R2 B' U2 R' L'
F U' R' B' R2 U2 R
F' U' D B' U2 L' R'
F' U' D B' U2 R' L'
F' U' D' B' U2 L' R'
F' U' D' B' U2 R' L'
F U' D R B' U2 R'
F U' D B' R U2 R2
F' U' D2 B' U2 L' R'
F' U' D2 B' U2 R' L'
F U' D' R B' U2 R'
F2 U' D2 B' U2 L R'
F2 U' D2 B' U2 R' L
F U' D' B' R U2 R2
F U' D2 R B' U2 R'
F U' D2 B' R U2 R2
F' U' B L B2 U2 L2
F' U' B' L U2 L2 R'
F' U' B' L U2 R' L2
F' U' B' L2 U2 L R'
F' U' B' L2 U2 R' L
F' U' B' R U2 L' R2
F' U' B' R U2 R2 L'
F' U' B' R2 U2 L' R
F' U' B' R2 U2 R L'
F U' B L R B2 U2
F U' B L B2 R U2
F' U' B' U2 L' R' D
F' U' B' U2 L' R' D'
F' U' B' U2 L' R' D2
F' U' B' U2 L' D R'
F' U' B' U2 L' D' R'
F' U' B' U2 L' D2 R'
F' U' B' U2 R' L' D
F' U' B' U2 R' L' D'
F' U' B' U2 R' L' D2
F' U' B' U2 R' D L'
F' U' B' U2 R' D' L'
F' U' B' U2 R' D2 L'
F' U' B' U2 D L' R'
F' U' B' U2 D R' L'
F' U' B' U2 D' L' R'
F' U' B' U2 D' R' L'
F' U' B' U2 D2 L' R'
F' U' B' U2 D2 R' L'
F U' B R L B2 U2
F' U' B' D U2 L' R'
F' U' B' D U2 R' L'
F U' B R B2 U2 R'
F' U' B' D' U2 L' R'
F' U' B' D' U2 R' L'
U D2 L2 D F L' R
U D2 L2 D F R L'
F' U' B' D2 U2 L' R'
F' U' B' D2 U2 R' L'
F U' B' L R U2 R2
F U' B' L' R U2 R2
F U' B' L2 R U2 R2
F U' B' R L U2 R2
F U' B' R L' U2 R2
F U' B' R L2 U2 R2
F U' B' R U2 R2 D
F U' B' R U2 R2 D'
F U' B' R U2 R2 D2
F U' B' R D2 L2 U2
F U' B' U2 R' D2 L2
F U' B' D R U2 R2
F U' B' D' R U2 R2
F U' B' D2 R U2 R2
U F L2 R D F L'
U F L2 D R F L'
U F R L2 D F L'
D' F U' R B' U2 R'
D2 F U' R B' U2 R'
D' F U' B' R U2 R2
D2 F U' B' R U2 R2
D F U' R B' U2 R'
D F U' B' R U2 R2
F' D U L2 F L R
F' D U L2 F R L
R F B U D2 F2 L'
R F B U' R B2 U2
R F B U' B2 R U2
L' F' L U L2 F R
R F B D2 U F2 L'
F' D U' B' U2 L' R'
F' D U' B' U2 R' L'
F D U' R B' U2 R'
F D U' B' R U2 R2
D2 F' U L2 F L R
D2 F' U L2 F R L
D' F' U L2 F L R
D' F' U L2 F R L
R' F' U B' U2 L' B
R' F' U B' U2 B L'
D F' U L2 F L R
D F' U L2 F R L
D2 F' U' B' U2 L' R'
D2 F' U' B' U2 R' L'
D' F' U' B' U2 L' R'
D' F' U' B' U2 R' L'
D F' U' B' U2 L' R'
D F' U' B' U2 R' L'
F' D' U L2 F L R
F' D' U L2 F R L
R F' B U L' D2 F2
R F' B U D2 L' F2
R F' B U' B2 U2 L'
R F' B D' R2 U L'
R F' B D2 U L' F2
F' D' U' B' U2 L' R'
F' D' U' B' U2 R' L'
F D' U' R B' U2 R'
F D' U' B' R U2 R2
D2 F2 U L2 F L' R
D2 F2 U L2 F R L'
D' F2 U L2 F L' R
D' F2 U L2 F R L'
D F2 U L2 F L' R
D F2 U L2 F R L'
F' D2 U L2 F L R
F' D2 U L2 F R L
F' D2 U' B' U2 L' R'
F' D2 U' B' U2 R' L'
F2 D2 U' B' U2 L R'
F2 D2 U' B' U2 R' L
F D2 U' R B' U2 R'
F D2 U' B' R U2 R2
B' F R U B U B'
R B D' R2 F' U L'
R B D' F' R2 U L'
R B D2 F' U L' F'
R B F U D2 F2 L'
