B' L U L R F U'
B' L U R L F U'
L2 R U2 B' U L R'
L2 R U2 B' U R' L
L2 R D2 F U' L' R
L2 R D2 F U' R L'
L2 R F B' U' L R
L2 R F B' U' R L
L2 R B' F U' L R
L2 R B' F U' R L
R L2 U2 B' U L R'
R L2 U2 B' U R' L
U2 L2 R B' U' L R'
U2 L2 R B' U' R' L
R L2 D2 F U' L' R
R L2 D2 F U' R L'
R L2 F B' U' L R
R L2 F B' U' R L
R L2 B' F U' L R
R L2 B' F U' R L
U2 L2 B' R U' L R2
U2 L2 B' R U' R2 L
U2 R L2 B' U' L R'
U2 R L2 B' U' R' L
B' R F L2 U' L' R
B' R F L2 U' R L'
U2 R B' L2 U' L' R'
U2 R B' L2 U' R' L'
L2 D2 R F U' L' R
L2 D2 R F U' R L'
R F L2 B' U' L R
R F L2 B' U' R L
R F B' L2 U' L' R
R F B' L2 U' R L'
L2 F' U L' U2 B' L
U2 B' L2 R U' L' R2
U2 B' L2 R U' R2 L'
U2 B' R L2 U' L' R2
U2 B' R L2 U' R2 L'
L2 B' R F U' L R
L2 B' R F U' R L
U2 B' R' D L F2 B2
U2 B' R' D L B2 F2
U2 B' R' D F2 L B2
R B' F L2 U' L' R
R B' F L2 U' R L'
