F2 L2 R F' B
F2 L2 R B F'
F2 R L2 F' B
F2 R L2 B F'
F2 R F' L2 B
F2 R F' B L2
F2 R B L2 F'
F2 R B F' L2
F2 L R F' L B
L' R U2 L' F' B
L' R U2 L' B F'
L' R U2 B L' F'
L2 R F' B2 R' B'
L2 R B D2 F' R
L2 R B2 F' R' B'
R L' U2 L' F' B
R L' U2 L' B F'
R L' U2 B L' F'
F2 L' R B L' F'
F2 L2 R D F' B
F2 L2 R D B F'
F2 L2 R D' F' B
F2 L2 R D' B F'
F2 L2 R D2 F' B
F2 L2 R D2 B F'
F' L2 R F' B R
F2 L2 R F' D B
F2 L2 R F' D' B
F2 L2 R F' D2 B
F2 L2 R F' B D
F2 L2 R F' B D'
F2 L2 R F' B D2
F' L2 R B F' R
F2 L2 R B D F'
F2 L2 R B D' F'
F2 L2 R B D2 F'
F2 L2 R B F' D
F2 L2 R B F' D'
F2 L2 R B F' D2
R L2 F' B2 R' B'
R L2 B D2 F' R
L2 R2 B2 R' F' B
L2 R2 B2 R' B F'
R2 L2 B2 R' F' B
R2 L2 B2 R' B F'
R L2 B2 F' R' B'
F' L2 F' R F' B
F' L2 F' R B F'
F L2 F R F' B
F L2 F R B F'
F2 L2 B R F' B
F2 L2 B R B F'
F2 L2 B' R F' B
F2 L2 B' R B F'
F2 L2 B2 R F' B
F2 L2 B2 R B F'
F2 R L F' L B
F2 R L' B L' F'
F' R L2 F' B R
F2 R L2 D F' B
F2 R L2 D B F'
F' R L2 B F' R
F2 R L2 D' F' B
F2 R L2 D' B F'
F2 R L2 D2 F' B
F2 R L2 D2 B F'
F2 R L2 F' D B
F2 R L2 F' D' B
F2 R L2 F' D2 B
F2 R L2 F' B D
F2 R L2 F' B D'
F2 R L2 F' B D2
F2 R L2 B D F'
F2 R L2 B D' F'
F2 R L2 B D2 F'
F2 R L2 B F' D
F2 R L2 B F' D'
F2 R L2 B F' D2
F2 R F L2 F2 B
F2 R F L2 B F2
F2 R F B L2 F2
F' R F' L2 B R
F2 R F' L' B L'
F2 R F' L2 D B
F2 R F' L2 D' B
F2 R F' L2 D2 B
F2 R F' L2 B D
F2 R F' L2 B D'
F2 R F' L2 B D2
F' R F' B L2 R
F' R F' B R L2
F2 R F' B L2 D
F2 R F' B L2 D'
F2 R F' B L2 D2
F2 R F' B' L2 B2
F' R B L2 F' R
F2 R B L F' L
F2 R B L2 D F'
F2 R B L2 D' F'
F2 R B L2 D2 F'
F2 R B L2 F' D
F2 R B L2 F' D'
F2 R B L2 F' D2
F' R B F' L2 R
F' R B F' R L2
F2 R B F L2 F2
F2 R B F' L2 D
F2 R B F' L2 D'
F2 R B F' L2 D2
F2 R B' L2 F' B2
F2 R B' L2 B2 F'
F2 R B' F' L2 B2
L' U2 D2 L' F B'
L' U2 D2 L' B' F
L' D2 U2 L' F B'
L' D2 U2 L' B' F
R F' L2 D2 B R'
L' F2 R U2 F' B
L' F2 R U2 B F'
R F2 B R F L2
L2 B R F' B R'
L2 B R B F' R'
F2 B L2 R F' B
F2 B L2 R B F'
F2 B R L2 F' B
F2 B R L2 B F'
F2 B R F' L2 B
F2 B R F' B L2
F2 B R B L2 F'
F2 B R B F' L2
R B F2 R F L2
R B' L2 F' B2 R'
R B' L2 B2 F' R'
F2 B' L2 R F' B
F2 B' L2 R B F'
F2 B' R L2 F' B
F2 B' R L2 B F'
F2 B' R F' L2 B
F2 B' R F' B L2
F2 B' R B L2 F'
F2 B' R B F' L2
B' F2 L2 R F' B
B' F2 L2 R B F'
L2 B2 R F' B R2
L2 B2 R B F' R2
B2 F2 L2 R F' B
B2 F2 L2 R B F'
F2 B2 L2 R F' B
F2 B2 L2 R B F'
B' F2 R L2 F' B
B' F2 R L2 B F'
B' F2 R F' L2 B
B' F2 R F' B L2
B' F2 R B L2 F'
B' F2 R B F' L2
B2 F2 R L2 F' B
B2 F2 R L2 B F'
B F2 L2 R F' B
B F2 L2 R B F'
F2 B2 R L2 F' B
F2 B2 R L2 B F'
B2 F2 R F' L2 B
B2 F2 R F' B L2
F2 B2 R F' L2 B
B2 F2 R B L2 F'
F2 B2 R F' B L2
B2 F2 R B F' L2
F2 B2 R B L2 F'
F2 B2 R B F' L2
B F2 R L2 F' B
B F2 R L2 B F'
B F2 R F' L2 B
B F2 R F' B L2
B F2 R B L2 F'
B F2 R B F' L2
F2 L R D L F' B
F2 L R D L B F'
F2 L R D F' L B
F2 L R D' L F' B
F2 L R D' L B F'
F2 L R D' F' L B
F2 L R D2 L F' B
F2 L R D2 L B F'
F2 L R D2 F' L B
F' L R F' L B R
F2 L R F L F2 B
F2 L R F L B F2
F2 L R F' L D B
F2 L R F' L D' B
F2 L R F' L D2 B
F2 L R F' L B D
F2 L R F' L B D'
F2 L R F' L B D2
F2 L R F' L' B L2
F2 L R F' L2 B L'
F2 L R F' D L B
F2 L R F' D' L B
F2 L R F' D2 L B
L' R U2 L F' L2 B
L' R U2 L F' B L2
L' R U2 L B L2 F'
L' R U2 L B F' L2
L' R U2 L' D F' B
L' R U2 L' D B F'
L' R U2 L' D' F' B
L' R U2 L' D' B F'
L' R U2 L' D2 F' B
L' R U2 L' D2 B F'
L' R U2 L' F' D B
L' R U2 L' F' D' B
L' R U2 L' F' D2 B
L' R U2 L' F' B D
L' R U2 L' F' B D'
L' R U2 L' F' B D2
L' R U2 L' B D F'
L' R U2 L' B D' F'
L' R U2 L' B D2 F'
L' R U2 L' B F' D
L' R U2 L' B F' D'
L' R U2 L' B F' D2
L' R U2 L2 F' L B
L2 R U2 L U2 F' B
L2 R U2 L U2 B F'
L' R U2 D L' F' B
L' R U2 D L' B F'
L' R U2 D B L' F'
L' R U2 D' L' F' B
L' R U2 D' L' B F'
L' R U2 D' B L' F'
L' R U2 D2 L' F' B
L' R U2 D2 L' B F'
L' R U2 D2 B L' F'
L' R U2 B L F' L2
L' R U2 B L' D F'
L' R U2 B L' D' F'
L' R U2 B L' D2 F'
L' R U2 B L' F' D
L' R U2 B L' F' D'
L' R U2 B L' F' D2
L' R U2 B L2 F' L
L' R U2 B D L' F'
L' R U2 B D' L' F'
L' R U2 B D2 L' F'
L' R U2 B' L' F' B2
L' R U2 B' L' B2 F'
L' R D U2 L' F' B
L' R D U2 L' B F'
L' R D U2 B L' F'
L2 R D F' B2 R' B'
L2 R D B D2 F' R
L2 R D B2 F' R' B'
L' R D' U2 L' F' B
L' R D' U2 L' B F'
L' R D' U2 B L' F'
L2 R D' F' B2 R' B'
R' L D2 L R2 F' B
R' L D2 L R2 B F'
L2 R D' B D2 F' R
L2 R D' B2 F' R' B'
L R D2 L F' B R2
L R D2 L B F' R2
R' L D2 R2 L F' B
R' L D2 R2 L B F'
R' L D2 R2 F' L B
R L D2 L F' B R2
R L D2 L B F' R2
L' R D2 U2 L' F' B
L' R D2 U2 L' B F'
L' R D2 U2 B L' F'
L R D2 F' L B R2
L2 R D2 F' B2 R' B'
R L D2 F' L B R2
L2 R D2 B D2 F' R
L2 R D2 B2 F' R' B'
L' R F U2 F2 B L
L' R F U2 B L F2
L' R F U2 B F2 L
L2 R F B2 R' F2 B'
L2 R F B2 R' B' F2
R' L F' L2 B U2 L'
L R F' L B2 R' B'
R L F' L B2 R' B'
L2 R F' R B2 R' B
L2 R F' U2 L U2 B
L2 R F' D B2 R' B'
L R F' D2 L B R2
L2 R F' D' B2 R' B'
L2 R F' D2 B2 R' B'
R L F' D2 L B R2
L2 R F' B2 R B' R2
L2 R F' B2 R' D B'
L2 R F' B2 R' D' B'
L2 R F' B2 R' D2 B'
L2 R F' B2 R' B' D
L2 R F' B2 R' B' D'
L2 R F' B2 R' B' D2
L2 R F' B2 R2 B' R
L2 R F' B2 D R' B'
L2 R F' B2 D' R' B'
L2 R F' B2 D2 R' B'
F L F L R F' B
F L F L R B F'
F L F R L F' B
F L F R L B F'
F L F R F' L B
L2 R F2 B2 R' F B'
L2 R F2 B2 R' B' F
F' L F' L R F' B
F' L F' L R B F'
F' L F' R L F' B
F' L F' R L B F'
F' L F' R F' L B
L2 R B D2 F' R D
L2 R B D2 F' R D'
L2 R B D2 F' R D2
L2 R B D2 F' D R
L2 R B D2 F' D' R
L2 R B D2 F' D2 R
L' R B' L' F' B2 R'
L' R B' L' B2 F' R'
L' R B' U2 L' F' B2
L' R B' U2 L' B2 F'
L' R B' U2 B2 L' F'
L' R B2 U2 B' L' F'
L2 R B2 D F' R' B'
L2 R B2 D' F' R' B'
L2 R B2 D2 F' R' B'
L2 R B2 F R' F2 B'
L2 R B2 F R' B' F2
L2 R B2 F' R B' R2
L2 R B2 F' R' D B'
L2 R B2 F' R' D' B'
L2 R B2 F' R' D2 B'
L2 R B2 F' R' B' D
L2 R B2 F' R' B' D'
L2 R B2 F' R' B' D2
L2 R B2 F' R2 B' R
L2 R B2 F' D R' B'
L2 R B2 F' D' R' B'
L2 R B2 F' D2 R' B'
L2 R B2 F2 R' F B'
L2 R B2 F2 R' B' F
F2 L B' R F' B L
F2 L B' R B L F'
F2 L B' R B F' L
L2 R' U2 L F' B U2
L2 R' U2 L B F' U2
R L' U2 L F' L2 B
R L' U2 L F' B L2
R L' U2 L B L2 F'
R L' U2 L B F' L2
R L' U2 L' D F' B
R L' U2 L' D B F'
R L' U2 L' D' F' B
R L' U2 L' D' B F'
R L' U2 L' D2 F' B
R L' U2 L' D2 B F'
R L' U2 L' F' D B
R L' U2 L' F' D' B
R L' U2 L' F' D2 B
R L' U2 L' F' B D
R L' U2 L' F' B D'
R L' U2 L' F' B D2
R L' U2 L' B D F'
R L' U2 L' B D' F'
R L' U2 L' B D2 F'
R L' U2 L' B F' D
R L' U2 L' B F' D'
R L' U2 L' B F' D2
R L' U2 L2 F' L B
R L' U2 D L' F' B
R L' U2 D L' B F'
R L' U2 D B L' F'
R L' U2 D' L' F' B
R L' U2 D' L' B F'
R L' U2 D' B L' F'
R L' U2 D2 L' F' B
R L' U2 D2 L' B F'
B' L' R U2 L' F' B
B' L' R U2 L' B F'
L2 R' U2 F' L B U2
R L' U2 D2 B L' F'
B' L' R U2 B L' F'
F2 L' R D L' F' B
F2 L' R D L' B F'
B2 L' R U2 L' F' B
B2 L' R U2 L' B F'
U2 L' R U2 B' L' F'
F2 L' R D B L' F'
B2 L' R U2 B L' F'
F2 L' R D' L' F' B
F2 L' R D' L' B F'
B L' R U2 L' F' B
B L' R U2 L' B F'
F2 L' R D' B L' F'
F2 L' R D2 L' F' B
F2 L' R D2 L' B F'
B L' R U2 B L' F'
R L' U2 B L F' L2
R L' U2 B L' D F'
R L' U2 B L' D' F'
R L' U2 B L' D2 F'
R L' U2 B L' F' D
R L' U2 B L' F' D'
R L' U2 B L' F' D2
R L' U2 B L2 F' L
F2 L' R D2 B L' F'
R L' U2 B D L' F'
R L' U2 B D' L' F'
R L' U2 B D2 L' F'
R L' U2 B' L' F' B2
R L' U2 B' L' B2 F'
F' L' R B L' F' R
F2 L' R B L F' L2
F2 L' R B L' D F'
F2 L' R B L' D' F'
F2 L' R B L' D2 F'
F2 L' R B L' F' D
F2 L' R B L' F' D'
F2 L' R B L' F' D2
F2 L' R B L2 F' L
F2 L' R B D L' F'
F2 L' R B D' L' F'
F2 L' R B D2 L' F'
F2 L' R B' L' F' B2
F2 L' R B' L' B2 F'
R L' D U2 L' F' B
R L' D U2 L' B F'
R L' D U2 B L' F'
D2 L' R' F' R' U2 F2
U2 L' R' B U2 L' B2
U2 L' R' B U2 B2 L'
R L' D' U2 L' F' B
R L' D' U2 L' B F'
R L' D' U2 B L' F'
L R' D2 L R2 F' B
L R' D2 L R2 B F'
L R' D2 R2 L F' B
L R' D2 R2 L B F'
L R' D2 R2 F' L B
R L' D2 U2 L' F' B
R L' D2 U2 L' B F'
R L' D2 U2 B L' F'
R L' F U2 F2 B L
R L' F U2 B L F2
R L' F U2 B F2 L
L2 R' F' L B U2 L'
F2 L' U2 L' R F' B'
F2 L' U2 L' R B' F'
F2 L' U2 L' B' R F'
F2 L' U2 R L' F' B'
F2 L' U2 R L' B' F'
L R' F' L2 B U2 L'
B' L' U2 D2 L' F B'
B' L' U2 D2 L' B' F
R' L' F' D2 B R' U2
L' R' F' D2 B R' U2
B2 L' U2 D2 L' F B'
B2 L' U2 D2 L' B' F
U2 L' U2 D2 B' L' F
B L' U2 D2 L' F B'
B L' U2 D2 L' B' F
U2 L' U2 B' D2 L' F
R2 L' F2 R F' B U2
R2 L' F2 R B F' U2
R' L' F2 B R F U2
L' R' F2 B R F U2
R' L' B R U2 L' B'
L' R' B R U2 L' B'
R' L' B R2 U2 L' B
R' L' B R2 U2 B L'
L' R' B R2 U2 L' B
L' R' B R2 U2 B L'
R' L' B F2 R F U2
L' R' B F2 R F U2
F2 L' D2 L' R F B
F2 L' D2 L' R B F
F2 L' D2 R L' F B
F2 L' D2 R L' B F
F2 L' D2 R B L' F
R L' B' L' F' B2 R'
F L' D2 L' F R B
R L' B' L' B2 F' R'
B' L' D2 U2 L' F B'
B' L' D2 U2 L' B' F
B2 L' D2 U2 L' F B'
U2 L' D2 U2 B' L' F
B2 L' D2 U2 L' B' F
B L' D2 U2 L' F B'
B L' D2 U2 L' B' F
R L' B' U2 L' F' B2
R L' B' U2 L' B2 F'
R L' B' U2 B2 L' F'
F L' F R F' L' B
F L' F R F' B L'
F L' F R B F' L'
R L' B2 U2 B' L' F'
B' L' F2 R U2 F' B
B' L' F2 R U2 B F'
U2 L' F2 R U2 F' B'
U2 L' F2 R U2 B' F'
B2 L' F2 R U2 F' B
B2 L' F2 R U2 B F'
B L' F2 R U2 F' B
B L' F2 R U2 B F'
R' L2 U2 L F' B U2
R' L2 U2 L B F' U2
F2 L' B L' R F' B
F2 L' B L' R B F'
F2 L' B R L' F' B
F2 L' B R L' B F'
F2 L' B R B L' F'
R L2 U2 L U2 F' B
R L2 U2 L U2 B F'
R' L2 U2 F' L B U2
F2 L' B' L' R F' B
F2 L' B' L' R B F'
F2 L' B' R L' F' B
F2 L' B' R L' B F'
F2 L' B' R B L' F'
R L2 D F' B2 R' B'
F2 L' B2 L' R F' B
F2 L' B2 L' R B F'
R L2 D B D2 F' R
F2 L' B2 R L' F' B
F2 L' B2 R L' B F'
F2 L' B2 R B L' F'
R L2 D B2 F' R' B'
R L2 D' F' B2 R' B'
R L2 D' B D2 F' R
F2 L2 R D F' D B
F' L2 R D2 F' B R'
F2 L2 R D F' D' B
F2 L2 R D F' D2 B
F2 L2 R D F' B D
F2 L2 R D F' B D'
F2 L2 R D F' B D2
F2 L2 R D B D F'
F2 L2 R D B D' F'
F2 L2 R D B D2 F'
F' L2 R D2 B F' R'
F2 L2 R D B F' D
F2 L2 R D B F' D'
F2 L2 R D B F' D2
F2 L2 R D' F' D B
F2 L2 R D' F' D' B
F2 L2 R D' F' D2 B
F2 L2 R D' F' B D
F2 L2 R D' F' B D'
F2 L2 R D' F' B D2
F2 L2 R D' B D F'
F2 L2 R D' B D' F'
F2 L2 R D' B D2 F'
F2 L2 R D' B F' D
F2 L2 R D' B F' D'
F2 L2 R D' B F' D2
R L2 D' B2 F' R' B'
F' L2 R F' D B R
F2 L2 R D2 F' D B
F2 L2 R D2 F' D' B
F2 L2 R D2 F' D2 B
F2 L2 R D2 F' B D
F2 L2 R D2 F' B D'
F2 L2 R D2 F' B D2
F' L2 R F' D' B R
F' L2 R F' D2 B R
F' L2 R F' B R D
F' L2 R F' B R D'
F' L2 R F' B R D2
F' L2 R F' B D R
F2 L2 R D2 B D F'
F' L2 R F' B D' R
F2 L2 R D2 B D' F'
F' L2 R F' B D2 R
F2 L2 R D2 B D2 F'
F2 L2 R D2 B F' D
F2 L2 R D2 B F' D'
F2 L2 R D2 B F' D2
F' L2 R F' B' R B2
F' L2 R F' B2 R B'
B' L2 R F' B2 R' B'
F2 L2 R F' L B L'
F2 L2 R F' L2 B L2
F2 L2 R F' D B D
F2 L2 R F' D B D'
F2 L2 R F' D B D2
F2 L2 R F' D' B D
F2 L2 R F' D' B D'
F2 L2 R F' D' B D2
F2 L2 R F' D2 B D
F2 L2 R F' D2 B D'
F2 L2 R F' D2 B D2
B' L2 R B D2 F' R
F' L2 R B F' R D
F' L2 R B F' R D'
F' L2 R B F' R D2
F' L2 R B F' D R
F' L2 R B F' D' R
F' L2 R B F' D2 R
F2 L2 R F' B2 D B'
F2 L2 R F' B2 D' B'
F2 L2 R F' B2 D2 B'
B2 L2 R F' B2 R' B'
F2 L2 R F2 D F B
F2 L2 R F2 D B F
F2 L2 R F2 D' F B
F2 L2 R F2 D' B F
F2 L2 R F2 D2 F B
F2 L2 R F2 D2 B F
F' L2 R B' F' R B2
F2 L2 R F2 B D F
F2 L2 R F2 B D' F
F2 L2 R F2 B D2 F
F2 L2 R B L' F' L
F2 L2 R B L2 F' L2
F2 L2 R B D F' D
F2 L2 R B D F' D'
F2 L2 R B D F' D2
F2 L2 R B D' F' D
F2 L2 R B D' F' D'
F2 L2 R B D' F' D2
F' L2 R B2 F' R B'
F2 L2 R B D2 F' D
F2 L2 R B D2 F' D'
F2 L2 R B D2 F' D2
B' L2 R B2 F' R' B'
F2 L2 R B F2 D F
F2 L2 R B F2 D' F
F2 L2 R B F2 D2 F
B2 L2 R B D2 F' R
B L2 R F' B2 R' B'
F L2 R F B R F2
F2 L2 R B2 D F' B'
F2 L2 R B2 D B' F'
F2 L2 R B2 D' F' B'
F2 L2 R B2 D' B' F'
F2 L2 R B2 D2 F' B'
F2 L2 R B2 D2 B' F'
F2 L2 R B2 F' D B'
F2 L2 R B2 F' D' B'
F2 L2 R B2 F' D2 B'
B L2 R B D2 F' R
B2 L2 R B2 F' R' B'
F L2 R B F R F2
B L2 R B2 F' R' B'
R L2 D2 F' B2 R' B'
R L2 D2 B D2 F' R
R L2 D2 B2 F' R' B'
R' L2 F' L B U2 L'
L2 R2 F B2 R' F' B
L2 R2 F B2 R' B F'
R2 L2 F B2 R' F' B
R2 L2 F B2 R' B F'
F2 L2 R2 F R' F' B
F2 L2 R2 F R' B F'
F2 L2 R2 F' R' F' B
F2 L2 R2 F' R' B F'
F2 L2 R2 F2 R' F' B
F2 L2 R2 F2 R' B F'
B' L2 R2 B2 R' F' B
B' L2 R2 B2 R' B F'
R L2 F B2 R' F2 B'
R L2 F B2 R' B' F2
B2 L2 R2 B2 R' F' B
B2 L2 R2 B2 R' B F'
R L2 F' R B2 R' B
B L2 R2 B2 R' F' B
B L2 R2 B2 R' B F'
R L2 F' U2 L U2 B
L' R2 F2 R F' B U2
L' R2 F2 R B F' U2
L2 R2 F' B2 R' F' B
L2 R2 F' B2 R' B F'
R L2 F' D B2 R' B'
R2 L2 F' B2 R' F' B
R2 L2 F' B2 R' B F'
R L2 F' D' B2 R' B'
R L2 F' D2 B2 R' B'
R L2 F' B2 R B' R2
R L2 F' B2 R' D B'
R L2 F' B2 R' D' B'
R L2 F' B2 R' D2 B'
R L2 F' B2 R' B' D
R L2 F' B2 R' B' D'
R L2 F' B2 R' B' D2
R L2 F' B2 R2 B' R
R L2 F' B2 D R' B'
R L2 F' B2 D' R' B'
R L2 F' B2 D2 R' B'
L2 R2 F2 B2 R' F' B
L2 R2 F2 B2 R' B F'
R2 L2 F2 B2 R' F' B
R2 L2 F2 B2 R' B F'
R L2 F2 B2 R' F B'
R L2 F2 B2 R' B' F
L2 R2 B R' F' B R'
L2 R2 B R' B F' R'
R2 L2 B R' F' B R'
R2 L2 B R' B F' R'
R L2 B D2 F' R D
R L2 B D2 F' R D'
R L2 B D2 F' R D2
R L2 B D2 F' D R
R L2 B D2 F' D' R
R L2 B D2 F' D2 R
L2 R2 B2 R' D F' B
L2 R2 B2 R' D B F'
L2 R2 B2 R' D' F' B
L2 R2 B2 R' D' B F'
L2 R2 B2 R' D2 F' B
L2 R2 B2 R' D2 B F'
L2 R2 B2 R' F' D B
L2 R2 B2 R' F' D' B
L2 R2 B2 R' F' D2 B
L2 R2 B2 R' F' B D
L2 R2 B2 R' F' B D'
L2 R2 B2 R' F' B D2
L2 R2 B2 R' B D F'
L2 R2 B2 R' B D' F'
L2 R2 B2 R' B D2 F'
L2 R2 B2 R' B F' D
L2 R2 B2 R' B F' D'
L2 R2 B2 R' B F' D2
R2 L2 B2 R' D F' B
R2 L2 B2 R' D B F'
R2 L2 B2 R' D' F' B
R2 L2 B2 R' D' B F'
R2 L2 B2 R' D2 F' B
R2 L2 B2 R' D2 B F'
R2 L2 B2 R' F' D B
R2 L2 B2 R' F' D' B
R2 L2 B2 R' F' D2 B
R2 L2 B2 R' F' B D
R2 L2 B2 R' F' B D'
R2 L2 B2 R' F' B D2
R2 L2 B2 R' B D F'
R2 L2 B2 R' B D' F'
R2 L2 B2 R' B D2 F'
R2 L2 B2 R' B F' D
R2 L2 B2 R' B F' D'
R2 L2 B2 R' B F' D2
L2 R2 B2 F R' F' B
L2 R2 B2 F R' B F'
L2 R2 B2 F' R' F' B
L2 R2 B2 F' R' B F'
R2 L2 B2 F R' F' B
R2 L2 B2 F R' B F'
L2 R2 B2 F2 R' F' B
L2 R2 B2 F2 R' B F'
R L2 B2 D F' R' B'
R2 L2 B2 F' R' F' B
R2 L2 B2 F' R' B F'
R2 L2 B2 F2 R' F' B
R2 L2 B2 F2 R' B F'
R L2 B2 D' F' R' B'
R L2 B2 D2 F' R' B'
R L2 B2 F R' F2 B'
R L2 B2 F R' B' F2
R L2 B2 F' R B' R2
R L2 B2 F' R' D B'
R L2 B2 F' R' D' B'
R L2 B2 F' R' D2 B'
R L2 B2 F' R' B' D
R L2 B2 F' R' B' D'
R L2 B2 F' R' B' D2
R L2 B2 F' R2 B' R
R L2 B2 F' D R' B'
R L2 B2 F' D' R' B'
R L2 B2 F' D2 R' B'
R L2 B2 F2 R' F B'
R L2 B2 F2 R' B' F
R U L' U2 L' F' B
R U L' U2 L' B F'
F2 L2 F R F' B R
R U L' U2 B L' F'
F2 L2 F R B F' R
F L2 F R D F' B
F L2 F R D B F'
F L2 F R D' F' B
F L2 F R D' B F'
F L2 F R D2 F' B
F L2 F R D2 B F'
F L2 F R F' D B
F L2 F R F' D' B
