D' L B' U L B
L' R F' R D' L2 F2
L' R F' R D' F2 L2
D' L F B' U L B
D' L F' B' U L B
U L F' B' U' R F
D' L F2 B' U L B
D' L B' L' U L2 B
D' L B' L' U B L2
D' L B' L2 U L' B
D' L B' L2 U B L'
D' L B' U L D B
D' L B' U L D' B
D' L B' U L D2 B
D' L B' U L B D
D' L B' U L B D'
D' L B' U L B D2
D' L B' U L' B L2
D' L B' U L2 B L'
D' L B' U D L B
D' L B' U D' L B
D' L B' U D2 L B
D' L B' D U L B
D' L B' D' U L B
D' L B' D2 U L B
D' L B' F U L B
D' L B' F' U L B
D' L B' F2 U L B
U L B' F' U' R F
F' L' R U' R' F U
F' L' R U' F R' U
R L' F' R D' L2 F2
R L' F' R D' F2 L2
R2 L' F' D' L2 R F2
R2 L' F' D' R L2 F2
R2 L' F' D' R F2 L2
B' L' D2 F U B R'
B2 L' F L2 U B2 R'
B' L' F U' L' U2 B
B2 L' F U' L' U2 B2
B L' F U' L' F U2
F2 L' F B U R B'
F2 L' F B U B' R
F2 L' F B' U B R
F2 L' F B2 U R B2
F2 L' F B2 U B2 R
F2 L' B F U R B'
F2 L' B F U B' R
F2 L' B' F U B R
F2 L' B2 F U R B2
F2 L' B2 F U B2 R
L' R2 F' D' L2 R F2
L' R2 F' D' R L2 F2
L' R2 F' D' R F2 L2
B' L2 U D2 B L R'
B' L2 U D2 B R' L
B L2 U' F L' R U2
B L2 U' F R L' U2
B' L2 D2 U B L R'
B' L2 D2 U B R' L
B' L2 F' U B L R
B' L2 F' U B R L
F' L2 B' U B L R
F' L2 B' U B R L
F' R L' U' R' F U
F' R L' U' F R' U
F' R U B2 L B' U'
L U F' B' U' R F
L U B' F' U' R F
F2 U L F B' U' F'
F2 U L B' F U' F'
L2 D' L F B' U B
L2 D' L B' F U B
L D' L B' U B L
L' D' F L B' U B
F U' L' U F L U
L' D2 F B U R' B'
L' D2 B F U R' B'
L' F L D' B2 U B2
D' F L B' U L B
U' F L' U F L U
L' F L2 B2 U R' B2
L' F U' L' U L U
R' F D F2 R F' L'
L' F B' U' L' U2 B
L' F B2 L2 U B2 R'
L' F B2 U' L' U2 B2
D' F' L B' U L B
L' F' R U' R' F2 U
L' F' R U' F2 R' U
L' F' R2 D' L2 R' F2
L' F' R2 D' L2 F2 R'
L' F' R2 D' R' L2 F2
L' F' R2 D' R' F2 L2
L' F' R2 D' F2 L2 R'
L' F' R2 D' F2 R' L2
B' D' L B' U L B2
U F' U' R D F L'
U F' U' D R F L'
U F' D U' R F L'
L2 F' B' U B L R
L2 F' B' U B R L
D' F2 L B' U L B
F' D' B' U L B R
F' D2 R U' F' R' U
D2 B U R' B' D L2
D2 B U D R' B' L
D2 B D U R' B' L
F' B U R D' B' L
F' B U D' R B' L
F' B U D' B' L R
F' B U D' B' R L
F' B D' U R B' L
F' B D' U B' L R
F' B D' U B' R L
D' B' U L B D' R2
D' B' U D' L B R'
B' F' L2 U B L R
B' F' L2 U B R L
F2 B' L' F U B R
L2 B' U D2 B L R'
L2 B' U D2 B R' L
F' B' L2 U B L R
F' B' L2 U B R L
D' B' D' U L B R'
L' B' D2 F U B R'
L2 B' D2 U B L R'
L2 B' D2 U B R' L
L' B' F U' L' U2 B
B F' U R D' B' L
B F' U D' R B' L
B F' U D' B' L R
B F' U D' B' R L
L2 B' F' U B L R
L2 B' F' U B R L
B F' D' U R B' L
B F' D' U B' L R
B F' D' U B' R L
B' F2 L' F U B R
B2 F2 L' F U R B2
B2 F2 L' F U B2 R
F2 B2 L' F U R B2
F2 B2 L' F U B2 R
L' B2 F L2 U B2 R'
L' B2 F U' L' U2 B2
