B' U L B R F
U L U' R D2 F L'
U L U' D2 R F L'
U L D2 U' R F L'
U L B' U' R F L
U L' U B' U2 L R
U L' U B' U2 R L
R U L U' D2 F L'
R U L D2 U' F L'
R U L B' U' F L
R U L' U B' U2 L
R U D L B' U' F
R U D2 L U' F L'
D2 R U L U' F L'
D R U L B' U' F
D' R U' F' R' U F'
R U B' L' U' L2 F
R U B' L2 U' L' F
D2 R F L' U' R U
D2 R F U' R U L'
D' R F U' R F2 U
D2 R F' L D F2 L'
D' R F' U L' U' L
R U' R U' B R' U2
D2 R F2 D' F' L' F
U R B' D L F B'
U R B' D L B' F
U' R' B' U L F' R2
U' R' B' U F' L R2
U' R' B' U F' R2 L
R U2 B R' U' L U'
R U2 B' U R' U L
D2 R2 F L' R' D' F2
D2 R2 F R' L' D' F2
D2 R2 F R' D' L' F2
R D U L B' U' F
D2 U L U' R F L'
B' U L D B R F
B' U L D' B R F
B' U L D2 B R F
B' U L F D2 B R'
B' U L B R D F
B' U L B R D' F
B' U L B R D2 F
B' U L B R F D
B' U L B R F D'
B' U L B R F D2
B' U L B R' F R2
B' U L B R2 F R'
B' U L B D R F
B' U L B D' R F
B' U L B D2 R F
B' U L B' R F B2
B' U L B' R B2 F
B' U L B2 R F B'
B' U L B2 R B' F
F' U L' U2 B' U L
D U L B' U' R F
U D L B' U' R F
B' U L2 B L' R F
B' U L2 B R L' F
B' U R D2 L F B'
B' U R D2 L B' F
B' U D L B R F
B' U D' L B R F
B' U D2 L B R F
B' U F' L F B R
B' U F' L B F R
B U B2 L B R F
B' U' L B R' F' R2
R D' F U' R F' U
B U' R B' D2 L2 F2
B U' R B' D2 F2 L2
R D' F2 D' L' F L'
R D' F2 D' F L' F
B U' R' U2 F' R2 B'
B U' R' U2 F' B' R2
B U' R' U2 B' F' R2
U D2 L U' R F L'
R D2 U L U' F L'
R2 D2 F L' R' D' F2
R2 D2 F R' L' D' F2
R2 D2 F R' D' L' F2
R D2 F L' U' R U
R D2 F U' R U L'
R D2 F' L D F2 L'
R D2 F2 D' F' L' F
D' F U' R F' U R
B2 U2 B2 D' R F' L'
R F U' D' R F' U
R F D' U' R F' U
B' D U L B R F
R F D2 F D' L' F
R F' U L' B' U' L
R F' U B' L' U' L2
B' D' U L B R F
R F' B' L D F2 B
R F' B' L D B F2
R F' B' L B D F2
D' F2 D' F L' F R
D F2 D F2 R F' L'
R F2 D' L' D' F L'
B' D2 U L B R F
R F2 D2 F D L' F
F2 D2 F D L' F R
F2 D2 F2 D' R F' L'
U2 B R' U' L U' R2
U B' L' U' L2 R F
U B' L' U' R L2 F
U' B' R' U L F' R2
U' B' R' U F' L R2
U' B' R' U F' R2 L
U B' L2 U' L' R F
U B' L2 U' R L' F
R' B' U L F B R2
R' B' U L B R2 F
R' B' U L B F R2
L' B' U L B R F
L2 B' U L B R F
U2 B' U R' U L R2
U2 B' U R' U R2 L
R2 B' U L F B R'
R2 B' U L B R' F
R2 B' U L B F R'
L B' U L B R F
R2 B' U' L B R' F'
U2 B' U2 L R D' F2
U2 B' U2 R L D' F2
U2 B' U2 R D' L F2
U2 B' U2 R D' F2 L
R B' F' L D F2 B
R B' F' L D B F2
R B' F' L B D F2
U2 B2 U2 D' R F' L'
U2 B2 D' U2 R F' L'
