B2 L F2 U F'
F2 B2 L U F
B2 F2 L U F
B2 L R F2 U F'
B2 L R' F2 U F'
B2 L R2 F2 U F'
B2 L U D' F L2
B2 L D' U F L2
B2 L F2 U D F'
B2 L F2 U D' F'
B2 L F2 U D2 F'
B2 L F2 U F' D
B2 L F2 U F' D'
B2 L F2 U F' D2
B2 L F2 D U F'
B2 L F2 D' U F'
B2 L F2 D2 U F'
B2 L' F2 L2 U F
B2 R L F2 U F'
B2 R F2 L U F
B2 R' L F2 U F'
B2 R' F2 L U F
B2 R2 L F2 U F'
B2 R2 F2 L U F
B2 D' L U F L
L F2 B2 L U F'
B2 F' L F' U F2
F' B2 L F' U F2
B2 F2 L R U F
B2 F2 L R' U F
F2 B2 L R U F
B2 F2 L R2 U F
F2 B2 L R' U F
B2 F2 L U D F
B2 F2 L U D' F
B2 F2 L U D2 F
B2 F2 L U F D
B2 F2 L U F D'
B2 F2 L U F D2
F2 B2 L R2 U F
F2 B2 L U D F
F2 B2 L U D' F
F2 B2 L U D2 F
F2 B2 L U F D
F2 B2 L U F D'
F2 B2 L U F D2
B2 F2 L D U F
B2 F2 L D' U F
F2 B2 L D U F
B2 F2 L D2 U F
F2 B2 L D' U F
F2 B2 L D2 U F
B2 F2 R L U F
F2 B2 R L U F
B2 F2 R' L U F
F2 B2 R' L U F
B2 F2 R2 L U F
F2 B2 R2 L U F
B2 F2 D L U F
F2 B2 D L U F
B2 F2 D' L U F
F2 B2 D' L U F
B2 F2 D2 L U F
F2 B2 D2 L U F
L B2 F2 L U F'
B2 L R U D' F L2
B2 L R D' U F L2
B2 L R F2 U D F'
B2 L R F2 U D' F'
B2 L R F2 U D2 F'
B2 L R F2 U F' D
B2 L R F2 U F' D'
B2 L R F2 U F' D2
B2 L R F2 D U F'
B2 L R F2 D' U F'
B2 L R F2 D2 U F'
B2 L R' U D' F L2
D' L R' U' R' F L
D' L R' U' F L R'
D' L R' U' F R' L
B2 L R' D' U F L2
R' L U' D' R2 F L2
R' L U' D' F L2 R2
R' L U' D' F R2 L2
B2 L R' F2 U D F'
B2 L R' F2 U D' F'
B2 L R' F2 U D2 F'
B2 L R' F2 U F' D
B2 L R' F2 U F' D'
B2 L R' F2 U F' D2
B2 L R' F2 D U F'
D2 L R' F2 B2 U' F'
B2 L R' F2 D' U F'
B2 L R' F2 D2 U F'
D2 L R' B2 F2 U' F'
B2 L R2 U D' F L2
B2 L R2 D' U F L2
D' L R2 F D' L B'
B2 L R2 F2 U D F'
B2 L R2 F2 U D' F'
B2 L R2 F2 U D2 F'
B2 L R2 F2 U F' D
B2 L R2 F2 U F' D'
B2 L R2 F2 U F' D2
B2 L R2 F2 D U F'
B2 L R2 F2 D' U F'
B2 L R2 F2 D2 U F'
B2 L U L2 D' L2 F
R' L U2 F2 B2 U F'
R' L U2 B2 F2 U F'
B2 L U D F D2 L2
B2 L U D' F L2 D
B2 L U D' F L2 D'
B2 L U D' F L2 D2
B2 L U D' F' L2 F2
B2 L U D' F2 L2 F'
B2 L U D2 F D L2
B2 L U F U' F U
B2 L U' D R2 U2 F
