B' U L U2 L' U
B U' R' U2 R U'
U2 B U R' U B'
U2 B' U' L U' B
D' L R U2 L' F' R'
D' L R' B U2 L' R
D' L R' B U2 R L'
D L R' B' U2 L' R
D L R' B' U2 R L'
R' L U2 L' D' R F'
R' L U2 R D L' F
R' L U2 D L' R F
R' L U2 D R L' F
L R U2 R' D L' F
R' L U2 D' L' R F'
R' L U2 D' R L' F'
R2 L U2 R2 D L' F
L R U2 D L' R' F
L R U2 D L' F R'
L R U2 D R' L' F
D L R2 B' U2 L' R2
D L R2 B' U2 R2 L'
R L U2 R' D L' F
R L U2 D L' R' F
R L U2 D L' F R'
R L U2 D R' L' F
R' L D U2 L' R F
R' L D U2 R L' F
L R D U2 L' R' F
L R D U2 L' F R'
L R D U2 R' L' F
R L D U2 L' R' F
R L D U2 L' F R'
R L D U2 R' L' F
R' L D' U2 L' R F'
R' L D' U2 R L' F'
U L U2 D L' U F
D L U2 B' U2 L' B
D L U2 B' U2 B L'
F2 L D L' D F B2
F2 L D L' D B2 F
F2 L D L' F D B2
F L D L' F D2 B2
U L D U2 L' U F
F2 L D2 B2 D' L' F
D L F' L2 F B' L'
D L F' L2 B' F L'
D L B' R U2 L' R'
D L B' R U2 R' L'
D L B' R' U2 L' R
D L B' R' U2 R L'
D L B' R2 U2 L' R2
D L B' R2 U2 R2 L'
R' L' U2 L D' R F'
L' R' U2 L D' R F'
L R' U2 L' D' R F'
L2 R' U2 L2 D' R F'
L R' U2 R D L' F
R' L' U2 D' L R F'
L' R' U2 D' L R F'
R' L' U2 D' R L F'
R' L' U2 D' R F' L
L' R' U2 D' R L F'
L' R' U2 D' R F' L
L R' U2 D L' R F
L R' U2 D R L' F
L R' U2 D' L' R F'
L R' U2 D' R L' F'
D' L' R U2 L F' R'
D' L' R U2 F' L R'
D' L' R U2 F' R' L
D L' R U2 R' F L
D L' R U2 F L R'
D L' R U2 F R' L
L R' D U2 L' R F
L R' D U2 R L' F
D L' R' U2 R F L
D' L' R2 U2 L R2 F
D' L' R2 U2 L F R2
D' L' R2 U2 R2 L F
R' L' D' U2 L R F'
R' L' D' U2 R L F'
R' L' D' U2 R F' L
L' R' D' U2 L R F'
L' R' D' U2 R L F'
L' R' D' U2 R F' L
D L' R2 U2 R2 F L
D L' R2 U2 F L R2
D L' R2 U2 F R2 L
L R' D' U2 L' R F'
L R' D' U2 R L' F'
D L' R2 F L R2 B
D L' R2 F R2 L B
D' L' U2 L F2 R F'
B' L' U2 D L F2 R
D L' U2 F' L F2 R
F' L' D L' F B' L2
B' L' D L F2 D2 B2
F' L' D L' B' F L2
U2 L' D L B' U2 B
B' L' D U2 L F2 R
B' L' D F2 L D2 B2
B' L' D F2 D2 L B2
B' L' D' B2 R' U2 R
D L' F L R2 B R2
D L' F L U2 F' U2
D L' F R2 L B R2
D L' F U2 F' U2 L
D L' F' L2 B' L' F2
D L' F2 L D2 F' B2
D L' F2 L D2 B2 F'
R' L2 U2 L2 D' R F'
D L' F2 D2 L F' B2
D L' F2 D2 L B2 F'
D L' F2 D2 F' L B2
L R2 U2 R2 D L' F
D' L' B2 R' B U2 R
D L' B2 R' U2 R F
D' L2 R U2 L2 F' R'
D' L2 R U2 F' L2 R'
D' L2 R U2 F' R' L2
D' L2 R F' L2 R' B'
D' L2 R F' R' L2 B'
D L2 R U2 L2 R' F'
D L2 R U2 R' L2 F'
D L2 R U2 R' F' L2
D' L2 R' B U2 L2 R
D' L2 R' B U2 R L2
U L2 D' R U' F' B2
U L2 D' R U' B2 F'
D L2 F' L F L B'
F' L2 B' L' D L' F2
F' L2 B' L2 U L' U'
F' L2 B' U L U' L
D' R L U2 L' F' R'
D' R L' U2 L F' R'
D' R L' U2 F' L R'
D' R L' U2 F' R' L
D R L' U2 R' F L
D R L' U2 F L R'
D R L' U2 F R' L
D' R L2 U2 L2 F' R'
D' R L2 U2 F' L2 R'
D' R L2 U2 F' R' L2
D' R L2 F' L2 R' B'
D' R L2 F' R' L2 B'
D R L2 U2 L2 R' F'
D R L2 U2 R' L2 F'
D R L2 U2 R' F' L2
D' R U2 F R' F2 L'
D R U2 R' F2 L' F
B R U2 D' R' F2 L'
B R D B2 L U2 L'
U2 R D' R' B U2 B'
B R D' R' F2 D2 B2
F R D' R F' B R2
F R D' R B F' R2
B R D' U2 R' F2 L'
B R D' F2 R' D2 B2
