R2 U R2 B U2
R2 U' D2 L2 F'
R2 U' D2 F' L2
R2 U' F' D2 L2
U' R2 U' F' R2
R2 D B2 U' F'
B U' R2 U' R2
R2 D2 U' L2 F'
R2 D2 U' F' L2
R2 L U R2 B U2
R2 L U' D2 L2 F'
R2 L U' D2 F' L2
R2 L U' F' D2 L2
U' L R2 U' F' R2
R2 L D B2 U' F'
B L U' R2 U' R2
R2 L D2 U' L2 F'
R2 L D2 U' L2 F'
R2 L D2 U' F' L2
R2 L' U R2 B U2
R2 L' U' D2 L2 F'
R2 L' U' D2 F' L2
R2 L' U' F' D2 L2
R2 L' D B2 U' F'
U' L' R2 U' F' R2
R2 L' D2 U' L2 F'
R2 L' D2 U' F' L2
B L' U' R2 U' R2
L' R2 U R2 B U2
L2 R2 U R2 B U2
R2 L2 U R2 B U2
L' R2 U' D2 L2 F'
L' R2 U' D2 F' L2
L R2 U R2 B U2
L' R2 U' F' D2 L2
L2 R2 U' D2 L2 F'
L2 R2 U' D2 F' L2
R2 L2 U' D2 L2 F'
L2 R2 U' F' D2 L2
R2 L2 U' D2 F' L2
L R2 U' D2 L2 F'
L R2 U' D2 F' L2
R2 L2 U' F' D2 L2
L R2 U' F' D2 L2
L' R2 D B2 U' F'
L2 R2 D B2 U' F'
R2 L2 D B2 U' F'
L R2 D B2 U' F'
L' R2 D2 U' L2 F'
L' R2 D2 U' F' L2
L2 R2 D2 U' L2 F'
L2 R2 D2 U' F' L2
R2 L2 D2 U' L2 F'
R2 L2 D2 U' F' L2
L R2 D2 U' L2 F'
L R2 D2 U' F' L2
U' L2 R2 U' F' R2
B L2 U' R2 U' R2
R2 U R2 D B U2
R2 U R2 D' B U2
R2 U R2 D2 B U2
R2 U R2 B U2 D
R2 U R2 B U2 D'
R2 U R2 B U2 D2
R2 U R2 B D U2
R2 U R2 B D' U2
R2 U R2 B D2 U2
R2 U B R2 B U2
R2 U B' R2 B U2
R2 U B2 R2 B U2
R2 U' L D2 L2 F'
R2 U' L D2 F' L2
R2 U' L F' D2 L2
R2 U' L' D2 L2 F'
R2 U' L' D2 F' L2
R2 U' L' F' D2 L2
R2 U' L2 D2 L2 F'
R2 U' L2 D2 F' L2
R2 U' L2 F' D2 L2
L' U' R2 U' F' R2
L2 U' R2 U' F' R2
L U' R2 U' F' R2
R2 U' D F' D L2
R2 U' D2 L F' L
R2 U' D2 L2 D F'
R2 U' D2 L2 D' F'
R2 U' D2 L2 D2 F'
R2 U' D2 L2 F' D
R2 U' D2 L2 F' D'
R2 U' D2 L2 F' D2
R2 U' D2 F L2 F2
R2 U' D2 F' L2 D
R2 U' D2 F' L2 D'
R2 U' D2 F' L2 D2
R2 U' F' L D2 L2
R2 U' F' L' D2 L2
R2 U' F' L2 D2 L2
R2 U' F' U2 R2 U2
R2 U' F' D2 L2 D
R2 U' F' D2 L2 D'
R2 U' F' D2 L2 D2
R2 U' F2 D2 F L2
U' R2 L U' F' R2
R2 U2 D' F2 U F
U' R2 L' U' F' R2
U' R2 L2 U' F' R2
B' R2 U R2 B2 U2
B2 R2 U R2 B' U2
B' R2 U B2 R2 U2
B2 R2 U B' R2 U2
B' R2 U' D2 L2 F2
B' R2 U' D2 F2 L2
B2 R2 U' D2 L2 F
U' R2 U' F R2 F2
U' R2 U' F' R2 D
U' R2 U' F' R2 D'
U' R2 U' F' R2 D2
U' R2 U' F2 R2 F
B' R2 D L2 B2 U'
B' R2 D B2 L2 U'
U' R2 D' F2 U' F
B' R2 D2 U' L2 F2
B' R2 D2 U' F2 L2
B2 R2 D2 U' L2 F
R2 D L B2 U' F'
U' R2 F U' R2 F2
U' R2 F U' F2 R2
R2 D L' B2 U' F'
R2 D L2 B2 U' F'
U' R2 F2 U' R2 F
U' R2 F2 U' F R2
R2 D U' F' D L2
R2 D B2 L U' F'
R2 D B2 L' U' F'
R2 D B2 L2 U' F'
R2 D B2 U' D F'
R2 D B2 U' D' F'
R2 D B2 U' D2 F'
R2 D B2 U' F' D
R2 D B2 U' F' D'
R2 D B2 U' F' D2
R2 D B2 D U' F'
R2 D B2 D' U' F'
R2 D B2 D2 U' F'
U' D B2 D L2 F
R2 D' U2 F2 U F
F' U' R2 F U' F2
F2 U' R2 F2 U' F
B U' R2 U' R2 D
B U' R2 U' R2 D'
B U' R2 U' R2 D2
B U' R2 D' F2 U'
B U' R2 F U' R2
B U' R2 F' U' R2
B U' R2 F2 U' R2
R2 D2 L U' L F'
R2 D2 L U' F' L
F' U' F R2 U' F'
R2 D2 L' U' L' F'
B U' F R2 U' R2
D U' B2 D L2 F
F2 U' F2 R2 U' F'
B U' F' R2 U' R2
F U' F' R2 U' F'
B U' F2 R2 U' R2
R2 D2 U' L F' L
R2 D2 U' L2 D F'
R2 D2 U' L2 D' F'
R2 D2 U' L2 D2 F'
R2 D2 U' L2 F' D
R2 D2 U' L2 F' D'
R2 D2 U' L2 F' D2
R2 D2 U' F L2 F2
R2 D2 U' F' L2 D
R2 D2 U' F' L2 D'
R2 D2 U' F' L2 D2
R2 D2 B U' L2 F'
R2 D2 B U' F' L2
R2 D2 B' U' L2 F'
R2 D2 B' U' F' L2
F2 U2 D R2 F' B2
F2 U2 D R2 B2 F'
R2 D2 B2 U' L2 F'
R2 D2 B2 U' F' L2
B U2 D B2 D' R2
U' F R2 U' F' R2
F2 D U2 R2 F' B2
F2 D U2 R2 B2 F'
B D U2 B2 D' R2
U' F' R2 U' F' R2
F2 D B U2 B R2
F2 D' L2 F2 B U2
F2 D' L2 B F2 U2
F2 D' F2 L2 B U2
U' F2 R2 U' F' R2
F2 D' F2 B L2 U2
F2 D' B L2 F2 U2
B D' F2 U' F2 U'
B D' F2 U2 D R2
B D' F2 D U2 R2
B D' F2 D' L2 U2
F2 D' B F2 L2 U2
D' F2 U2 D R2 F'
D' F2 D U2 R2 F'
D' F2 D B U2 R2
D' F2 D' L2 B U2
D' F2 D' B L2 U2
D' F2 B U' F2 U'
D' F2 B U2 D R2
D' F2 B D U2 R2
D' F2 B D' L2 U2
L' B U' R2 U' R2
R2 B U R2 B U2
R2 B U' D2 L2 F'
L2 B U' R2 U' R2
R2 B U' D2 F' L2
R2 B U' F' D2 L2
L B U' R2 U' R2
R2 B D B2 U' F'
R2 B D2 U' L2 F'
R2 B D2 U' F' L2
F' B U' R2 F U'
F' B U' F R2 U'
D' B F2 U' F2 U'
D' B F2 U2 D R2
D' B F2 D U2 R2
D' B F2 D' L2 U2
F2 B U' R2 F2 U'
F2 B U' F2 R2 U'
F2 B U2 D R2 B2
F2 B U2 D B2 R2
B F U' F' R2 U'
F B U' F' R2 U'
F2 B D U2 R2 B2
F2 B D U2 B2 R2
F2 B D' L2 F2 U2
F2 B D' F2 L2 U2
R2 B' U R2 B U2
R2 B' U' D2 L2 F'
R2 B' U' D2 F' L2
R2 B' U' F' D2 L2
R2 B' D B2 U' F'
R2 B' D2 U' L2 F'
R2 B' D2 U' F' L2
B F' U' R2 F U'
B F' U' F R2 U'
R2 B2 U R2 B U2
R B2 R U' L F'
R B2 R U' F' L
R2 B2 U' D2 L2 F'
R2 B2 U' D2 F' L2
R2 B2 U' F' D2 L2
U' B2 D L2 F B2
U' B2 D L2 B2 F
R2 B2 D B2 U' F'
B F2 U' R2 F2 U'
B F2 U' F2 R2 U'
R2 B2 D2 U' L2 F'
R2 B2 D2 U' F' L2
B F2 U2 D R2 B2
B F2 U2 D B2 R2
B F2 D U2 R2 B2
B F2 D U2 B2 R2
B F2 D' L2 F2 U2
B F2 D' F2 L2 U2
R2 L U R2 D B U2
R2 L U R2 D' B U2
R2 L U R2 D2 B U2
R2 L U R2 B U2 D
R2 L U R2 B U2 D'
R2 L U R2 B U2 D2
R2 L U R2 B D U2
R2 L U R2 B D' U2
R2 L U R2 B D2 U2
R2 L U B R2 B U2
R2 L U B' R2 B U2
R2 L U B2 R2 B U2
R2 L U' L D2 L2 F'
R2 L U' L D2 F' L2
R2 L U' L F' D2 L2
R2 L U' L' D2 L2 F'
R2 L U' L' D2 F' L2
R2 L U' L' F' D2 L2
R2 L U' L2 D2 L2 F'
R2 L U' L2 D2 F' L2
R2 L U' L2 F' D2 L2
R2 L U' D F' D L2
R2 L U' D2 L F' L
R2 L U' D2 L2 D F'
R2 L U' D2 L2 D' F'
R2 L U' D2 L2 D2 F'
R2 L U' D2 L2 F' D
R2 L U' D2 L2 F' D'
R2 L U' D2 L2 F' D2
R2 L U' D2 F L2 F2
R2 L U' D2 F' L2 D
R2 L U' D2 F' L2 D'
R2 L U' D2 F' L2 D2
B' L R2 U R2 B2 U2
B' L R2 U B2 R2 U2
R2 L U' F' L D2 L2
R2 L U' F' L' D2 L2
R2 L U' F' L2 D2 L2
B' L R2 U' D2 L2 F2
B' L R2 U' D2 F2 L2
R2 L U' F' U2 R2 U2
U' L R2 U' F R2 F2
R2 L U' F' D2 L2 D
R2 L U' F' D2 L2 D'
R2 L U' F' D2 L2 D2
U' L R2 U' F' R2 D
U' L R2 U' F' R2 D'
U' L R2 U' F' R2 D2
U' L R2 U' F2 R2 F
R2 L U' F2 D2 F L2
B' L R2 D L2 B2 U'
B' L R2 D B2 L2 U'
U' L R2 D' F2 U' F
B' L R2 D2 U' L2 F2
B' L R2 D2 U' F2 L2
U' L R2 F U' R2 F2
U' L R2 F U' F2 R2
U' L R2 F2 U' R2 F
U' L R2 F2 U' F R2
R2 L U2 D' F2 U F
R2 L D L B2 U' F'
R2 L D L' B2 U' F'
R2 L D L2 B2 U' F'
R2 L D U' F' D L2
F2 L U' R2 F2 U' F
R2 L D B2 L U' F'
B L U' R2 U' R2 D
B L U' R2 U' R2 D'
B L U' R2 U' R2 D2
R2 L D B2 L' U' F'
R2 L D B2 L2 U' F'
B L U' R2 D' F2 U'
B L U' R2 F U' R2
B L U' R2 F' U' R2
R2 L D B2 U' D F'
R2 L D B2 U' D' F'
R2 L D B2 U' D2 F'
R2 L D B2 U' F' D
R2 L D B2 U' F' D'
R2 L D B2 U' F' D2
B L U' R2 F2 U' R2
R2 L D B2 D U' F'
R2 L D B2 D' U' F'
R2 L D B2 D2 U' F'
B L U' F R2 U' R2
B L U' F' R2 U' R2
F2 L U' F2 R2 U' F'
F L U' F' R2 U' F'
B L U' F2 R2 U' R2
D L U' B2 D L2 F
R2 L D' U2 F2 U F
U2 L U2 R2 U' L' F'
F2 L U2 D R2 F' B2
F2 L U2 D R2 B2 F'
R2 L D2 L U' L F'
R2 L D2 L U' F' L
B L U2 D B2 D' R2
R2 L D2 L' U' L' F'
R2 L D2 U' L F' L
R2 L D2 U' L2 D F'
R2 L D2 U' L2 D' F'
R2 L D2 U' L2 D2 F'
R2 L D2 U' L2 F' D
R2 L D2 U' L2 F' D'
R2 L D2 U' L2 F' D2
R2 L D2 U' F L2 F2
R2 L D2 U' F' L2 D
R2 L D2 U' F' L2 D'
R2 L D2 U' F' L2 D2
R2 L D2 B U' L2 F'
R2 L D2 B U' F' L2
R2 L D2 B' U' L2 F'
R2 L D2 B' U' F' L2
R2 L D2 B2 U' L2 F'
R2 L D2 B2 U' F' L2
F2 L D U2 R2 F' B2
F2 L D U2 R2 B2 F'
B L D U2 B2 D' R2
F2 L D B U2 B R2
U' L D B2 D L2 F
F2 L D' L2 F2 B U2
F2 L D' L2 B F2 U2
F' L D' F2 B U2 R'
F2 L D' F2 L2 B U2
F2 L D' F2 B L2 U2
F' L D' B F2 U2 R'
F2 L D' B L2 F2 U2
F2 L D' B F2 L2 U2
B L D' F2 U' F2 U'
B L D' F2 U2 D R2
B L D' F2 D U2 R2
B L D' F2 D' L2 U2
U' L F R2 U' F' R2
B L F U' F' R2 U'
R2 L B U R2 B U2
R2 L B U' D2 L2 F'
R2 L B U' D2 F' L2
R2 L B U' F' D2 L2
R2 L B D B2 U' F'
R2 L B D2 U' L2 F'
R2 L B D2 U' F' L2
U' L F' R2 U' F' R2
B L F' U' R2 F U'
B L F' U' F R2 U'
R2 L B' U R2 B U2
R2 L B' U' D2 L2 F'
R2 L B' U' D2 F' L2
R2 L B' U' F' D2 L2
R2 L B' D B2 U' F'
R2 L B' D2 U' L2 F'
R2 L B' D2 U' F' L2
U' L F2 R2 U' F' R2
D' L F2 U2 D R2 F'
L' R B2 R U' L F'
L' R B2 R U' F' L
D' L F2 D U2 R2 F'
D' L F2 D B U2 R2
D' L F2 D' L2 B U2
D' L F2 D' B L2 U2
B L F2 U' R2 F2 U'
B L F2 U' F2 R2 U'
L2 R B2 R U' L F'
L R B2 R U' L F'
L2 R B2 R U' F' L
L R B2 R U' F' L
B L F2 U2 D R2 B2
B L F2 U2 D B2 R2
D' L F2 B U' F2 U'
D' L F2 B U2 D R2
D' L F2 B D U2 R2
D' L F2 B D' L2 U2
R L B2 R U' L F'
R L B2 R U' F' L
B L F2 D U2 R2 B2
B L F2 D U2 B2 R2
B L F2 D' L2 F2 U2
B L F2 D' F2 L2 U2
R2 L B2 U R2 B U2
R2 L B2 U' D2 L2 F'
R2 L B2 U' D2 F' L2
R2 L B2 U' F' D2 L2
R2 L B2 D B2 U' F'
R2 L B2 D2 U' L2 F'
R2 L B2 D2 U' F' L2
F2 L B U' R2 F2 U'
F2 L B U' F2 R2 U'
F2 L B U2 D R2 B2
F2 L B U2 D B2 R2
F L B U' F' R2 U'
F2 L B D U2 R2 B2
F2 L B D U2 B2 R2
F2 L B D' L2 F2 U2
F2 L B D' F2 L2 U2
D' L B F2 U' F2 U'
R2 L' U R2 D B U2
D' L B F2 U2 D R2
R2 L' U R2 D' B U2
D' L B F2 D U2 R2
R2 L' U R2 D2 B U2
D' L B F2 D' L2 U2
R2 L' U R2 B U2 D
R2 L' U R2 B U2 D'
R2 L' U R2 B U2 D2
R2 L' U R2 B D U2
R2 L' U R2 B D' U2
R2 L' U R2 B D2 U2
R2 L' U B R2 B U2
R2 L' U B' R2 B U2
R2 L' U B2 R2 B U2
R2 L' U' L D2 L2 F'
R2 L' U' L D2 F' L2
R2 L' U' L F' D2 L2
R2 L' U' L' D2 L2 F'
R2 L' U' L' D2 F' L2
R2 L' U' L' F' D2 L2
R2 L' U' L2 D2 L2 F'
R2 L' U' L2 D2 F' L2
R2 L' U' L2 F' D2 L2
R2 L' U' D F' D L2
R2 L' U' D2 L F' L
R2 L' U' D2 L2 D F'
R2 L' U' D2 L2 D' F'
R2 L' U' D2 L2 D2 F'
R2 L' U' D2 L2 F' D
R2 L' U' D2 L2 F' D'
R2 L' U' D2 L2 F' D2
R2 L' U' D2 F L2 F2
R2 L' U' D2 F' L2 D
R2 L' U' D2 F' L2 D'
R2 L' U' D2 F' L2 D2
R2 L' U' F' L D2 L2
R2 L' U' F' L' D2 L2
R2 L' U' F' L2 D2 L2
R2 L' U' F' U2 R2 U2
R2 L' U' F' D2 L2 D
R2 L' U' F' D2 L2 D'
R2 L' U' F' D2 L2 D2
R2 L' U' F2 D2 F L2
B' L B2 U' R2 U' R2
U' L B2 D L2 F B2
U' L B2 D L2 B2 F
R2 L' U2 D' F2 U F
R2 L' D L B2 U' F'
R2 L' D L' B2 U' F'
R2 L' D L2 B2 U' F'
R2 L' D U' F' D L2
R2 L' D B2 L U' F'
R2 L' D B2 L' U' F'
R2 L' D B2 L2 U' F'
R2 L' D B2 U' D F'
R2 L' D B2 U' D' F'
R2 L' D B2 U' D2 F'
R2 L' D B2 U' F' D
R2 L' D B2 U' F' D'
R2 L' D B2 U' F' D2
R2 L' D B2 D U' F'
R2 L' D B2 D' U' F'
R2 L' D B2 D2 U' F'
B' L' R2 U R2 B2 U2
B' L' R2 U B2 R2 U2
B' L' R2 U' D2 L2 F2
B' L' R2 U' D2 F2 L2
U' L' R2 U' F R2 F2
U' L' R2 U' F' R2 D
U' L' R2 U' F' R2 D'
U' L' R2 U' F' R2 D2
U' L' R2 U' F2 R2 F
B' L' R2 D L2 B2 U'
B' L' R2 D B2 L2 U'
U' L' R2 D' F2 U' F
B' L' R2 D2 U' L2 F2
B' L' R2 D2 U' F2 L2
R2 L' D' U2 F2 U F
U' L' R2 F U' R2 F2
U' L' R2 F U' F2 R2
U' L' R2 F2 U' R2 F
U' L' R2 F2 U' F R2
R2 L' D2 L U' L F'
R2 L' D2 L U' F' L
R2 L' D2 L' U' L' F'
R2 L' D2 U' L F' L
R2 L' D2 U' L2 D F'
R2 L' D2 U' L2 D' F'
R2 L' D2 U' L2 D2 F'
R2 L' D2 U' L2 F' D
R2 L' D2 U' L2 F' D'
R2 L' D2 U' L2 F' D2
R2 L' D2 U' F L2 F2
R2 L' D2 U' F' L2 D
R2 L' D2 U' F' L2 D'
R2 L' D2 U' F' L2 D2
R2 L' D2 B U' L2 F'
R2 L' D2 B U' F' L2
R2 L' D2 B' U' L2 F'
R2 L' D2 B' U' F' L2
R2 L' D2 B2 U' L2 F'
R2 L' D2 B2 U' F' L2
F2 L' U' R2 F2 U' F
B L' U' R2 U' R2 D
B L' U' R2 U' R2 D'
B L' U' R2 U' R2 D2
B L' U' R2 D' F2 U'
B L' U' R2 F U' R2
B L' U' R2 F' U' R2
B L' U' R2 F2 U' R2
F2 L' U' F2 R2 U' F'
B L' U' F R2 U' R2
F L' U' F' R2 U' F'
B L' U' F' R2 U' R2
B L' U' F2 R2 U' R2
D L' U' B2 D L2 F
U2 L' U2 R2 U' L F'
U2 L' U2 R2 U' F' L
F2 L' U2 D R2 F' B2
F2 L' U2 D R2 B2 F'
B L' U2 D B2 D' R2
F2 L' D U2 R2 F' B2
F2 L' D U2 R2 B2 F'
B L' D U2 B2 D' R2
F2 L' D B U2 B R2
U' L' D B2 D L2 F
F2 L' D' L2 F2 B U2
F2 L' D' L2 B F2 U2
R2 L' B U R2 B U2
R2 L' B U' D2 L2 F'
R2 L' B U' D2 F' L2
R2 L' B U' F' D2 L2
F2 L' D' F2 L2 B U2
R2 L' B D B2 U' F'
F2 L' D' F2 B L2 U2
F2 L' D' B L2 F2 U2
R2 L' B D2 U' L2 F'
R2 L' B D2 U' F' L2
F2 L' D' B F2 L2 U2
B L' D' F2 U' F2 U'
B L' D' F2 U2 D R2
B L' D' F2 D U2 R2
B L' D' F2 D' L2 U2
R2 L' B' U R2 B U2
R2 L' B' U' D2 L2 F'
R2 L' B' U' D2 F' L2
R2 L' B' U' F' D2 L2
R2 L' B' D B2 U' F'
R2 L' B' D2 U' L2 F'
R2 L' B' D2 U' F' L2
U' L' F R2 U' F' R2
R L' B2 R U' L F'
R L' B2 R U' F' L
R2 L' B2 U R2 B U2
R2 L' B2 U' D2 L2 F'
R2 L' B2 U' D2 F' L2
R2 L' B2 U' F' D2 L2
B L' F U' F' R2 U'
R2 L' B2 D B2 U' F'
R2 L' B2 D2 U' L2 F'
R2 L' B2 D2 U' F' L2
L' R2 U R2 D B U2
L' R2 U R2 D' B U2
L' R2 U R2 D2 B U2
L' R2 U R2 B U2 D
L' R2 U R2 B U2 D'
L' R2 U R2 B U2 D2
L' R2 U R2 B D U2
L' R2 U R2 B D' U2
L' R2 U R2 B D2 U2
U' L' F' R2 U' F' R2
L2 R2 U R2 D B U2
R2 L2 U R2 D B U2
R2 L2 U R2 D' B U2
L2 R2 U R2 D' B U2
R2 L2 U R2 D2 B U2
L2 R2 U R2 D2 B U2
R2 L2 U R2 B U2 D
R2 L2 U R2 B U2 D'
R2 L2 U R2 B U2 D2
R2 L2 U R2 B D U2
L R2 U R2 D B U2
L2 R2 U R2 B U2 D
L2 R2 U R2 B U2 D'
L2 R2 U R2 B U2 D2
R2 L2 U R2 B D' U2
R2 L2 U R2 B D2 U2
L2 R2 U R2 B D U2
L2 R2 U R2 B D' U2
L2 R2 U R2 B D2 U2
L R2 U R2 D' B U2
L R2 U R2 D2 B U2
L R2 U R2 B U2 D
L R2 U R2 B U2 D'
L R2 U R2 B U2 D2
L R2 U R2 B D U2
L R2 U R2 B D' U2
L R2 U R2 B D2 U2
L' R2 U B R2 B U2
L' R2 U B' R2 B U2
B L' F' U' R2 F U'
L' R2 U B2 R2 B U2
B L' F' U' F R2 U'
L' R2 U' L D2 L2 F'
L' R2 U' L D2 F' L2
L' R2 U' L F' D2 L2
L' R2 U' L' D2 L2 F'
L' R2 U' L' D2 F' L2
L' R2 U' L' F' D2 L2
L2 R2 U B R2 B U2
R2 L2 U B R2 B U2
L' R2 U' L2 D2 L2 F'
L R2 U B R2 B U2
L' R2 U' L2 D2 F' L2
L' R2 U' L2 F' D2 L2
L2 R2 U B' R2 B U2
R2 L2 U B' R2 B U2
L R2 U B' R2 B U2
L2 R2 U B2 R2 B U2
R2 L2 U B2 R2 B U2
L R2 U B2 R2 B U2
L2 R2 U' L D2 L2 F'
L2 R2 U' L D2 F' L2
L2 R2 U' L F' D2 L2
R2 L2 U' L D2 L2 F'
R2 L2 U' L D2 F' L2
R2 L2 U' L F' D2 L2
L R2 U' L D2 L2 F'
L R2 U' L D2 F' L2
L R2 U' L F' D2 L2
L2 R2 U' L' D2 L2 F'
L2 R2 U' L' D2 F' L2
L2 R2 U' L' F' D2 L2
R2 L2 U' L' D2 L2 F'
R2 L2 U' L' D2 F' L2
L' R2 U' D F' D L2
R2 L2 U' L' F' D2 L2
L R2 U' L' D2 L2 F'
L R2 U' L' D2 F' L2
L R2 U' L' F' D2 L2
L2 R2 U' L2 D2 L2 F'
L2 R2 U' L2 D2 F' L2
L2 R2 U' L2 F' D2 L2
R2 L2 U' L2 D2 L2 F'
R2 L2 U' L2 D2 F' L2
R2 L2 U' L2 F' D2 L2
L R2 U' L2 D2 L2 F'
L' R2 U' D2 L F' L
L R2 U' L2 D2 F' L2
L' R2 U' D2 L2 D F'
L' R2 U' D2 L2 D' F'
L' R2 U' D2 L2 D2 F'
L R2 U' L2 F' D2 L2
