B L2 U' F L' B'
F' R U' R2 F U'
F' R U' F R2 U'
D R' B L2 U' F
D R' B U B' U2
R' U2 F U L' F'
U' D R' B U' R
D U' R' B U' R
U' F R' U' L' R
U' F R' U' R L'
R' B L2 U' F L'
R' B U' L2 F L'
D' L R B' R2 U' F'
D' L R' B' U B U2
D L R' B L2 U' F
D L R' B U B' U2
R' L U2 F U L' F'
D' L U' R' B' U' R
D L U' R' B U' R
F L U' F' R' U' L2
R' L B L2 U' F L'
R' L B U' L2 F L'
R' L' U2 F U L' F'
L' R' U2 F U L' F'
L R' U2 F U L' F'
L2 R' U2 F U L' F'
D' L' R' U2 F U F'
D L' R' B L2 U' F
D L' R' B U B' U2
B L' U' L' F B' L'
B L' U' L' B' F L'
D L' U' R' B U' R
B L' U' F L' F B'
B L' U' F L' B' F
R' L' B L2 U' F L'
L' R' B L2 U' F L'
L2 R' B L2 U' F L'
R' L' B U' L2 F L'
L R' B L2 U' F L'
L' R' B U' L2 F L'
L2 R' B U' L2 F L'
L R' B U' L2 F L'
R' L2 U2 F U L' F'
B L2 R U' F L' B'
B L2 R' U' F L' B'
D L2 R' B L2 U' F
D L2 R' B U B' U2
B L2 R2 U' F L' B'
R' L2 B L2 U' F L'
D L2 U' R' B U' R
R' L2 B U' L2 F L'
B L2 U' F L' D B'
B L2 U' F L' D' B'
B L2 U' F L' D2 B'
B L2 U' F L' B' D
B L2 U' F L' B' D'
B L2 U' F L' B' D2
B L2 U' F D L' B'
B L2 U' F D' L' B'
B L2 U' F D2 L' B'
B L2 U' F B L' B'
B L2 U' F B' L' B'
B L2 U' F B2 L' B'
F L2 U' F' R' U' L
B L2 U' B F L' B'
B L2 U' B' F L' B'
B L2 U' B2 F L' B'
B L2 B' R' U' F L'
D' R L B' R2 U' F'
B R L2 U' F L' B'
F' R U D2 L2 B' U
F' R U' R' F R' U'
F' R U' R2 D F U'
F' R U' R2 D' F U'
F' R U' R2 D2 F U'
F' R U' R2 F U' D
F' R U' R2 F U' D'
F' R U' R2 F U' D2
F' R U' R2 F D U'
F' R U' R2 F D' U'
F' R U' R2 F D2 U'
F' R U' D F U' B2
F' R U' F R2 U' D
F' R U' F R2 U' D'
F' R U' F R2 U' D2
F' R U' F R2 D U'
F' R U' F R2 D' U'
F' R U' F R2 D2 U'
F' R U' F U' D B2
F' R U' F D U' B2
F' R U' F' R2 F2 U'
D R U' R2 B U' R2
F' R D U' F U' B2
F' R D' F2 U' F' U'
F' R D2 U L2 B' U
R' U' L' F L' D F2
U' R F R2 U' L' R
U' R F R2 U' R L'
F' R F U' R2 U' R2
R' U' L2 F D L' F2
R' U' L2 F' D F2 L'
F' R F' U' R2 F2 U'
F' R F' U' F2 R2 U'
F' R F' U2 D R2 B2
F' R F' U2 D B2 R2
F' R F' D U2 R2 B2
F' R F' D U2 B2 R2
F' R F' D' L2 F2 U2
F' R F' D' F2 L2 U2
F' R F2 U' F' R2 U'
R2 U' R F U' L' R'
R2 U' R F U' R' L'
D2 R B' R2 U' L F'
D2 R B' R2 U' F' L
L' U' D R' B U' R
D R B' R2 B U' F'
R U' R2 F U' L' R2
R U' R2 F U' R2 L'
L2 U' D R' B U' R
L U' D R' B U' R
D' R' L B' U B U2
R' U' F L' U L U'
R' U' F L2 D L F2
D' R' L' U2 F U F'
R' U' F L2 D F2 L
D R' L B L2 U' F
D R' L B U B' U2
L' U' F R' U' L' R
L' U' F R' U' R L'
L2 U' F R' U' L' R
L2 U' F R' U' R L'
R' U' F' L2 D F2 L'
D R' L' B L2 U' F
D R' L' B U B' U2
L U' F R' U' L' R
L U' F R' U' R L'
R U' F R2 U' L' R2
R U' F R2 U' R2 L'
B R' L2 U' F L' B'
D R' L2 B L2 U' F
D R' L2 B U B' U2
U' R' U' R F L' F'
U' R' U' F L' F' R
D R' U2 R2 F' U F
D R' D B L2 U' F
D R' D B U B' U2
D R' D' B L2 U' F
D R' D' B U B' U2
U' R' D2 B' U' L R
U' R' D2 B' U' R L
D R' D2 B L2 U' F
D R' D2 B U B' U2
R' U2 R F U L' F'
R' U2 R' F U L' F'
D2 R' B U R' B' U2
D R' B L2 U' D F
D R' B L2 U' D' F
D R' B L2 U' D2 F
D R' B L2 U' F D
D R' B L2 U' F D'
D R' B L2 U' F D2
D R' B L2 D U' F
D R' B L2 D' U' F
D R' B L2 D2 U' F
R' U2 R2 F U L' F'
D R' B U D B' U2
D R' B U D' B' U2
D R' B U D2 B' U2
D R' B U B' U2 D
D R' B U B' U2 D'
D R' B U B' U2 D2
D R' B U B' D U2
D R' B U B' D' U2
D R' B U B' D2 U2
D R' B U' L2 F L2
D R' B D L2 U' F
D R' B D U B' U2
D R' B D' L2 U' F
D R' B D' U B' U2
D R' B D2 L2 U' F
D R' B D2 U B' U2
R' U2 D R F' U F
D R' B2 D B' L2 U'
D R' B2 D2 B' U' F2
R' U2 F U L F' L2
R' U2 F U L' D F'
R' U2 F U L' D' F'
R' U2 F U L' D2 F'
R' U2 F U L' F' D
R' U2 F U L' F' D'
R' U2 F U L' F' D2
R' U2 F U L2 F' L
R' U2 F U D L' F'
R' U2 F U D' L' F'
R' U2 F U D2 L' F'
R' U2 F D U L' F'
R' U2 F D' U L' F'
R' U2 F D2 U L' F'
R' U2 F' U F2 L' F'
R' U2 F' U' R U2 F
B R2 L2 U' F L' B'
F2 R2 U' R F2 B U'
F2 R2 U' R B F2 U'
R2 D R U2 F' U F
L' D R' B L2 U' F
L' D R' B U B' U2
L2 D R' B L2 U' F
L2 D R' B U B' U2
