B' L2 R' F' R U
B' R' L2 F' R U
B' R' F' L2 R U
B' R' F' R L2 U
L2 U2 F L' B' U'
R' F' R B' L2 U
R' F' B' L2 R U
R' F' B' R L2 U
R' B' L2 F' R U
R' B' F' L2 R U
R' B' F' R L2 U
B' L R' F' L R U
B' L R' F' R L U
L2 R U2 F L' B U'
L2 R U2 F B L' U'
L2 R U2 B F L' U'
L2 R' F' R U D R2
L2 R' F' R U2 F2 U'
L2 R' F' R D U R2
L2 R' F' R D2 B2 U
L2 R' F' U2 F2 L' U'
L2 R' F' D R U R
L2 R' F' D2 R B2 U
L2 R' F' D2 B2 R U
R L2 U2 F L' B U'
R L2 U2 F B L' U'
R L2 U2 B F L' U'
F' L2 R U2 F B U'
F' L2 R U2 B F U'
B' L2 R' F' R U D
B' L2 R' F' R U D'
B' L2 R' F' R U D2
B' L2 R' F' R D U
B' L2 R' F' R D' U
B' L2 R' F' R D2 U
B' L2 R' F' D R U
B' L2 R' F' D' R U
B' L2 R' F' D2 R U
B2 L2 R' F' R B U
B L2 R' F' R B2 U
B L2 R' F' B2 R U
B L2 R' B2 F' R U
R' L2 F' R U D R2
R' L2 F' R U2 F2 U'
R' L2 F' R D U R2
R' L2 F' R D2 B2 U
B' L2 R2 F' R F' U
R' L2 F' U2 F2 L' U'
R' L2 F' D R U R
R' L2 F' D2 R B2 U
R' L2 F' D2 B2 R U
B' L2 U D' F' L' F
B' L2 D' U F' L' F
B2 L2 D2 B R' F' U
B' L2 F U2 L' B' U'
B' L2 F' R U2 B U'
B' L2 F' R' F' R2 U
B2 L2 B R' F' R U
B L2 B2 R' F' R U
F' R L2 U2 F B U'
F' R L2 U2 B F U'
R' U F' R B' L2 U
R' U F' B' L2 R U
R' U F' B' R L2 U
R' U B' L2 F' R U
R' U B' F' L2 R U
R' U B' F' R L2 U
F' R B' L2 U D L2
F' R B' L2 U2 B2 U'
F' R B' L2 D U L2
F' R B' L2 D2 F2 U
F' R B2 L2 F B U
F' R B2 L2 B F U
B' R' L F' L R U
B' R' L F' R L U
R' U' F' R B' L2 U
B' R' L2 F' R U D
B' R' L2 F' R U D'
B' R' L2 F' R U D2
B' R' L2 F' R D U
B' R' L2 F' R D' U
B' R' L2 F' R D2 U
B' R' L2 F' D R U
B' R' L2 F' D' R U
B' R' L2 F' D2 R U
B2 R' L2 F' R B U
R' U' F' B' L2 R U
R' U' F' B' R L2 U
B R' L2 F' R B2 U
B R' L2 F' B2 R U
B R' L2 B2 F' R U
R' U' B' L2 F' R U
R' U' B' F' L2 R U
R' U' B' F' R L2 U
B' R' F' L2 R U D
B' R' F' L2 R U D'
B' R' F' L2 R U D2
B' R' F' L2 R D U
B' R' F' L2 R D' U
B' R' F' L2 R D2 U
B' R' F' L2 D R U
B' R' F' L2 D' R U
B' R' F' L2 D2 R U
B' R' F' R L2 U D
B' R' F' R L2 U D'
B' R' F' R L2 U D2
B' R' F' R L2 D U
B' R' F' R L2 D' U
B' R' F' R L2 D2 U
B' R' F' R U D' B2
B' R' F' R D' U B2
B2 R' F' L2 R B U
F' R' F' R2 B' L2 U
B2 R' F' R L2 B U
B2 R' F' R B L2 U
B' R' F' D' R U B2
B R' F' L2 R B2 U
B R' F' L2 B2 R U
B R' F' R L2 B2 U
B R' F' R B2 L2 U
F' R' F' B' L2 R2 U
F' R' F' B' R2 L2 U
B R' F' B2 L2 R U
B R' F' B2 R L2 U
F' R' B' L2 F' R2 U
F' R' B' F' L2 R2 U
F' R' B' F' R2 L2 U
B R' B2 L2 F' R U
B R' B2 F' L2 R U
B R' B2 F' R L2 U
L2 U2 F L' D B' U'
L2 U2 F L' D' B' U'
L2 U2 F L' D2 B' U'
L2 U2 F L' B' U' D
L2 U2 F L' B' U' D'
L2 U2 F L' B' U' D2
L2 U2 F L' B' D U'
L2 U2 F L' B' D' U'
L2 U2 F L' B' D2 U'
R' U2 F' R B' L2 U
L2 U2 F D L' B' U'
L2 U2 F D' L' B' U'
B' R2 L2 F' R F' U
L2 U2 F D2 L' B' U'
L2 U2 F B L' B' U'
L2 U2 F B' L' B' U'
L2 U2 F B2 L' B' U'
R' U2 F' B' L2 R U
R' U2 F' B' R L2 U
