U' L' F U B'
B' L U R' B' U'
B L U B' U' B
B L' U' F L2 U
U' L' D F U B'
U' L' D' F U B'
U' L' D2 F U B'
U' L' F U D B'
U' L' F U D' B'
U' L' F U D2 B'
U' L' F U B' D
U' L' F U B' D'
U' L' F U B' D2
U' L' F D U B'
U' L' F D' U B'
U' L' F D2 U B'
U' L2 U B L B'
L U R B' U' B2
L U B' R U' B
L' U' F L' U B'
B' U D2 R' B U'
U' D' L' U B' L
D' U' L' U B' L
B U' L U2 B' U'
B U' L' F L2 U
U' F L' F U B'
B2 D L D2 B' L
U' F' L' F U B'
U2 F' U L' F U
U' F2 L' F U B'
B' D' B' D L B'
B2 D' B' D2 L B'
B' D2 U R' B U'
D' B L' D' B2 L
L' B U' F L U
L B U B2 R' U'
D' B' L U R' U'
D2 B' U R' B U'
D' B' U R' U' L
L B2 U B R' U'
D2 B2 D L B' L
D2 B2 D B' L B'
D' B2 D B L B'
U L R B' L' U' B2
B' L U R B' R2 U'
B' L U R' D B' U'
B' L U R' D' B' U'
B' L U R' D2 B' U'
B' L U R' B' U' D
B' L U R' B' U' D'
B' L U R' B' U' D2
B' L U R' B' D U'
B' L U R' B' D' U'
B' L U R' B' D2 U'
B' L U R2 B' R U'
B' L U D R' B' U'
B L U R B' U' B
B' L U D' R' B' U'
B L U R' B' U' B
B' L U D2 R' B' U'
B L U R2 B' U' B
B L U D B' U' B
B L U D' B' U' B
B L U D2 B' U' B
U' L U B D L2 B'
B2 L U B R' B2 U'
B2 L U B' U2 L U
B L U B' U' D B
B L U B' U' D' B
B L U B' U' D2 B
B L U B' U' B D
B L U B' U' B D'
B L U B' U' B D2
B L U B' D U' B
B L U B' D' U' B
B L U B' D2 U' B
D' L U' L' U B' L
U' L U' F U' B' U'
U' L U2 B' U F U2
U' L D L2 F U B'
B' L D U R' B' U'
B L D U B' U' B
U' L D' L2 F U B'
B' L D' U R' B' U'
B L D' U B' U' B
U' L D2 L2 F U B'
B' L D2 U R' B' U'
B L D2 U B' U' B
U' L F U2 B' U' B
U' L F' D' L2 F U
D' L B L' D' B2 L
B2 L B U R' B2 U'
B L B U B2 U' B2
B L B D L2 D' B2
D' L B' L U R' U'
F2 L B' R' U' R F2
D2 L B' U R' B U'
D' L B' U R' U' L
U L B' L' R U' B
F L B' R' U' R F'
U L B' R L' U' B
B2 L B' U' L U L'
D2 L B2 D L B' L
D2 L B2 D B' L B'
D' L B2 D B L B'
B L B2 U B U' B'
U' L' R F R' U B'
U' L' R2 F R2 U B'
B' L' U R' U2 F U
U' L' U B' U' F U
D' L' U' L' U B' L
R' L' F U F' R B
L' R' F U F' R B
B L' U' L2 U2 B' U'
B' L' U' F U2 R' U'
B2 L' U' D2 F L' U
B L' U' D' F U B2
B L' U' F L2 U D
B L' U' F L2 U D'
B L' U' F L2 U D2
B L' U' F L2 D U
B L' U' F L2 D' U
B L' U' F L2 D2 U
B L' U' F U D' B2
B L' U' F D' U B2
B L' U' F' L2 F2 U
B L' U' F2 L2 F' U
B2 L' D L D' B' L
U' L' D F U D B'
U' L' D F U D' B'
U' L' D F U D2 B'
U' L' D F U B' D
U' L' D F U B' D'
U' L' D F U B' D2
U' L' D F D U B'
U' L' D F D' U B'
U' L' D F D2 U B'
U' L' D' F U D B'
U' L' D' F U D' B'
U' L' D' F U D2 B'
U' L' D' F U B' D
U' L' D' F U B' D'
U' L' D' F U B' D2
U' L' D' F D U B'
U' L' D' F D' U B'
U' L' D' F D2 U B'
B L' D' U' F U B2
B L' D' B2 U' F U
U' L' D2 F U D B'
U' L' D2 F U D' B'
U' L' D2 F U D2 B'
U' L' D2 F U B' D
U' L' D2 F U B' D'
U' L' D2 F U B' D2
U' L' D2 F D U B'
U' L' D2 F D' U B'
U' L' D2 F D2 U B'
B2 L' D2 U' F L' U
U' L' F L2 U' F U2
U' L' F U R' B' R
U' L' F U R2 B' R2
U' L' F U D B' D
U' L' F U D B' D'
U' L' F U D B' D2
U' L' F U D' B' D
U' L' F U D' B' D'
U' L' F U D' B' D2
U' L' F U D2 B' D
U' L' F U D2 B' D'
U' L' F U D2 B' D2
U' L' F U B2 D B
U' L' F U B2 D' B
U' L' F U B2 D2 B
U' L' F U' F U2 B'
U' L' F U' F' U2 B'
U' L' F U' F2 U2 B'
U' L' F U2 R U' B'
U' L' F U2 R' U' B'
U' L' F U2 R2 U' B'
U' L' F D U B' D
U' L' F D U B' D'
U' L' F D U B' D2
U' L' F D' U B' D
U' L' F D' U B' D'
U' L' F D' U B' D2
U' L' F D2 U B' D
U' L' F D2 U B' D'
U' L' F D2 U B' D2
U' L' F' U D' B' L2
U' L' F' U B' D' L2
U' L' F' D' U B' L2
B L' F' D' F L2 B2
B L' F' D' F B2 L2
B L' F' D' B2 F L2
U' L' F2 D F' U B'
U' L' F2 D' F' U B'
U' L' F2 D2 F' U B'
D' L' B L' D' B2 L
B L' B U' F L2 U
D' L' B' L U R' U'
D' L' B' U R' U' L
D2 L' B' U R' B U'
B2 L' B' U' F L U
B L' B' U' F L2 U
B' L' B2 U' F L U
D2 L' B2 D L B' L
D2 L' B2 D B' L B'
D' L' B2 D B L B'
B L' B2 U' F L2 U
U' L2 U L B L B2
B' L2 U R' B U' L
U' L2 U B L D B'
U' L2 U B L D' B'
U' L2 U B L D2 B'
U' L2 U B L B' D
U' L2 U B L B' D'
U' L2 U B L B' D2
U' L2 U B2 L B' L
B2 L2 U B R' U' L
D' L2 U' L' U B' L
B L2 U' L' F' U L'
U' L2 D L F L' U
U' L2 F L F U B'
U' L2 F U B L B'
U' L2 F' L F U B'
U' L2 F' U B L B'
L' U R U2 F U B
U' L2 F2 L F U B'
L U R U' B D L2
L U R D B' U' B2
U' L2 F2 U B L B'
L U R D' B' U' B2
L U R D2 B' U' B2
L2 U R B' U' B2 L
L2 U R B2 U' B' L
L U R B' R U' B2
L U R B' R' U' B2
L U R B' R2 U' B2
L U R B' U' B2 D
L U R B' U' B2 D'
L U R B' U' B2 D2
L U R B' D' R2 U'
D' L2 B L' D' B2 L
L U R' B' R2 U' B
L U R' B' U F' U2
D' L2 B' L U R' U'
D2 L2 B' U R' B U'
D' L2 B' U R' U' L
L U R2 B' R' U' B
L U D R B' U' B2
D2 L2 B2 D L B' L
D2 L2 B2 D B' L B'
D' L2 B2 D B L B'
L U D B' R U' B
L U D' R B' U' B2
L U D' B' R U' B
L U D2 R B' U' B2
U' R L' F R' U B'
U R L B' L' U' B2
L U D2 B' R U' B
U2 R U L' F U B'
U R U' L B D L2
L2 U B R U' L B
U R U' D' B' L B2
L U B R B2 U' B'
U R U' B2 D' B' L
U R U2 L' F U B
U R U2 L2 U B L
L U B' R U' D B
L U B' R U' D' B
L U B' R U' D2 B
L U B' R U' B D
L U B' R U' B D'
L U B' R U' B D2
L U B' R D U' B
L U B' R D' U' B
L U B' R D2 U' B
L U B' R' U F' U2
L U B' U2 L' U B'
L U B' D R U' B
L U B' D' R U' B
L U B' D2 R U' B
B2 R D' R' B' L B2
U R D' U' B' L B2
L U' L U' F R U2
U R D' B' U' L B2
L' U' L' U B L B2
L U' L' U D' B' L
L2 U' L' F' U B' L'
R2 U' L' F U R2 B'
R2 U' L' F U B' R2
L U' L' D' U B' L
R U' L' F U R' B'
L U' L2 D F L' U
U2 R F' U L' F U
L U' L2 F L U B'
L' U' D F L' U B'
L' U' D' F L' U B'
U R B2 U' D' B' L
L' U' D2 F L' U B'
U R B2 D' U' B' L
L' U' F L U' F U2
L' U' F L' U D B'
L' U' F L' U D' B'
L' U' F L' U D2 B'
L' U' F L' U B' D
L' U' F L' U B' D'
L' U' F L' U B' D2
L' U' F L' D U B'
L' U' F L' D' U B'
L' U' F L' D2 U B'
L' U' F U2 R U' B
L' U' F D L' U B'
L' U' F D' L' U B'
L' U' F D2 L' U B'
L' U' F' L' F2 U B'
L2 U' F' L U L2 B'
L2 U' F' L2 U L B'
U2 R' U L' F U B'
L' U' F2 L' F' U B'
U R' U D F' R U2
U R' D U F' R U2
U R' D2 R2 U' B L
U2 R' F' U L' F U
D' R' B' L R D B2
D2 R' B' R D L2 B2
D2 R' B' R D B2 L2
D' R' B' R L D B2
D' R' B' R D L B2
U' R2 L' F R2 U B'
L' U2 F' U L' F2 U
L U2 F U' R B' U'
L U2 F U' B' R U'
U2 R2 U L' F U B'
U2 R2 F' U L' F U
L' D U' F L' U B'
L D U R B' U' B2
B' U L R' B' L' U'
U' D L U' F U2 L'
L D U B' R U' B
U' D L' U D2 B' L
U' D L' D2 U B' L
U' D L' F U B' L'
D' U R U' B' L B2
D2 U R U2 F' U B
D' U R B' U' L B2
B' U R' L B' L' U'
B' U R' D' B' U' L
L' D B U' F L U
D2 U R' B R2 U' B
D2 U R' B U F' U2
D U R' U F' R U2
U D R' U F' R U2
L D B U B2 R' U'
U' D F L U L2 B'
U' D F L2 U L B'
U2 D F U' R U' L'
B' U D' R' B' U' L
U2 D F' R U L' U
L D B2 U B R' U'
B' U D2 R' D B U'
B' U D2 R' D' B U'
B' U D2 R' D2 B U'
B' U D2 R' B U' D
B' U D2 R' B U' D'
B' U D2 R' B U' D2
B' U D2 R' B D U'
B' U D2 R' B D' U'
B' U D2 R' B D2 U'
B U D2 B2 R' B U'
D' U B' R U' L B
D' U' L U L2 B' L
U' D' L U L2 B' L
B2 U B D2 R' B U'
D' U' L' U B' L D
D' U' L' U B' L D'
D' U' L' U B' L D2
U' D' L' U B' L D
U' D' L' U B' L D'
U' D' L' U B' L D2
U' D' L' U B' D L
U' D' L' U B' D' L
U' D' L' U B' D2 L
D' U' L' U B' D L
D' U' L' U B' D' L
D' U' L' U B' D2 L
D2 U' L' U D B' L
D U' L U' F U2 L'
D2 U' L' D U B' L
U' D' L' F U B' L
D' U' L' F U B' L
D' U' L' F' U B' L
U' D' L' F' U B' L
D' U' L' F2 U B' L
U' D' L' F2 U B' L
D' U' L2 U L B' L
U' D' L2 U L B' L
U' D' L2 U B' L B'
D' U' L2 U B' L B'
D U' L' U D2 B' L
L' D' U' F L' U B'
D U' L' D2 U B' L
D U' L' F U B' L'
L D' U R B' U' B2
B' U' L U2 R' B' U'
L D' U B' R U' B
B U B2 D2 R' B U'
B U' L U2 D B' U'
B U' L U2 D' B' U'
B U' L U2 D2 B' U'
B U' L U2 B' U' D
B U' L U2 B' U' D'
B U' L U2 B' U' D2
B U' L U2 B' D U'
B U' L U2 B' D' U'
B U' L U2 B' D2 U'
B U' L D U2 B' U'
B U' L D' U2 B' U'
B' U' L' F U2 R' U'
B U' L D2 U2 B' U'
B U' L F U2 B' U'
B U' L F' U2 B' U'
B U' L F2 U2 B' U'
B2 U' L' D2 F L' U
F2 U' L' F U F B'
F2 U' L' F U B' F
U D' R U' B' L B2
B U' L' D' F U B2
B U' L' F L2 U D
B U' L' F L2 U D'
B U' L' F L2 U D2
B U' L' F L2 D U
B U' L' F L2 D' U
B U' L' F L2 D2 U
B U' L' F U D' B2
B U' L' F D' U B2
B U' L' F' L2 F2 U
U D' R B' U' L B2
B U' L' F2 L2 F' U
F U' L' F U F2 B'
F U' L' F U B' F2
U' D' F L' U B' L
D' U' F L' U B' L
U' D' F' L' U B' L
D' U' F' L' U B' L
D U' F L U L2 B'
L' D' B U' F L U
