F' L' B' L' U' B2
U' L2 F' U' L' B
U' L2 F' U' B L'
U2 L2 F' U' B L
U' F' L2 U' L B
U2 F' L2 U' B L
D F' U' F' L' B
D F' U' F' B L'
D F' U' B F' L'
L' B' L' F' U' B2
U2 L F' L U' B L
U' L F' L U' L2 B
U' L F' L U' B L2
B L' U B' L' F' U'
F' L' D B' L' U' B2
F' L' D' B' L' U' B2
F' L' D2 B' L' U' B2
D L' F' B' U' F' B2
D L' F' B' U' B2 F'
F' L' B L' B2 U' B2
F' L' B' L' R U' B2
F' L' B' L' R' U' B2
F' L' B' L' R2 U' B2
F' L' B' L' U' B2 D
F' L' B' L' U' B2 D'
F' L' B' L' U' B2 D2
F' L' B' L' D' R2 U'
F' L' B' R L' U' B2
F' L' B' R' L' U' B2
F' L' B' R2 L' U' B2
B L' B' L' F' U' B
F L' B' L' F2 U' B2
F' L' B' D' L' R2 U'
F' L' B' D' R2 L' U'
D L' B' F' U' F' B2
D L' B' F' U' B2 F'
F' L2 U' L B D L2
F' L2 U' D' B' L B2
F' L2 U' B2 D' B' L
F' L2 U2 L' F U B
F' L2 U2 L2 U B L
U' L2 D F' U' L' B
U' L2 D F' U' B L'
U2 L2 D F' U' B L
F' L2 D' U' B' L B2
U' L2 D' F' U' L' B
U' L2 D' F' U' B L'
U2 L2 D' F' U' B L
F' L2 D' B' U' L B2
U' L2 D2 F' U' L' B
U' L2 D2 F' U' B L'
U2 L2 D2 F' U' B L
U' L2 F' U' L B L2
U' L2 F' U' L' D B
U' L2 F' U' L' D' B
U' L2 F' U' L' D2 B
U' L2 F' U' L' B D
U' L2 F' U' L' B D'
U' L2 F' U' L' B D2
U' L2 F' U' D L' B
U' L2 F' U' D B L'
U' L2 F' U' D' L' B
U' L2 F' U' D' B L'
U' L2 F' U' D2 L' B
U' L2 F' U' D2 B L'
U' L2 F' U' B L' D
U' L2 F' U' B L' D'
U' L2 F' U' B L' D2
U' L2 F' U' B D L'
U' L2 F' U' B D' L'
U' L2 F' U' B D2 L'
U' L2 F' U' B' L' B2
U' L2 F' D U' L' B
U' L2 F' D U' B L'
U2 L2 F' U' L B L
U2 L2 F' U' L' B L
U2 L2 F' U' L2 B L
U2 L2 F' U' D B L
U2 L2 F' U' D' B L
U2 L2 F' U' D2 B L
U' L2 F' D' U' L' B
U2 L2 F' U' B L D
U2 L2 F' U' B L D'
U2 L2 F' U' B L D2
U' L2 F' D' U' B L'
U2 L2 F' U' B D L
U2 L2 F' U' B D' L
U2 L2 F' U' B D2 L
U' L2 F' D2 U' L' B
U' L2 F' D2 U' B L'
U2 L2 F' D U' B L
U2 L2 F' D' U' B L
U' L2 F' B' U' L' B2
U' L2 F' B' U' B2 L'
U' L2 F' B2 U' B' L'
U2 L2 F' D2 U' B L
U L2 F' B' U' B2 L
U L2 F' B2 U' B' L
U' L2 B' F' U' L' B2
U' L2 B' F' U' B2 L'
F' L2 B2 U' D' B' L
U L2 B' F' U' B2 L
F' L2 B2 D' U' B' L
U' L2 B2 F' U' B' L'
U L2 B2 F' U' B' L
L' U B' L' F' U' B2
L' U' B' L' F' U' B2
L' U2 B' L' F' U' B2
D2 R2 B U' F' U2 L'
B U L2 F' B U' L
B U L2 B F' U' L
L' D B' L' F' U' B2
F' U D B L F2 R
U' D F' U' L' F' B
U' D F' U' L' B F'
U' D F' U' B L' F'
F' U D' B2 U2 B' L
F U D F2 B L R2
F U D F2 B R2 L
F U D B L R2 F2
F U D B L F2 R2
F U D B R2 L F2
F U D B R2 F2 L
F U D B F2 L R2
F U D B F2 R2 L
U2 D F' U' F' B L
U2 D F' U' B L F'
U2 D F' U' B F' L
B U F' L2 B U' L
B U F' B L2 U' L'
F' U B D L F2 R
B U B F' L2 U' L'
F U B D L R2 F2
F U B D L F2 R2
F U B D R2 L F2
F U B D R2 F2 L
F U B D F2 L R2
F U B D F2 R2 L
B' U' L2 F' U' L' B2
B' U' L2 F' U' B2 L'
L2 D' F' U' B' L B2
L2 D' F' B' U' L B2
L' D' B' L' F' U' B2
D U' F' U' L' F' B
D U' F' U' L' B F'
D U' F' U' B L' F'
L2 D' B' F' U' L B2
F' U' D F' L' F' B
F' U' D F' L' B F'
F' U' D F' B L' F'
F' U' D B F' L' F'
F' U' F D F2 L' B
F' U' F D F2 B L'
F' U' F D B F2 L'
F' U' F B D F2 L'
B' U' F' L2 U' L B2
F' U' F' D L' F2 B
F' U' F' D L' B F2
F' U' F' D B L' F2
F' U' F' B D L' F2
F' U' B D F' L' F'
F' U' B F D F2 L'
F' U' B F' D L' F2
D U2 F' U' F' B L
D U2 F' U' B L F'
D U2 F' U' B F' L
F U2 L2 F2 U' B L
L' D2 B' L' F' U' B2
R2 D2 B R2 U B L
F2 U2 F L2 U' B L
U' F L2 F2 U' L' B
U' F L2 F2 U' B L'
U2 F L2 F2 U' B L
F U2 F2 L2 U' B L
U' F D F2 L' B R2
U' F D F2 B L' R2
U' F D F2 B R2 L'
F' D L' B' U' F2 B2
F' D L' B' U' B2 F2
U' F D B F2 L' R2
U' F D B F2 R2 L'
L F U2 L F2 U' B
L F U2 F2 L U' B
U F D F2 B L R2
U F D F2 B R2 L
U F D B L R2 F2
U F D B L F2 R2
U F D B R2 L F2
U F D B R2 F2 L
U F D B F2 L R2
U F D B F2 R2 L
U' F B D F2 L' R2
U' F B D F2 R2 L'
L F D2 B2 R' U B'
F' D U B L F2 R
U F B D L R2 F2
U F B D L F2 R2
U F B D R2 L F2
U F B D R2 F2 L
U F B D F2 L R2
U F B D F2 R2 L
F' D U' F' L' F' B
F' D U' F' L' B F'
F' D U' F' B L' F'
F' D U' B F' L' F'
F D U F2 B L R2
F D U F2 B R2 L
F D U B L R2 F2
F D U B L F2 R2
F D U B R2 L F2
F D U B R2 F2 L
F D U B F2 L R2
F D U B F2 R2 L
L2 F' L B' L' U' B2
U' F' L2 U' L D B
U' F' L2 U' L D' B
U' F' L2 U' L D2 B
U' F' L2 U' L B D
U' F' L2 U' L B D'
U' F' L2 U' L B D2
U' F' L2 U' L' B L2
U' F' L2 U' L2 B L'
U' F' L2 U' D L B
U' F' L2 U' D' L B
U' F' L2 U' D2 L B
U' F' L2 D U' L B
L F' L U' D' L2 B
L F' L U' D' B L2
L F' L U' B D' L2
U' F' L2 D' U' L B
L F' L U2 F2 U B
U' F' L2 D2 U' L B
L F' L D' U' L2 B
L F' L D' U' B L2
L F' L D2 B2 U' B'
U2 F' L2 U' L B L
U2 F' L2 U' L' B L
U2 F' L2 U' L2 B L
U2 F' L2 U' D B L
U2 F' L2 U' D' B L
U2 F' L2 U' D2 B L
U2 F' L2 U' B L D
U2 F' L2 U' B L D'
