B L' R' F2 B2 U
B L' R' B2 F2 U
B' L' F2 U D F2
B' L' F2 U2 L2 U'
B' L' F2 D U F2
B' L' F2 D2 R2 U
B L' F2 R' B2 U
B' L2 F2 L R U
B' L2 F2 R L U
B R' L' F2 B2 U
B R' L' B2 F2 U
B R' B2 L' F2 U
F2 B' U2 L R U'
F2 B' U2 R L U'
B' F2 U2 L R U'
B' F2 U2 R L U'
B L R' F2 L2 B2 U
B L R' F2 B2 L2 U
B L R' B2 L2 F2 U
B L R' B2 F2 L2 U
B' L F2 L2 U D F2
B' L F2 L2 U2 L2 U'
B' L F2 L2 D U F2
B' L F2 L2 D2 R2 U
B L F2 L2 R' B2 U
B L F2 R' L2 B2 U
B L F2 R' B2 L2 U
B2 L B L2 F2 R U
B L B2 L2 F2 R U
B' L' R F2 U D F2
B' L' R F2 U2 L2 U'
B' L' R F2 D U F2
B' L' R F2 D2 R2 U
B L' R F2 R2 B2 U
B L' R F2 B2 R2 U
B L' R B2 R2 F2 U
B L' R B2 F2 R2 U
B L' R' U D' L2 R2
B L' R' U D' R2 L2
B L' R' D' U L2 R2
B L' R' D' U R2 L2
B' L' R' F2 U D F2
B' L' R' F2 U2 L2 U'
B' L' R' F2 D U F2
B' L' R' F2 D2 R2 U
B L' R' F2 U D' R2
B L' R' F2 D' U R2
B L' R' F2 B2 U D
B L' R' F2 B2 U D'
B L' R' F2 B2 U D2
B L' R' F2 B2 D U
B L' R' F2 B2 D' U
B L' R' F2 B2 D2 U
B L' R' B2 U D' L2
B L' R' B2 D' U L2
B L' R' B2 F2 U D
B L' R' B2 F2 U D'
B L' R' B2 F2 U D2
B L' R' B2 F2 D U
B L' R' B2 F2 D' U
B L' R' B2 F2 D2 U
B' L' R2 F2 U D F2
B' L' R2 F2 U2 L2 U'
B' L' R2 F2 D U F2
B' L' R2 F2 D2 R2 U
B L' R2 B2 R F2 U
B' L' U D F2 D2 L2
B' L' U D' L2 D2 F2
B' L' U' D R2 U2 F2
B' L' U' D' B2 U2 L2
B' L' U2 L2 U' D' L2
B' L' U2 L2 U2 F2 U
B' L' U2 L2 D' U' L2
B' L' U2 L2 D2 B2 U'
B' L' D R U F2 L'
B' L' D U F2 D2 L2
B' L' D U' R2 U2 F2
B' L' D' U L2 D2 F2
B L' D' R' U L2 R'
B L' D' R' U R' L2
B' L' D' U' B2 U2 L2
B' L' D2 R2 U D L2
B' L' D2 R2 U2 B2 U'
B' L' D2 R2 D U L2
B' L' D2 R2 D2 F2 U
B' L' F U2 L2 B' U'
B L' F R' F B2 U
B L' F R' B2 F U
B' L' F D F U F
B' L' F D2 R2 F U
B' L' F D2 F R2 U
B' L' F' D F' U F'
B' L' F' D2 F' R2 U
B' L' F2 R U D F2
B' L' F2 R U2 L2 U'
B' L' F2 R D U F2
B' L' F2 R D2 R2 U
B' L' F2 R' U D F2
B' L' F2 R' U2 L2 U'
B' L' F2 R' D U F2
B' L' F2 R' D2 R2 U
B' L' F2 R2 U D F2
B' L' F2 R2 U2 L2 U'
B' L' F2 R2 D U F2
B' L' F2 R2 D2 R2 U
B' L' F2 U D F2 D
B' L' F2 U D F2 D'
B' L' F2 U D F2 D2
B' L' F2 U F D F2
B' L' F2 U F' D F2
B' L' F2 U F2 D F2
B' L' F2 U' D' B2 U2
B L' F2 R B2 R2 U
B L' F2 R' U D' R2
B' L' F2 U2 L2 U' D
B' L' F2 U2 L2 U' D'
B' L' F2 U2 L2 U' D2
B' L' F2 U2 L2 D U'
B' L' F2 U2 L2 D' U'
B' L' F2 U2 L2 D2 U'
B L' F2 R' D' U R2
B L' F2 R' B2 U D
B L' F2 R' B2 U D'
B L' F2 R' B2 U D2
B L' F2 R' B2 D U
B L' F2 R' B2 D' U
B L' F2 R' B2 D2 U
B' L' F2 D R U F2
B' L' F2 D R' U F2
B' L' F2 D R2 U F2
B' L' F2 D U F2 D
B' L' F2 D U F2 D'
B' L' F2 D U F2 D2
B L' F2 R2 B2 R U
B' L' F2 D' U' B2 U2
B' L' F2 D2 R2 U D
B' L' F2 D2 R2 U D'
B' L' F2 D2 R2 U D2
B' L' F2 D2 R2 D U
B' L' F2 D2 R2 D' U
B' L' F2 D2 R2 D2 U
B L' F2 D' R' U R'
B2 L' F2 B U2 L U'
B2 L' F2 B' R' B2 U
B L' F2 B2 U2 L U'
B2 L' B F2 U2 L U'
B2 L' B' R' F2 B2 U
B2 L' B' R' B2 F2 U
B2 L' B' F2 R' B2 U
B L' B2 F2 U2 L U'
B' L2 R F2 L R U
B' L2 R F2 R L U
B' L2 R' F2 L R U
B' L2 R' F2 R L U
B L2 R' F2 L B2 U
B' L2 R2 F2 L R U
B' L2 R2 F2 R L U
F L2 F R B' L U'
D2 L2 F B2 L' R' U'
D2 L2 F B2 R' L' U'
B' L2 F' L F' R U
F L2 F B' L R U'
F L2 F B' R L U'
B' L2 F2 L R U D
B' L2 F2 L R U D'
B' L2 F2 L R U D2
B' L2 F2 L R D U
B' L2 F2 L R D' U
B' L2 F2 L R D2 U
B' L2 F2 L D R U
B' L2 F2 L D' R U
B' L2 F2 L D2 R U
B' L2 F2 R L U D
B' L2 F2 R L U D'
B' L2 F2 R L U D2
B' L2 F2 R L D U
B' L2 F2 R L D' U
B' L2 F2 R L D2 U
B' L2 F2 R D L U
B' L2 F2 R D' L U
B' L2 F2 R D2 L U
B L2 F2 L R' B2 U
B' L2 F2 D L R U
B' L2 F2 D R L U
B L2 F2 R' L B2 U
B' L2 F2 D' L R U
B' L2 F2 D' R L U
B' L2 F2 D2 L R U
B' L2 F2 D2 R L U
D2 L2 B2 R' F L' U'
F L2 B' F L R U'
F L2 B' F R L U'
D2 L2 B2 F L' R' U'
D2 L2 B2 F R' L' U'
B' R L' F2 U D F2
B' R L' F2 U2 L2 U'
B' R L' F2 D U F2
B' R L' F2 D2 R2 U
B R L' F2 R2 B2 U
B R L' F2 B2 R2 U
B R L' B2 R2 F2 U
B R L' B2 F2 R2 U
B' R L2 F2 L R U
B' R L2 F2 R L U
B' R F2 U2 L R U'
B' R F2 U2 R L U'
B R F2 R2 B2 L U
D' R B' L' U L' F'
B R B2 L' R2 F2 U
B R B2 L' F2 R2 U
B R B2 R2 L' F2 U
B R' L F2 L2 B2 U
B R' L F2 B2 L2 U
B R' L B2 L2 F2 U
B R' L B2 F2 L2 U
B R' L' U D' L2 R2
B R' L' U D' R2 L2
B' R' L' F2 U D F2
B' R' L' F2 U2 L2 U'
B' R' L' F2 D U F2
B' R' L' F2 D2 R2 U
B R' L' D' U L2 R2
B R' L' D' U R2 L2
B R' L' F2 U D' R2
B R' L' F2 D' U R2
B R' L' F2 B2 U D
B R' L' F2 B2 U D'
B R' L' F2 B2 U D2
B R' L' F2 B2 D U
B R' L' F2 B2 D' U
B R' L' F2 B2 D2 U
B R' L' B2 U D' L2
B R' L' B2 D' U L2
B R' L' B2 F2 U D
B R' L' B2 F2 U D'
B R' L' B2 F2 U D2
B R' L' B2 F2 D U
B R' L' B2 F2 D' U
B R' L' B2 F2 D2 U
B' R' L2 F2 L R U
B' R' L2 F2 R L U
B R' L2 F2 L B2 U
B R' D' L' U L' R2
B R' D' L' U R2 L'
B' R' F2 U2 L R U'
B' R' F2 U2 R L U'
B R' F2 B2 U2 R U'
F2 R' B R' B2 L U
B R' B L' F2 B U
B R' B L' B F2 U
F2 R' B' U2 L R2 U'
F2 R' B' U2 R2 L U'
B R' B2 L F2 L2 U
B R' B2 L' U D' L2
B R' B2 L' D' U L2
B R' B2 L' F2 U D
B R' B2 L' F2 U D'
B R' B2 L' F2 U D2
B R' B2 L' F2 D U
B R' B2 L' F2 D' U
B R' B2 L' F2 D2 U
B R' B2 L2 F2 L U
B R' B2 D' L' U L'
B R' B2 F2 U2 R U'
B' R2 L' F2 U D F2
B' R2 L' F2 U2 L2 U'
B' R2 L' F2 D U F2
B' R2 L' F2 D2 R2 U
B' R2 L2 F2 L R U
B' R2 L2 F2 R L U
B R2 L' B2 R F2 U
D R2 U B' L' U F
B' R2 F2 U2 L R U'
B' R2 F2 U2 R L U'
B R2 B2 L' R F2 U
B R2 B2 R L' F2 U
B U L' R' F2 B2 U
B U L' R' B2 F2 U
B U L' F2 R' B2 U
B U R' L' F2 B2 U
B U R' L' B2 F2 U
B U R' B2 L' F2 U
B U' L' R' F2 B2 U
B U' L' R' B2 F2 U
B U' L' F2 R' B2 U
B U' R' L' F2 B2 U
B U' R' L' B2 F2 U
B U' R' B2 L' F2 U
B' U2 L U' D' L2 B2
B' U2 L U' D' B2 L2
B' U2 L U2 L2 F2 U
B' U2 L U2 F2 L2 U
B' U2 L D' U' L2 B2
B' U2 L D' U' B2 L2
B' U2 L D2 R2 B2 U'
B' U2 L D2 B2 R2 U'
B U2 L' R' F2 B2 U
B U2 L' R' B2 F2 U
L2 D2 F B2 L' R' U'
L2 D2 F B2 R' L' U'
B U2 L' F2 R' B2 U
B U2 R' L' F2 B2 U
B U2 R' L' B2 F2 U
B U2 R' B2 L' F2 U
L2 D2 B2 R' F L' U'
L2 D2 B2 F L' R' U'
L2 D2 B2 F R' L' U'
B' D L' D2 R2 U L2
B' D' L' U D L' F2
B' D' L' U2 L2 U' L
B' D' L' D U L' F2
B' D' L' D2 R2 U L'
B D' L' R' U L' R'
B D' L' R' U R' L'
B D' R' L' U L' R'
B D' R' L' U R' L'
L2 F2 L R2 B R' U
L2 F2 R2 L B R' U
F2 D' B' U2 R U' F'
B' D2 L' U D L2 F2
B' D2 L' U D F2 L2
B' D2 L' U2 L2 B2 U'
B' D2 L' U2 B2 L2 U'
B' D2 L' D U L2 F2
B' D2 L' D U F2 L2
B' D2 L' D2 R2 F2 U
B' D2 L' D2 F2 R2 U
L' F2 B D2 R' B U
U' F2 B' U2 L R U'
U' F2 B' U2 R L U'
R' F2 B' U2 L R U'
R' F2 B' U2 R L U'
U2 F2 B' U2 L R U'
U2 F2 B' U2 R L U'
R2 F2 B' U2 L R U'
R2 F2 B' U2 R L U'
U' B L' R' F2 B2 U
U' B L' R' B2 F2 U
U F2 B' U2 L R U'
U F2 B' U2 R L U'
R' B L' R' F2 B2 U
R' B L' R' B2 F2 U
R F2 B' U2 L R U'
R F2 B' U2 R L U'
U' B L' F2 R' B2 U
R' B L' F2 R' B2 U
U2 B L' R' F2 B2 U
U2 B L' R' B2 F2 U
R2 B L' R' F2 B2 U
R2 B L' R' B2 F2 U
U2 B L' F2 R' B2 U
F' D2 F' R B' L U
R2 B L' F2 R' B2 U
U B L' R' F2 B2 U
U B L' R' B2 F2 U
R B L' R' F2 B2 U
F' D2 F' B' L R U
R B L' R' B2 F2 U
F' D2 F' B' R L U
U' B R' L' F2 B2 U
U' B R' L' B2 F2 U
U B L' F2 R' B2 U
R' B R' L' F2 B2 U
R' B R' L' B2 F2 U
R B L' F2 R' B2 U
U' B R' B2 L' F2 U
R' B R' B2 L' F2 U
U2 B R' L' F2 B2 U
U2 B R' L' B2 F2 U
R2 B R' L' F2 B2 U
R2 B R' L' B2 F2 U
F' D2 B' L F' R U
U2 B R' B2 L' F2 U
B D2 F2 B2 L R U'
B D2 F2 B2 R L U'
R2 B R' B2 L' F2 U
U B R' L' F2 B2 U
U B R' L' B2 F2 U
F' D2 B' F' L R U
F' D2 B' F' R L U
R B R' L' F2 B2 U
R B R' L' B2 F2 U
U B R' B2 L' F2 U
R B R' B2 L' F2 U
B D2 B2 F2 L R U'
B D2 B2 F2 R L U'
F2 B R' B2 U D B2
F2 B R' B2 U2 R2 U'
F2 B R' B2 D U B2
F2 B R' B2 D2 L2 U
F2 B R2 B2 L R U
F2 B R2 B2 R L U
L' B F2 D2 R' B U
D' B' L' R U L' F'
D' B' L' U D2 L' F
U' B' L' F2 U D F2
U' B' L' F2 U2 L2 U'
U' B' L' F2 D U F2
U' B' L' F2 D2 R2 U
D' B' L' D2 U L' F
R' B' L' F2 U D F2
R' B' L' F2 U2 L2 U'
R' B' L' F2 D U F2
R' B' L' F2 D2 R2 U
U' B' L2 F2 L R U
U' B' L2 F2 R L U
U2 B' L' F2 U D F2
U2 B' L' F2 U2 L2 U'
U2 B' L' F2 D U F2
U2 B' L' F2 D2 R2 U
R' B' L2 F2 L R U
R' B' L2 F2 R L U
D B' L' U D2 F L2
D B' L' U F D2 L2
D B' L' U' R2 U2 F
D B' L' D' F2 U F'
D B' L' D2 U F L2
R2 B' L' F2 U D F2
R2 B' L' F2 U2 L2 U'
D' B' R L' U L' F'
R2 B' L' F2 D U F2
R2 B' L' F2 D2 R2 U
U2 B' L2 F2 L R U
U2 B' L2 F2 R L U
U B' L' F2 U D F2
U B' L' F2 U2 L2 U'
U B' L' F2 D U F2
U B' L' F2 D2 R2 U
R2 B' L2 F2 L R U
R2 B' L2 F2 R L U
R B' L' F2 U D F2
R B' L' F2 U2 L2 U'
R B' L' F2 D U F2
R B' L' F2 D2 R2 U
U B' L2 F2 L R U
U B' L2 F2 R L U
R B' L2 F2 L R U
R B' L2 F2 R L U
F2 B' L' U2 L2 R U'
F2 B' L' U2 R L2 U'
F2 B' L2 U2 L' R U'
F2 B' L2 U2 R L' U'
F2 B' R' U2 L R2 U'
F2 B' R' U2 R2 L U'
F2 B' R2 U2 L R' U'
F2 B' R2 U2 R' L U'
F2 B' U2 L R U' D
F2 B' U2 L R U' D'
F2 B' U2 L R U' D2
F2 B' U2 L R D U'
F2 B' U2 L R D' U'
F2 B' U2 L R D2 U'
F2 B' U2 L D R U'
F2 B' U2 L D' R U'
F2 B' U2 L D2 R U'
U' B' F2 U2 L R U'
U' B' F2 U2 R L U'
F2 B' U2 R L U' D
F2 B' U2 R L U' D'
F2 B' U2 R L U' D2
F2 B' U2 R L D U'
F2 B' U2 R L D' U'
F2 B' U2 R L D2 U'
F2 B' U2 R D L U'
F2 B' U2 R D' L U'
F2 B' U2 R D2 L U'
F2 B' U2 D L R U'
F2 B' U2 D R L U'
F2 B' U2 D' L R U'
F2 B' U2 D' R L U'
R' B' F2 U2 L R U'
R' B' F2 U2 R L U'
F2 B' U2 D2 L R U'
F2 B' U2 D2 R L U'
U2 B' F2 U2 L R U'
U2 B' F2 U2 R L U'
F2 B' D U2 L R U'
F2 B' D U2 R L U'
R2 B' F2 U2 L R U'
R2 B' F2 U2 R L U'
F2 B' D' U2 L R U'
F2 B' D' U2 R L U'
U B' F2 U2 L R U'
U B' F2 U2 R L U'
R B' F2 U2 L R U'
R B' F2 U2 R L U'
F2 B' D2 U2 L R U'
F2 B' D2 U2 R L U'
B' F2 L' U2 L2 R U'
B' F2 L' U2 R L2 U'
B' F2 L2 U2 L' R U'
B' F2 L2 U2 R L' U'
B' F2 R' U2 L R2 U'
B' F2 R' U2 R2 L U'
B' F2 R2 U2 L R' U'
B' F2 R2 U2 R' L U'
B F2 R' B2 U D B2
B F2 R' B2 U2 R2 U'
B F2 R' B2 D U B2
B F2 R' B2 D2 L2 U
B F2 R2 B2 L R U
B F2 R2 B2 R L U
B' F2 U2 L R U' D
B' F2 U2 L R U' D'
B' F2 U2 L R U' D2
B' F2 U2 L R D U'
B' F2 U2 L R D' U'
B' F2 U2 L R D2 U'
B' F2 U2 L D R U'
B' F2 U2 L D' R U'
B' F2 U2 L D2 R U'
B' F2 U2 R L U' D
B' F2 U2 R L U' D'
B' F2 U2 R L U' D2
B' F2 U2 R L D U'
B' F2 U2 R L D' U'
B' F2 U2 R L D2 U'
