D L D' B' L F R
F L B' L U R F
F L2 B2 U R F B
F L2 B2 U R B F
B2 R F U R F' B
B2 R F U R B F'
L D L F R B' L'
L D L F B' L' R
L D L F B' R L'
L D L B' F L' R
L D L B' F R L'
B2 R2 F U R F2 B
B2 R2 F U R B F2
B' U F L U2 F U'
B' U F L' B' L2 U
F U' B' U L U R
D2 F L' U D2 R F'
D2 F L' D2 U R F'
L2 F B R D L2 B2
L2 F B R D B2 L2
F' D R2 B' L' F U2
F' D B' L' R2 F U2
F' D B' L' F R2 U2
F' D B' R2 L' F U2
F' D' L2 F B2 R' B
F' D' L2 B2 R' F B
F' D' L2 B2 R' B F
F' D' L2 B2 F R' B
L2 B F R D L2 B2
L2 B F R D B2 L2
B' F U L U L' R
B' F U L U R L'
B2 F U R2 F' R' B
B2 F U' B U2 R B
B' F' L' U L2 F2 U
B' F' L' U F2 L2 U
B' F' L' U2 D' L2 B2
B' F' L' U2 D' B2 L2
U' B' U F L U R
B' F' L' D R2 F2 U2
B' F' L' D F2 R2 U2
B' F' L' D' U2 L2 B2
B' F' L' D' U2 B2 L2
F' B' L' U L2 F2 U
F' B' L' U F2 L2 U
D2 B' U F L' B' U
F' B' L' U2 D' L2 B2
F' B' L' U2 D' B2 L2
F' B' L' D R2 F2 U2
F' B' L' D F2 R2 U2
F' B' L' D' U2 L2 B2
F' B' L' D' U2 B2 L2
U2 B' U F L U R'
B' F' U F2 L U R
F2 B' U L F' U R
F' B' U F2 L U R
F2 B' U F' L U R
F B' U L U L' R
F B' U L U R L'
B' F2 U L F' U R
B' F2 U F' L U R
F B2 U R2 F' R' B
F B2 U' B U2 R B
