U' L2 U' R2 B
U2 R2 D F2 B
U2 R2 D B F2
U2 R2 B D F2
F' U' L2 U' R2
F' U2 R2 D F2
F' L U' L U' R2
F' L' U' L' U' R2
U' L2 R' U' R' B
D2 L2 U R2 U B
U' L2 U F' U2 R2
U' L2 U' R2 D B
U' L2 U' R2 D' B
U' L2 U' R2 D2 B
U' L2 U' R2 B D
U' L2 U' R2 B D'
U' L2 U' R2 B D2
U2 L2 U' L2 R2 B
U' L2 U' B R2 B
U' L2 U' B' R2 B
U2 L2 U' R2 L2 B
U' L2 U' B2 R2 B
U2 L2 U' R2 B L2
F' L2 U2 R2 D' F2
D2 L2 D F' B2 U2
D2 L2 D B2 F' U2
D2 L2 D' F' U2 F'
D2 L2 F' U R2 U
D2 L2 F' U2 D' F2
D2 L2 F' D B2 U2
D2 L2 F' D' U2 F2
U2 R D R F2 B
U2 R D R B F2
L' U' L' U' R2 B
L U' L U' R2 B
U' R' L2 U' R' B
L2 U2 R2 D' F2 B
L2 U2 R2 D' B F2
L2 U2 R2 B D' F2
U2 R2 U L2 U' B
U2 R2 D F2 D B
U2 R2 D F2 D' B
U2 R2 D F2 D2 B
U2 R2 D F2 B D
U2 R2 D F2 B D'
U2 R2 D F2 B D2
U2 R2 D B F2 D
U2 R2 D B F2 D'
U2 R2 D B F2 D2
U2 R2 D2 B D' F2
U2 R2 F D F2 B
U2 R2 F D B F2
U2 R2 F B D F2
U2 R2 F' D F2 B
U2 R2 F' D B F2
U2 R2 F' B D F2
U2 R2 F2 D F2 B
U2 R2 F2 D B F2
U2 R2 F2 B D F2
U2 R2 B U L2 U'
U2 R2 B D F2 D
U2 R2 B D F2 D'
U2 R2 B D F2 D2
U2 R2 B F D F2
U2 R2 B F' D F2
U2 R2 B F2 D F2
U2 R2 B2 D F2 B'
U2 R2 B2 D B' F2
R2 D F2 D L2 B
R2 D F2 D B L2
F' U D B2 U F2
F' U' L2 U' R2 D
F' U' L2 U' R2 D'
F' U' L2 U' R2 D2
F' U' L2 D' F2 U'
B2 U' L2 U' R2 B
F' U' L2 F U' R2
B' U' L2 U' R2 B
F' U' L2 F' U' R2
F' U' L2 F2 U' R2
F2 U' L2 U' R2 B'
F2 U' L2 U' B' R2
B U' L2 U' R2 B
F' U' F L2 U' R2
F' U' F L2 U' R2
F' U' F' L2 U' R2
R2 D2 L2 D' F2 B
R2 D2 L2 D' B F2
R2 D2 L2 B D' F2
F' U' F2 L2 U' R2
F' U2 R D R F2
F' U2 R' D R' F2
F' U2 R' D F2 R'
R2 D2 B L2 D' F2
F' U2 R2 U L2 U'
F' U2 R2 D F2 D
F' U2 R2 D F2 D'
F' U2 R2 D F2 D2
F' U2 R2 F D F2
F' U2 R2 F' D F2
F' U2 R2 F2 D F2
B2 U2 R2 D F2 B
B2 U2 R2 D B F2
B' U2 R2 D F2 B
B' U2 R2 D B F2
B2 U2 R2 B D F2
B' U2 R2 B D F2
F' U2 D F2 D' R2
B U2 R2 D F2 B
B U2 R2 D B F2
B U2 R2 B D F2
F' U2 F R2 D F2
F' U2 F' R2 D F2
F' U2 F2 R2 D F2
F' D U B2 U F2
F' D U2 F2 D' R2
D2 F' L2 U R2 U
D2 F' L2 U2 D' F2
D2 F' L2 D B2 U2
D2 F' L2 D' U2 F2
L F' U' L U' R2
D F' U B2 U F'
L2 F' U2 R2 D' F2
D F' U2 D' F' R2
D F' U2 F' D' R2
D F' D L2 U2 F'
D F' D' U2 F' R2
D' F' B2 U' F' U'
U' F2 L2 U' R2 B'
U' F2 L2 U' B' R2
F' D' B2 U' F2 U'
F' D' B2 U2 D R2
F' D' B2 D U2 R2
F' D' B2 D' L2 U2
F' D2 L2 U R2 U
F' D2 L2 U2 D' F2
F' D2 L2 D B2 U2
F' D2 L2 D' U2 F2
U2 B R2 D F2 B
U2 B R2 D B F2
U2 B R2 B D F2
R2 B D F2 D L2
R2 B D2 L2 D' F2
F' B U' L2 U' R2
F' B U2 R2 D F2
U2 B' R2 D F2 B
U2 B' R2 D B F2
U2 B' R2 B D F2
F' B' U' L2 U' R2
B' F' U' L2 U' R2
F' B' U2 R2 D F2
B2 F' U' L2 U' R2
B' F' U2 R2 D F2
B F' U' L2 U' R2
B2 F' U2 R2 D F2
B F' U2 R2 D F2
U2 B2 R2 D F2 B
U2 B2 R2 D B F2
U2 B2 R2 B D F2
D' B2 U2 D R2 B
F' B2 U' L2 U' R2
D' B2 D U2 R2 B
D' B2 D F' U2 R2
F' B2 U2 R2 D F2
D' B2 D' L2 F' U2
D' B2 D' F' L2 U2
D' B2 F' U' F' U'
U2 L R2 B D L' F
F' L U D B2 R' U
F' L U B2 R' U R'
F' L U' L U' R2 D
F' L U' L U' R2 D'
F' L U' L U' R2 D2
B' L U' L U' R2 B
F' L U' L D' F2 U'
F' L U' L F U' R2
F' L U' L F' U' R2
F' L U' L F2 U' R2
B2 L U' L U' R2 B
F2 L U' L U' R2 B'
F2 L U' L U' B' R2
B L U' L U' R2 B
F' L U' D' L F2 U'
F' L U' D' F2 L U'
F' L U' F L U' R2
F' L U' F' L U' R2
F' L U' F2 L U' R2
U L U2 L U' R2 B
F' L U2 R2 U L U'
D2 L D L F' B2 U2
D2 L D L B2 F' U2
F' L D U B2 R' U
D2 L D F' L B2 U2
D2 L D F' B2 U2 R'
D2 L D B2 F' U2 R'
D2 L D' L F' U2 F'
F' L D' U' L F2 U'
F' L D' U' F2 L U'
D2 L D' F' L U2 F'
F' L D2 L2 U' L' U'
D2 L F' L U R2 U
D2 L F' L U2 D' F2
D2 L F' L D B2 U2
D2 L F' L D' U2 F2
B' L F' U' L U' R2
D L F' U B2 U F'
D2 L F' D L B2 U2
B2 L F' U' L U' R2
D2 L F' D B2 U2 R'
D2 L F' D' L U2 F2
D L F' U2 D' F' R2
D L F' U2 F' D' R2
B L F' U' L U' R2
D L F' D L2 U2 F'
D L F' D' U2 F' R2
D' L F' B2 U' F' U'
F L F2 U' L U' R2
L2 R' U R U2 R2 B
L2 R' U R F' U2 R2
L2 R' U' R' D2 L2 B
L2 R' U' R' D2 B L2
L2 R' U' R' B D2 L2
F' L B2 U R' U R'
D' L B2 U2 D R2 B
D' L B2 D U2 R2 B
U L B2 R' U R' B
D' L B2 D F' U2 R2
D' L B2 D' L2 F' U2
D' L B2 D' F' L2 U2
D' L B2 F' U' F' U'
F' L' U' L' U' R2 D
F' L' U' L' U' R2 D'
F' L' U' L' U' R2 D2
F' L' U' L' D' F2 U'
F' L' U' L' F U' R2
F' L' U' L' F' U' R2
F' L' U' L' F2 U' R2
B' L' U' L' U' R2 B
B2 L' U' L' U' R2 B
B L' U' L' U' R2 B
F' L' U' D' L' F2 U'
F' L' U2 R2 U L' U'
U L' U2 L' U' R2 B
D2 L' D L' F' B2 U2
D2 L' D L' B2 F' U2
L2 R' F2 U' L' R' B
L2 R' F2 U' R' L' B
L2 R' F2 U' R' B L'
D2 L' D B2 L' F' U2
D2 L' D' L' F' U2 F'
F' L' D' U' L' F2 U'
D2 L' D' F' U2 F' R
F' L' D2 L2 U' L U'
R' L2 U R U2 R2 B
R' L2 U R F' U2 R2
D L' F' U B2 U F'
D L' F' U2 D' F' R2
D L' F' U2 F' D' R2
D L' F' D L2 U2 F'
D' L' F' B2 U' F' U'
D L' F' D' U2 F' R2
R' L2 U' R' D2 L2 B
R' L2 U' R' D2 B L2
R' L2 U' R' B D2 L2
F L' F2 U R U R
F' L' B U' L' U' R2
F' L' B' U' L' U' R2
F' L' B2 U' L' U' R2
D' L' B2 U2 D R2 B
D' L' B2 D U2 R2 B
D' L' B2 D F' U2 R2
D' L' B2 D' L2 F' U2
D' L' B2 D' F' L2 U2
D' L' B2 F' U' F' U'
L2 R2 D2 L2 D F2 B
L2 R2 D2 L2 D B F2
L2 R2 D2 L2 B D F2
R2 L2 D2 L2 D F2 B
R2 L2 D2 L2 D B F2
R2 L2 D2 L2 B D F2
U' L2 R' U' R' D B
U' L2 R' U' R' D' B
U' L2 R' U' R' D2 B
U' L2 R' U' R' B D
U' L2 R' U' R' B D'
U' L2 R' U' R' B D2
L2 R2 D2 B L2 D F2
R2 L2 D2 B L2 D F2
U2 L2 R' U' L2 R' B
U2 L2 R' U' R' L2 B
U2 L2 R' U' R' B L2
U' L2 R' F U' R' B
U' L2 R' F' U' R' B
U' L2 R' F2 U' R' B
D2 L2 U L R2 U B
D2 L2 U L' R2 U B
U2 L2 R2 B L2 D F2
D2 L2 U L2 R2 U B
U' L2 U L U2 R2 B
U' L2 U L F' U2 R2
U' L2 U L' U2 R2 B
U' L2 U L' F' U2 R2
U' L2 U L2 U2 R2 B
U' L2 U L2 F' U2 R2
D2 L2 U R2 L U B
D2 L2 U R2 L' U B
D2 L2 U R2 L2 U B
D2 L2 U R2 U D B
D2 L2 U R2 U D' B
D2 L2 U R2 U D2 B
D2 L2 U R2 U B D
D2 L2 U R2 U B D'
D2 L2 U R2 U B D2
D2 L2 U R2 D U B
D2 L2 U R2 D' U B
D2 L2 U R2 D2 U B
U' L2 U D2 L2 F' U2
U' L2 U D2 F' L2 U2
U2 L2 U R2 B L2 F
U' L2 U F' L U2 R2
U' L2 U F' L' U2 R2
U' L2 U F' L2 U2 R2
U' L2 U F' U2 R2 D
U' L2 U F' U2 R2 D'
U' L2 U F' U2 R2 D2
U' L2 U F' D2 L2 U2
R' L2 F2 U' L' R' B
R' L2 F2 U' R' L' B
R' L2 F2 U' R' B L'
F' L2 U B' U R2 F'
U2 L2 U F' U2 L2 R2
U2 L2 U F' U2 R2 L2
U' L2 U' L R2 B L'
U' L2 U' L2 R2 B L2
U' L2 U' R D R B
U' L2 U' R D' R B
U2 L2 U' L' R2 B L'
U' L2 U' R D2 R B
U' L2 U' R B R B
U' L2 U' R B' R B
U' L2 U' R B2 R B
U2 L2 U' L2 R2 D B
U2 L2 U' L2 R2 D' B
U2 L2 U' L2 R2 D2 B
U2 L2 U' L2 R2 B D
U2 L2 U' L2 R2 B D'
U2 L2 U' L2 R2 B D2
U' L2 U' R2 L B L'
U' L2 U' R2 L2 B L2
U2 L2 U' L2 B R2 B
U2 L2 U' L2 B' R2 B
U2 L2 U' L2 B2 R2 B
U' L2 U' R2 D B D
U' L2 U' R2 D B D'
U' L2 U' R2 D B D2
U' L2 U' R2 D' B D
U' L2 U' R2 D' B D'
U' L2 U' R2 D' B D2
U' L2 U' R2 D2 B D
U' L2 U' R2 D2 B D'
U' L2 U' R2 D2 B D2
U' L2 U' R2 B2 D B'
U' L2 U' R2 B2 D' B'
U' L2 U' R2 B2 D2 B'
U L2 U B' R2 F' B
U L2 U B' R2 B F'
F' L2 U' D' F2 U' F2
U2 L2 U' R2 L' B L'
U2 L2 U' R2 L2 D B
U2 L2 U' R2 L2 D' B
U2 L2 U' R2 L2 D2 B
U2 L2 U' R2 L2 B D
U2 L2 U' R2 L2 B D'
U2 L2 U' R2 L2 B D2
F' L2 U' F U' F' R2
U2 L2 U' R2 B L2 D
U2 L2 U' R2 B L2 D'
U2 L2 U' R2 B L2 D2
U2 L2 U' R2 B' L2 B2
F' L2 U' F' U' R2 F
F' L2 U' F' U' F R2
F' L2 U' F2 U' R2 F2
F' L2 U' F2 U' F2 R2
U' L2 U' B R2 D B
U' L2 U' B R2 D' B
U' L2 U' B R2 D2 B
U' L2 U' B R2 B D
U' L2 U' B R2 B D'
U' L2 U' B R2 B D2
U' L2 U' B' R2 D B
U' L2 U' B' R2 D' B
U' L2 U' B' R2 D2 B
U' L2 U' B' R2 B D
U' L2 U' B' R2 B D'
U' L2 U' B' R2 B D2
U L2 U' R2 D2 L2 B
U L2 U' R2 D2 B L2
U' L2 U' B2 R2 D B
U' L2 U' B2 R2 D' B
U' L2 U' B2 R2 D2 B
U' L2 U' B2 R2 B D
U' L2 U' B2 R2 B D'
U' L2 U' B2 R2 B D2
U2 L2 U' B L2 R2 B
U L2 U' R2 B D2 L2
U2 L2 U' B R2 L2 B
U2 L2 U' B R2 B L2
U' L2 U2 L U R2 B
U2 L2 U' B' L2 R2 B
U2 L2 U' B' R2 L2 B
U2 L2 U' B' R2 B L2
U' L2 U2 L' U R2 B
U2 L2 U' B2 L2 R2 B
U2 L2 U' B2 R2 L2 B
U2 L2 U' B2 R2 B L2
U' L2 U2 L2 U R2 B
U L2 U' F' U2 R2 F
U L2 U' F' U2 F R2
B' L2 U2 R2 D' F2 B
B' L2 U2 R2 D' B F2
F' L2 U2 R2 U' R2 U
B' L2 U2 R2 B D' F2
F' L2 U2 R2 D' F2 D
F' L2 U2 R2 D' F2 D'
F' L2 U2 R2 D' F2 D2
F' L2 U2 R2 F D' F2
F' L2 U2 R2 F' D' F2
F' L2 U2 R2 F2 D' F2
L2 R2 B D2 L2 D F2
F2 L2 U2 R2 D' F2 B'
F2 L2 U2 R2 D' B' F2
F2 L2 U2 R2 B' D' F2
R2 L2 B D2 L2 D F2
B2 L2 U2 R2 D' F2 B
B2 L2 U2 R2 D' B F2
B2 L2 U2 R2 B D' F2
F' L2 U2 F R2 D' F2
F' L2 U2 F' R2 D' F2
B L2 U2 R2 D' F2 B
B L2 U2 R2 D' B F2
F' L2 U2 F2 R2 D' F2
B L2 U2 R2 B D' F2
U' L2 U2 B U R2 B
U' L2 U2 B' U R2 B
U' L2 U2 B2 U R2 B
F2 L2 U2 B' R2 D' F2
D2 L2 D F' U2 D2 F2
D2 L2 D F' D2 U2 F2
D2 L2 D F' B2 U2 D
D2 L2 D F' B2 U2 D'
D2 L2 D F' B2 U2 D2
D2 L2 D F' B2 D U2
D2 L2 D F' B2 D' U2
D2 L2 D F' B2 D2 U2
D2 L2 D B2 D F' U2
D2 L2 D B2 D' F' U2
D2 L2 D B2 D2 F' U2
D2 L2 D B2 F' U2 D
D2 L2 D B2 F' U2 D'
D2 L2 D B2 F' U2 D2
D2 L2 D B2 F' D U2
D2 L2 D B2 F' D' U2
D2 L2 D B2 F' D2 U2
U' L2 D' R2 F2 U' B
F' L2 D' U' F2 U' F2
D2 L2 D' F' U2 D F'
D2 L2 D' F' U2 D' F'
D2 L2 D' F' U2 D2 F'
D2 L2 D' F' U2 F' D
D2 L2 D' F' U2 F' D'
D2 L2 D' F' U2 F' D2
D2 L2 D' F' D U2 F'
D2 L2 D' F' D' U2 F'
D2 L2 D' F' D2 U2 F'
D2 L2 D' F' B U2 F'
D2 L2 D' F' B' U2 F'
D2 L2 D' F' B2 U2 F'
D2 L2 D' B F' U2 F'
U' L2 D' F2 U F U2
D2 L2 D' B' F' U2 F'
D2 L2 D' B2 F' U2 F'
F' L2 D2 L2 U' L2 U'
F' L2 D2 L2 U2 D F2
F' L2 D2 L2 D U2 F2
F' L2 D2 L2 D' B2 U2
U' L2 D2 U L2 F' U2
U' L2 D2 U F' L2 U2
D2 L2 D2 F' U' L2 U'
D2 L2 D2 F' U2 D F2
D2 L2 D2 F' D U2 F2
D2 L2 D2 F' D' B2 U2
U' L2 F U F2 U2 R2
U' L2 F U' R2 D2 B2
R2 U L2 U R2 F' U2
R2 U L2 U' D2 L2 B
R2 U L2 U' D2 B L2
R2 U L2 U' B D2 L2
R2 U L2 D B2 U' B'
D2 L2 F' U R2 U D
D2 L2 F' U R2 U D'
D2 L2 F' U R2 U D2
D2 L2 F' U R2 D U
