U R U2 F' L' R'
U R U2 F' R' L'
U R' B U2 L R
U R' B U2 R L
U B' R' B U2 R
U L R U2 F' L' R'
U L R U2 F' R' L'
U' L R F2 R F L'
U L R' B U2 L R
U L R' B U2 R L
L R F U2 R' U' F2
R L F U2 R' U' F2
D2 L F U' B' U2 B
U' L F' L' R F' R
U' L F' L' F' R F'
U' L F' R L' F' R
U' L F2 R F L' F2
U L B' R' B U2 R
U L' R U2 F' L' R'
U L' R U2 F' R' L'
U' L' R F' L' D2 R2
U L' R' B U2 L R
U L' R' B U2 R L
D L' B' L U2 B U
D2 L' B' U2 B U F
U L' B' R' B U2 R
U' L2 R D2 F' L' R2
U' L2 R D2 F' R2 L'
U' L2 R F' D2 L' R2
U' L2 R F' D2 R2 L'
U L2 R U2 F' L' R'
U L2 R U2 F' R' L'
U' L2 R' D2 R2 F' L'
U L2 R' B U2 L R
U L2 R' B U2 R L
U' L2 D2 R2 F' L' F
U' L2 D2 F' L' R2 F
U' L2 D2 F' L' F R2
U' L2 D2 F' R2 L' F
U' L2 F' L' F2 R F'
U' L2 F' D2 L' R2 F
U' L2 F' D2 L' F R2
U' L2 F' D2 R2 L' F
U L2 B' R' B U2 R
U' R L F2 R F L'
U R L U2 F' L' R'
U R L U2 F' R' L'
U' R L' F' L' D2 R2
U R L' U2 F' L' R'
U R L' U2 F' R' L'
U' R L2 D2 F' L' R2
U' R L2 D2 F' R2 L'
U' R L2 F' D2 L' R2
U' R L2 F' D2 R2 L'
U R L2 U2 F' L' R'
U R L2 U2 F' R' L'
U R U2 L F' L' R'
U R U2 L F' R' L'
U R U2 L' F' L' R'
U R U2 L' F' R' L'
U R U2 L2 F' L' R'
U R U2 L2 F' R' L'
U R U2 D F' L' R'
U R U2 D F' R' L'
U R U2 D' F' L' R'
U R U2 D' F' R' L'
U R U2 D2 F' L' R'
U R U2 D2 F' R' L'
U R U2 F' L' R' D
U R U2 F' L' R' D'
U R U2 F' L' R' D2
U R U2 F' L' D R'
U R U2 F' L' D' R'
U R U2 F' L' D2 R'
U R U2 F' R' L' D
U R U2 F' R' L' D'
U R U2 F' R' L' D2
U R U2 F' R' D L'
U R U2 F' R' D' L'
U R U2 F' R' D2 L'
U R U2 F' D L' R'
U R U2 F' D R' L'
U R U2 F' D' L' R'
U R U2 F' D' R' L'
U R U2 F' D2 L' R'
U R U2 F' D2 R' L'
U R U2 F2 R' F L'
U R D U2 F' L' R'
U R D U2 F' R' L'
U R D' U2 F' L' R'
U R D' U2 F' R' L'
U' R F L F2 L' R
U' R F L F2 R L'
U R D2 U2 F' L' R'
U R D2 U2 F' R' L'
U' R F' L' U2 L U2
U' R F' L' B2 R' B2
U' R F' L2 D2 L R2
U' R F' L2 D2 R2 L
U' R F' B2 L' B2 R'
U' R B' U2 F' B L
U' R B' U2 B L F'
U' R B' U2 B F' L
B2 R B2 L F U F2
U' R B2 F' L' B2 R'
U R' L B U2 L R
U R' L B U2 R L
U' R' L2 D2 R2 F' L'
U R' L' B U2 L R
U R' L' B U2 R L
U R' L2 B U2 L R
U R' L2 B U2 R L
R' U' B U' R B U'
U R' U2 R2 F' L' R'
U R' U2 R2 F' R' L'
U R' D B U2 L R
U R' D B U2 R L
U R' D' B U2 L R
U R' D' B U2 R L
U R' D2 B U2 L R
U R' D2 B U2 R L
U' R' F B R U2 B'
U' R' F' B U2 B' L'
U' R' B U2 B L B2
U' R' B F R U2 B'
U' R' B F' U2 B' L'
U R' B L' U2 L2 R
U R' B L' U2 R L2
U R' B L2 U2 L' R
U R' B L2 U2 R L'
U R' B R' U2 L R2
U R' B R' U2 R2 L
U R' B R2 U2 L R'
U R' B R2 U2 R' L
U R' B U2 L R D
U R' B U2 L R D'
U R' B U2 L R D2
U R' B U2 L D R
U R' B U2 L D' R
U R' B U2 L D2 R
U R' B U2 R L D
U R' B U2 R L D'
U R' B U2 R L D2
U R' B U2 R D L
U R' B U2 R D' L
U R' B U2 R D2 L
U R' B U2 D L R
U R' B U2 D R L
U R' B U2 D' L R
U R' B U2 D' R L
U R' B U2 D2 L R
U R' B U2 D2 R L
U R' B D U2 L R
U R' B D U2 R L
U R' B D' U2 L R
U R' B D' U2 R L
U R' B D2 U2 L R
U R' B D2 U2 R L
