L' U' R U' F'
B' L' U' R U' F'
D2 L' U' R U' F
D2 L' U' R U' F
B2 L' U' R U' F'
B L' U' R U' F'
U' R U L' U2 F'
U' R U' F2 R F
L' U' L R U' F'
L' U' L' R U' F'
L' U' L2 R U' F'
L' U' R L U' F'
L' U' R L' U' F'
L' U' R L2 U' F'
L' U' R U' D F'
L' U' R U' D' F'
L' U' R U' D2 F'
L' U' R U' F' D
L' U' R U' F' D'
L' U' R U' F' D2
L' U' R D U' F'
L' U' R D' U' F'
L' U' R D2 U' F'
U' R F2 U' R F
F2 U L' U R F'
L' B U' R U' F'
L' B' U' R U' F'
L' B2 U' R U' F'
U' L R U L2 U2 F'
U' L R U' D2 F' R2
U' L R U' F' D2 R2
U' L R D F2 U' F
U' L R D2 U' F' R2
F2 L R D' F' B2 L
F2 L R D' B2 L F'
F2 L R D' B2 F' L
F2 L R F' D' B2 L
F2 L U L2 U R F'
F2 L U2 R D' F' B2
F2 L U2 R D' B2 F'
F2 L U2 R F' D' B2
L2 R B2 U' L F' R'
L2 R B2 U' F' L R'
L2 R B2 U' F' R' L
D2 L B' L2 U' R U'
R' L' D' F2 B U2 L'
R' L' D' B R F2 U2
L' R' D' F2 B U2 L'
L' R' D' B R F2 U2
R' L' D' B F2 U2 L'
L' R' D' B F2 U2 L'
B' L' U' L R U' F'
B' L' U' L' R U' F'
D2 L' U' R U' D F
D2 L' U' R U' D' F
D2 L' U' R U' D2 F
D2 L' U' R U' F D
D2 L' U' R U' F D'
D2 L' U' R U' F D2
D2 L' U' R D U' F
D2 L' U' R D' U' F
D2 L' U' R D2 U' F
B2 L' U' L R U' F'
B' L' U' L2 R U' F'
B2 L' U' L' R U' F'
B' L' U' R L U' F'
B' L' U' R L' U' F'
B' L' U' R L2 U' F'
B' L' U' R U' D F'
B' L' U' R U' D' F'
B' L' U' R U' D2 F'
B' L' U' R U' F' D
B' L' U' R U' F' D'
B' L' U' R U' F' D2
B L' U' L R U' F'
B' L' U' R D U' F'
B' L' U' R D' U' F'
B' L' U' R D2 U' F'
B2 L' U' L2 R U' F'
U2 L' U' R U' L F'
D2 L' U' D R U' F
U2 L' U' R U' F' L
B L' U' L' R U' F'
B2 L' U' R L U' F'
B2 L' U' R L' U' F'
B2 L' U' R L2 U' F'
D' L' U' D R U' F'
B2 L' U' R U' D F'
B2 L' U' R U' D' F'
B2 L' U' R U' D2 F'
B2 L' U' R U' F' D
B2 L' U' R U' F' D'
B2 L' U' R U' F' D2
B2 L' U' R D U' F'
B2 L' U' R D' U' F'
D2 L' U' D' R U' F
B2 L' U' R D2 U' F'
B L' U' L2 R U' F'
D2 L' U' D2 R U' F
B L' U' R L U' F'
B L' U' R L' U' F'
B L' U' R L2 U' F'
B L' U' R U' D F'
B L' U' R U' D' F'
B L' U' R U' D2 F'
B L' U' R U' F' D
B L' U' R U' F' D'
B L' U' R U' F' D2
B L' U' R D U' F'
B L' U' R D' U' F'
B L' U' R D2 U' F'
D L' U' D' R U' F'
U L' U2 R U' F' R'
D2 L' D U' R U' F
D' L' D U' R U' F'
R' L' B R U' R U'
L' R' B R U' R U'
D2 L' D' U' R U' F
R' L' B D R U2 B2
L' R' B D R U2 B2
R' L' B D' R F2 U2
R' L' B D' F2 U2 L'
L' R' B D' R F2 U2
L' R' B D' F2 U2 L'
D L' D' U' R U' F'
D2 L' D2 U' R U' F
D2 L' F2 U L' U F'
D2 L' B U' R U' F
B' L' B U' R U' F'
B2 L' B U' R U' F'
B L' B U' R U' F'
D2 L' B' U' R U' F
B' L' B' U' R U' F'
B2 L' B' U' R U' F'
D L' B' U' L R U'
D L' B' U' R L U'
B L' B' U' R U' F'
D2 L' B2 U' R U' F
B' L' B2 U' R U' F'
B2 L' B2 U' R U' F'
B L' B2 U' R U' F'
U' L2 R U L U2 F'
F2 L2 U L U R F'
R L2 B2 U' L F' R'
R L2 B2 U' F' L R'
R L2 B2 U' F' R' L
L' U L U2 R U' F'
L' U L' U2 R U' F'
R U L' R2 B R U2
L' U L2 U2 R U' F'
R U L' B U2 F' L'
R U L' B2 U2 L F'
R U L' B2 U2 F' L
L' U R' U2 R2 U' F'
R U R' U2 F2 R F'
R U R' D2 L' U2 F
R U R2 L' B R U2
R U R2 B L' R U2
R U R2 B R L' U2
U' R L U L2 U2 F'
U' R L U' D2 F' R2
U' R L U' F' D2 R2
U' R L D F2 U' F
U' R L D2 U' F' R2
F2 R L D' F' B2 L
F2 R L D' B2 L F'
F2 R L D' B2 F' L
F2 R L F' D' B2 L
U' R L2 U L U2 F'
D2 R U L' R' U2 F
U' R U L' U2 D F'
U' R U L' U2 D' F'
U' R U L' U2 D2 F'
U' R U L' U2 F' D
U' R U L' U2 F' D'
U' R U L' U2 F' D2
U' R U L' D U2 F'
U' R U L' D' U2 F'
U' R U L' D2 U2 F'
U' R U L' B U2 F'
U' R U L' B' U2 F'
U' R U L' B2 U2 F'
D2 R U R' L' U2 F
U' R U D L' U2 F'
U' R U D' L' U2 F'
U' R U D2 L' U2 F'
U' R U B L' U2 F'
