U F R U' B L
U L U2 L' F U' B'
F' L2 B' U' R' F2 U'
F' L2 B' U' F2 R' U'
U R F U2 F' U B
F R' U R U2 F' B
F R' U R U2 B F'
B' R' F U' F L' F2
U R' F D R2 B U'
U' R' F2 L' F' U' B'
F' R' F2 U' L' F' B'
F' R' F2 U' L' B' F'
B U L U2 L' F U'
B' U R F R2 B U'
B' U R' F U2 F' U
D' U F R U' B L
D2 U F R U' B L
D U F R U' B L
U D F R U' B L
B' U F R2 B R U'
B2 U F R2 B R' U'
B U F U2 L F' U
B U F U2 F' L U
F2 U' L' F' U' F' B'
F2 U' L' F' U' B' F'
B' U' R' F2 L' F' U'
U D' F R U' B L
B' U' F R' U2 R U
B' U' F' R' F2 L' U'
F2 U' F' L' U' F' B'
F2 U' F' L' U' B' F'
F' U' F2 L' U' F' B'
F' U' F2 L' U' B' F'
F U2 L U L' F' B'
F U2 L U L' B' F'
U D2 F R U' B L
U' F L U F U2 F'
F' U2 F U R F U'
U' F R' U2 R U B
U F R U' L B L
U F R U' L' B L
U F R U' L2 B L
U F R U' D B L
U F R U' D' B L
U F R U' D2 B L
U F R U' B L D
U F R U' B L D'
U F R U' B L D2
U F R U' B D L
U F R U' B D' L
U F R U' B D2 L
U F R D U' B L
U F R D' U' B L
U F R D2 U' B L
U F R2 D B R' U'
R' F U' F L' F2 B'
R' F U' F L' B' F2
U F R2 B R' U' B
U F U2 L' F' U B'
U F U2 F' L' U B'
U F D R U' B L
U F D' R U' B L
U F D2 R U' B L
U F B R U' B L
U F B' R U' B L
U F B2 R U' B L
U' F' R' F2 L' U' B'
F' D' L2 B' U' R' U'
B' F R' U R U2 F'
U B F R U' B L
B' F U' R' U' R F'
B F U2 L U L' F'
F B U2 L U L' F'
B' F' R' F2 U' L' F'
F' B' R' F2 U' L' F'
F B' R' U R U2 F'
B' F' U' R' F2 U' F'
F' B' U' R' F2 U' F'
F B' U' R' U' R F'
U B' F R U' B L
R B2 L D' R' B R'
R B2 L D' B R' B
U B2 F R U' B L
