F2 L' F B' U
F2 L' B' F U
F2 L' D F B' U
F2 L' D B' F U
F2 L' D' F B' U
F2 L' D' B' F U
F2 L' D2 F B' U
F2 L' D2 B' F U
F2 L' F D B' U
F2 L' F D' B' U
F2 L' F D2 B' U
F2 L' F B' U D
F2 L' F B' U D'
F2 L' F B' U D2
F2 L' F B' D U
F2 L' F B' D' U
F2 L' F B' D2 U
F L' F B' L' U
F2 L' B' D F U
F2 L' B' D' F U
F2 L' B' D2 F U
F2 L' B' F U D
F2 L' B' F U D'
F2 L' B' F U D2
F2 L' B' F D U
F2 L' B' F D' U
F2 L' B' F D2 U
F L' B' F L' U
L U2 R F B' U'
L U2 R B' F U'
L U2 B' R F U'
L' F D2 B' L U
F2 D' L' B' U L
D' F2 L' B' U L
L' F2 B' L' F' U
F2 B L' F B' U
F2 B L' B' F U
F2 B' L' F B' U
F2 B' L' B' F U
L' B' F2 L' F' U
B' F2 L' F B' U
B' F2 L' B' F U
R B2 L F B' U'
B2 F2 L' F B' U
R B2 L B' F U'
F2 B2 L' F B' U
B2 F2 L' B' F U
F2 B2 L' B' F U
B F2 L' F B' U
B F2 L' B' F U
L' R U2 R' F B' U
L' R U2 R' B' F U
L' R U2 F R' B' U
B' L U2 R F B' U'
B' L U2 R B' F U'
B2 L U2 R F B' U'
B2 L U2 R B' F U'
D L U2 R F U' L'
B L U2 R F B' U'
B L U2 R B' F U'
F' L U2 F B' R' U'
B' L U2 B' R F U'
F' L U2 B' R' F U'
F' L U2 B' F R' U'
B2 L U2 B' R F U'
B L U2 B' R F U'
L R F B2 L B U'
R L F B2 L B U'
L R B' D2 F L' U'
R L B' D2 F L' U'
L R B2 F L B U'
R L B2 F L B U'
R L' U2 R' F B' U
R L' U2 R' B' F U
R L' U2 F R' B' U
F2 L' R F R' B' U
F2 L' R' B' R F U
F2 L' R2 F R2 B' U
F2 L' R2 F B' R2 U
F2 L' R2 B' R2 F U
F2 L' R2 B' F R2 U
F2 L' D F D B' U
F2 L' D F D' B' U
F2 L' D F D2 B' U
F2 L' D F B' U D
F2 L' D F B' U D'
F2 L' D F B' U D2
F2 L' D F B' D U
F2 L' D F B' D' U
F2 L' D F B' D2 U
F2 L' D B' D F U
F2 L' D B' D' F U
F2 L' D B' D2 F U
F2 L' D B' F U D
F2 L' D B' F U D'
F2 L' D B' F U D2
F2 L' D B' F D U
F2 L' D B' F D' U
F2 L' D B' F D2 U
F2 L' D' F D B' U
F2 L' D' F D' B' U
F2 L' D' F D2 B' U
F2 L' D' F B' U D
F2 L' D' F B' U D'
F2 L' D' F B' U D2
F2 L' D' F B' D U
F2 L' D' F B' D' U
F2 L' D' F B' D2 U
F2 L' D' B' D F U
F2 L' D' B' D' F U
F2 L' D' B' D2 F U
F2 L' D' B' F U D
F2 L' D' B' F U D'
F2 L' D' B' F U D2
F2 L' D' B' F D U
F2 L' D' B' F D' U
F2 L' D' B' F D2 U
F2 L' D2 F D B' U
F2 L' D2 F D' B' U
F2 L' D2 F D2 B' U
F2 L' D2 F B' U D
F2 L' D2 F B' U D'
F2 L' D2 F B' U D2
F2 L' D2 F B' D U
F2 L' D2 F B' D' U
F2 L' D2 F B' D2 U
F L' D2 F B' L U
F2 L' D2 B' D F U
F2 L' D2 B' D' F U
F2 L' D2 B' D2 F U
F2 L' D2 B' F U D
F2 L' D2 B' F U D'
F2 L' D2 B' F U D2
F2 L' D2 B' F D U
F2 L' D2 B' F D' U
F2 L' D2 B' F D2 U
F L' D2 B' F L U
F2 L' F R' B' R U
F2 L' F R2 B' R2 U
F2 L' F D B' U D
F2 L' F D B' U D'
F2 L' F D B' U D2
F2 L' F D B' D U
F2 L' F D B' D' U
F2 L' F D B' D2 U
F2 L' F D' B' U D
F2 L' F D' B' U D'
F2 L' F D' B' U D2
F2 L' F D' B' D U
F2 L' F D' B' D' U
F2 L' F D' B' D2 U
B' L' F D2 B' L U
F' L' F B' U2 R U'
F2 L' F D2 B' U D
F2 L' F D2 B' U D'
F2 L' F D2 B' U D2
F2 L' F D2 B' D U
F2 L' F D2 B' D' U
F2 L' F D2 B' D2 U
F2 L' F B U D' R2
F2 L' F B D' U R2
B2 L' F D2 B' L U
F L' F D B' L' U
F2 L' F B2 D B U
F2 L' F B2 D' B U
F2 L' F B2 D2 B U
F L' F D' B' L' U
B L' F D2 B' L U
F L' F D2 B' L' U
F L' F B L' B2 U
F L' F B' L' U D
F L' F B' L' U D'
F L' F B' L' U D2
F L' F B' L' D U
F L' F B' L' D' U
F L' F B' L' D2 U
F L' F B' D L' U
F L' F B' D' L' U
F L' F B' D2 L' U
F L' F B2 L' B U
F2 L' F' D' B' U L2
F' L' F' B' L' F2 U
F2 L' F' B' U D' L2
F2 L' F' B' D' U L2
F2 L' F2 D F' B' U
F2 L' F2 D B' F' U
D' L' F2 B' L' U L2
F2 L' F2 D' F' B' U
F2 L' F2 D' B' F' U
B' L' F2 B' L' F' U
F2 L' F2 D2 F' B' U
F2 L' F2 D2 B' F' U
F2 L' F2 B' D F' U
F2 L' F2 B' D' F' U
F2 L' F2 B' D2 F' U
B2 L' F2 B' L' F' U
B L' F2 B' L' F' U
F2 L' B D' F U R2
F2 L' B F U D' R2
F2 L' B F D' U R2
F L' B F L' B2 U
F2 L' B' R F R' U
F2 L' B' R2 F R2 U
D' L' B' U2 R U' L
F2 L' B' D F U D
F2 L' B' D F U D'
F2 L' B' D F U D2
F2 L' B' D F D U
F2 L' B' D F D' U
F2 L' B' D F D2 U
F' L' B' F U2 R U'
F2 L' B' D' F U D
F2 L' B' D' F U D'
F2 L' B' D' F U D2
F2 L' B' D' F D U
F2 L' B' D' F D' U
F2 L' B' D' F D2 U
F' L' B' F' L' F2 U
D' L' B' F2 L' U L2
F2 L' B' D2 F U D
F2 L' B' D2 F U D'
F2 L' B' D2 F U D2
F2 L' B' D2 F D U
F2 L' B' D2 F D' U
F2 L' B' D2 F D2 U
B' L' B' F2 L' F' U
F2 L' B' F' U D' L2
F2 L' B' F' D' U L2
F2 L' B' F2 D F' U
F2 L' B' F2 D' F' U
F2 L' B' F2 D2 F' U
B2 L' B' F2 L' F' U
F L' B' F L' U D
F L' B' F L' U D'
F L' B' F L' U D2
F L' B' F L' D U
F L' B' F L' D' U
F L' B' F L' D2 U
F L' B' F D L' U
F L' B' F D' L' U
F L' B' F D2 L' U
B L' B' F2 L' F' U
F2 L' B2 D F B U
F2 L' B2 D B F U
F2 L' B2 D' F B U
F2 L' B2 D' B F U
F2 L' B2 D2 F B U
F2 L' B2 D2 B F U
F2 L' B2 F D B U
F2 L' B2 F D' B U
F2 L' B2 F D2 B U
F L' B2 F L' B U
F2 L2 F L F B' U
F2 L2 F L B' F U
F2 L2 F' L F B' U
F2 L2 F' L B' F U
F2 L2 F2 L F B' U
F2 L2 F2 L B' F U
L U R F B' U' F'
L U R B' F U' F'
F2 R L' F R' B' U
L U B' R F U' F'
B' R B2 L F B' U'
B' R B2 L B' F U'
B2 R B2 L F B' U'
B2 R B2 L B' F U'
D R B2 L F U' L'
B R B2 L F B' U'
B R B2 L B' F U'
F2 R' L' B' R F U
L' U2 R U2 F B' U
L' U2 R U2 B' F U
L2 U2 R D' B U' R'
L U2 R D F B' U'
L U2 R D B' F U'
L U2 R D' F B' U'
L U2 R D' B' F U'
L U2 R D2 F B' U'
L U2 R D2 B' F U'
L U2 R F D B' U'
L U2 R F D' B' U'
L U2 R F D2 B' U'
L U2 R F B' U' D
L U2 R F B' U' D'
L U2 R F B' U' D2
L U2 R F B' D U'
L U2 R F B' D' U'
L U2 R F B' D2 U'
L U2 R B' D F U'
L U2 R B' D' F U'
L U2 R B' D2 F U'
L U2 R B' F U' D
L U2 R B' F U' D'
L U2 R B' F U' D2
L U2 R B' F D U'
L U2 R B' F D' U'
L U2 R B' F D2 U'
L U2 R' F R2 B' U'
L U2 R' F B' R2 U'
L U2 R' B' R2 F U'
L U2 R' B' F R2 U'
L U2 R2 F R' B' U'
L U2 D R F B' U'
L U2 D R B' F U'
L2 U2 D' R B U' R'
L U2 D B' R F U'
L U2 D' R F B' U'
L U2 D' R B' F U'
L2 U2 D2 R F' B U'
L2 U2 D2 R B F' U'
L U2 D' B' R F U'
L U2 D2 R F B' U'
L U2 D2 R B' F U'
F2 R2 L' F R2 B' U
F2 R2 L' F B' R2 U
L U2 D2 B' R F U'
F2 R2 L' B' R2 F U
F2 R2 L' B' F R2 U
L U2 B R F B2 U'
L U2 B R B2 F U'
L U2 B' R D F U'
L U2 B' R D' F U'
L U2 B' R D2 F U'
L U2 B' R F U' D
L U2 B' R F U' D'
L U2 B' R F U' D2
L U2 B' R F D U'
L U2 B' R F D' U'
L U2 B' R F D2 U'
L U2 B' R' F R2 U'
L U2 B' R2 F R' U'
L U2 B' D R F U'
L U2 B' D' R F U'
L U2 B' D2 R F U'
L D U2 R F B' U'
L D U2 R B' F U'
L' D F D2 B' L U
L D U2 B' R F U'
L' D F2 B' L' F' U
L' D B' F2 L' F' U
F' U D' L' B' L R'
F' U D' L' B' R' L
R D B2 L F U' L'
F U D' L B' L R'
F U D' L B' R' L
F U D' B' L R' B'
F U D' B' R' L B'
D' U B' L R' D B2
D' U B' R' L D B2
D' U B' R' D L B2
L2 D' U2 R B U' R'
L' D' F D2 B' L U
L D' U2 R F B' U'
L D' U2 R B' F U'
L D' U2 B' R F U'
L' D' F2 B' L' F' U
L' D' B' F2 L' F' U
U D' B' L R' D B2
U D' B' R' L D B2
U D' B' R' D L B2
D2 U2 R U2 F' B U
D2 U2 R U2 B F' U
U2 D2 R U2 F' B U
U2 D2 R U2 B F' U
D2 U2 R' F' B R2 U'
D2 U2 R' B F' R2 U'
U2 D2 R' F' B R2 U'
U2 D2 R' B F' R2 U'
L2 D2 U2 R F' B U'
L2 D2 U2 R B F' U'
L' D2 F D2 B' L U
L D2 U2 R F B' U'
L D2 U2 R B' F U'
L D2 U2 B' R F U'
L' D2 F2 B' L' F' U
L' D2 B' F2 L' F' U
L2 F L F B' L' U
L2 F L B' F L' U
F2 D L' D2 B' U L
F2 D L' F B' U L'
F2 D L' B' F U L'
L' F D' L U B' R'
L' F D' B' L U B'
L' F D2 B' L U D
L' F D2 B' L U D'
L' F D2 B' L U D2
L' F D2 B' L D U
L' F D2 B' L D' U
L' F D2 B' L D2 U
L' F D2 B' D L U
L' F D2 B' D' L U
L' F D2 B' D2 L U
L' F B' D' L U B'
R F B2 L F B' U'
R F B2 L B' F U'
F2 D F U L' B' R'
D' F' U L' B' L R'
D' F' U L' B' R' L
F2 D' L' F B' U L
F2 D' L' F' B' U L
F2 D' L' F2 B' U L
F2 D' L' B' U L D
F2 D' L' B' U L D'
F2 D' L' B' U L D2
F2 D' L' B' U D L
F2 D' L' B' U D' L
F2 D' L' B' U D2 L
F2 D' L' B' D U L
F2 D' L' B' D' U L
F2 D' L' B' D2 U L
F2 D' L' B' F U L
F2 D' L' B' F' U L
F2 D' L' B' F2 U L
L F' U2 F2 B' R' U'
L F' U2 B' R' F2 U'
L F' U2 B' F2 R' U'
F' D' U L' B' L R'
F' D' U L' B' R' L
F D' U L B' L R'
F D' U L B' R' L
D2 F2 L' D B' U L
L2 F2 L F B' L2 U
R F' B2 L F B' U'
R F' B2 L B' F U'
F D' U B' L R' B'
F D' U B' R' L B'
L' F2 L' D F' U R
D' F2 L' F B' U L
D' F2 L' F' B' U L
L2 F2 L B' F L2 U
D' F2 L' F2 B' U L
D' F2 L' B' U L D
D' F2 L' B' U L D'
