U2 L U' L2 U' B'
U2 L D F U2 F
U2 L D' F B2 U2
U2 L D' B2 F U2
U2 L F U' L2 U'
U2 L F U2 D F2
U2 L F D U2 F2
U2 L F D' B2 U2
L U2 D L' F2 B'
L U2 D L' B' F2
L D U2 L' F2 B'
L D U2 L' B' F2
L D' B2 U2 L' B'
L' R U L2 U2 L' B
L' R U L2 U2 B L'
L' R U' L B2 R' B'
L R U' L2 U' L B
L' R U' D2 L B R2
R L U' L2 U' L B
L R U2 D L' F2 B
L R U2 D L' B F2
L R U2 D B L' F2
R L U2 D L' F2 B
R L U2 D L' B F2
R L U2 D B L' F2
F2 L U R U L' B'
L R U2 B D L' F2
R L U2 B D L' F2
L' R D F2 U' L B
L R D U2 L' F2 B
L R D U2 L' B F2
L R D U2 B L' F2
U2 L U' L2 R U' B'
U2 L U' L2 R' U' B'
U2 L U' L2 R2 U' B'
U2 L U' L2 U' D B'
U2 L U' L2 U' D' B'
U2 L U' L2 U' D2 B'
U2 L U' L2 U' B' D
U2 L U' L2 U' B' D'
U2 L U' L2 U' B' D2
U2 L U' L2 D U' B'
U2 L U' L2 D' U' B'
U2 L U' L2 D2 U' B'
U2 L U' R L2 U' B'
R L D U2 L' F2 B
R L D U2 L' B F2
U2 L U' R' L2 U' B'
R L D U2 B L' F2
U2 L U' R2 L2 U' B'
D2 L U2 D L' F2 B'
D2 L U2 D L' B' F2
D' L U2 D L' F2 B'
D' L U2 D L' B' F2
F' L U2 D' L' F B'
F' L U2 D' L' B' F
D L U2 D L' F2 B'
D L U2 D L' B' F2
L R D' B2 U2 B' L'
R L D' B2 U2 B' L'
L' R D2 U' L B R2
D2 L D U2 L' F2 B'
D2 L D U2 L' B' F2
D' L D U2 L' F2 B'
D' L D U2 L' B' F2
D L D U2 L' F2 B'
D L D U2 L' B' F2
U2 L D F U2 D F
U2 L D F U2 D' F
U2 L D F U2 D2 F
U2 L D F U2 F D
U2 L D F U2 F D'
U2 L D F U2 F D2
U2 L D F D U2 F
U2 L D F D' U2 F
U2 L D F D2 U2 F
U2 L D F B U2 F
U2 L D F B' U2 F
U2 L D F B2 U2 F
U2 L D B F U2 F
U2 L D B' F U2 F
U2 L D B2 F U2 F
F' L D' U2 L' F B'
F' L D' U2 L' B' F
U2 L D' F U2 D2 F2
U2 L D' F D2 U2 F2
U2 L D' F B2 U2 D
U2 L D' F B2 U2 D'
U2 L D' F B2 U2 D2
U2 L D' F B2 D U2
U2 L D' F B2 D' U2
U2 L D' F B2 D2 U2
D' L D' B2 U2 L' B'
D2 L D' B2 U2 L' B'
U2 L D' B2 D F U2
U2 L D' B2 D' F U2
U2 L D' B2 D2 F U2
D L D' B2 U2 L' B'
U2 L D' B2 F U2 D
