B' L U R' U L'
B' L R U R2 U L'
B' L R U2 L' D' F2
B' L R U2 D' L' F2
B' L R D B2 U2 L'
B' L R D' U2 L' F2
B' L R2 U R U L'
B' L U R' U L' D
B' L U R' U L' D'
B' L U R' U L' D2
B' L U R' U D L'
B' L U R' U D' L'
B' L U R' U D2 L'
B' L U R' D U L'
B' L U R' D' U L'
B' L U R' D2 U L'
B' L U D R' U L'
B' L U D' R' U L'
B' L U D2 R' U L'
U' L U F R2 B R'
B' L U' B2 L U' L2
B' L U2 L' U' R' U
B2 L U2 D L' F R
B' L D U R' U L'
B2 L D U2 L' F R
B' L D' U R' U L'
B' L D2 U R' U L'
B' L B' U2 D L' F
B' L B' D U2 L' F
B' L B2 U' L U' L2
B' L B2 U2 L' D F2
U' L' U B' L U2 L'
B L' U' L2 U' L' R'
B L' U' L2 U' R' L'
U' L' U' B' L U2 B
B L' U2 R' D L F2
B L' U2 R' D F2 L
B L' U2 D L R' F2
B L' U2 D L F2 R'
B L' U2 D R' L F2
B L' U2 D R' F2 L
B L' U2 D F2 L R'
B L' U2 D F2 R' L
B L' D U2 L R' F2
B L' D U2 L F2 R'
B L' D U2 R' L F2
B L' D U2 R' F2 L
B L' D U2 F2 L R'
B L' D U2 F2 R' L
B L' D' B2 L R' U2
B L' D' B2 R' L U2
B L2 U' L' U' L' R'
B L2 U' L' U' R' L'
B' R L U R2 U L'
B' R L U2 L' D' F2
B' R L U2 D' L' F2
B' R L D B2 U2 L'
B' R L D' U2 L' F2
U R U B U2 R' B'
B' R D L B2 U2 L'
B' R D' L U2 L' F2
B' R D' F2 D2 B2 R'
B R' U L U2 L' U
B' R2 L U R U L'
F R2 B R' U L U'
F R2 B U L U' R'
B U L U2 L' U R'
B U L F2 R U' R2
B' U R' U' L U2 L'
B U2 L' R' D F2 L'
B U2 L' D R' F2 L'
B U2 R' L' D F2 L'
B U2 R' F2 L' D F2
B' D L U R' U L'
B2 D L B' U2 L' R'
B2 D L B' U2 R' L'
B2 D L' U2 F L R
B2 D L' U2 F R L
B2 D B L B' U2 L'
B' D' L U R' U L'
B2 D' R' B L U2 L'
B' D2 L U R' U L'
F2 D2 F' B2 D' R F'
L2 B U' L U' L R'
L2 B U' L U' R' L
F2 D2 B2 F' D' R F'
L B U' L U' L2 R'
L B U' L U' R' L2
L B U2 L' R' D F2
L B U2 L' D R' F2
L B U2 L' D F2 R'
L B U2 R' L' D F2
R' B' L U R' U L'
B F R2 B D' R F'
L' B' L U R' F' U
F B R2 B D' R F'
L2 B' L U R' U L
R2 B' L U R' U L'
L B' L U R' U L2
R B' L U R' U L'
L' B2 D' R' B L U2
L B2 U2 D L' F R
L B2 D U2 L' F R
