U' L U2 F R B'
U' L U2 F B' R
U' L U2 B' F R
U' L' F B' U2 R'
U' L' B' F U2 R'
B U2 L F U' B'
U' B L U2 F B'
U' B L U2 B' F
R B U2 L U' B'
B' L R B R2 U B2
B2 L R B R' U B2
B' L R' U2 F' U' B'
U' L U2 R F R B'
U' L U2 R F B' R
U' L U2 R B' F R
U' L U2 R' F R B'
U' L U2 R' F B' R
U' L U2 R' B' F R
U' L U2 R2 F R B'
U' L U2 R2 F B' R
U' L U2 R2 B' F R
U' L U2 D F R B'
U' L U2 D F B' R
U' L U2 D B' F R
U' L U2 D' F R B'
U' L U2 D' F B' R
U' L U2 D' B' F R
U' L U2 D2 F R B'
U' L U2 D2 F B' R
U' L U2 D2 B' F R
U' L U2 F R D B'
U' L U2 F R D' B'
U' L U2 F R D2 B'
U' L U2 F R B' D
U' L U2 F R B' D'
U' L U2 F R B' D2
U' L U2 F R' B' R2
U' L U2 F D R B'
U' L U2 F D B' R
U' L U2 F D' R B'
U' L U2 F D' B' R
U' L U2 F D2 R B'
U' L U2 F D2 B' R
U' L U2 F B R B2
U' L U2 F B' R D
U' L U2 F B' R D'
U' L U2 F B' R D2
U' L U2 F B' D R
U' L U2 F B' D' R
U' L U2 F B' D2 R
U' L U2 B F R B2
U' L U2 B' R F R
U' L U2 B' R' F R
U' L U2 B' R2 F R
U' L U2 B' D F R
U' L U2 B' D' F R
U' L U2 B' D2 F R
U' L U2 B' F R D
U' L U2 B' F R D'
U' L U2 B' F R D2
U' L U2 B' F D R
U' L U2 B' F D' R
U' L U2 B' F D2 R
U' L D U2 F R B'
U' L D U2 F B' R
U' L D U2 B' F R
U' L D' U2 F R B'
U' L D' U2 F B' R
U' L D' U2 B' F R
U' L D2 U2 F R B'
U' L D2 U2 F B' R
U' L D2 U2 B' F R
U2 L F U2 R U B'
L R B U2 L U' B2
R L B U2 L U' B2
R2 L B' R' B U B'
L R B' R' B2 U B2
U' L F' B' R' F2 L'
R L B' R' B2 U B2
U' L B U2 F B2 R'
U' L B U2 B2 R' F
U' L B U2 B2 F R'
U' L B' R' F2 L' F'
U' L B' F' R' F2 L'
U' L B2 U2 F B R'
U' L B2 U2 B R' F
U' L B2 U2 B F R'
U' L' D F B' U2 R'
U' L' D B' F U2 R'
U' L' D' F B' U2 R'
U' L' D' B' F U2 R'
U' L' D2 F B' U2 R'
U' L' D2 B' F U2 R'
U' L' F L2 U2 F R
U' L' F D B' U2 R'
U' L' F D' B' U2 R'
U' L' F D2 B' U2 R'
U' L' F B L B2 U2
U' L' F B' L U2 R'
U' L' F B' L' U2 R'
U' L' F B' L2 U2 R'
U' L' F B' U2 R' D
U' L' F B' U2 R' D'
U' L' F B' U2 R' D2
U' L' F B' U2 D R'
U' L' F B' U2 D' R'
U' L' F B' U2 D2 R'
U' L' F B' D U2 R'
U' L' F B' D' U2 R'
U' L' F B' D2 U2 R'
U L' F U2 L R F
U L' F U2 R L F
U' L' B F L B2 U2
U' L' B' L2 U2 R' B'
U' L' B' D F U2 R'
U' L' B' D' F U2 R'
U' L' B' D2 F U2 R'
U' L' B' F L U2 R'
U' L' B' F L' U2 R'
U' L' B' F L2 U2 R'
U' L' B' F U2 R' D
U' L' B' F U2 R' D'
U' L' B' F U2 R' D2
U' L' B' F U2 D R'
U' L' B' F U2 D' R'
U' L' B' F U2 D2 R'
U' L' B' F D U2 R'
U' L' B' F D' U2 R'
U' L' B' F D2 U2 R'
L R2 B' R' B U B'
U2 L2 F' L' F U' B'
U' L2 B L F B' U2
U' L2 B L B' F U2
L U R' F R F2 B'
L U R' F R B' F2
L U R' F B' R F2
L U R' B' F R F2
L U R2 F R F' B'
L U R2 F R B' F'
L U R2 F B' R F'
L U R2 B' F R F'
B' R L B R2 U B2
B2 R L B R' U B2
L U F R B' D2 F2
L U F R' F' R2 B'
L U F R' F' B' R2
L U F R' B' F' R2
L U F B' R' F' R2
L U F2 R' F' R B'
L U F2 R' F' B' R
L U F2 R' B' F' R
L U F2 B' R' F' R
L U B' R' F R F2
L U B' R2 F R F'
U R U2 B L U2 B'
L U B' F R' F' R2
L U B' F2 R' F' R
L U' L U2 F R B
B' R B L R2 U B'
B2 R B L R' U B'
B' R B R2 L U B'
B2 R B R' L U B'
D' R B U2 L R' U'
D' R B U2 R' L U'
D' R B' L R' B2 U
B2 R B D2 R' U B
D' R B' R' L B2 U
B' R' L U2 F' U' B'
L' U' F L U2 F R
L' U' F L' B' U2 R'
L' U' F B L U2 F
L' U' F B' U2 R' F'
L' U' B F L U2 F
L U' B L U2 F B2
L U' B L U2 B2 F
B' R' U2 D F' R U'
D2 R' U2 F' L' U' B
B R' U2 L F' U' B'
L U' B U2 B2 R' F'
D R' U2 F' L' R U'
D R' U2 F' R L' U'
B R' U2 F' L U' B'
L' U' B' F U2 R' F'
B' R' D U2 F' R U'
L U' B2 U2 B R' F'
R' U2 L2 F' L' U' B'
U R' F' U2 L' F U2
R' U2 D F' L' R U'
R' U2 D F' R L' U'
R' U2 F' L' U F U2
D' R2 B' L R' B U
D' R2 B' R' L B U
R' D U2 F' L' R U'
