U' B R U L B'
B L R U B' D L2
B L R U2 B U' B2
B L R' F' R2 U B'
U' L B R U L B2
U2 L B R F U B2
B R L U B' D L2
B R L U2 B U' B2
B R U L B' D L2
B R U2 D' B R' U'
B R D' U2 B R' U'
B R' L F' R2 U B'
L U' B R U L B2
B R' F' L R2 U B'
B R' F' R2 L U B'
L2 U2 B R U B L
U' F' B U L F B'
U' F' B U L B' F
B D' R U2 B R' U'
U' B L' R U L2 B'
U2 B L R F U B'
U' B R L' U L2 B'
U' B R U L D B'
U' B R U L D' B'
U' B R U L D2 B'
U' B R U L B' D
U' B R U L B' D'
U' B R U L B' D2
U' B R F U L B'
U' B R F' U L B'
D' B R U2 B R2 U'
U' B R F2 U L B'
U2 B R L F U B'
U2 B R U B L B'
L B R U2 B U' B
F D2 B R' F' U B
L B R' F' R2 U B2
U' B F' U L F B'
U' B F' U L B' F
U' B2 R B' U L B'
