U F' L' B' U2
U L F' L' U2 F2
U L F' U2 F2 R
U L' F' B' L' U2
U L' B' F' L' U2
U L2 F' L' U2 F
L' U F' L' B' U2
L2 U F' L' B' U2
L U F' L' B' U2
R2 U' D B R' F'
U' R' F' B' R' B
U' R' B' F' R' B
R2 D U' B R' F'
D2 U F' L' B' U2
D' U F' L' B' U2
U D F' L' B' U2
D U F' L' B' U2
R' D' F' L' R U'
R' D' F' R L' U'
U D' F' L' B' U2
U D2 F' L' B' U2
R' F' L' R' U' B
R' F' R' L' U' B
U F' L' D B' U2
U F' L' D' B' U2
U F' L' D2 B' U2
U F' L' B' U2 D
U F' L' B' U2 D'
U F' L' B' U2 D2
U F' L' B' D U2
U F' L' B' D' U2
U F' L' B' D2 U2
U F' D L' B' U2
U F' D' L' B' U2
U F' D2 L' B' U2
U F' B L' B' U2
U F' B' L' B' U2
U F' B2 L' B' U2
U B F' L' B' U2
U' B' R2 B R F'
U B' F' L' B' U2
U B2 F' L' B' U2
F' L R' F' L2 U' B'
R2 L U' D B R' F'
D' L U F' L' B' U2
D2 L U F' L' B' U2
D L U F' L' B' U2
R2 L D U' B R' F'
R' L D' F' L' R U'
R' L D' F' R L' U'
U L D F' L' U2 F2
U L D F' U2 F2 R
R' L F' L' R' U' B
R' L F' R' L' U' B
U L D' F' L' U2 F2
U L D' F' U2 F2 R
U L D2 F' L' U2 F2
U L D2 F' U2 F2 R
U L F R D2 B2 L
U L F D2 R B2 L
F' L F' L2 U' B' R'
U L F' L' U2 F2 D
U L F' L' U2 F2 D'
U L F' L' U2 F2 D2
U L F' L' D2 B2 U2
U L F' L' B U2 F2
U L F' L' B' U2 F2
U L F' L' B2 U2 F2
U L F' U2 R F2 R
U L F' U2 R' F2 R
U L F' U2 R2 F2 R
U L F' U2 F2 R D
U L F' U2 F2 R D'
U L F' U2 F2 R D2
U L F' U2 F2 D R
U L F' U2 F2 D' R
U L F' U2 F2 D2 R
U L F' D2 L' B2 U2
U L F' D2 B2 L' U2
U L F' B L' U2 F2
U L F' B U2 F2 R
U L F' B' L' U2 F2
U L F' B' U2 F2 R
U L F' B2 L' U2 F2
U L F' B2 U2 F2 R
U L B F' L' U2 F2
U L B F' U2 F2 R
R2 L' U' D B R' F'
U L B' F' L' U2 F2
U L B' F' U2 F2 R
F' L' R U2 B U B'
U L B2 F' L' U2 F2
U L B2 F' U2 F2 R
R2 L' D U' B R' F'
F' L' R' F' U F U2
U2 L' R' B' R' U B
R' L' D' F' L' R U'
R' L' D' F' R L' U'
L' R' D' F' L' R U'
L' R' D' F' R L' U'
L R' D' F' L' R U'
L R' D' F' R L' U'
L2 R' D' F' L' R U'
L2 R' D' F' R L' U'
U2 L' R2 B' R' U B2
D2 L' U F' L' B' U2
D' L' U F' L' B' U2
D L' U F' L' B' U2
R' L' F' L' R' U' B
L' R' F' L' R' U' B
R' L' F' R' L' U' B
F' L' U2 L' B' U B
L' R' F' R' L' U' B
L2 R' F' L' R' U' B
L R' F' L' R' U' B
L2 R' F' R' L' U' B
L R' F' R' L' U' B
F' L' U2 B U B' R'
U L' D F' B' L' U2
U L' D B' F' L' U2
U L' D' F' B' L' U2
U L' D' B' F' L' U2
U L' D2 F' B' L' U2
F2 L' F L' U' B' R'
U L' D2 B' F' L' U2
F' L' F U F' L' U2
F' L' F' U F U2 R
U' L' F' U2 L F R
U L' F' D B' L' U2
U L' F' D' B' L' U2
L' R2 U' D B R' F'
